,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
10,12 batonnets glacés - Toupargel,3528161506201,['France'],"['noix de végétale coco', '•', 'lactose ', 'lait', ' et protéines de lait•', 'sirop de glucose', ' noisettes hachées grillées ', 'fruits à coque', ' ', '3,3 %', ' ', ' cacao maigre en poudre ', '0,9 %', ' ', ' lacto- sérum en poudre ', 'lait', ' ', ' poudre de café ', '0,7 %', ' ', ' émulsifiants : E471', 'lécithine ', 'soja', ' ', ' stabilisants : gomme guar', 'farine de graines de caroube ', ' arôme']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,308,1289 kj(308 kcal),"21,2","17,1","27,5","25,4","1,8","0,127","0,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']","['Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,
11,Feuilleté Glacé Caramel - La Balade Gourmande - 356g / 650ml,3528161506256,['France'],"['Eau ', ' sucre', ' graisse végétale ', 'noix de coco', ' lactose et protéines de lait', ' sirop de glucose', ' caramel au lait ', '3,7 %', ' huile de tournesol', ' farine de blé', ' beurre ', 'lait', 'émulsifiants: E471', 'lécithines ', 'soja', ' ', ' stabilisants: gomme guar', 'farine de graines de caroube', ' arômes', ' lactosérum en poudre ', 'lait', ' colorants: E150c', 'E160a', 'E160b ', ' cacao maigre', 'arômes naturels de vanille', ' graisse végétale ', 'palme', ' lait entier en poudre ', ' sucre caramélisé', ' œufs en poudre', ' sel', ' poudres à lever: E450', 'E500']",[],?,285,1192 kj(285 kcal),17,"12,6","31,2","27,3","1,7","0,22","0,088",,"['Desserts', 'Surgelés', 'Desserts glacés']",17 g,en quantité modérée,12.6 g,en quantité élevée,27.3 g,en quantité élevée,0.22 g,en faible quantité,,+41%,+40%,+100%,+130%,+11%,+16%,-30%,+83%,+83%,19,+68%,E,+68%,,,,,,,,356 g / 650 ml,['La Balade Gourmande'],,,,"Glace caramel [41,3% ), glace vanille (38,2%), pâte à glacer avec brisures de biscuit [11,2%), pâte à glacer au chocolat et brisures de caramel (0,9%) . - Feuilleté Glacé Caramel","['Carton', 'surgelé', 'Plastique']",,,,,,,,,,
12,Coupe Glacée Café Liégeois - Toupargel,3528161506300,['France'],[],[],?,191,799 kj(191 kcal),"7,5","6,5","29,6",27,"1,1","0,12","0,048",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au café', 'Liégeois']",7.5 g,en quantité modérée,6.5 g,en quantité élevée,27 g,en quantité élevée,0.12 g,en faible quantité,,-6%,-7%,-19%,+3%,+9%,+16%,-63%,-2%,-2%,13,+8%,D,+8%,72.9%,16.3%,3.6%,4.6%,2.0%,0.5%,58,,['Toupargel'],,,,,['Surgele'],['Toupargel'],,,,,,,,,
13,Coupe glacée chocolat liégeois - Toupargel,3528161506317,['France'],[],[],?,207,866 kj(207 kcal),"7,6","6,5","32,2",29,"1,9","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,,,,,
14,Feuilleté glacé vanille,3528161506355,['France'],[],[],?,236,987 kj(236 kcal),"13,5","11,7","27,1",24,"1,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,
15,Petite folie n°32 - Toupargel,3528161506379,['France'],[],[],?,202,845 kj(202 kcal),"6,9","5,2","33,1","26,6","1,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,,,,,
16,Creme glacee Stracciatella - Toupargel,3528161506386,['France'],[],[],?,193,808 kj(193 kcal),6,"4,2","31,5","29,9","2,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,,,,,
17,Glace vanille,3528161506393,['France'],[],[],?,173,724 kj(173 kcal),"7,7","6,9","24,8","22,1","1,1","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sorbet multifruits - Toupargel - 480g,3528161506508,['France'],[],[],?,112,469 kj(112 kcal),"0,5","0,1",26,20,"0,5","0,01","0,004",C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']",0.5 g,en faible quantité,0.1 g,en faible quantité,20 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-5%,+32%,-32%,-4%,-10%,-13%,-63%,-63%,5,+16%,C,+16%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,480 g,['Toupargel'],,,,,,,,,,,,,,,
19,Sunday choco - Toupargel,3528161506546,['France'],[],[],?,210,879 kj(210 kcal),"8,7","7,5",31,27,"1,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Toupargel'],,,,,,,,,,,,,,,
