,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
317,Le Pâté Hénaff - 1kg,3537580707038,['France'],"['Viande de porc ', '91 %', ' dont jambon ', '20 %', 'fumet', 'foie de porc ', '1,5 %', 'sel de Guérande ', '1,5 %', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1149,?,1149 kj(275 kcal),23,9,"0,5","0,2",17,"1,5","0,6",,"['Viandes', 'Charcuteries', 'Pâtés charcutiers']",23 g,en quantité élevée,9 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,+3%,,-3%,-5%,-0%,-79%,-79%,+22%,-7%,-7%,17,-4%,D,-4%,,,,,,,,1 kg,['Hénaff'],,,3,,"['Frais', 'Plastique']",,"['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,"['Sans colorants', 'Sans conservateurs', 'en:produced-in-bretagne']",,"['France', 'Bretagne', 'Pouldreuzic']",,,,
318,Rillettes de thon à l'indienne - Hénaff,3537580707212,['France'],[],[],?,188,787 kj(188 kcal),12,1,1,"0,9",19,"1,5","0,6",D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon', 'en:preparations-made-from-fish-meat']",12 g,en quantité modérée,1 g,en faible quantité,0.9 g,en faible quantité,1.5 g,en quantité modérée,,-11%,-12%,-24%,-73%,-53%,-6%,+24%,+44%,+44%,3,-52%,C,-52%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,['Hénaff'],,,,,,,"['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,['Sans colorants'],,,,,,
319,3537580800937,3537580800937,['France'],"['Viande de porc 91% dont jambon 20%', 'tomate en poudre 2%', 'sel de mer', 'poivre', 'basilic 0', '15%', ' Boyau naturel de mouton']",[],979,?,979 kj(234 kcal),18,6,"1,4",1,17,"1,1","0,44",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises']",18 g,en quantité modérée,6 g,en quantité élevée,1 g,en faible quantité,1.1 g,en quantité modérée,-12%,,-13%,-18%,-29%,+11%,+36%,+10%,-45%,-45%,11,-40%,D,-40%,,,,,,,,,,,,3,,"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Carrefour'],,['France'],"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,"['France', 'Bretagne']",http://www.henaff.com/fr/produits-et-recettes/les-produits/saucisses-et-palets-henaff/52-saucisses-fraiches-henaff-tomate-basilic?,,,
320,3537580801507,3537580801507,['France'],[],[],?,219,916 kj(219 kcal),17,7,"1,5","1,3",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Cacahuète gianduja - Réauté Chocolat,3537600000002,['France'],"['Gianduja ', 'sucre', 'de cacao', 'poudre de Iait entier', 'emulsifiant : lécithine de soja]', 'chocolat ', 'sucre', 'beurre de cacao', 'poudre de lait entier de cacao', 'émulslf!ont : de naturel de yonlllel cacahuètes huile sel', ' Peut contenlr des traces d10Utres frults ù coques', 'de gluten', 'dloeufs et de sésame cocoo : mlnlfllUfll [chocolot ou loltl Chocolat de couverture 100% pur beurre de cacao Un léger volle blanc peut aporaitre la surface du chocolat', "" Cela n'altère nl le quallté"", 'nl le goût']",[],?,592,2477 kj(592 kcal),"42,8",19,39,"36,9","10,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Réauté Chocolat'],['E322i - Lécithine'],,4,,,,,,,,,,,,
322,Oliu di corsica,3537970000039,['France'],[],[],?,823,3443 kj(823 kcal),91,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Tablette de chocolat noir extra,3538280000528,['France'],[],[],?,510,2134 kj(510 kcal),28,18,55,52,"4,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Gom's Saveurs Fruits du Verger - La Pie qui Chante - 250g,3538280016031,['France'],"['Sirop de glucose', 'sucre', 'gélifiant ', ""gomme d'acacia 10%"", 'gélatine', 'acidifiant ', 'acide citrique', 'arômes', 'colorants ', 'E140i', 'E120', 'E161b', 'E160c', 'E153']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1365,?,1365 kj(326 kcal),"< 0,1","< 0,1","71,6","54,9","7,9","0,025","0,01",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.1 g,en faible quantité,0.1 g,en faible quantité,54.9 g,en quantité élevée,0.0254 g,en faible quantité,-6%,,-5%,-75%,-40%,-11%,-5%,+115%,-78%,-78%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,250 g,['La Pie qui Chante'],"[""E414 - Gomme d'acacia"", 'E428 - Gélatine', 'E330 - Acide citrique', 'E140i - Chlorophylles', 'E120 - Acide carminique', 'E161b - Lutéine', 'E160c - Extrait de paprika', 'E153 - Charbon végétal médicinal']",,4,Confiseries gélifiées aromatisées,"['Sachet', 'Plastique']",['Leclerc'],,,,,,,,,
325,Sweet Gum Fraise & Citron Vert - Hollywood - 66g,3538280016758,['France'],"['Edulcorants ', 'Maltitol', 'Sorbitol', 'Sirop de maltitol', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Humectant ', 'E422', 'Arômes', 'Gélatine', 'Acidifiants ', 'Acide malique', 'Acide citrique', 'Emulsifiant ', 'Lécithine de tournesol', 'Colorants ', 'E171', 'E100', 'E141', ""Agent d'enrobage "", 'E903', 'Epaississant ', 'E466', ' Contient une source de phénylalanine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",725,?,725 kj(173 kcal),"0,3","0,1","67,6",0,"1,6",0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+7%,,+8%,+52%,-14%,+8%,-100%,+1140%,-100%,-100%,,,,,,,,,,,,66 g,"['Hollywood', 'Mondelez']","['E965 - Maltitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E296 - Acide malique', 'E330 - Acide citrique', 'E322i - Lécithine', 'E171 - Oxyde de titane', 'E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,Chewing-gums sans sucres avec édulcorants parfums fraise et citron vert.,"['Boîte', 'Carton', 'Plastique']",['Auchan'],,,"['Peu ou pas de sucre', 'Contient une source de phénylalanine', 'Point Vert', 'Sans sucre', 'Labels liés à la santé des dents', 'Union française pour la santé bucco-dentaire']",,,http://www.hollywoodchewinggum.com/,,,
326,St 110G Mini Carambar Assortis,3538280017380,['France'],[],[],?,390,1632 kj(390 kcal),"5,9","5,4",82,49,"1,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carambar'],,,,,,,,,,,,,,,
327,Noir café éclats de cacao - 1848,3538280018448,['France'],[],[],?,?,,?,,?,,?,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao', 'Chocolats noirs au café', 'Chocolats au café']",,,,,,,,,,,,,,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['1848'],,,,,,,,,,,,,,,
328,Carambar Acid Mix - 335g,3538280019292,['France'],"['Sucre', 'sirop de glucose', 'eau', 'gélatine', 'acide citrique', 'acide malique', 'malate de sodium', 'acide lactique', 'arômes', 'colorants E100', 'E150d', 'E163', 'E120', 'E133']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1405,?,1405 kj(336 kcal),"< 0,1","< 0,1",76,"63,9","4,9","0,229","0,091",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.1 g,en faible quantité,0.1 g,en faible quantité,63.9 g,en quantité élevée,0.229 g,en faible quantité,-3%,,-2%,-75%,-40%,-5%,+11%,+33%,+99%,+99%,15,+6%,D,+6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,335 g,['Carambar'],"['E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E350i - Malate de sodium', 'E270 - Acide lactique', 'E100 - Curcumine', ""E150d - Caramel au sulfite d'ammonium"", 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,4,Confiseries gélifiées aromatisées - Parfums assortis,"['Sachet', 'Plastique']",['Intermarché'],,,,,,,,,
329,1848 Lait noisettes - Poulain - 200G,3538280023909,['France'],"['Chocolat au lait 49% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactose et protéines de lait', 'arôme', 'émulsifiant ', 'lécithine de soja', 'praliné 31% ', 'sucre', 'noisettes', 'noisettes entières 16%', 'brisures de crêpes dentelle 4% ', 'sucre', 'farine de blé', 'beurre concentré', 'lactose et protéines de lait', 'sel', ""farine de malt d'orge"", 'poudre à lever : E500']","['Sans huile de palme', 'Non végétalien']",2425,?,2425 kj(580 kcal),"39,9","13,9","47,8","43,1","6,5","0,254","0,102",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",39.9 g,en quantité élevée,13.9 g,en quantité élevée,43.1 g,en quantité élevée,0.254 g,en faible quantité,+5%,,+4%,+12%,-19%,-5%,-8%,-7%,+98%,+98%,24,-3%,E,-3%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,200G,"['Poulain', '1848']","['E322i - Lécithine', 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"Spécialité au chocolat au lait, au praliné et aux noisettes","['Tablette', 'Carton']",,,,,,,,,,
330,"Poulain Grand Arôme Format Spécial 1, 1kg Prix Choc - 1kg",3538280027082,['France'],"['Sucre', 'Cacao maigre ', '11% de beurre i de cacao', 'Arôme', ' Cacao : 32% minimum', ' peut \\ contenir des traces de fruits à coque et de soja GARANTIE QUALIT Si ce produit avait subi une quelconque détérioration après avoir quitté en parfait état notre chocolaterie', ""n'hésitez pas à nous retoumer remballage"", 'au tarif normal en vigueur', ""en précisant la date et le lieu d'achat afin que nous vous dédommagions"", ' Service consommateurs POULAIN Breuil - BP 1320-41013 BLOIS cedex - France Cadbury France 143 boulevard Romain Rolland 75685 Paris Cedex 14 el,lkg']",[],?,355,1485 kj(355 kcal),"3,5","2,2","72,5","68,6","7,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,['Poulain'],,,4,,,,,,,,,,,,
331,Poulain Grand Arôme 1kg Prix Choc -  - 1kg,3538280027143,['France'],[],[],?,355,1485 kj(355 kcal),"7,7","2,2","72,6","68,6","7,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,,,
332,Bte 200 Carambar Barbapapa,3538280029314,['France'],[],[],?,385,1611 kj(385 kcal),"4,1","2,1",86,56,"0,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Un amour de lait - Poulain - 3 * 100g (300g),3538280033090,['France'],"['Sucre', 'beurre de cacao', 'lait écrémé en poudre 10%', 'pâte de cacao', 'lactosérum en poudre ', 'de lait', 'beurre concentré', 'émulsifiant ', 'lécithine de soja', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2230,?,2230 kj(533 kcal),30,19,59,"58,5","5,8","0,28","0,112",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",30 g,en quantité élevée,19 g,en quantité élevée,58.5 g,en quantité élevée,0.28 g,en faible quantité,-2%,,-3%,-13%,-3%,+14%,+19%,-19%,+20%,+20%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,3 * 100 g (300 g),['Poulain'],['E322i - Lécithine'],"['Lait', 'Soja']",4,Chocolat au lait,"['Plastique', 'Sachet']",['Noz'],,,,,,,,,
334,2 fresh - Hollywood  - 3,3538280033731,['France'],[],[],?,170,711 kj(170 kcal),"0,2",0,"67,2",0,"1,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,['Hollywood'],,,,,,,,,,,,,,,
335,Jddjfk - Carambar - 1000g,3538280034394,"['France', 'Suisse']","['Sirop de glucose', 'sucre', 'lait écrémé concentré sucré', 'huile de palme', 'acidifiant ', 'acide citrique', 'cacao maigre en poudre', 'arômes', 'gélatine', 'colorants ', 'E150d', 'E163', 'E161b', ' émulsifiants ', 'E471', 'lécithine de tournesol', 'sel']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1646,?,1646 kj(393 kcal),"5,3","2,7",83,53,"1,4","0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,['Carambar'],"['E330 - Acide citrique', 'E428 - Gélatine', ""E150d - Caramel au sulfite d'ammonium"", 'E163 - Anthocyanes', 'E161b - Lutéine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine']",,4,,,,,,,['Huile de palme'],,,,,
336,Cacao grand arôme 32% - Poulain,3538280034578,['France'],"['Sucre', 'Cacao maigre ', '11% de Degn Ardme', ' Cacao:32% minimum Pe c ir des traces de fruits à coque et de soja', ' 142']",[],?,395,1653 kj(395 kcal),"3,5","2,2","72,6","68,6","7,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poulain'],,,,,,,,,,,,,,,
337,Style chlorophylle - Hollywood,3538280034950,['France'],[],[],?,?,,?,,?,,?,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,chewing gum goût chlorophylle sans sucres,,,,,,,,,,,
338,"Chewing Gums Sans Sucre Frambois Pêche Sweet Gum Hollywood Dragées,",3538280035537,['France'],"['Edulccrants ', 'hialtitol', 'Sorbitol', 'Sirop de maltitol', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Arômes', 'Humecttnts ', 'E422', 'El 518', 'Gélatine', 'Acidifiants ', 'Acide citrique', 'Acide malique', 'Emulsifiant ', 'Lécithine de tournesol', 'Huiles végétales Noix de coco', 'Colorants ', 'El 71', 'El 61 b', ""Agent d'enrobage "", 'E903', 'Epaississant ', 'E466', ' Une consommation excessive eut avoir des effets laxatifs', ' Contient une source de phénylalanine']","['Non végétalien', 'Non végétarien']",?,175,732 kj(175 kcal),"1,2","0,7","65,3",0,"1,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E330 - Acide citrique', 'E296 - Acide malique', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,,,,,,['Contient une source de phénylalanine'],,,,,,
339,Citron,3538280036329,['France'],[],[],?,240,1004 kj(240 kcal),"0,2",0,"97,9",0,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Hollywood chewing gum my mix,3538280050912,['France'],[],[],?,180,753 kj(180 kcal),"0,1","0,1","72,1",0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
341,"Chewing gum, Menthe polaire, sans sucres - Hollywood",3538280052756,['France'],[],[],?,166,695 kj(166 kcal),?,"0,5",?,"65,5","0,2","0,18","0,072",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",,,0.5 g,en faible quantité,65.5 g,en quantité élevée,0.18 g,en faible quantité,,-1%,-1%,,+276%,,+1262%,+23%,+584%,+584%,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
342,"Blancheur parfum Menthe Verte - Hollywood - 5 * 14,5g",3538280052763,['France'],"['Édulcorants ', 'sorbitol', 'xylitol', 'maltitol', 'sirop de maltitol', 'aspartame', 'acésulfame K', 'gomme base', 'agent de charge ', 'E170', 'épaississant ', 'E414', 'arômes', 'émulsifiant ', 'E470a', 'colorant ', 'E171', ""agent d'enrobage "", 'E903', 'antioxydant ', 'E321']","[""Pourrait contenir de l'huile de palme""]",710,?,710 kj(170 kcal),"0,1",0,"68,5",0,"0,4","0,18","0,072",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.18 g,en faible quantité,-0%,,+1%,-58%,-100%,+8%,-100%,+145%,+584%,+584%,,,,,,,,,,,,"5 * 14,5 g",['Hollywood'],"['E420 - Sorbitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E170 - Carbonates de calcium', ""E414 - Gomme d'acacia"", 'E470a - Stéarate de sodium/potassium/calcium', 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",,4,Chewing-gum sans sucres avec édulcorants - parfum Menthe Verte,"['Carton', 'Plastique']",['Carrefour'],,,"['Peu ou pas de sucre', 'Sans sucre', 'USFBD']",,,,,,
343,Parfums Menthe / Cannelle Style - Hollywood,3538280055399,['France'],"['Edulcorants ', 'Sorbitol', 'Xylitol', 'Maltitol', 'Aspartame', 'Acésulfame K', 'Sucralose', 'Gomme base', 'Aromes', 'Humectant ', 'Glycérol', 'Émulsifiants ', 'Lécithine de tournesol', 'E472a', 'Colorant ', 'Anthocyanes', 'Antioxygène ', 'E321', ' Peut contenir des traces de soja', ' Une consommation excessive peut avoir des effets laxatifs', ' Contient une source de phénylalanine']","[""Pourrait contenir de l'huile de palme""]",?,155,649 kj(155 kcal),"0,1","0,1","62,7","0,1","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E422 - Glycérol', 'E322i - Lécithine', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E163 - Anthocyanes', 'E321 - Butylhydroxytoluène']",,4,,,,,,"['Kascher', 'Contient une source de phénylalanine', 'Une consommation excessive peut avoir des effets laxatifs', 'en:Orthodox Union Kosher']",,,,,,
344,Chewing gum Green Fresh pack de 4 - Hollywood,3538280055931,"['France', 'Inde']",[],[],?,640,2678 kj(640 kcal),?,"0,3",?,"0,1","0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
345,2Fresh parfum menthe extra-fort - Hollywood - 20g,3538280058451,['France'],"['Edulcorants ', 'maltitol', 'sorbitol', 'sirop de maltitol', 'aspartame', 'acésulfame K', 'gomme base', 'arômes', 'humectant ', 'E422', 'gélatine', 'colorant ', 'E171', 'émulsifiant ', 'lécithine de tournesol', ""agent d'enrobage "", 'E903', 'épaississant ', 'E466']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",700,?,700 kj(167 kcal),"0,1",0,"66,8",0,"1,5",0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+3%,,+4%,-49%,-100%,+6%,-100%,+1063%,-100%,-100%,,,,,,,,,,,,20 g,"['Hollywood', 'Mondelez']","['E965 - Maltitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E428 - Gélatine', 'E171 - Oxyde de titane', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,Chewing-gumsans sucres avec édulcorants,['Carton'],,,,"['Peu ou pas de sucre', 'Point Vert', 'Sans sucre']",,,,,,
346,Chewing gum Origins Hollywood sans sucre arômes orange mandarine et extrait de thé vert - 30g,3538280060713,['France'],"['Édulcorants ', 'maltitol', 'sorbitol', 'sirop de maltitol', 'aspartame', 'acésulfame k', 'gomme base', 'humectant ', 'E422', 'E1518', 'arômes naturels orange mandarine', 'gélatine', 'acidifiant ', 'acide citrique', 'émulsifiant ', 'lécithine de soja', 'extrait de thé vert 0,1%', ""agent d'enrobage "", 'E903', 'menthol', 'épaississant ', 'E466']","['Non végétalien', 'Non végétarien']",720,?,720 kj(172 kcal),"0,3",,"67,6",,"1,5",0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",0.3 g,en faible quantité,,,,,0 g,en faible quantité,+1%,,+3%,+27%,,+6%,,+820%,-100%,-100%,,,,,,,,,,,,30 g,['Hollywood'],"['E965 - Maltitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E1518 - Triacétine', 'E428 - Gélatine', 'E330 - Acide citrique', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",['Soja'],4,,"['Boite', 'Carton']",,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,
347,Senses Hollywood SS,3538280061635,['France'],"['Edulcorants ', 'sorbitol', 'Xylitol', 'Maltitol', 'Isomalt', 'Aspartame', 'Sucralose', 'Acésulfame K', 'Gomme base', 'Arômes', 'Humectant ', 'Glycérol', 'Acidifiants ', 'Acide citrique', 'Acide malique ', 'Emulsifiants ', 'Lecithine de tournesol', 'E472a', 'Colorants ', 'E171', 'E171b', 'huile végétale', 'antioxygène ', 'E321']","[""Pourrait contenir de l'huile de palme""]",?,165,690 kj(165 kcal),"0,3","0,2","63,1",0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E967 - Xylitol', 'E965 - Maltitol', 'E953 - Isomalt', 'E951 - Aspartame', 'E955 - Sucralose', 'E950 - Acésulfame K', 'E422 - Glycérol', 'E330 - Acide citrique', 'E296 - Acide malique', 'E322i - Lécithine', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E171 - Oxyde de titane', 'E321 - Butylhydroxytoluène']",,4,,,,,,,,,,,,
348,Stoptou Reglisse - La pie qui chante,3538280072037,['France'],[],[],?,385,1611 kj(385 kcal),"0,1",0,96,76,"0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La pie qui chante'],,,,,,,,,,,,,,,
349,Stoptou force et fraîcheur de la réglisse - 1kg,3538280078015,['France'],"['Sirop de glucose', 'sucre', 'suc de réglisse ', '2,2 %', 'arômes naturels ', 'anéthol', 'menthol']",[],?,385,1611 kj(385 kcal),"0,1",0,96,76,"0,2","0,1","0,04",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0.1 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0.1 g,en faible quantité,,+8%,+7%,-95%,-100%,+15%,+31%,-91%,-17%,-17%,14,-3%,D,-3%,,,,,,,,1 kg,['Stoptou'],,,4,Bonbons à la réglisse,['Plastique'],['Leclerc'],,['CADBURY FRANCE B.P. 530-92542 MONTROUGE Cedex-Fance'],,,,https://www.cadbury.co.uk/,,,
350,1848,3538280455854,['France'],[],[],?,355,1485 kj(355 kcal),"6,2","3,8",54,"48,5",12,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Super poulain,3538280464481,['France'],"['Sucre', 'cacao maigre en poudre 14,5 % émulsifiant lécithine de soja', 'arome', 'vitamines C B2 B1 B6']",[],?,390,1632 kj(390 kcal),2,"1,1",87,"85,5","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poulain'],,,4,,,,,,,,,,,,
352,Fresh & Clean,3538280831177,['France'],[],[],?,170,711 kj(170 kcal),10,0,"69,3",0,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Hollywood Dragee Sans Sucre Pack Economique Menthe Verte,3538280831214,['France'],[],[],?,160,669 kj(160 kcal),"0,1","0,02","65,8",0,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],,,,,,,,,,,,,,,
354,Bonbons à la fraise - La vosgienne,3538280831825,['France'],[],[],?,390,1632 kj(390 kcal),?,0,?,"69,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La vosgienne'],,,,,,,,,,,,,,,
355,1KG Carambar Caramel Minis - 1kg,3538280832334,['France'],[],[],?,398,1665 kj(398 kcal),"7,8",4,79,47,"3,1","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,['Carambar'],,,,,,,,,,,,,,,
356,Hollywood ice fresh x5 (x40) oe,3538280832617,['France'],"['Edulcorants ', 'Sorbitol', 'Isomalt', 'Sirop de maltitol', 'Mattitol', 'Aspartame', 'Acésulfame K', 'Gomme base', 'Agent de charge ', 'E170', 'Arômes', 'Humectant ', 'E422', 'Epaississant ', 'E414', 'Emulsifiants ', 'E472a', 'Lécithine de tournesol', 'Colorants excessive peut avoir des effets laxatifs', ' ?ontient une source de phénylalanine']","[""Pourrait contenir de l'huile de palme""]",?,175,732 kj(175 kcal),"0,5","0,3",69,0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hollywood'],"['E420 - Sorbitol', 'E953 - Isomalt', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E170 - Carbonates de calcium', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", ""E472a - Ester diacétyl-acétique d'acides gras"", 'E322i - Lécithine']",,4,,,,,,,,,,,,
