,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
190,herbata owocowa,5908243424056,,['France'],[],[],?,0,0 kj(0 kcal),6,3,8,1,2,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Père Noël au chocolat noir - Grain de Sail,3760226260929,,['France'],"['cacao""', 'sucre de canne""', 'beurre de cacao""', 'lécithine de soja sans OGM', 'fleur de sel', 'vanille naturelle']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,562,2351 kj(562 kcal),"40,2","25,3","40,5","37,6","5,6","0,17","0,068",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat']",,+2%,+18%,-24%,-16%,,,,,,,,['Grain de Sail'],,['E322i - Lécithine'],3,40.2 g,en quantité élevée,25.3 g,en quantité élevée,37.6 g,en quantité élevée,0.17 g,en faible quantité,+2%,+20%,-28%,-13%,-13%,25,-5%,E,-5%,,,,,,,,
192,Milk chocolate covered brazil nuts - Marks & Spencer,00679107,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Chocolat noir mince menthe,0059749959414,,['France'],[],[],?,475,1987 kj(475 kcal),"22,5","12,5",65,"52,5",5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Coques - La Fragua,8436006915314,,['France'],[],[],?,34,142 kj(34 kcal),"0,7","0,4",0,0,"7,6","1,7","0,68",,,,,,,,,,,,,,,,,['La Fragua'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Fromage en tranche singles,06815817,,"['Canada', 'France']",[],[],?,?,,?,,?,,?,,,['Plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Yogurt breaks red cherry,5000168181431,,['France'],[],[],?,401,1678 kj(401 kcal),"10,3","4,6","72,3","35,2","5,1","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Tomates cerise en grappe - Mucci,0699058241598,,"['Canada', 'France']",[],[],?,?,,?,,?,,?,,,['Barquette'],A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,,,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,['Mucci'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Fèves aux lard,0058351500755,,"['Canada', 'France']",[],[],?,?,,?,,?,,?,,,['Barquette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Ananas en tranche déshydratés,2600125066196,,['France'],[],[],?,376,1573 kj(376 kcal),0,0,93,77,0,"0,73","0,292",,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",,+288%,-100%,+372%,-100%,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,0.73 g,en quantité modérée,+303%,-100%,+348%,+836%,+836%,12,,D,,,,,,,,,
200,Feta a la grecque,0890299002096,,"['Canada', 'France']",[],[],?,310,1297 kj(310 kcal),12,4,1,1,6,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Vinaigrette cesar - 43g,0068820102717,,"['Canada', 'France']",[],[],?,?,,?,,?,,?,,,['sachet plastique'],,43 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Vinaigre De Cidre - Maille,0043646230875,,"['Canada', 'France']",[],[],?,3,13 kj(3 kcal),0,0,0,0,"0,1",0,0,['Bouteille'],A,,"['Vinaigres', 'Vinaigres de cidre']",,-80%,-100%,-100%,-32%,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,['Maille'],,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-78%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
203,Nestlé,12842353,,['France'],[],[],458,?,458 kj(109 kcal),?,"1,8",?,"13,5","3,3","0,13","0,052",,,,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Sauce sriracha,0883204003318,,"['Canada', 'France']",[],[],?,?,,?,,?,,?,,,['Bouteille'],,,"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Café Moulu 100% Arabica Grand Arome,3259235253003,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1KG Cafe Moulu Espresso Casa,8003410311959,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Frutti di bosco (fruits des bois),8018874302412,['en:gluten-free'],['France'],[],[],?,194,812 kj(194 kcal),0,0,48,47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,8004681002898,8004681002898,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Cereali e legumi - Pedon,8008703000527,,['France'],[],[],?,331,1385 kj(331 kcal),"2,2","0,5","53,7",1,"16,7","0,015","0,006",,,,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées']",,+145%,-11%,+146%,+337%,,,,,,,,['Pedon'],,,,,,,,,,,,+139%,-46%,-73%,-100%,-100%,,,,,,,,,,,,
210,Happy tea,4251347601214,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Miel de fleurs sauvages,3770001525129,"['Bio', 'Bio européen']",['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Pate a sucre,3700105230674,,['France'],[],[],?,393,1644 kj(393 kcal),"4,8","3,3","87,1","84,7",0,"0,12","0,048",,,,"['Aides culinaires', 'Aides à la pâtisserie', 'Pâtes à sucre']",,-0%,-9%,+1%,-100%,,,,,,,,,,,,4.8 g,en quantité modérée,3.3 g,en quantité modérée,84.7 g,en quantité élevée,0.12 g,en faible quantité,-1%,+7%,+3%,+6%,+6%,17,+1%,D,+1%,,,,,,,,
213,Miel d'Acacia - Bernard Loiseau - 50g,3263622400000,,['France'],[],[],?,?,,?,,?,,?,,,,B,50 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia""]",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bernard Loiseau', 'Apidis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Couscous royal - Tout feu tout frais - 450g,3760039509949,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['France'],"['Viande et légumes ', '71%', ' : poulet origine France ', '21,8 %*', 'épaule de mouton origine France ', '18,8 %*', 'eau', 'merguez ', '7,8%*', ' ', 'origine UE', ' ', 'viande de boeuf ', '60%', 'viande de mouton ', '18%', 'eau', 'gras de boeuf', 'épices et arômates', 'sel de Guérande', 'arômes naturels', 'sirop de glucose', 'dextrose', ' Boyau naturel de mouton', 'courgettes', 'carottes', 'poivrons', 'navets', 'tomates', 'pois chiche', 'concentré de tomates', 'raz el hanout', 'oignons', ' Semoule ', '29%', ' : semoule ', 'GLUTEN', 'eau', 'huile de colza', 'sel de Guérande', ' *Pourcentage exprimé sur la portion']","['Non végétalien', 'Non végétarien']",?,171,715 kj(171 kcal),"1,1",1,"1,2",1,"7,4","0,65","0,26","['Frais', 'Assiette', 'Barquette']",,450g,"['Plats préparés', 'Frais', 'Plats préparés frais']",,-8%,-87%,-93%,-1%,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,4,1.1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,0.65 g,en quantité modérée,-5%,-60%,-56%,-36%,-36%,-2,-148%,A,-148%,,['Bretagne'],,,['Gluten'],,https://www.toutfeu-toutfrais.com/couscous-royal-mouton-merguez-poulet-450g-xml-356_359-7514.html,
215,Confiture Extra - Cassis de la Vallée du Rhône - Les Merveilles en Provence - 370g,3452200020000,,['France'],"['Cassis de la vallée du Rhône', 'sucre de canne']",[],?,253,1059 kj(253 kcal),"0,2","< 0,2",61,60,"0,7","< 0,05","0,02",['Pot en verre'],C,370g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,+14%,-24%,+14%,+35%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Les Merveilles en Provence'],,,3,0.2 g,en faible quantité,0.2 g,en faible quantité,60 g,en quantité élevée,0.05 g,en faible quantité,+14%,+302%,+17%,+116%,+116%,6,-35%,C,-35%,,"[""Confit de Provence - 5135 route d'Avignon - 13540 Puyricard""]",,,,,http://www.confitdeprovence.com,
216,Far breton nature - Tout feu tout frais - 240g,3760039502988,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['LAIT', 'OEUF', 'sucre', 'farine de blé ', 'GLUTEN', 'beurre ', 'LAIT', 'crème ', 'LAIT', 'fécule de manioc', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1039,?,1039 kj(248 kcal),12,"7,8",30,12,"5,6","0,35","0,14","['Frais', 'Barquette']",C,240g,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Fars']",,,+109%,-10%,+7%,70.7%,20.7%,4.2%,2.1%,2.2%,0.0%,58,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,4,12 g,en quantité modérée,7.8 g,en quantité élevée,12 g,en quantité modérée,0.35 g,en quantité modérée,+19%,+211%,-40%,+15%,+15%,13,+104%,D,+104%,,['Bretagne'],,,"['Œufs', 'Gluten', 'Lait']",,https://www.toutfeu-toutfrais.com/far-breton-nature-parts-xml-356_362-7510.html,
217,6 hermines de farz blanc - Tout feu tout frais - 300g,3700520500246,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['LAIT', 'farine de froment ', 'GLUTEN', 'OEUF', 'sucre', 'fécule de manioc']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,170,711 kj(170 kcal),"2,8","1,2",31,11,"5,7","0,08","0,032","['Frais', 'Barquette']",,300g,['Farz blanc'],,,,,,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,4,2.8 g,en faible quantité,1.2 g,en faible quantité,11 g,en quantité modérée,0.08 g,en faible quantité,,,,,,2,,B,,,['Bretagne'],,,"['Œufs', 'Gluten', 'Lait']",,https://www.toutfeu-toutfrais.com/hermine-de-farz-blanc-pieces-xml-356_359-7135.html,
218,Chocolade muesli,8719497705467,,['France'],[],[],?,465,1946 kj(465 kcal),16,"8,1",72,25,"5,8","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,12255207,12255207,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,sardines a la camarguaise - société Ferrigno - poids net 115g. Poids de poisson 65g,07242588,,['France'],"['sardines 70%', ' huile de tournesol', ' chorizo 8,5% ', 'viande et gras de porc', 'sel', 'dextrose', 'piment doux', 'epices et plantes aromatiques', 'arômes naturels', 'stabilisants: diphosphates', 'triphosphates', 'acide ascorbique', 'erythorbate de sodium', ' conservateurs:  nitrate de potassium', 'colorant: carmin', 'ferments', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,222,929 kj(222 kcal),13,"3,3","0,5","0,5",26,"0,85","0,34",['boite metallique'],,poids net 115g. Poids de poisson 65g,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,+4%,-7%,-39%,+29%,,,,,,,,['société Ferrigno'],,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",4,13 g,en quantité modérée,3.3 g,en quantité modérée,0.5 g,en faible quantité,0.85 g,en quantité modérée,+5%,+17%,+25%,-15%,-15%,3,-31%,C,-31%,,['port saint louis du rhône'],,,['Poisson'],['Zone de pêche: océan atlantique'],,
221,Dauphinois au chorizo et piment - Tout feu tout frais - 380g,3700520500635,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Pomme de terre', 'crème ', 'crème ', 'LAIT', 'ferments lactiques', 'chorizo espagnol ', '10%', ' ', 'maigre et poitrine de porc origine UE', 'piment', 'sel', 'ail', 'emmental râpé ', 'LAIT', 'LAIT', 'sel', 'farine de blé ', 'GLUTEN', 'huile de colza', 'poivre', 'piment de Cayenne']",['Non végétalien'],?,139,582 kj(139 kcal),"8,4","4,8",10,0,"4,5","0,78","0,312","['Frais', 'Barquette']",,380g,"['Plats préparés', 'Gratins', 'Dauphinois']",,+8%,+21%,+1%,-6%,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,4,8.4 g,en quantité modérée,4.8 g,en quantité modérée,0 g,en faible quantité,0.78 g,en quantité modérée,+10%,+24%,-100%,+10%,+10%,4,-6%,C,-6%,,['Bretagne'],,,"['Gluten', 'Lait']",,https://www.toutfeu-toutfrais.com/dauphinois-au-chorizo-part-xml-356_359-7529.html,
222,Parmentier poisson plaisir quotidien - Fleury Michon,3302740920103,,['France'],[],[],?,354,1481 kj(354 kcal),17,"8,4",30,"6,6",20,2,"0,8",,,,,,,,,,,,,,,,,['Fleury Michon'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Pommes de terre à la Sarladaise - Tout feu tout frais - 250g,3700520501328,"['en:gluten-free', 'Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Pommes de terre', 'graisse de canard', 'huile de colza', 'persil', 'sel', 'ail', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",775,?,775 kj(185 kcal),12,"2,7",15,0,"2,2","0,88","0,352","['Frais', 'Barquette']",A,250g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Pommes de terre']",+88%,,+474%,-15%,+8%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,3,12 g,en quantité modérée,2.7 g,en quantité modérée,0 g,en faible quantité,0.88 g,en quantité modérée,+89%,+692%,-100%,+307%,+307%,-1,,A,,,['Bretagne'],,,,,https://www.toutfeu-toutfrais.com/pommes-de-terre-la-sarladaise-parts-xml-356_359-7525.html,
224,Tartinable au thon (50%) - Tout feu tout frais - 500g,3700520502479,"['en:gluten-free', 'Sans arômes artificiels', 'Sans arômes ajoutés']",['France'],"['THON naturel 50 % ', ""Ori : Madagascar/Côte D'ivoire"", ' ', 'THON Albacore', 'eau', 'sel', 'mayonnaise [huile de colza', 'eau', 'MOUTARDE de Dijon ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'antioxygène : disulfite de potassium ', 'SULFITES', ""jaune d'OEUF"", ""vinaigre d'alcool"", 'sel', 'saccharose', 'épaississants : gomme de guar ', 'E412', ' - gomme xanthane ', 'E415', ' amidon modifié de pommes de terre ', 'E1414', ']', 'sauce coleslaw [huile de colza', 'eau', 'vinaigre', 'sucre', 'fromage blanc ', '10 %', 'LAIT', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', 'vinaigre', 'sel', 'conservateur : ', ""jaune d'OEUF"", 'sel', 'épaississants : gomme guar - gomme xanthane', 'colorant : lutéine]', 'MOUTARDE[eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'persil']","['Non végétalien', 'Non végétarien']",1605,?,1605 kj(384 kcal),36,"2,8","2,7","1,2",14,"0,95","0,38","['Frais', 'Barquette']",,500g,"['Snacks', 'Snacks salés', 'Produits à tartiner', 'Apéritif']",-19%,,+49%,-95%,+83%,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E1414 - Phosphate de diamidon acétylé', 'E161b - Lutéine']",4,36 g,en quantité élevée,2.8 g,en quantité modérée,1.2 g,en faible quantité,0.95 g,en quantité modérée,-18%,-32%,-61%,-39%,-39%,5,-61%,C,-61%,,['Bretagne'],,,"['Œufs', 'Poisson', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",,http://www.bredial.com,
225,Tartinable au surimi (45%) - Tout feu tout frais - 500g,3700520502493,['Sans arômes artificiels'],['France'],"['Surimi 45 % [eau', 'SURIMI ', '38 %', ' ', 'chair de POISSON', 'sucre', 'amidons ', 'BLE', ""blanc d'OEUF en poudre réhydraté"", 'huile de colza', 'sel', 'arôme naturel ', 'contient CRUSTACES', 'colorant : extrait de paprika]', 'mayonnaise [huile de colza', 'eau', 'MOUTARDE de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'antioxygène : disulfite de potassium ', 'SULFITES', ""jaune d'OEUF"", ""vinaigre d'alcool"", 'sel', 'saccharose', 'épaississants : gomme de guar ', 'E412', ' - gomme xanthane ', 'E415', ' - amidon modifié de pommes de terre ', 'E1414', ']', 'sauce coleslaw [huile de colza', 'eau', 'vinaigre', 'sucre', 'fromage blanc ', '10 %', ' ', 'LAIT', ',MOUTARDE ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium ', ""jaune d'OEUF"", 'sel', 'épaississants : gomme guar - gomme xanthane', 'colorant : lutéine]', 'ketchup [tomates', 'vinaigre', 'sucre', ""sel extraits d'épices et d'herbes "", 'dont CELERI', ']']","['Non végétalien', 'Non végétarien']",1396,?,1396 kj(334 kcal),31,"2,4",10,"4,2",46,"1,5","0,6","['Frais', 'Barquette']",,500g,"['Snacks', 'Snacks salés', 'Produits à tartiner', 'Apéritif']",-29%,,+29%,-81%,+502%,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']","['E160c - Extrait de paprika', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine']",4,31 g,en quantité élevée,2.4 g,en quantité modérée,4.2 g,en faible quantité,1.5 g,en quantité modérée,-29%,-41%,+35%,-4%,-4%,12,-6%,D,-6%,,['Bretagne'],,,"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",,http://www.bredial.com,
226,2 tomates farcies - Tout feu tout frais - 400g,3760039503091,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Tomate', ' Farce : viande de boeuf haché ', 'origine FR', 'farine de froment ', 'GLUTEN', 'oignon', 'beurre ', 'LAIT', 'fond de veau ', 'viande et jus de cuisson de veau', 'sel', 'fond de boeuf [viande de boeuf ', '36%', ' et jus de cuisson de de viande de boeuf', 'sel]', 'bouquet de légumes [légumes ', '65%', ' et jus de cuisson de légumes ', 'carotte', 'poireau', 'oignon', 'ail', 'extrait de vin blanc', 'sel', 'huile de tournesol', ""extraits d'épices "", 'thym', 'laurier', 'girofle', ']', 'persil', 'poivre', ' Chapelure : farine de blé ', 'GLUTEN', 'huile de colza', 'eau', 'sucre', 'levure et levain', 'sel', 'GLUTEN de blé', 'céréales moulues ', 'GLUTEN', ' ', 'seigle', 'avoine', 'blé', 'épeautre', 'orge', 'riz', 'sarrasin', 'farine de fève', 'vinaigre', 'dextrose de blé', 'graines moulues ', 'tournesol', 'lin', 'millet', 'pavot', 'amarante', 'quinoa']","['Non végétalien', 'Non végétarien']",402,?,402 kj(96 kcal),"6,3","3,2","4,2","1,6",5,"0,26","0,104","['Frais', 'Barquette']",D,400g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Viandes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Préparations de viande', 'Légumes préparés', 'Tomates farcies']",-1%,,-21%,-15%,-13%,73.7%,16.5%,4.4%,2.9%,1.5%,1.0%,46,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,4,6.3 g,en quantité modérée,3.2 g,en quantité modérée,1.6 g,en faible quantité,0.26 g,en faible quantité,-20%,+12%,-16%,-63%,-63%,-4,,A,,,['Bretagne'],,,"['Gluten', 'Lait', 'Avoine']",,http://www.bredial.com,
227,Tomates confites à l'ail français - Tout feu tout frais - 300g,3700520501120,"['Sans additifs', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs']",['France'],"['Tomate séchée 74', '8 %', ""huile d'olive"", 'huile de colza', 'sel', 'sucre', 'thym', 'ail', 'poivre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",790,?,790 kj(189 kcal),16,"1,7",8,8,"2,3","1,1","0,44","['Frais', 'Barquette']",,300g,['Tomates confites'],,,,,,,,,,,,,"['Tout feu tout frais', 'Brédial']","['FR 29.160.020 CE', 'Plabennec (Finistère, France)']",,3,16 g,en quantité modérée,1.7 g,en quantité modérée,8 g,en quantité modérée,1.1 g,en quantité modérée,,,,,,0,,B,,,['Bretagne'],,,,,http://www.bredial.com,
228,Confiture Fraises/Groseilles,3436530006859,,['France'],[],[],?,280,1172 kj(280 kcal),"0,5","0,5",61,61,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Tartinable au surimi et gressins à picorer - Tout feu tout frais - 270g,3700520501823,,['France'],"['Tartinable au surimi 74 % : Surimi 45 %* [eau', 'SURIMI ', '38 %', ' ', 'chair de POISSON', 'sucre', 'amidons ', 'BLE', ""blanc d'OEUF en poudre réhydraté"", 'huile de colza', 'sel', 'arôme naturel ', 'contient CRUSTACES', 'colorant : extrait de paprika]', 'mayonnaise [huile de colza', 'eau', 'MOUTARDE de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'antioxygène : E224 ', 'SULFITES', ""jaune d'OEUF"", ""vinaigre d'alcool"", 'sel', 'sucre', 'épaississants : gomme de guar ', 'E412', ' - gomme xanthane ', 'E415', ' - amidon modifié de pommes de terre ', 'E1414', ']', 'sauce coleslaw [huile de colza', 'eau', 'vinaigre', 'sucre', 'fromage blanc ', '10 %', ' ', 'LAIT', 'MOUTARDE ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'conservateur : sulfite acide de sodium ', ""jaune d'OEUF"", 'sel', 'épaississants : gomme guar - gomme xanthane', 'colorant : lutéine]', 'ketchup [tomates', 'vinaigre', 'sucre', 'sel', ""extraits d'épices et d'herbes "", 'dont CELERI', ']', ' Gressins 26% : Farine de blé ', 'GLUTEN', ""huile d'olive"", 'sel marin', 'levure ', 'Saccharomyces cerevisiae', 'farine de froment malté ', 'GLUTEN', ' * Pourcentage exprimé sur la portion', ' *Pourcentage exprimé sur la portion']","['Non végétalien', 'Non végétarien']",1518,?,1518 kj(363 kcal),"26,3","2,2","25,5","3,7","6,3","1,7","0,68","['Frais', 'Barquette', 'Assiette']",B,270g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Pains', 'Gressins', 'Assiette apéritive']",-15%,,+144%,-62%,-45%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,"['Tout feu tout frais', 'Brédial']",,"['E160c - Extrait de paprika', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E1414 - Phosphate de diamidon acétylé', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine']",4,26.3 g,en quantité élevée,2.2 g,en quantité modérée,3.7 g,en faible quantité,1.7 g,en quantité élevée,-14%,-3%,+48%,-11%,-11%,13,+2%,D,+2%,,['Bretagne'],,,"['Céleri', 'Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",,http://www.bredial.com,
