,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
10,Chair à saucisse,0208286022635,,['France'],[],[],?,249,1042 kj(249 kcal),"20,6","7,2","0,3","0,3","15,6","1,85","0,74",,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",,-6%,-9%,-74%,+17%,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,20.6 g,en quantité élevée,7.2 g,en quantité élevée,0.3 g,en faible quantité,1.85 g,en quantité élevée,-5%,-16%,-53%,+11%,+11%,18,+2%,D,+2%,,,,,,,,
11,Entremet décongelé citron liégeois x 2 - Les gâteaux d'Honorine - 150g,0202866025580,,['France'],"[""blanc d'ŒUF sucre "", ""blanc d'ŒUF"", 'sucre', 'épaississant E412', ' sucre', 'chocolat blanc 9,35% ', 'sucre ', 'poudre de LAIT entier', 'beurre de cacao', 'émulsifiant lécithine de SOJA', 'arôme naturel de vanille', 'mascarpone 7,84% ', 'CRÈME', 'correcteur d’acidité: E330', 'ŒUF entier', 'sucre ', 'dont amidon de maïs', 'jus de citron de Sicile 5,40%', 'CRÈME UHT ', 'CRÈME', 'stabilisant E407', ""préparation sucrée à base d'huile végétale "", 'eau', 'huile végétale de palme et palmiste', 'sucre', 'glucose LAIT écrémé en poudre', 'stabilisants', 'E420', 'E466', 'protéines de LAIT', 'émulsifiants ', 'E472b', 'lécithine de SOJA', 'E471', 'sel', 'correcteurs d’acidité', 'E340', 'E331', ""arômes poudre d'AMANDE 4"", '95%', 'huile de tournesol', 'eau', 'bnsures de crêpe dentelle 3', '46% ', 'farine de BLÉ', 'sucre', 'BEURRE concentré', 'huile de tournesol LAIT écrémé en poudre', ""malt d'ORGE"", 'sel', 'zeste de citron 2,75%', 'farine de BLÉ', 'BEURRE poudre de LAIT entier', 'préparation gélifiante ', 'sucre', 'gélatine bovine', 'amidon de pomme de terre et ou maïs', 'épaississants E415', 'E412', ""jaune d'OEUF"", 'sirop de glucose', "" Sirop de sucre inverti poudre de blanc d'OEUF "", 'Correcteur d’acidité', ' E330', ' agent moussant: E1505', 'colorant E100', 'préparation gélifiante ', 'gélifiant E440i', 'stabilisants E450', 'E341M', 'dextrose de mais', 'colorant E160a']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1300,?,1300 kj(311 kcal),"15,95","6,44","35,87","31,161","5,54","0,212","0,085",['Plastique'],,150 g,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries']",-18%,,-5%,-25%,+3%,,,,,,,,"[""Les gâteaux d'Honorine""]",,"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E420 - Sorbitol', 'E466 - Carboxyméthylcellulose', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E428 - Gélatine', 'E415 - Gomme xanthane', 'E1505 - Citrate de triéthyle', 'E100 - Curcumine', 'E440i - Pectine non amidée', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",4,15.9 g,en quantité modérée,6.44 g,en quantité élevée,31.2 g,en quantité élevée,0.212 g,en faible quantité,-17%,-21%,+6%,-49%,-49%,16,-6%,D,-6%,Entremet citron liégeois,['22250 BROONS'],['Carrefour'],['Huile de palme'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'CRÈME UHT']",,,
12,Muffin's fruits du jardin,2071487000003,,['France'],[],[],?,360,1506 kj(360 kcal),17,"2,1",45,22,6,"0,35","0,14",,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",,-2%,-2%,-6%,+22%,,,,,,,,,,,,17 g,en quantité modérée,2.1 g,en quantité modérée,22 g,en quantité élevée,0.35 g,en quantité modérée,-3%,-22%,-15%,-47%,-47%,11,-19%,D,-19%,,,,,,,,
13,Mélange épices viande,7610800997207,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,['Paquet'],B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Olio extravergine di oliva,8013473000455,,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","14,9",0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'it:Olio extravergine di oliva']",,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,91.6 g,en quantité élevée,14.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,+6%,,-100%,-100%,7,+14%,C,+14%,,,,,,,,
15,Confiture de Rose,3800740024161,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confits de fleurs', 'Confits de roses']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Spargelstangen - 395g,4337185269677,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,['Glas'],,395 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Baguette viennoise,3826820000146,,['France'],[],[],?,329,1377 kj(329 kcal),"5,8","3,3",56,"7,9",11,"1,4","0,56",,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains briochés']",,+1%,-37%,+10%,+30%,,,,,,,,,,,,5.8 g,en quantité modérée,3.3 g,en quantité modérée,7.9 g,en quantité modérée,1.4 g,en quantité modérée,+1%,+1%,-25%,+37%,+37%,14,+50%,D,+50%,,,,,,,,
18,Assort. mini viennois les 3 meuniers,2071102000005,,['France'],[],[],?,1427,5971 kj(1427 kcal),19,12,37,11,"5,5","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Galettes bretonnes beurre salé,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Noix de pécan,2600161033060,,['France'],[],[],?,760,3180 kj(760 kcal),72,"6,2","13,9",4,"9,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yaourt Et Pomme - Biochamps - 2 * 125g,3375610000427,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,B,2 * 125 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la pomme']",,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Biochamps'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Lomo,2200197024539,,['France'],[],[],?,124,519 kj(124 kcal),"5,1",2,"1,5","0,4","18,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
