,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,producer_info,manufacturing,traceability_code,allergens,link,origin_detail,palm_ingredients,brand_owner
53,Oasis Pêche Abricot - 2L,3124480159366,C,Boisson rafraîchissante aux fruits (12%) et à l'eau de source,2L,"['Bouteile', 'Plastique']",['Oasis'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",,"['Cora', 'Magasins U']","['France', 'La Réunion']","['Eau de source 80%', 'jus de fruits à base de concentrés 12% ', 'pomme', 'pêche 3%', 'abricot 3%', 'sucre', 'acidifiant : acide citrique', ""stabilisant : gomme d'acacia"", 'arômes naturels', 'antioxydant : acide ascorbique', 'huile de palme', 'colorants : acide carminique', 'lutéine']","['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E300 - Acide ascorbique', 'E120 - Acide carminique', 'E161b - Lutéine']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,8.3 g,en quantité élevée,0 g,en faible quantité,?,,36,-58%,151 kj(36 kcal),-59%,0,-100%,0,-100%,"8,6",-57%,"8,3",-55%,0,-100%,0,-100%,0,-100%,12,+1%,E,+1%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,['Huile de palme'],
54,Lay's - Saveur Barbecue - 200g ℮,3168930009818,B,Chips de pommes de terre saveur Barbecue,200 g ℮,"['sachet', 'plastique', 'Pensez au tri!', 'Point vert', 'Sachet plastique à jeter', 'Atmosphère protectrice', 'Sachet plastique de 70g', 'Sachet en plastique']","[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue', ""Chips de pommes de terre à l'huile de tournesol""]","['Sans colorants artificiels', 'Sans huile de palme', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C']",['LIDL'],['France'],"['Pommes de terre 61%', 'huiles végétales ', 'tournesol', 'colza en proportion variable', 'base aromatisante barbecue [sucre', 'arôme ', 'dont soja', 'chapelure ', 'de blé', 'exhausteur de goût ', 'glutamate de sodium', 'paprika', ""poudre d'oignon"", 'poudre de tomate', ""poudre d'ail"", ""correcteurs d'acidité "", 'acide citrique', 'acide malique', 'colorant ', 'extrait de paprika', 'arômes de fumée]', 'sel']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E160c - Extrait de paprika']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,32 g,en quantité élevée,2.6 g,en quantité modérée,2.8 g,en faible quantité,1.3 g,en quantité modérée,?,,532,+1%,2226 kj(532 kcal),+1%,32,+1%,"2,6",-9%,52,+1%,"2,8",-5%,"6,4",+3%,"1,3",-5%,"0,52",-5%,9,-20%,C,-20%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Pommes de terre de Belgique - Allemagne ou France'],,,,"['Gluten', 'Soja']",,,,
55,SS GLUT MADELEINES - Gerblé - 200g,3175681054158,B,Madeleines sans gluten adaptées aux personnes intolérantes au gluten,200 g,"['Sachet', 'Plastique']",['Gerblé'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Produits sans gluten', 'Madeleines']","['en:gluten-free', 'Sans lactose', 'en:palm-oil-free']",['Magasins U'],['France'],"['Œufs 28,8%,huile de colza', 'fécule de pomme de terre', 'farine de riz 13,3%', 'sucre', 'dextrose', 'humectant : glycérol', 'sirop de glucose', 'fibres de chicorée : inuline', 'arômes', 'épaississant : gomme guar', 'amidon de riz', 'émulsifiant : lécithines de colza', 'poudres à lever : acide citrique et carbonates de sodium', 'sel', 'alcool éthylique']","['E422 - Glycérol', 'E412 - Gomme de guar', 'E322i - Lécithine', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E1510 - Éthanol']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,22 g,en quantité élevée,2.2 g,en quantité modérée,21 g,en quantité élevée,0.64 g,en quantité modérée,1821,+56%,411,+36%,1821 kj(411 kcal),+46%,22,+330%,"2,2",+98%,49,-3%,21,+642%,"4,6",-42%,"0,64",-1%,"0,256",-1%,9,+609%,C,+609%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,['Union européenne'],,['France'],,['Œufs'],http://www.gerble-sans-gluten.com,,,
56,Muesli Chocolat 3 Céréales & 3 Graines - GAYELORD HAUSER DIETETICIEN - 375g,3229820793825,B,,375 g,"['Plastique', 'Sachet', 'Pochon']",['GAYELORD HAUSER DIETETICIEN'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Céréales au chocolat', 'Mueslis au chocolat', 'Pétales multicéréales']","['Peu ou pas de matière grasse', 'Peu ou pas de sucre', 'Peu de matière grasse', 'Peu de sucre', 'Allégé en matière grasse', 'Allégé en sucre', 'Source de fer', 'Sans édulcorants', 'Source de magnésium']",['Magasins U'],['France'],"[""Flocons d'avoine 40%"", ""flocons d'épeautre 25%"", ""flocons d'orge 16,5%"", 'pépites de chocolat noir 9% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'matière grasse laitière', 'cacao maigre en poudre', 'émulsifiant : lécithines ', 'soja', ' ', ' éclats de fèves de cacao torréfiées 4,5%', 'graines de tournesol 2%', 'graines de sésame 1,5%', 'graines de sarrasin 1,5%']",['E322 - Lécithines'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,11 g,en quantité modérée,4.1 g,en quantité modérée,5.1 g,en quantité modérée,0.01 g,en faible quantité,?,,391,-12%,1636 kj(391 kcal),-12%,11,-31%,"4,1",-21%,56,-9%,"5,1",-73%,12,+29%,"0,01",-96%,"0,004",-96%,-1,-111%,A,-111%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,"['Gluten', 'Lait', 'Avoine', 'Graines de sésame', 'Soja']",http://www.gayelord-hauser.fr/produits/petit-dejeuner/mueslis/muesli-vitalite-chocolat-graines-2/#nos-produits,,,
57,Cancoillotte fabriquée en Franche-Comté - Reflets de France - 250g,3245390032034,D,Spécialité fromagère fondue,250 g,"['boite plastique', 'Frais']",['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,['Intermarché'],['France'],"['Eau', 'metton lactique ', 'lait écrémé pasteurisé de vache', 'ferments lactiques', 'beurre', 'sels de fonte : phosphates de sodium', 'sel']",,['Non végétalien'],3,8 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,138,-9%,577 kj(138 kcal),-9%,8,-21%,"4,4",-34%,"0,5",-28%,"0,5",+43%,16,+10%,"1,8",+29%,"0,72",+29%,7,-11%,C,-11%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,"['Franche-Comté', 'France.']","['FR 25.156.001 CE', 'Clerval (Doubs, France)']",['Lait'],https://www.refletsdefrance.fr/produits/fromagerie-et-saveurs-du-terroir/au-lait-de-vache/cancoillotte-fabriquee-en-franche-0,,,
58,Coquillettes au Jambon et au Fromage - Marie - 280g,3248832967277,,Plat préparé à réchauffer au micro-ondes,280 g,"['Frais', 'Carton', 'Frais', 'Barquette et film plastique à jeter']",['Marie'],"['Plats préparés', 'Frais', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats préparés frais', 'Plats au porc', 'Plats préparés à réchauffer au micro-ondes', 'Coquillettes jambon-fromage']","['Viande Française', 'Experimentation Etiquetage Nutritionnel 2016', 'Cuisiné en France', 'Viande Porcine Française', 'Sans additifs', 'Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore B', 'Nutriscore B', 'Porc - Né-élevé-préparé en France', 'Recette sans additif ajouté']","['Franprix', 'Casino', 'Magasins U']",['France'],"['Coquillettes cuites 57,8% ', 'eau', 'semoule de blé dur', 'huile de colza', 'eau', 'jambon supérieur fumé 11,8% ', 'jambon de porc origine France', 'sel', 'arômes naturels*', 'antioxydant : acide ascorbique', 'emmental 7,1%', 'crème fraîche 5,8%', 'huile de colza', 'farine de blé', 'sel', 'poivre', 'curcuma', 'muscade', ""*Contient naturellement des polyphénols qui contribuent à la préservation de l'oxydation"", 'Pâtes : origine Italie', ' Emmental : origine France']",['E300 - Acide ascorbique'],['Non végétalien'],3,7.7 g,en quantité modérée,3 g,en quantité modérée,1 g,en faible quantité,0.61 g,en quantité modérée,687,-8%,164,-10%,687 kj(164 kcal),-10%,"7,7",-15%,3,+0%,16,+9%,1,-47%,"7,3",-12%,"0,61",-47%,"0,244",-47%,2,-66%,B,-66%,,,,,,,,['France'],MARIE Briec,['France'],"['EMB 29020F', 'Briec (Finistère, France)', 'FR 29.020.020 CE', 'Briec (Finistère, France)']","['Gluten', 'Lait']",https://www.marie.fr/plats-prepares/plats-cuisines/individuels/pates-cuisinees/coquillettes-au-jambon-et-au-fromage/7,,,
59,Sirop Grenadine - Paquito - 750ml,3250390001522,A,Sirop de grenadine,750 ml,"['Bouteille', 'Acier 40 (FE)', 'Bouchon', 'Plastique']",['Paquito'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine', 'Boissons avec sucre ajouté']","['Point Vert', 'Eco-Emballages']","['Banque alimentaire', 'Intermarché']","['Belgique', 'France']","['Sucre', 'eau', 'jus de fruits rouges à base de concentrés 8% ', 'framboise', 'sureau', 'cassis groseille', 'jus de citron à base de concentré 3%', 'acidifiant : acide citrique', 'arôme']",['E330 - Acide citrique'],[],4,2 g,en faible quantité,0.4 g,en faible quantité,73.6 g,en quantité élevée,0.04 g,en faible quantité,1259,+1%,296,+25%,1259 kj(296 kcal),+17%,"< 0,5",+350%,"< 0,1",+241%,"73,5",+21%,"73,5",+25%,"< 0,5",+367%,"< 0,01",-59%,"0,004",-59%,20,,E,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,"[""Antartic ASA [Filiale ITM Entreprises (Groupement Les Mouquetaires)] - Rue des Genêts - ZI des Genêts - 45110 Saint-Martin-d'Abbat"", 'Loiret', 'Centre-Val de Loire', 'France']","['EMB 45290', ""Saint-Martin-d'Abbat (Loiret, France)""]",,,,,
60,L'envoûtant chocolat noir 70% - Ivoria - 100g,3250390102625,D,Chocolat noir de dégustation,100 g,"['Carton', 'étui aluminium']","['Ivoria', 'Les Créations']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Labels de distributeurs', 'Sélection Intermarché']",['Intermarché'],['France'],"['Pâte de cacao', 'sucre', 'beurre de cacao', 'vanille Bourbon naturelle en poudre', ' Cacao: 70% minimum']",,[],3,40.5 g,en quantité élevée,26 g,en quantité élevée,26.5 g,en quantité élevée,0.01 g,en faible quantité,?,,566,+2%,2368 kj(566 kcal),+2%,"40,5",+3%,26,+13%,"35,6",-8%,"26,5",-16%,"9,1",+19%,"0,01",-79%,"0,004",-79%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Allemagne', 'Cologne']",,,,"['Gluten', 'Lait', 'Fruits à coque', 'Avoine']",,,,
61,Bâtonnets de surimi - Odyssée - 500g,3250390859963,B,Préparation à base de chair de poisson saveur crabe. 30 Bâtonnets de Surimi,500 g,"['Boîte', 'Plastique', 'Frais', 'Film en plastique']",['Odyssée'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi']","['Labels de distributeurs', 'Sans polyphosphates', 'Point Vert', 'Riche en protéines', 'Nutriscore', 'Nutriscore C', 'Nutriscore E', 'Sélection Intermarché']",['Intermarché'],['France'],"['eau chair de poisson 35% ', 'amidon ', 'dont blé', "" blanc d'oeuf rehydrate huile de colza sucre sel arome crabe minoritaire de sodium extrait de paprika""]",,[],3,5 g,en quantité modérée,0.5 g,en faible quantité,3.3 g,en faible quantité,1.7 g,en quantité élevée,519,+4%,124,+4%,519 kj(124 kcal),+4%,5,+6%,"0,5",-23%,12,+5%,"3,3",+15%,"7,4",-1%,"1,7",-1%,"0,68",-1%,4,-9%,C,-9%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,"['FR 29.031.500 CE', 'Clohars-Carnoët (Finistère, France)']","['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Moutarde', 'Soja']",,,,
62,Fromage Naturais - Pâturages - 300g,3250391800025,B,Spécialité fromagère au lait pasteurisé,300 g,"['Barquette', 'Plastique']","['Pâturages', 'Sélection Intermarché']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages pasteurisés', 'Fromages à tartiner']",['en:lait-francais-french-milk'],['Intermarché'],['France'],"['Fomage au lait * pasteurisé', 'poudre de lait * écrémé', 'sel', ""correcteur d'acidité : acide lactique"", ' * Lait origine France Fabriqué dans un atelier utilisant du lait de chèvre']",['E270 - Acide lactique'],['Non végétalien'],3,19 g,en quantité modérée,13.9 g,en quantité élevée,4 g,en faible quantité,1 g,en quantité modérée,876,-17%,209,-10%,876 kj(209 kcal),-11%,19,-9%,"13,9",-1%,4,+19%,4,+35%,"6,2",-26%,1,-15%,"0,4",-15%,13,+8%,D,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['France'],,['France'],"['FR 49.373.001 CE', 'Vihiers (Maine-et-Loire, France)', 'EMB 49373B', 'Vihiers (Maine-et-Loire, France)']","['Lait', 'Fruits à coque']",,,,
63,Galettes pur beurre bio - U - 125g,3256220280204,C,,125 g,"['Carton', 'Sachet', 'Plastique', 'paquet']",['U'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'en:FSC', 'Transformé en France']",['Magasins U'],['France'],"['Farine de BLE*', 'BEURRE* 25,5%', 'sucre de canne*', 'OEUFS en poudre*', 'sel marin', 'arôme naturel de vanille', ""poudre à lever : carbonates d'ammonium"", 'LAIT ÉCRÉMÉ en poudre*', ' Traces éventuelles de fruits à coque', 'de soja', ""de graines de sésame et d'arachide"", "" *ingrédient issu de l'agriculture biologique""]","[""E503 - Carbonates d'ammonium""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,21 g,en quantité élevée,14 g,en quantité élevée,25 g,en quantité élevée,0.58 g,en quantité modérée,2058,+3%,491,+4%,2058 kj(491 kcal),+3%,21,+1%,14,+39%,68,+6%,25,-15%,"6,5",0%,"0,58",-2%,"0,232",-2%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,"['Œufs', 'Gluten', 'Lait']",,,,
64,Cookies quinoa pépites chocolat - U Bio - 175g,3256220368223,C,,175 g,"['Carton', 'paquet']","['U Bio', 'U']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free', 'Transformé en France']","['Magasins U', 'Super U']",['France'],"['Farine de BLE*', 'pépites de chocolat* 21% ', 'pâte de cacao*', 'sucre*', 'beurre de cacao*', 'émulsifiant : lécithines de tournesol', 'extrait de vanille*', 'sucre de canne*', 'huile de colza*', 'billettes de quinoa* 5% ', 'quinoa*2', '5%', 'riz*', 'farine de quinoa* 3%', 'OEUFS en poudre*', 'émulsifiant : lécithines de tournesol', ""poudre à lever : carbonates d'ammonium"", 'sel', 'arôme naturel de vanille', 'poudre de LAIT ÉCRÉMÉ*', "" Traces éventuelles d'arachide"", 'de fruits à coque', 'de graines de sésame et de soja', "" *ingrédient issu de l'agriculture biologique""]","['E322i - Lécithine', ""E503 - Carbonates d'ammonium""]","['Sans huile de palme', 'Non végétalien']",4,24 g,en quantité élevée,5.9 g,en quantité élevée,30 g,en quantité élevée,0.43 g,en quantité modérée,2048,-1%,489,-1%,2048 kj(489 kcal),-1%,24,+3%,"5,9",-50%,59,-5%,30,-8%,"7,6",+16%,"0,43",-22%,"0,172",-22%,15,-30%,D,-30%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,"['Œufs', 'Gluten', 'Lait']",,,,
65,Crackers bio emmental et graines de courge - U Bio - 200g,3256224352471,B,Biscuits salés croustillants au fromage et graines de courge issus de l'agriculture biologique,200 g,"['Sachet', 'Plastique', 'paquet']","['U Bio', 'U']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Crackers emmental graines de courge']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Point Vert']","['Super U', 'Magasins U']",['France'],"['Farine de BLÉ complet*', 'EMMENTAL* 12', '4%', 'graines de courges* 9', '4%', ""huile d'olive vierge extra*"", ""flocons d'AVOINE*"", 'graines de tournesol*', 'graines de lin*', 'GRAINES DE SÉSAME*', 'sel de mer', 'farine de BLÉ*', 'amidon de pomme de terre*', 'levure', ""MALT D'ORGE*"", 'agent de traitement de la farine : acide ascorbique et farine de MALT de BLÉ*', ' Présence éventuelles de lait', "" *ingrédient issu de l'agriculture biologique""]",['E300 - Acide ascorbique'],['Non végétalien'],3,18 g,en quantité modérée,5.5 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,1878,,449,-0%,1878 kj(449 kcal),-0%,18,+2%,"5,5",+7%,46,+6%,"0,5",-61%,20,+11%,"1,8",+3%,"0,72",+3%,12,-10%,D,-10%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,"['Gluten', 'Lait', 'Avoine', 'Graines de sésame', 'SAME']",,,,
66,Galette de mais - U Bio - 150g,3256226080853,B,Galettes de maïs issues de l'agriculture biologique,150 g,"['Sachet', 'Plastique', 'paquet', 'Sachet en plastique']","['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Crêpes et galettes', 'Galettes de céréales soufflées', 'Galettes', 'Galettes de maïs soufflé']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']","['SuperU', 'Magasins U', 'Super U']",['France'],"['Maïs* 99,5%', 'sel', ' Traces éventuelles de soja', 'lupin', 'gluten', "" *ingrédient issu de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.9 g,en faible quantité,1.3 g,en faible quantité,0.6 g,en faible quantité,0.54 g,en quantité modérée,1607,-4%,380,-4%,1607 kj(380 kcal),-3%,"2,9",-28%,"1,3",+62%,77,-3%,"0,6",-65%,"8,8",+14%,"0,54",+26%,"0,216",+26%,-3,-301%,A,-301%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,
67,Sardines huile olive v.e. Label Rge 135g Cble - Connétable - 135g (102g),3263670016628,D,Sardines à l'ancienne à l'huile d'olive vierge extra,135 g (102 g),"['Boîte', 'Conserve', 'Métal', 'Couvercle ouverture facile']",['Connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", ""Sardines à l'ancienne"", 'Produits-labellises']","['Qualité France', 'Label Rouge', 'Pêché à la bolinche', 'Poissons-bleus-de-bretagne', 'Preparation-traditionnelle', 'Sardines-de-fraicheur-extra']","['Auchan', 'Magasins U']",['France'],"['Sardines fraîches extra ', '80 %', ""huile d'olive vierge extra"", 'sel']",,[],3,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,929,-5%,223,-6%,929 kj(223 kcal),-4%,15,-9%,"3,3",-11%,0,-100%,0,-100%,22,+3%,1,+8%,"0,4",+8%,4,-16%,C,-16%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Bateau : Margritic'],,"['Conserverie Chancerelle - 1 Boulevard Jean Richepin - 29100 Douarnenez', 'Finistère', 'Bretagne', 'France']","['FR 29.046.504 CE', 'Douarnenez (Finistère, France)']",,http://www.connetable.com/fr/produits/sardines-enti%C3%A8res/sardines-%C3%A0-lancienne-label-rouge-%C3%A0-lhuile-dolive-vierge-extra,,,
68,Fromage frais 20% nature - Malo - 400g (4x 100g),3278691190011,C,Fromage frais 3.2% de MG sur produit fini,400 g (4 x 100 g),"['Plastique', 'Pot individuel', 'Opercule', 'Aluminium', 'pot']",['Malo'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages blancs']","['Point Vert', 'en:produced-in-bretagne']","['Carrefour', 'Magasins U']",['France'],"['Lait écrémé pasteurisé', 'lait entier pasteurisé', 'conservateur : sorbate de potassium', 'présure', 'ferments lactiques']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,2.8 g,en faible quantité,1.9 g,en quantité modérée,3.3 g,en faible quantité,0.08 g,en faible quantité,?,,66,-27%,276 kj(66 kcal),-27%,"2,8",-31%,"1,9",-27%,"3,9",-40%,"3,3",-45%,"6,2",-4%,"0,08",-25%,"0,032",-25%,-2,-797%,A,-797%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Lait : France'],,"['France', 'Bretagne']","['FR 35.288.001 CE', 'Saint-Malo (Ille-et-Vilaine, France)']",['Lait'],http://www.malo.fr/fr/decouvrez-nos-saveurs/fromage-frais/33-fromage-frais-nature-20,,,
69,Trio de lentilles à la moutarde à l'ancienne - Végétal - Pierre Martinet - 250g,3281780890006,B,,250 g,"['Barquette', 'Plastique', 'Carton']",['Pierre Martinet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Salades', 'Salades composées', 'Lentilles', 'Salades de lentilles', 'Lentilles préparées']","['Végétarien', 'Végétalien', 'Sans conservateurs']",,['France'],"['lentilles vertes 27 % ', 'eau', 'lentilles vertes', 'sel', 'lentilles noires beluga 22 % ', 'eau', 'lentilles noires belugas', 'lentilles corail 15 % ', 'lentilles corail', 'eau', 'maïs doux 7,9 %', 'eau', 'huile de colza', 'jus de citron à base de concentré', ""moutarde à l'ancienne 1,9 %"", 'eau', ""vinaigre d'alcool"", 'graines de moutarde', 'téguments de graines de moutarde', 'sel', 'curcuma', 'échalotes', 'épices', ""vinaigre d'alcool"", ""jus d'orange concentré"", 'sel', 'épaississant : gomme xanthane']",['E415 - Gomme xanthane'],"['Végétalien', 'Végétarien']",4,5.8 g,en quantité modérée,0.4 g,en faible quantité,1.3 g,en faible quantité,0.95 g,en quantité modérée,?,,146,-3%,611 kj(146 kcal),-4%,"5,8",-13%,"0,4",-57%,14,+5%,"1,3",-37%,"7,3",+4%,"0,95",+7%,"0,38",+7%,-4,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,['France'],,['Moutarde'],,,,
70,Guacamole - Blini - 200g,3292070001781,C,"Guacamole, pulpe d'avocat épicée",200 g,"['Frais', 'Pot', 'Couvercle', 'Plastique']",['Blini'],"['Epicerie', 'Produits à tartiner', 'Frais', 'Sauces', 'Guacamoles']","['Point Vert', 'Eco-emballages']","['Carrefour', 'Franprix', 'Super U', 'Magasins U']",['France'],"['Avocat 90%', 'poivron rouge 3%', 'oignon', 'sel', 'coriandre', 'piment Jalapeno rouge', 'sucre', 'jus de citron vert concentré', 'cumin en poudre', 'piment fort', ""extrait d'épices"", 'épaississant : E415', 'conservateur : E202', 'antioxydant : E300', ""correcteur d'acidité : E330,""]","['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",[],4,14.6 g,en quantité modérée,3.7 g,en quantité modérée,0.6 g,en faible quantité,1.13 g,en quantité modérée,?,,157,-3%,657 kj(157 kcal),-1%,"14,6",+19%,"3,7",+43%,"1,9",-69%,"0,6",-71%,"1,6",-8%,"1,13",+3%,"0,452",+3%,-1,-120%,A,-120%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,['Piment Jalapeño'],,"[""Delabli (Filiale Labeyrie Fine Foods) - 369 Rue des Artisans - Zone d'Activités - 14670 Troarn"", 'Calvados', 'Basse-Normandie', 'France']","['FR 14.712.042 CE', 'Troarn (Calvados, France)']",,http://www.blini.fr/nos-produits/tartinables/guacamole/,,,
