,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
876,Pain complet - Leclerc - 300grammes,0202525007223,['Leclerc'],['France'],[],[],?,286,1197 kj(286 kcal),"1,8","0,3",54,"2,8",10,"2,5",1,,,300 grammes,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",,+14%,-48%,+27%,+14%,,,,,,,,,,,,,1.8 g,en faible quantité,0.3 g,en faible quantité,2.8 g,en faible quantité,2.5 g,en quantité élevée,+14%,-44%,-23%,+114%,+114%,13,+1858%,D,+1858%,,,,,,,,
877,Boisson tropical - Oasis,3124480191427,['Oasis'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,Nathy - Naty - 34,7330933140546,['Naty'],['France'],[],[],?,?,,?,,?,,?,,,"['en:FSC', 'Entrepreneurs + Engagés']",,34,['Sweden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Pâte a tartiner - Brinkers - 200g,97929338,['Brinkers'],['France'],[],[],?,?,,?,,?,,?,,,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Couscous gold - Ferrero - 800g,3038359009402,['Ferrero'],['France'],['100% semoule de blé dur'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,365,1527 kj(365 kcal),2,"0,4",73,3,13,"0,02","0,008",,B,800g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur', 'Semoules de blé dur pour couscous']",,+3%,+1%,+4%,+7%,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,['Carton'],,['Maxilot'],,1,2 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,+2%,+5%,+13%,-86%,-86%,-6,,A,,,,['Algérie'],['Algerie5'],,,,
881,Huile d’olive et citron - Aix&terra - 200ml,3760158965848,['Aix&terra'],['France'],"[""huile d'olive vierge "", '100%', 'arôme naturel de macération du citron*', '\rVirgin olive oil* ', '100%', 'lemon maceration natural aroma', "" \r*Ingrédients issus de l'agriculture biologique""]",[],?,899,3761 kj(899 kcal),"99,9","16,3","< 0,5","< 0,5","< 0,5","< 0,5","0,2","['Bio', 'Bio européen', 'FR-BIO-15', 'Fabriqué en France']",C,200ml,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,+5%,+5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,99.9 g,en quantité élevée,16.3 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,+5%,+16%,,+820918%,+820918%,9,+46%,C,+46%,,,,,,,,
882,Poichichade à la poutargue - Aix&terra - 100g,3760158967927,['Aix&terra'],['France'],"['pois chiche bio cultivé en Provence ', '29% pois chiche', 'eau', 'poutargue ', '21%', 'poutargue', 'eau', ""huile d'olive"", 'mayonnaise bio : huile de tournesol,jaune d’oeuf', 'vinaigre', 'eau', 'moutarde bio ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'échalote,huile de tournesol', 'jus de citron', 'ail', 'sel', 'poivre']",['Non végétalien'],?,351,1469 kj(351 kcal),< 26,"< 3,1",18,"3,1","7,5","< 0,7","0,28",['Fabriqué en France'],,100g,"['Produits à tartiner', 'Produits à tartiner salés']",,+19%,-1%,+413%,-14%,,,,,,,,,,,,3,26 g,en quantité élevée,3.1 g,en quantité modérée,3.1 g,en faible quantité,0.7 g,en quantité modérée,+19%,-60%,+144%,-47%,-47%,1,-92%,B,-92%,"['Œufs', 'Moutarde']",,,,,,,
883,3700147215004,3700147215004,,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Baguette La p'tite normande,3770011891009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Grenade,3564706579507,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,"Luftgetrockneter Schweinenacken, Wurst",8007699009026,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Sel aromatique cuisine & grillade,3660159335575,,['France'],[],[],?,65,272 kj(65 kcal),2,1,"6,9","4,8","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Heinz,08590446,['Heinz'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Rosé pierrevert,3397590016021,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Caramel tendre au piment d'Espelette - DV SAS,3555080014357,['DV SAS'],['France'],[],[],?,406,1699 kj(406 kcal),"9,5","5,8",77,63,"2,5","0,4","0,16",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,petits pains grilles blé complet - maître Jean-Pierre - 225g,07112742,['maître Jean-Pierre'],['France'],[],[],?,?,,?,,?,,?,,,,B,225g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",,,,,,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,['pochette souple'],['LI DL FRAN EC S. N. C.-C. S30032FR'],['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,
