,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,link,traceability_code,brand_owner,palm_ingredients,producer_info,origin_detail
1863,Riz calcium naturéo - NATURÉ O - 1L,3701091716432,,1 L,['Product'],['NATURÉ O'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz', 'Boissons végétales de riz nature']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01', 'IT-BIO-007', 'Sans sucre ajouté']","['Belgique', 'France']","['Eau', 'riz* 16%', 'huile de tournesol*', 'Lithothamnium calcareum 0,4%', 'sel', "" *Ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.9 g,en faible quantité,0.2 g,en faible quantité,8.5 g,en quantité élevée,0.1 g,en faible quantité,?,,61,+2%,255 kj(61 kcal),+4%,"0,9",-20%,"0,2",-0%,"13,1",+17%,"8,5",+57%,"0,2",-34%,"0,1",+6%,"0,04",+6%,1,+20%,B,+20%,D,,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,['FSC-C014047'],,,,
1864,Waffle fromage - Delhaize - 75g,5400111030968,,75 g,,['Delhaize'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']","['Nutriscore', 'Nutriscore E']","['Belgique', 'France']","['Farine de blé', 'fromage en poudre 19% ', 'lait', 'sel', 'levain', 'présure', 'conservateur: phosphate de sodium', 'colorant: carotènes', 'margarine végétale ', 'huile de palme', 'eau', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", ""correcteur d'acidité: acide citrique"", 'maltodextrine ', 'de maïs', 'concentré de beurre ', 'lait', 'poudres à lever: bicarbonate de sodium', ""bicarbonate d'ammonium"", 'farine de soja', 'sel', 'æuf en poudre', 'poivre', 'colorant: bêta-carotène', ' Contient: gluten', 'lait', 'soja', 'oeufs', ' Fabriqué dans un atelier qui utilise aussi: arachides', 'fruits à coque', 'moutarde et sésame']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,30 g,en quantité élevée,15 g,en quantité élevée,4.7 g,en faible quantité,2.65 g,en quantité élevée,?,,531,+14%,2222 kj(531 kcal),+13%,30,+51%,15,+177%,53,-11%,"4,7",+20%,12,+21%,"2,65",+32%,"1,06",+32%,26,+69%,E,+69%,C,['Delhaize'],60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['E160 - Caroténoïdes', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E160ai - Bêta-carotène']",,,,,,['Huile de palme'],,
1865,Lait demi écrémé stérilisé (50cl),3248340056494,,,,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,['France'],[],,[],,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.09 g,en faible quantité,?,,197,+319%,824 kj(197 kcal),+323%,"1,6",+2%,1,-1%,"4,8",-0%,"4,8",0%,"3,3",+2%,"0,09",-18%,"0,036",-18%,1,,B,,D,['Monoprix'],78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,
1866,Beurre Sundew Sans cholestérol,9310047200969,,,,,,['Sans lactose'],['France'],[],,[],,,,,,,,,,?,,130,,544 kj(130 kcal),,"3,5",,"0,9",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1867,Usn Protéine Pure Igf1 Vanilla 1KG - 1kg,6009644650453,,1 kg,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,La Mole Gressins Croustillants Aux Sésame 120 G,8008685003202,,,,['La Mole'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,['France'],[],,[],,14.4 g,en quantité modérée,2.8 g,en quantité modérée,14 g,en quantité élevée,2 g,en quantité élevée,?,,454,+8%,1900 kj(454 kcal),+8%,"14,4",+33%,"2,8",+24%,65,-3%,14,+460%,14,+23%,2,+5%,"0,8",+5%,18,+41%,D,+41%,B,,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
1869,La Boule de Neige - Les Créations,3250392656676,,,,['Les Créations'],,,['France'],[],,[],,,,,,,,,,?,,202,,845 kj(202 kcal),,"10,7",,"7,3",,"23,3",,"20,5",,"2,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,
1870,Emmental rapé - Davoine - 1kg,3046300001085,,1kg,['Sachet'],['Davoine'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,['France'],[],,[],,29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.87 g,en quantité modérée,?,,385,+3%,1611 kj(385 kcal),+3%,29,+0%,19,-4%,2,+121%,"0,5",+24%,28,+3%,"0,87",+15%,"0,348",+15%,12,+1%,D,+1%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
1871,Delice Sorbet mangue passion crème glacée noix de coco - Carrefour,3560071186302,,,"['surgelé', 'Carton']",['Carrefour'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,['France'],"['Purée de mangue 19,9%', 'lait entier pasteurisé', 'eau', 'sucre', 'sirop de glucose', 'lait de coco en poudre 3,4% ', 'lait de noix de coco', 'maltodextrine de tapioca', 'protéines de lait', 'crème pasteurisée', 'noix de coCo râpée 2,8%', 'sirop de sucre inverti cristallisé', 'jus concentré de fruit de la passion 1,9%', 'cubes de mangue 1,8%', ""cubes d'ananas"", 'sirop de glucose-fructose', 'dextrose', 'groseilles', 'physalis', 'lactosérum en poudre', 'graines de fruit de la passion 0,9%', 'morceaux de noix de coco séchée 0,3%', ""correcteurs d'acidité : acide citrique - citrates de calcium et phosphates de potassium"", 'arôme naturel de noix de coco', 'protéines de lait', 'gélifiants : carraghénanes - pectines', 'stabilisants farine de graines de caroube - gomme guar', ""émulsifiant: mono - et diglycérides d'acides gras"", 'protéines de pois hydrolysées', 'poudre de lait écrémé', 'denrée alimentaire colorante ', 'concentré de potiron et pomme', ' Peut contenir des traces de soja', ""d'oeuf et de fruits à coque"", ' Ne pas consommer les feuilles du physalis']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,5.8 g,en quantité modérée,4.8 g,en quantité modérée,26 g,en quantité élevée,0.06 g,en faible quantité,?,,181,-10%,757 kj(181 kcal),-9%,"5,8",-28%,"4,8",-11%,30,+5%,26,+5%,"1,9",-18%,"0,06",-52%,"0,024",-52%,11,-3%,D,-3%,A,['Carrefour'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E330 - Acide citrique', 'E333 - Citrates de calcium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['France'],['France'],,"['EMB 68201A', 'Masevaux (Haut-Rhin, France)']",,,,
1872,Nudelteig - Bürger - 500g,4075600059402,,500 g,['Kunststoff'],['Bürger'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,"['France', 'Allemagne']","['HARTWEIZENGRIESS', '15% VOLLEI**', 'Trinkwasser', 'Speisesalz', 'Branntwein - essig']","['Œufs', 'Gluten']",['Non végétalien'],3,2 g,en faible quantité,0.7 g,en faible quantité,4.3 g,en faible quantité,1.7 g,en quantité élevée,?,,283,-15%,1184 kj(283 kcal),-15%,2,-23%,"0,7",+0%,"55,7",-10%,"4,3",+55%,"10,4",-10%,"1,7",+702%,"0,68",+702%,5,,C,,,,,,,,,,,,,,,,,,,
