,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,link,traceability_code,brand_owner,palm_ingredients,producer_info,origin_detail
0,Fusilli bucati corti - Garofalo - 500g,8000139910333,Pâtes alimentaires de qualité supérieure,500 g,['Enveloppe'],['Garofalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Torsades', 'Fusilli de blé dur']",['IGP'],"['France', 'Suisse']","['100% Semoule de BLE dur de qualité supérieure', ' Peut contenir du soja']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,1489,+7%,351,-1%,1489 kj(351 kcal),+1%,1,-38%,0,-100%,70,+5%,3,+6%,14,+14%,0,-100%,0,-100%,-4,,A,,,,,,,,,,,,,,,,,,,
1,Garofalo fettucce - 500g,8000139910432,Pâtes alimentaires de qualité supérieure,500 g,['Enveloppe'],['Garofalo'],,,['France'],"['100% Semoule de BLE dur de qualité supérieure', ' Peut contenir du soja']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1489,,351,,1489 kj(351 kcal),,1,,"0,2",,70,,3,,14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
2,"Napoli - Garofalo - 1,5kg (3x500g)",8000139929564,,"1,5 kg (3x500g)",['Sachet'],['Garofalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",['IGP'],['France'],[],,[],,1 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,?,,351,-1%,1469 kj(351 kcal),-1%,1,-44%,"0,2",-47%,70,+0%,3,-5%,14,+13%,"0,01",-58%,"0,004",-58%,-4,,A,,C,['Leclerc'],65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
3,Bebida de arroz - Vitariz - 1L,8000215204233,,1L,,['Vitariz'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']","['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009', 'Sans sucre ajouté']","['France', 'Suisse']","['eau', 'riz ', '14%', 'huile de graines de tournesol', 'algue marine Lithothamnion Calcareum ', '0,4%', 'sel marin']",,[],3,1.1 g,en faible quantité,0.1 g,en faible quantité,7 g,en quantité élevée,0.1 g,en faible quantité,232,-3%,55,-5%,232 kj(55 kcal),-5%,"1,1",-10%,"0,1",-58%,"10,5",-5%,7,+23%,"0,4",+18%,"0,1",+6%,"0,04",+6%,1,+23%,B,+23%,D,,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,
4,Alinor Vitariz Rice Bechamel,8000215204387,,,,['Alinor'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Sauces', 'Sauces béchamel']",['Bio'],['France'],"['eau', '*farine de riz 8,5%', '*huile de graines de tournesol 8%', '*amidon de riz 2,1 amidon de maïs', 'émulsifiant: lécithine de tournesol', 'sel', 'épaississants ', 'carraghénane', 'gomme de xanthan', 'qomme de auar', 'arôme naturel', ' UM', 'T', "" Conserver à température ambiante: une fois l'emballage ouvert"", 'conserver au frigo et consommer sous 3/4 jours']",,[],4,8 g,en quantité modérée,0.8 g,en faible quantité,0.1 g,en faible quantité,0.4 g,en quantité modérée,?,,115,-36%,481 kj(115 kcal),-36%,8,+3%,"0,8",-81%,10,-43%,"0,1",-98%,"0,5",-86%,"0,4",-76%,"0,16",-76%,2,-73%,B,-73%,B,,66.1%,14.4%,8.0%,5.6%,3.4%,2.4%,81,"['E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,
5,Boisson au riz bio et noisette - Vitariz - 1L,8000215204394,,1L,['Tetra-pak'],['Vitariz'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['Bio', 'Bio européen', 'Kascher', 'en:FSC', 'IT-BIO-009', 'Kascher pareve', 'en:Agricultura UE', 'en:Ecológico', 'en:Ecológico UE', 'en:Fabricado en Italia', 'en:Sin azúcares añadidos', 'en:Sin gluten', 'en:Sin lactosa', 'en:fsc-c014047']","['France', 'Israël']","['water', 'rice* ', '14%', 'hazelnut paste* ', '3%', ' sunflower seed oil*', 'sea salt', '\r* from organic farming']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.6 g,en quantité modérée,0.3 g,en faible quantité,6 g,en quantité modérée,0.1 g,en faible quantité,?,,71,+78%,297 kj(71 kcal),+77%,"2,6",+775%,"0,3",+415%,10,+19%,6,-19%,"0,7",+81%,"0,1",+310%,"0,04",+310%,14,+137%,E,+137%,,['Nizat Haduvdevan'],,,,,,,,,['Union européenne'],['Italy'],http://alinor.it/en/products/vitariz/,,,,,
6,Maccaroni - Buitoni - 500g,8000270020014,,500g,['Sack'],['Buitoni'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Macaroni de blé dur']",,"['France', 'Allemagne']",['semoule de blé dur'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.9 g,en faible quantité,0.8 g,en faible quantité,3.5 g,en faible quantité,8 g,en quantité élevée,?,,356,-1%,1490 kj(356 kcal),-1%,"1,9",+7%,"0,8",+117%,"71,8",+1%,"3,5",+1%,"11,5",-5%,8,+43378%,"3,2",+43378%,11,,D,,C,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,,,,,
7,R.de rosa,8000279934039,,,,,,,['France'],"['liquirizia menozzi de rosa peso netto 42 g net weight', 'nettogewicht poids net ingredienti liquirizia pura ingredients liquorice lakritz 8 000279 934039 reglisse ""contiene liquirizia - evitare il consumo eccessivo in caso di ipertensione"" ""contains liquorice - people suffering from hypertension should avoid excessive consumption"" ""contient de la règlisse - les personnes souffrant d\'hypertension doivent èviter toute consommation excessive"" informazioni nutrizionali / nutrition facts valori medi per 100 gr', '/average nutritional values for 100 gr', 'kcal 189 valoze energetico energy value/']",,[],,,,,,,,,,?,,189,,791 kj(189 kcal),,"0,6",,0,,50,,0,,"0,1",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,
8,Orzoro Solubile e Cacao GR. 180 - Nestlé,8000300215397,,,,['Nestlé'],,,['France'],[],,[],,,,,,,,,,?,,363,,1519 kj(363 kcal),,"2,8",,"1,7",,72,,31,,"7,5",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
9,Maxibon Pops -  - 70g e,8000300272352,,70 g e,"['Plastique', 'surgelé']",,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']",,['France'],[],,[],,25 g,en quantité élevée,21 g,en quantité élevée,26 g,en quantité élevée,0.19 g,en faible quantité,?,,353,+70%,1477 kj(353 kcal),+69%,25,+145%,21,+213%,29,+14%,26,+21%,"3,7",+17%,"0,19",+41%,"0,076",+41%,19,+60%,E,+60%,B,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
10,Bacetti - Perugina,8000300325362,,,,['Perugina'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']","['Sans gluten', 'Pur beurre de cacao']","['France', 'Espagne']","['sugar', 'hazelnuts 29%', 'cocoa mass', 'cocoa butter', 'whole milk powder', 'butterfat', 'emulsifier sunflower lecithins', 'natural vanilla flavouring', ' May contain other nuts']",['Fruits à coque'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,39 g,en quantité élevée,14 g,en quantité élevée,42 g,en quantité élevée,0.25 g,en faible quantité,?,,570,+8%,2385 kj(570 kcal),+8%,39,+22%,14,-20%,45,-14%,42,-12%,"6,6",+12%,"0,25",+63%,"0,1",+63%,22,-10%,E,-10%,,,,,,,,,,['E322 - Lécithines'],,,,,,,,
11,Bevanda a base di pera,8000340473481,,,,,,,['France'],[],,[],,,,,,,,,,?,,32,,134 kj(32 kcal),,0,,0,,"7,5",,6,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
12,Millefoglie d'italia ciambelline al burro fresco - Pasticceria Matilde Vicenzi - 85g,8000350004590,Pasticcini,85 g,['Plastica'],['Pasticceria Matilde Vicenzi'],,['Fabriqué en Italie'],"['France', 'Italie']","['Farina di frumento ', 'burro fresco 24%', 'zucchero', 'margarina vegetale ', 'olio di palma', 'olio di girasole', 'acqua', 'sale']","['Gluten', 'it:burro']","['Huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,557,,2330 kj(557 kcal),,35,,"22,1",,"53,5",,"16,5",,"5,5",,"1,25",,"0,5",,,,,,,,,,,,,,,,"['Italie', 'it:Verona']","['Verona', 'Italia']",,,,,,
13,Minivoglie assortimento dIGPasticceria - Matilde Vicenzi - 500g,8000350004613,,500 g,"['Latta', 'Alluminio']",['Matilde Vicenzi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'it:Pasticceria']",['Fabriqué en Italie'],"['France', 'Allemagne', 'Italie']",[],,[],,21.6 g,en quantité élevée,8.1 g,en quantité élevée,28.5 g,en quantité élevée,0.37 g,en quantité modérée,2002,+0%,478,+1%,2002 kj(478 kcal),+1%,"21,6",+4%,"8,1",-20%,"63,3",-1%,"28,5",-3%,"6,2",-5%,"0,37",-37%,"0,148",-37%,18,-9%,D,-9%,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,http://www.vicenzi.it,,,,,
14,Pikkolo Napolitaner - Loacker,8000380148554,,,,['Loacker'],,,['France'],[],,[],,,,,,,,,,?,,527,,2205 kj(527 kcal),,29,,20,,55,,32,,"8,7",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
15,Trentin Parmigiano Reggiano,8000407026049,,,,['Trentin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['AOP'],['France'],"['LAIT cru de vache', 'sel', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.57 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,0,,32,-1%,"1,575",-2%,"0,63",-2%,16,-4%,D,-4%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,['IT 08-708 CE'],,,,
16,Bio stracchino biologico - Vallelata - 100g,8000430030143,,100 g,['Plastica'],['Vallelata'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Stracchino', 'it:Formaggio fresco']",['Bio'],"['France', 'Italie']","['25g di cui Zuccheri 2f0g Proteine 14g 17g sale 0,75 g']",['Lait'],[],,25 g,en quantité élevée,17 g,en quantité élevée,2 g,en faible quantité,0.75 g,en quantité modérée,?,,289,+95%,1209 kj(289 kcal),+93%,25,+136%,17,+145%,2,-63%,2,-58%,14,+108%,"0,75",+125%,"0,3",+125%,11,+168%,D,+168%,C,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Italie'],['Italia'],,,,,,
17,Santa lucia burro classico - 250g,8000430270341,,250 g,,"['Santa Lucia', 'Galbani']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",,"['France', 'Italie']",[],,[],,83 g,en quantité élevée,58 g,en quantité élevée,1 g,en faible quantité,0 g,en faible quantité,?,,753,+5%,3151 kj(753 kcal),+5%,83,+4%,58,+9%,1,+36%,1,+62%,0,-100%,0,-100%,0,-100%,19,-13%,E,-13%,E,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,
18,40G Rape Pastissimo Galbani,8000430392562,,40g,['Kunststoff'],['Galbani'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano']",,['France'],"['Fromage au lait', 'sel', 'conservateur']",,[],3,25 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.08 g,en quantité élevée,?,,346,-14%,1448 kj(346 kcal),-13%,25,-16%,18,-9%,"0,5",+43760%,"0,5",,31,-4%,"2,075",+30%,"0,83",+30%,18,+8%,D,+8%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,
19,I Piaceri di ogni giorno - Favero,8000439101707,,,,['Favero'],,,['France'],"['Farina di Grano Tenero tipo""OOII DEALE PER PIZZA WHEAT FLOUR ""PIZZA"" FARINE DE BLÉ POUR ""PIZZA"" WEICHWEIZENMEHL FÜR ""PIZZA"" TARWEMEEL VOOR ""PIZAY\' Può contenere tracce di soia', ' May contain traces of soy', ' Peut contenir des traces de soja', ' Kann Spuren von Soja', ' Kan sporen van soja', ' Umidità massima 15,5% / Humidity below 15,5%']",['Gluten'],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,1,,"0,5",,70,,"0,5",,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
20,Pâques Maxi Kinder Surprise fille œuf chocolat - Ferrero - 320g,8000500033616,MAXI KINDER SURPRISE : Confiserie recouverte de chocolat supérieur au lait contenant une surprise géante dans une capsule plastique,320 g,,"['Ferrero', 'Kinder']",,,['France'],"['Chocolat supérieur au lait 45% ', 'sucre', 'lait en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [soja]', 'vanilline', 'lait écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'beurre concentré', 'émulsifiants : lécithines [soja]', 'vanilline']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,2413,,579,,2413 kj(579 kcal),,"36,2",,"24,1",,"53,9",,"53,6",,"8,8",,"0,305",,"0,122",,,,,,,,,,,,,,,['E322i - Lécithine'],,,,,,,,
21,Colazione Più - Kinder - 300g e,8000500033715,Prodotto da forno lievitato naturalmente,300 g e,"['Plastique', 'Sachet']","['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,['France'],[],"['Œufs', 'Gluten', 'Lait']",[],,19.8 g,en quantité modérée,8.2 g,en quantité élevée,22.7 g,en quantité élevée,0.275 g,en faible quantité,1702,-6%,407,-7%,1702 kj(407 kcal),-7%,"19,8",-16%,"8,2",+3%,"45,5",-8%,"22,7",-26%,"10,5",+82%,"0,275",-47%,"0,11",-47%,19,+3%,E,+3%,D,"[""Sapori d'Italia""]",82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,,,,,,,
22,Tic Tac Lilliput 60er,8000500104255,,,,['Tic Tac'],,,['France'],"['sugar', 'maltodextrins', 'acid starch', 'tlavotifings', 'mickener ', 'gum arabic', 'anticaking agent ', 'magnesium sais of fatty acids', 'glaZing agent ', 'carnauba wax']",,[],4,,,,,,,,,?,,210,,879 kj(210 kcal),,"0,5",,"0,5",,"97,5",,"93,7",,"0,1",,"0,025",,"0,01",,,,,,,,,,,,,,,"[""E414 - Gomme d'acacia"", 'E570 - Acide stéarique', 'E903 - Cire de carnauba']",,,,,,,,
23,Lime & Orange 4 x (64g) - Tic Tac,8000500254103,,,"['Sleeve', 'Pp-tub']",['Tic Tac'],,,['France'],[],,[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,"0,5",,"0,5",,"96,1",,"93,2",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
24,Eggs Lait & Noisettes - Kinder,8000500266540,,,"['Stück', 'Stück']","['Kinder', 'Ferrero']",,,"['Autriche', 'Belgique', 'France']",[],,[],,,,,,,,,,?,,580,,2427 kj(580 kcal),,"37,6",,20,,"50,9",,"47,7",,"8,6",,"0,3",,"0,12",,,,,,,['Delhaize'],,,,,,,,,,,,,,,,
25,Pâques Maxi Kinder Surprise fille œuf chocolat - 220g,8000500270394,MAXI KINDER SURPRISE : Confiserie recouverte de chocolat supérieur au lait contenant une surprise géante dans une capsule plastique,220 g,['Boite'],"['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,['France'],"['MAXI KINDER SURPRISE:Chocolat supérieur au LAIT 45% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [SOJA]', 'vanilline', 'LAIT écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'BEURRE concentré', 'émulsifiants : lécithines [SOJA]', 'vanilline']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,36.2 g,en quantité élevée,24.1 g,en quantité élevée,53.6 g,en quantité élevée,0.305 g,en quantité modérée,2413,+4%,579,+5%,2413 kj(579 kcal),+4%,"36,2",+7%,"24,1",+11%,"53,9",-0%,"53,6",+1%,"8,8",+24%,"0,305",+30%,"0,122",+30%,28,+6%,E,+6%,,,,,,,,,,['E322i - Lécithine'],,,,,,,,
26,Pâques Maxi Kinder Surprise garçon œuf chocolat - 220g,8000500270400,MAXI KINDER SURPRISE : Confiserie recouverte de chocolat supérieur au lait contenant une surprise géante dans une capsule plastique,220 g,['Boite'],['Kinder'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,['France'],"['MAXI KINDER SURPRISE:Chocolat supérieur au LAIT 45% ', 'sucre', 'LAIT en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiants : lécithines [SOJA]', 'vanilline', 'LAIT écrémé en poudre', 'sucre', 'graisses végétales ', 'palme', 'karité', 'BEURRE concentré', 'émulsifiants : lécithines [SOJA]', 'vanilline']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,36.2 g,en quantité élevée,24.1 g,en quantité élevée,53.6 g,en quantité élevée,0.305 g,en quantité modérée,2413,+4%,579,+5%,2413 kj(579 kcal),+4%,"36,2",+7%,"24,1",+11%,"53,9",-0%,"53,6",+1%,"8,8",+24%,"0,305",+30%,"0,122",+30%,28,+6%,E,+6%,,,,,,,,,,['E322i - Lécithine'],,,,,,,,
27,Cappuccine - 100g,8000510552640,,100 g,,,,['en:palm-oil-free'],['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,528,,2209 kj(528 kcal),,30,,22,,57,,38,,"6,4",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
28,Biscotti del buongiorno - Campiello - 700g,8000590107105,,700 g,['Sachet'],['Campiello'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,"['France', 'Suisse']","['Farine de blé', 'huile de tournesol', 'sucre', 'crème 2%', 'beurre', 'œufs', 'sirop de glucose', 'sel', 'poudres à lever: carbonate acide de sodium', ""carbonate acide d'ammonium"", ' arôme naturel ', 'lait', ' Peut contenir des traces de soja', 'fruits à coque', ' Produit en Italie']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,20 g,en quantité modérée,2.6 g,en quantité modérée,17 g,en quantité élevée,0.73 g,en quantité modérée,?,,479,+7%,2004 kj(479 kcal),+7%,20,+23%,"2,6",-58%,67,+0%,17,-46%,"6,5",-12%,"0,73",+55%,"0,292",+55%,11,-35%,D,-35%,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,,,,,,,
29,Le dolcezze dell'aurora,8000590113229,,,,,,['Fabriqué en Italie'],['France'],[],,[],,,,,,,,,,?,,454,,1900 kj(454 kcal),,16,,"1,8",,67,,18,,"7,5",,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,
30,Crackers Doriano A ridotto contenuto di sale,8000605820395,,,,,,,['France'],[],,[],,,,,,,,,,?,,449,,1879 kj(449 kcal),,15,,"9,2",,68,,"1,3",,"9,6",,"1,23",,"0,492",,,,,,,,,,,,,,,,,,,,,,,
31,Aceto Balsamico di Modena - Bertolli - 50cl,8000606000222,,50 cl,,['Bertolli'],,,['France'],[],,[],,,,,,,,,,?,,97,,406 kj(97 kcal),,0,,0,,20,,20,,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
32,Pâte di pomodori secchi - Il Viaggiator Goloso - 180g,8000633024963,,180 g,['Vasetto'],['Il Viaggiator Goloso'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']","['Bio', 'Commerce équitable', 'Max Havelaar']","['France', 'Suisse']",[],,[],,37 g,en quantité élevée,9.3 g,en quantité élevée,51 g,en quantité élevée,0.07 g,en faible quantité,?,,569,+128%,2381 kj(569 kcal),+133%,37,+542%,"9,3",+812%,52,+19%,51,+26%,"5,2",+309%,"0,07",-53%,"0,028",-53%,26,+178%,E,+178%,,,,,,,,,,,,,,,,,,
33,I mini - La Buona Terra,8000781007917,,,,['La Buona Terra'],,"['Bio', 'Bio européen', 'IT-BIO-007']",['France'],[],,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,"6,3",,"1,3",,67,,"1,1",,12,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,
34,Gressins - 250g,8000781009744,,250 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits artisanaux', 'Pains', 'Gressins', 'Gressins artisanaux']",,['France'],[],,[],,8.7 g,en quantité modérée,2 g,en quantité modérée,2.1 g,en faible quantité,2 g,en quantité élevée,?,,425,-0%,1778 kj(425 kcal),-0%,"8,7",-26%,2,-3%,72,+9%,"2,1",-2%,13,+13%,2,+6%,"0,8",+6%,14,+19%,D,+19%,B,,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,
35,Knorr- Classic Stock Cubes (10X10 GR),8000830001057,,,,['Knorr'],,['en:gluten-free'],['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,"0,5",,"0,3",,"0,5",,"0,5",,"0,5",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
36,Risotto milanese - Knorr,8000840010940,,,,['Knorr'],,,['France'],"['xnorr prepara e ingredienti naturali e attentamente selezionati: unica dei risotti Knorr dove naturalità e si incontrano per offrirti irresistibili ricette', 'senza e a bas5ò±ontenuto di grassi', ' ALTOCCO DA CHEF Perun risotto ancora piu gustoso e mantecato aggiungi una noce di burro ed una spolverata Mescola bene e servi', ' lihestra preparata disidratata Ingrdienti: Riso parboiled 88 %', 'farina di GRANO tenero', 'sale', 'grasso di palma', 'tipolla', 'estratto di lievito', 'formaggio fuso ', 'FORMAGGIO stagionato', 'derivati del sale', 'zucchero', ""olio d'Oliva"", 'curcuma', 'zafferano 0,04 %', 'arom:']",,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"0,8",,"0,5",,25,,"0,8",,"2,5",,"0,825",,"0,33",,,,,,,,,,,,,,,,,,,,,,,
37,Crodino Twist Gusto Agrumi,8000845065549,,,,,,,['France'],[],,[],,,,,,,,,,?,,59,,247 kj(59 kcal),,0,,0,,14,,14,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
38,Colomba Motta Classica,8000961002749,,,,['Motta'],,,['France'],[],,[],,,,,,,,,,?,,382,,1598 kj(382 kcal),,14,,"7,8",,56,,33,,"6,9",,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,,,
39,Lipton Pesca Cl.50 Pet,8000990118817,,,,['Lipton'],['Boissons'],,['France'],"['acqua', 'zucchero', 'acidificante: acido citrico', 'estratto di tè nero succo di pesa da conentrato cotrettore di acidità: citrati c antiossidante: acido ascorbico', ""edulcoranti: ç 'cc stevlollci,""]",,[],4,0.5 g,en faible quantité,0.5 g,en faible quantité,4.5 g,en quantité modérée,0.05 g,en faible quantité,?,,19,-66%,79 kj(19 kcal),-67%,"0,5",+44%,"0,5",+324%,"4,7",-58%,"4,5",-52%,"0,5",+1%,"0,05",+20%,"0,02",+20%,6,-22%,D,-22%,,,,,,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,,,
40,Plasmon Plasmon Camomilla 360GR Barattolo,8001040081068,,,,,,,['France'],[],,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,"0,5",,"0,1",,93,,90,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
41,Salsa Cocktail Heinz,8001040413715,,,,['Heinz'],,,['France'],"['olio di girasole 36%', 'passata di pomodoro 21 aceto di alcoole', 'zucchero', 'acqua', 'siero di latte in polvere ', 'latte', 'sherry 4%', 'sale', 'semi di senape', 'amido modificato', 'aroma ', 'contiene uova', 'acidificante ', 'acido citrico', 'addessante ', 'gomma di Xhanthan', 'pepe di Cayenna', ' Da consumarsi preferibilmente entro fine: vedi tappo', "" Dopo l'apertura conservare in frigorifero"", ' O Prodotto per Heinz Italia S', 'P', 'A', 'Via Migliara 45', 'Latina', ' Stabilimento di Yabarra']","['Œufs', 'Lait', 'Moutarde']",['Non végétalien'],4,,,,,,,,,?,,406,,1699 kj(406 kcal),,36,,"3,4",,15,,12,,"2,3",,"0,975",,"0,39",,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E330 - Acide citrique']",,,,,,,,
