,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,allergens,additives,link,palm_ingredients,brand_owner
0,Miel de Châtaignier - Leclerc - 500gr,3770007625229,A,500 gr,['pot verre'],['Leclerc'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],['42380 Estivarielles'],['Leclerc'],['France'],['Miel de Châtaignier origine France'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sweet Chilli Sauce,5012389000941,,,,,,,,,['France'],[],[],,?,,172,,"0,4",,41,,"0,3",,,,,,,,,720 kj(172 kcal),"0,1",41,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,
2,Conchiglioni n°177,8008912011772,,,,,,,,,['France'],[],[],,?,,353,,"1,2",,70,,14,,,,,,,,,1477 kj(353 kcal),"0,3","3,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk-shakers minceur saveur chocolat - Milical,3175681797895,,,,['Milical'],,,,,['France'],[],[],,?,,343,,"1,4",,22,,60,,,,,,,,,1435 kj(343 kcal),"0,8",14,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,
4,Salade strasbourgeoise,3760054095441,,,,,,,,,['France'],[],[],,?,,178,,13,,"11,2",,3,,,,,,,,,745 kj(178 kcal),"0,8","1,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
5,Thé Gunpowder,3770003610243,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,
6,polvones de allendra,8412505010149,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël']",,,,"['France', 'Espagne']",[],[],,?,,496,-3%,22,-26%,70,+48%,5,-54%,,,,,,,,2075 kj(496 kcal),9,25,"0,05","0,02",,22 g,en quantité élevée,9 g,en quantité élevée,25 g,en quantité élevée,0.05 g,en faible quantité,-3%,+61%,-38%,-33%,-33%,19,+13%,E,+13%,,,,,,,
7,3 filets de maquereau fumes poivre,2298117039039,D,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,,['France'],[],[],,?,,305,+37%,24,+46%,2,+85%,21,+28%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,1276 kj(305 kcal),"5,5",0,"1,2","0,48",,24 g,en quantité élevée,5.5 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,+38%,+49%,-100%,+8%,+8%,13,+109%,D,+109%,,,,,,,
8,Biscuit,3760026320090,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,['France'],[],[],,?,,?,,?,,?,,?,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Carrefour - 1,305kg",2435126088164,,"1,305 kg",,['Carrefour'],,,,['Carrefour'],['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,
10,La Nouvelle Agriculture,0213319044676,,,,['La Nouvelle Agriculture'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pain d'épices aux écorces d'oranges,3760255820187,B,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,['France'],[],[],,?,,332,-1%,"8,9",+155%,"57,8",-18%,"4,4",+1%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,1389 kj(332 kcal),"5,6","33,2","0,7","0,28",,8.9 g,en quantité modérée,5.6 g,en quantité élevée,33.2 g,en quantité élevée,0.7 g,en quantité modérée,-2%,+352%,-18%,+61%,+61%,19,+35%,E,+35%,,,,,,,
12,Mimolette vieille - Carrefour market - 251gr,2237408026174,D,251gr,,['Carrefour market'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes vieilles', 'Fromages-du-nord-pas-de-calais']",,,['Carrefour'],['France'],[],[],,?,,?,,?,,?,,?,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6503994366458,6503994366458,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,
14,Cake aux Fruits Confits -,3760255820118,C,,"['Plastique', 'métal', 'Aluminium']",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",,,,['France'],[],[],,?,,372,-4%,"15,5",+1%,"49,4",-12%,5,+3%,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,1556 kj(372 kcal),"9,6","33,3","0,6","0,24",,15.5 g,en quantité modérée,9.6 g,en quantité élevée,33.3 g,en quantité élevée,0.6 g,en quantité modérée,-5%,+117%,-0%,+2%,+2%,22,+32%,E,+32%,,Cake aux Fruits Confits,"['Œufs', 'Gluten', 'Lait']",,,,
15,Infusion a l'argousier et fruits rouges - Flore Alpes,3760099601201,,,,['Flore Alpes'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,"['EMB 67547', 'Wittisheim (Bas-Rhin, France)']",,,,,,
16,Palets bretons,,C,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,['France'],[],[],,?,,495,-1%,"24,1",-5%,"65,8",+9%,"6,2",+5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,2071 kj(495 kcal),"15,3","30,1","0,7","0,28",,24.1 g,en quantité élevée,15.3 g,en quantité élevée,30.1 g,en quantité élevée,0.7 g,en quantité modérée,-0%,-7%,+16%,-20%,-20%,25,+4%,E,+4%,,,,,,,
17,"Grissini Rubatà, Natur",8028947087603,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,['France'],[],[],,?,,418,-1%,"10,4",-4%,"71,6",+7%,"9,6",-16%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,1749 kj(418 kcal),"2,3","1,5","1,6","0,64",['Fabriqué en Italie'],10.4 g,en quantité modérée,2.3 g,en quantité modérée,1.5 g,en faible quantité,1.6 g,en quantité élevée,-1%,+2%,-40%,-16%,-16%,14,+9%,D,+9%,,,,,,,
18,Moulin des Moines,3347431099324,B,,,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,['France'],[],[],,?,,?,,?,,?,,?,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,
19,Aiguillettes de poulet - Carrefour,2227487022631,D,,,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,['Carrefour'],['France'],[],[],,?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,dankek islak kek - 240g,8690504064251,,240 g,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7611326042839,7611326042839,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0200008038962,0200008038962,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,The vert bio au jasmin,3398984211008,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,
24,savane chocolat - 189g,0011242000086,,189 g,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,
25,Poulet - Croustivol - 1,2153430004075,,1,,['Croustivol'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",,,,,,
26,Raisin - Lavallee - 800g,26063478,B,800g,,['Lavallee'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins frais']",,,,['France'],[],[],,?,,?,,?,,?,,?,,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pain grillé,4260109620219,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés']",,,,['France'],[],[],,?,,391,+1%,"7,1",-4%,67,+2%,11,0%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,1636 kj(391 kcal),"2,4","4,7","1,4","0,56",,7.1 g,en quantité modérée,2.4 g,en quantité modérée,4.7 g,en faible quantité,1.4 g,en quantité modérée,-0%,+53%,-13%,+14%,+14%,13,+134%,D,+134%,,,,,,,
28,Soupe - Liebig - 250ml,112302627,,250ml,,['Liebig'],"['Plats préparés', 'Soupes']",,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Saucisson,2276761029125,,,,,,,,,['France'],[],[],,?,,317,,19,,"2,2",,34,,,,,,,,,1326 kj(317 kcal),8,"2,2","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,
30,Miel,3760058112922,B,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,['France'],[],[],,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"MURATELLO - Vaccelli - 0,75",3569200000076,,"0,75",,['Vaccelli'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Tartines légères a l'épeautre - Santiveri,8412170037168,,,,['Santiveri'],,,,,['France'],[],[],,?,,371,,"2,5",,"72,6",,"12,5",,,,,,,,,1552 kj(371 kcal),"0,8","0,3",1,"0,4","['Bio', 'Bio européen', 'ES-ECO-016-CL', 'Fabriqué en Espagne', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,
33,Granini,17983935,,,,['Granini'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pain d'epuces aux ecorces d'oranges,3760019590264,,,,,,,,,['France'],[],[],,?,,309,,"0,6",,71,,5,,,,,,,,,1293 kj(309 kcal),"0,2",48,"0,81","0,324","['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,
35,Wrap saumon fumé sauce fines herbes - Sodebo,84721723,,,,['Sodebo'],,,,,['France'],[],[],,?,,252,,11,,26,,12,,,,,,,,,1054 kj(252 kcal),"3,1","2,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,
36,Helva - 350g,8690799000262,,350 g,,,,,,,['France'],[],[],,?,,541,,"32,32",,"48,02",,"14,7",,,,,,,,,2264 kj(541 kcal),0,"37,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sardine à la sauce tomate et huile piquante -,5601010112513,D,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", 'Sardines à la tomate']",,,,['France'],[],[],,?,,166,-10%,11,-8%,"0,8",-52%,21,+21%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,695 kj(166 kcal),"3,7","0,6","0,9","0,36",,11 g,en quantité modérée,3.7 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en quantité modérée,-10%,+21%,-36%,-4%,-4%,3,-13%,C,-13%,,,,,,,
38,Dankek - Ülker - 210g,8690504064176,,210 g,,['Ülker'],,,,,['France'],[],[],,?,,441,,"22,1",,"55,8",,"4,3",,,,,,,,,1845 kj(441 kcal),"9,6","30,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
39,5413081990125,5413081990125,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,"['en:gluten-free', 'Sans OGM']",,,,,,,,,,,,,,,,,,,,,,,,
40,Sucre - Saint Louis - 1kg,5256051595,B,1kg,,['Saint Louis'],"['Édulcorants', 'Sucres']",,,,['France'],[],[],,?,,?,,?,,?,,?,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Favarger Box 24 Dark Avelines,7610296108620,,,,,,,,,['France'],[],[],,?,,567,,42,,31,,9,,,,,,,,,2372 kj(567 kcal),17,26,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,
42,Ice fresh,3226219010624,,,,,,,,,['France'],[],[],,?,,173,,"0,5",,68,,"0,4",,,,,,,,,724 kj(173 kcal),"0,4","0,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,
43,Hanfaufstrich - Veganz,4260402480398,,,,['Veganz'],,,,,['France'],[],"['Végétalien', 'Végétarien']",,?,,160,,12,,"7,3",,"4,6",,,,,,,,,669 kj(160 kcal),"1,3","2,9","1,5","0,6","['Végétarien', 'Végétalien', 'Fabriqué en Allemagne']",,,,,,,,,,,,,,,,,,,,,,,,
44,dankek noix de coco - Ülker - 200g,8690504063186,,200 g,,['Ülker'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Miel De Montagne Origine France Bio - 400 G - Mellidor,3503740311209,A,400 g,['pot en verre'],['Mellidor'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],,,['France'],[],[],,?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,
46,Beignet pomme X4,3123456003016,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,,['France'],[],[],,?,,299,-16%,11,-30%,44,-3%,"5,6",-12%,,,,,,,,1251 kj(299 kcal),"1,6",18,"0,64","0,256",,11 g,en quantité modérée,1.6 g,en quantité modérée,18 g,en quantité élevée,0.64 g,en quantité modérée,-16%,-54%,+10%,-13%,-13%,6,-50%,C,-50%,,,,,,,
47,Chestnut Dumpling,9556291901379,,,,,,,,,['France'],[],[],,?,,415,,"17,6",,"59,6",,"4,6",,,,,,,,,1736 kj(415 kcal),"6,8","40,1","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,
48,Petits farcis,2865180076034,,,,,,,,,['France'],[],[],,?,,127,,"7,2",,"6,8",,"7,9",,,,,,,,,531 kj(127 kcal),"2,7","1,9","0,8","0,32",,,,,,,,,,,,,,,,,,,"['FR 83.107.313 CE', 'Roquebrune-sur-Argens (Var, France)']",,,,,,
49,peki party cake modaic - 180g,8690504063230,,180 g,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pulco,12167104,,,,['Pulco'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bâtonnets de surimi - U - 500gr,19659671,A,500gr,['30 bâtonnets papillottes individuelles'],['U'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Surimi', 'en:preparations-made-from-fish-meat']","['Amidon de blé', 'Arômes naturels (contient crustacés poissons et mollusques)', 'Chair de poisson 38\xa0%', 'Colorant : extrait de paprika', 'Eau', 'Fécule de pomme de terre', 'Huile de colza', 'Lait écrémé réhydraté', 'Sel', 'Sucre', ""Traces éventuelles d'œufs""]",,['super U'],['France'],[],[],,488,-2%,?,,4,-15%,9,-21%,"6,9",-8%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,488 kj(117 kcal),"0,5",3,"1,8","0,72","['Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",4 g,en quantité modérée,0.5 g,en faible quantité,3 g,en faible quantité,1.8 g,en quantité élevée,-2%,-23%,+5%,+5%,+5%,4,-9%,C,-9%,"['MSC-C-51334', 'FR 85.051.005 CE', 'Chantonnay (Vendée, France)']",,,,,,
52,77939302,77939302,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Ma semoule au lait, caramel - Bonne Maman - 2x 100g",3608580905240,B,2 x 100 g,,['Bonne Maman'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",,,,['France'],[],[],,?,,167,+37%,"6,6",+67%,23,+31%,"3,9",+16%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,699 kj(167 kcal),4,19,"0,12","0,048",,6.6 g,en quantité modérée,4 g,en quantité modérée,19 g,en quantité élevée,0.12 g,en faible quantité,+36%,+57%,+47%,+9%,+9%,7,+78%,C,+78%,"['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)']",,,,,,
54,Sirop artisanal 6 plantes,3760055834032,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ravioli 5 fromages,3439496610320,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage', 'Pâtes fraîches au fromage', 'Raviolis fraîs au fromage']",,,,['France'],[],[],,?,,313,+25%,"6,6",-12%,"52,1",+46%,"10,2",+1%,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,1310 kj(313 kcal),"1,6","5,1","0,9","0,36",,6.6 g,en quantité modérée,1.6 g,en quantité modérée,5.1 g,en quantité modérée,0.9 g,en quantité modérée,+24%,-58%,+38%,+1%,+1%,3,-56%,C,-56%,,,,,,,
56,Chapelure de panko - K&K - 180grammes,4901592910820,,180 grammes,,['K&K'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,foie gras - 125g,3432770017907,,125 g,,,,,,,['France'],"['Die grédients: gras de canard', 'sel', 'Comt ivre', ' consommer de préférence arr la date figurant sur vercle', ' oir sur le couvercle', ' Foie ', '87 187 C ', '67-187-09 FR CE 87-187-003']",[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,The Jelly Bean Factory Tube Sweet Hearts,0745092010581,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Nesquik - Nestlé,6130137000612,,,,['Nestlé'],,,,,['France'],[],[],,?,,385,,3,,"80,7",,"4,5",,,,,,,,,1611 kj(385 kcal),"1,44","77,11","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,
60,Mini nonnettes bio au miel et à l'orange - L'Abeille Royale - 70g,3540860048318,,70 g,,"[""L'Abeille Royale""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",,,,['France'],"['Farine de blé', 'fourrage à l\'orange"" ', '24%', ' ', 'sirop de ble sucre de canne""', 'purée d\'orange""', '4', '8%', 'arôme', 'gélífiant pectines', 'acidifiant acide citrique', ""correcteur d'acidité: carbonates de potassium"", 'miel ', '21%', 'sucre glace ', 'sucre', 'anti-agglomérant fécule de pomme de terre', ""sirop de sucre invert jaune d'oeufs en poudre"", 'poudres à leve carbonates de sodium', ""carbonates d'ammonium"", 'gluten de blé""', 'arôme ""Ingrédients issus de l\'agriculture biologiau Peut contenir des traces de sésame']",['Non végétalien'],4,?,,0,-100%,"3,1",+57%,73,-4%,"3,7",+0%,,,,,,,,0 kj(0 kcal),"0,5",46,"0,36","0,144",['Bio'],3.1 g,en quantité modérée,0.5 g,en faible quantité,46 g,en quantité élevée,0.36 g,en quantité modérée,-100%,+20%,+2%,-32%,-32%,11,-27%,D,-27%,,,"['Gluten', 'Graines de sésame']","['E330 - Acide citrique', 'E501 - Carbonates de potassium', 'E502 - Carbonates']",,,
61,Filet de julienne,2825696038377,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Caramelos sabor limón - Sawes,8470003396301,,,,['Sawes'],,,,,['France'],[],[],,?,,230,,0,,"91,8",,0,,,,,,,,,962 kj(230 kcal),0,"0,1","0,039","0,016",,,,,,,,,,,,,,,,,,,,,,,,,
63,V-PRAWN CHIPS,9556345334153,,,,,,,,,['France'],[],[],,?,,172,,"8,2",,"22,5",,"2,2",,,,,,,,,720 kj(172 kcal),4,"3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sel fin rose d'himalaya,8006614283077,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tomaten gehackt mit Peperoni - Mondo Italiano - 400g,0091100007815,A,400 g,['Dose'],['Mondo Italiano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve']",,,,"['France', 'Allemagne']",[],[],,?,,?,,?,,?,,?,,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Barre Granola Crunch,0722252295019,,,,,,,,,['France'],[],[],,?,,200,,"1,5",,28,,3,,,,,,,,,837 kj(200 kcal),0,12,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,
67,Graines de courges - 65g,3263851432506,,65 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,,,['France'],[],[],,?,,534,-6%,"36,3",-18%,"27,5",+239%,"20,8",-31%,,,,,,,,2234 kj(534 kcal),"4,9","27,5","0,01","0,004",,36.3 g,en quantité élevée,4.9 g,en quantité modérée,27.5 g,en quantité élevée,0.01 g,en faible quantité,-6%,-35%,+2250%,-98%,-98%,16,+51%,D,+51%,"['EMB 92002F', 'Antony (Hauts-de-Seine, France)']",,,,,,
68,Mélange nuts et berries sans sel - Festifruits,3352396100169,,,,['Festifruits'],,,,,['France'],[],[],,?,,518,,"31,5",,"45,9",,"12,7",,,,,,,,,2167 kj(518 kcal),"2,4",34,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,
69,Lov Organic - Agrumes épices,3760118779980,,,,['Lov organic'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pot De Crème Façon Tarte Citron -,8712100693540,,,,,,,,,['France'],[],[],,?,,387,,"1,2",,90,,"4,8",,,,,,,,,1619 kj(387 kcal),"0,5",79,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,
71,Punch des îles - Chatel - 1litre,3289250290011,,1 litre,,['Chatel'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Paome,8008455001704,,,,,,,,,['France'],[],[],,?,,352,,"1,5",,"70,3",,13,,,,,,,,,1473 kj(352 kcal),"0,3","3,4","0,01","0,004",['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,
73,Confiture de la belle clementine - Gourmet Tambour,3396860000043,D,,,['Gourmet Tambour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",,,,['France'],[],[],,?,,?,,?,,?,,?,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,naturbal - 600g,5997214481792,,600 g,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8023179000598,8023179000598,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
