,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
10,225g,2127726861543,225 g,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
11,bonbon menthe stevia - riniel - 30grammes,21217067,30 grammes,,['Riniel'],,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
12,Gâteau basque - Saveurs de nos régions,21217247,,,['Saveurs de nos régions'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,['Lidl'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
13,Moma porridge  - 7x65g,21243387,7x65g,,['Moma'],,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
14,Saint Nectaire fermier,2136688016076,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",['AOP'],,,['France'],[],,,[],,22 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,344,+1%,1439 kj(344 kcal),+1%,22,-20%,20,+6%,1,-2%,"0,5",+71%,22,+0%,"1,1",-26%,"0,44",-26%,13,-13%,D,-13%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
15,2137172004821,2137172004821,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
16,Poulet - Optigal,2137738007303,,,['Optigal'],,['Fabriqué en Suisse'],,,['France'],"['Ostschweizer Poulet Schnitzel Poulet Brust Fleisch Hergestellt in der Schweiz mit Ostschweizer Fleisch', ' Kuchenhygienehinweis: Vor dem Verzehr vollstandig durcher hitzen', ' Bitte beachten Sie den Hinweis auf der Rückseite der Preisetikette']",,,[],,,,,,,,,,?,,106,,444 kj(106 kcal),,2,,1,,"0,5",,"0,5",,22,,0,,0,,,,,,,,,,,,,,,,,,
17,Le gruyere switzerland - Migros,2138297005502,,,['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",['Bio'],,,['France'],[],,,[],,33 g,en quantité élevée,21 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,407,+2%,1703 kj(407 kcal),+2%,33,+2%,21,+16%,"0,5",+14%,"0,1",+0%,27,+0%,"1,5",+3%,"0,6",+3%,16,+12%,D,+12%,,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
18,Gruyere switzerland mi salé - Migros,2138297006950,,,['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']","['Bio', 'AOP']",,,['France'],[],,,[],,33 g,en quantité élevée,21 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,407,+2%,1703 kj(407 kcal),+2%,33,+2%,21,+16%,"0,5",+14%,"0,1",+0%,27,+0%,"1,5",+3%,"0,6",+3%,16,+12%,D,+12%,,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
19,"Mini-salamis, Mild - Salamio - 250g",21357633,250 g,,['Salamio'],,,,,['France'],"['Schweinefleisch', 'Nitritpökelsalz ', 'Speisesalz', 'Konservierungsstoff Natriumnitrit', 'Maltodextrin', 'Dextrose', 'Gewürze', 'Antioxidationsmittel ', 'Natriumisoascorbat', 'Ascorbinsäure', 'Reifekulturen', 'Rauch', ' Kann Spuren von Senf enthalten', ' 100 g dieses Erzeugnisses werden aus 149 g Schweinefleisch hergestellt']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E300 - Acide ascorbique']",['Moutarde'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,455,,1904 kj(455 kcal),,38,,17,,"3,5",,"1,9",,24,,"3,3",,"1,32",,,,,,,,,,,,,,,,,,
