,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
292,Crème fouettée - Valflora Migros - 250ml,22136169,250ml,,"['Valflora Migros', 'Valflora']",,,,['Migros'],"['France', 'Suisse']","['Crème avec 35% de matière grasse', 'sucre', 'émulsifiant: E471', 'épaississant: E407', 'gaz propulseur: E942']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E942 - Protoxyde d'azote""]",,"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,1440,,?,,1440 kj(344 kcal),,33,,"19,6",,11,,11,,2,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
293,"Obst Riegel, Multifrucht - Knusperone",22136244,,,['Knusperone'],,,,,['France'],[],,,[],,,,,,,,,,?,,313,,1310 kj(313 kcal),,"2,2",,"0,8",,66,,53,,"1,8",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,
294,Frische Eier aus Bodenhaltung - Landvogt - 10Stück,22136640,10 Stück,"['Karton', 'stück']",['Landvogt'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol', 'Œufs frais']",['de:KAT'],,['Aldi'],"['France', 'Allemagne', 'Royaume-Uni']",['Ei'],,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,11 g,en quantité modérée,3.3 g,en quantité modérée,0.5 g,en faible quantité,0.32 g,en quantité modérée,?,,153,+9%,640 kj(153 kcal),+8%,11,+11%,"3,3",+32%,"0,6",+10%,"0,5",+14%,13,+3%,"0,32",+14%,"0,128",+14%,0,,B,,Frische Eier,,,D,['2-DE1600611'],91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,
295,Crème fraîche - milfina - 200g,22136787,200 g,"['Kunststoff', 'Aluminium']","['Milfina', 'Bayenland']","['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes aigres']",['Sans OGM'],,,"['France', 'Allemagne']","['Crème fraîche', '30% Fett']",,,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1,30 g,en quantité élevée,20 g,en quantité élevée,2.4 g,en faible quantité,0.08 g,en faible quantité,1193,+40%,?,,1193 kj(285 kcal),+21%,30,+29%,20,+29%,"2,4",-34%,"2,4",-26%,"2,5",-5%,"0,08",-32%,"0,032",-32%,13,+11%,D,+11%,"Crème fraîche, 30% Fett",,,C,['DE BY 306 EG'],68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,
296,Hojiblanca - Spanische geschwärzte Oliven - Gartenkrone - 320g,22137074,320 g,['Glas'],['Gartenkrone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",,,['Aldi'],"['France', 'Allemagne', 'Suisse']","['Oliven ', '50%', 'Wasser', 'Salz', 'Stabilisator : Eisen-II-Gluconat']",['E579 - Gluconate de fer'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,13.2 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,2 g,en quantité élevée,521,-32%,?,,521 kj(125 kcal),-34%,"13,2",-28%,"2,2",-21%,0,-100%,0,-100%,"0,5",-62%,2,-43%,"0,8",-43%,11,-11%,D,-11%,,['Spanien'],,A,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Espagne']
297,Mascarpone Aldi - Cucina - 250g,22137814,250 g,"['', 'Becher']",['Cucina'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",['Fabriqué en Allemagne'],,,"['France', 'Allemagne']",[],,,[],,40 g,en quantité élevée,27.6 g,en quantité élevée,2.1 g,en faible quantité,0.05 g,en faible quantité,?,,385,+1%,1611 kj(385 kcal),+1%,40,+3%,"27,6",+2%,"2,1",-33%,"2,1",-31%,"4,2",-15%,"0,05",-47%,"0,02",-47%,12,+1%,D,+1%,"Frischkäse nach italienischer Art, wärmebehandelt",['Italien'],,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
298,Pancho villa tortillas - 326g,22137906,326 g,,['Pancho Villa'],['en:Tortillas'],,,,"['France', 'Suisse']","['Farine de blé', 'eau', 'stabilisant ', 'glycérol', 'huile de tournesol', 'émulsifiant ', ""mono - et diglycérides d'acides gras"", 'dextrose', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique', 'sel de cuisine', ' Conditionnées sous atmosphère protectrice']",,,[],,5 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,1 g,en quantité modérée,1255,,?,,1255 kj(300 kcal),,5,,1,,53,,2,,9,,1,,"0,4",,0,,B,,,,,,,,,,,,,,
299,Mozzarella bio - Migros - 150g,22137920,150 g,['♷'],['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['Bio', 'Bio européen', 'CH-BIO-006']",,['Migros'],"['France', 'Allemagne', 'Suisse']","['Mozzarella ', 'fromage frais **', 'sel de cuisine', ' ** De production biologique suisse']",,['Lait'],['Non végétalien'],3,18 g,en quantité modérée,11 g,en quantité élevée,0.1 g,en faible quantité,0.5 g,en quantité modérée,?,,244,-26%,1021 kj(244 kcal),-25%,18,-32%,11,-38%,"0,1",-92%,"0,1",-87%,19,-7%,"0,5",-62%,"0,2",-62%,10,-27%,C,-27%,,['Suisse'],,B,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Suisse']
300,Müllbeutel mit Tragegriffen,22137975,,['Packung(en)'],,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
301,Gemahlene Mandeln - Back Family - 100g,22138262,100g,"['PP', 'PE', '07', '♷']",['Back Family'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Farines de fruits à coques', 'Amandes en poudre']",['Point Vert'],,"['Aldi Süd', 'Aldi']","['France', 'Allemagne', 'Suisse']",['Mandeln'],,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,55 g,en quantité élevée,3.8 g,en quantité modérée,5.5 g,en quantité modérée,0.1 g,en faible quantité,?,,622,-0%,2602 kj(622 kcal),+0%,55,+3%,"3,8",-10%,7,-19%,"5,5",+30%,21,-9%,"0,1",+286%,"0,04",+286%,1,-82%,B,-82%,gemahlene Mandeln,,,E,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,['États-Unis']
302,Werther's Original - Storck,22138811,,,['Storck'],,,,,['France'],"['Ingrédients:\xa0Sucre', 'sirop de glucose', 'de blé ou de maïs', 'crème', 'lactosérum condensé', 'beurre', 'sucre de canne', 'sirop', 'sel', 'émulsifiant lécithine de soja', 'arôme artificiel']",,['Lait'],['Non végétalien'],4,,,,,,,,,?,,424,,1774 kj(424 kcal),,"8,4",,"5,7",,"86,9",,"71,6",,"0,3",,1,,"0,4",,,,,,,,,,,,,,,,,,
303,Bündnerfleisch,22139078,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,"3,5",,"1,5",,1,,"0,5",,38,,"4,8",,"1,92",,,,,,,,,,,,,,,,,,
304,Petit Suisse Joghurt - Migros - 300g,22139108,300 g,,['Migros'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",,,,"['France', 'Suisse']",[],,,[],,3.1 g,en quantité modérée,1.8 g,en quantité modérée,18 g,en quantité élevée,0.1 g,en faible quantité,?,,132,+21%,552 kj(132 kcal),+22%,"3,1",-41%,"1,8",-48%,21,+228%,18,+203%,5,-37%,"0,1",+2%,"0,04",+2%,2,+531%,B,+531%,Petits suisses aux fruits aromatisés,,,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,
305,Amaroy Kaffee Pads,22139115,,,['Amaroy'],['Boissons'],"['Agriculture durable', 'en:UTZ Certified']",,,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,"0,1",-71%,"0,1",-15%,"0,1",-99%,"0,1",-99%,"0,1",-80%,"0,1",+141%,"0,04",+141%,2,-74%,C,-74%,,,,,,,,,,,,,
306,Macadamia nusse - Farmer - 125g,22139467,125 g,['Sachet'],['Farmer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de Macadamia']",,,,['France'],[],,,[],,75 g,en quantité élevée,11.4 g,en quantité élevée,5.3 g,en quantité modérée,0.8 g,en quantité modérée,?,,737,+2%,3084 kj(737 kcal),+2%,75,+4%,"11,4",+1%,"7,9",-4%,"5,3",+14%,"8,2",-1%,"0,8",+134%,"0,32",+134%,20,+31%,E,+31%,,,,D,,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,
307,"Cornichons knackig, mit Honig verfeinert - Garyenkrone - 350g",22139566,350 g,['Glas'],['Garyenkrone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,"['France', 'Allemagne']","['Prod', ' G BBTENKRO/VF PREMIUM CORNICHON 5 knackig', 'mit Honig verfeintn']",,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,1.1 g,en quantité modérée,?,,59,+119%,247 kj(59 kcal),+131%,"0,5",+69%,"0,1",+46%,11,+220%,10,+283%,"1,6",+58%,"1,1",-36%,"0,44",-36%,1,-54%,B,-54%,,,,,,,,,,,,,
308,Mozzarella Minis leicht - Cucina - 125g,22139665,125 g,,['Cucina'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",['Fabriqué en Allemagne'],,,"['Autriche', 'France', 'Allemagne']",[],,,[],,19 g,en quantité modérée,13 g,en quantité élevée,1.5 g,en faible quantité,0.4 g,en quantité modérée,?,,249,-4%,1042 kj(249 kcal),-4%,19,-8%,13,-7%,"1,5",+46%,"1,5",+99%,18,+7%,"0,4",-41%,"0,16",-41%,9,-12%,C,-12%,,['Deutschland'],,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
309,Ice Coffee - milfina - 200g,22139740,200 g,['Kunststoff'],"['Milfina', 'M Classic']","['Epicerie', 'Sauces', 'Tzatzíki']",,,"['Aldi', 'Migros']","['France', 'Allemagne', 'Suisse']","['lait écrémé', 'eau', 'sucre', 'crème', 'sirop de glucose', 'extrait de café 0', '3%', 'extrait de chicorée', 'arôme', 'stabilisant: E331', 'épaississant: E407']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,1 g,en faible quantité,0.5 g,en faible quantité,9 g,en quantité modérée,0.1 g,en faible quantité,260,-55%,?,,260 kj(62 kcal),-55%,1,-91%,"0,5",-82%,10,+164%,9,+230%,3,-39%,"0,1",-88%,"0,04",-88%,0,-100%,B,-100%,Creme auf Basis Speiseuqark mit Gurken und Knoblauch,,,,['DE NI 33000 EG'],,,,,,,,
310,Rinder Hüftsteaks,22140029,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"2,2",,"1,3",,0,,0,,22,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,
311,"Excellence, Truffes - Migros - 150g",22140128,150 g,"['Frais', 'Plastique', 'Pot']",['Migros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,['Migros'],"['France', 'Allemagne', 'Suisse']","['yogourt à la crème ', 'lait écrémé', 'crème', 'protéines du lait', 'préparation de truffes 19% ', 'sucre', 'eau', 'chocolat', 'cacao en poudre', 'pâte de noisette', 'amidon modifié de maïs cireux', 'lait en poudre', 'jus de citron concentré', 'arômes', 'sucre 5', '7%', 'arôme vanille']",['E14XX - Amidons modifiés'],"['Lait', 'Fruits à coque']",['Non végétalien'],4,8.6 g,en quantité modérée,5 g,en quantité modérée,19 g,en quantité élevée,0.1 g,en faible quantité,710,+92%,170,+85%,710 kj(170 kcal),+85%,"8,6",+163%,5,+144%,20,+82%,19,+88%,3,-20%,"0,1",-13%,"0,04",-13%,9,+194%,C,+194%,,['Suisse'],,,['CH 2434'],,,,,,,,
312,"Novabronch Bonbon, Zitrone-Ingwer",22140333,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,391,,1636 kj(391 kcal),,0,,0,,97,,66,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,
313,Jus de Tomate au Sel Marin ou Jus de Carotte au Miel - Bio Smiley - 1L e,22141354,1 L e,"['Brique', 'Carton']","['Bio Smiley', 'Aldi']","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates', 'Jus de carotte', 'Jus de tomates à base de concentré', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen']",,['Aldi'],"['Belgique', 'France', 'Allemagne']","['Jus de carotte 96', '8 %', 'miel 3 %', 'jus de citron à base de jus de citron concentré', 'antioxydant: acide ascorbique', '\r Jus de tomate à partir de concentré de jus de tomate ', '98,4 %', 'jus de citron à base de jus de citron concentré', 'sel marin']",['E300 - Acide ascorbique'],,['Non végétalien'],3,0 g,en faible quantité,0 g,en faible quantité,3.3 g,en quantité modérée,0.7 g,en quantité modérée,?,,20,-26%,84 kj(20 kcal),-26%,0,-100%,0,-100%,"3,3",-36%,"3,3",-15%,"0,8",-8%,"0,7",+13%,"0,28",+13%,-1,,B,,Tomaten Saft / Karottensaft,,,,,,,,,,,,
314,Erbsen mit Möhren - Gartenkrone - 200g,22141583,200 g,['Dose'],['Gartenkrone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
315,Honey Rings - Knusperone,22141682,,,['Knusperone'],,,,,['France'],[],,,[],,,,,,,,,,?,,381,,1594 kj(381 kcal),,"3,3",,"0,6",,75,,21,,"9,2",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,
316,"Knusperone, Schoko - Aldi - 750g",22141767,750 g,['Karton'],"['Aldi', 'Knusperone']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons extrudés']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,['Aldi'],"['France', 'Allemagne']",['sdIQD oyouof'],,,[],,3.7 g,en quantité modérée,0.8 g,en faible quantité,23 g,en quantité élevée,0.3 g,en quantité modérée,?,,384,-4%,1607 kj(384 kcal),-5%,"3,7",-58%,"0,8",-65%,74,+9%,23,+49%,10,+12%,"0,3",-36%,"0,12",-36%,0,-100%,B,-100%,,,,C,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,
317,"Choceur Edel Marzipan mit Orange, Marzipan Orange - 300g",22142917,300 g,,['Choceur'],,"['Agriculture durable', 'en:Contains alcohol', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,['France'],"['Mandeln gemahlen ', '14%', 'Glukosesirup', 'Kakaomasse', 'Kakaobutter', 'Vollmilchpulver', 'Sauerkirschsaft ', '3%', 'Jamaica Rum ', '2 %', 'Sauerkirschen \rsmittel: Pektine', ' Emulgator: Lecithine', ' Säuerungsmittel: Citronensäure', ' Aroma', 'Feuchthaltemittel: Invertase', ' Säureregulator: Natriumcitrate', ' Kann \rnüsse', 'Pistazien', 'Weizen', 'Gerste', 'Soja und Ei enthalten', ' Alkoholhaltig', ' Kühl und trocken lagern']","['E440 - Pectines', 'E322 - Lécithines', 'E330 - Acide citrique', 'E1103 - Invertase', 'E331 - Citrates de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,,,,,,,,,?,,435,,1820 kj(435 kcal),,"18,8",,"7,1",,"57,8",,"57,4",,"5,3",,"0,06",,"0,024",,,,,,le (33%) gefüllt mit Rum-Edelmarzipan (40%) und Kirsch-Fruchtzubereitung (27%).,,,,,,,,,,,,
318,Reibekuchen - Landvogt,22143372,,,['Landvogt'],,,,,['France'],"['REIBEKUCHEN Fertig gebacken und blitzschnell verzehrfertig Zutaten: Kartoffeln 71 %', 'Zwiebeln 12 %', 'Rapsôl', 'Weizenmehl', 'Vollei,l', ' Haferflocken', 'Speisesalz', 'Gewürze ', 'enthâlt Sellerie', 'Dextrose', 'getrockneter Glukosesirup', 'Zucker', 'gekôrnte Brühe ', 'Speisesalz', 'hydrolisiertes RapseiweiG', 'hydrolisiertes Maiseiweifl', ' 1', ' aus Bodenhaltung Herkunftsland der Kartoffeln: Deutschland']",,,[],4,,,,,,,,,?,,178,,745 kj(178 kcal),,"8,5",,"0,7",,21,,2,,"2,8",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,
319,Thaï - Casino - 500g,22143952,500 g,['Sachet'],['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï']",,,['Casino'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,C,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,
320,Schwarzer Johannisbeer Nektar,22144058,,,,,"['Végétarien', 'Végétalien']",,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,11,,10,,0,,,,,,,,,,,,,,,,,,,,,,
321,Apfel  Kirsch Saft -,22144140,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']","['Végétarien', 'Végétalien']",,,"['France', 'Pays-Bas']",[],,,"['Végétalien', 'Végétarien']",,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,?,,46,+2%,192 kj(46 kcal),+3%,0,-100%,0,-100%,11,+6%,10,+4%,0,-100%,0,-100%,0,-100%,14,+107%,E,+107%,,,,C,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,
322,Steinofenbaguette,22144201,,,,,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
323,"Milch Snack, Kokos",22144263,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,474,,1983 kj(474 kcal),,29,,19,,48,,37,,"5,3",,"0,28",,"0,112",,,,,,,,,,,,,,,,,,
324,Mille shake,22145161,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,107,,448 kj(107 kcal),,"5,1",,"3,2",,12,,11,,"3,3",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,
325,Norwegischers Lachsfilet,22145208,,,,"['Produits de la mer', 'Poissons', 'Saumons']",,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,E,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,
326,Erdbeere zauber - Desira - 500g,22145239,500 g,,['Desira'],,,,,['France'],[],,,[],,,,,,,,,,?,,133,,556 kj(133 kcal),,"5,4",,"3,3",,15,,14,,"6,1",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,
327,"Westcliff Früchtetee (aldi), Winterharmonie  ( orange zimt marzipan)",22145451,,,['Westcliff'],['Boissons'],,,,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,"0,2",-98%,"0,1",-99%,0,-100%,0,-100%,0,-100%,2,-74%,C,-74%,,,,,,,,,,,,,
328,Dinkelbrötchen - Mühlengold - 300g,22145994,300 g,['Kunststoff'],['Mühlengold'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,['Aldi'],['France'],"['Dinkelweizenmehl', 'Wasser', 'Sonnenblumenkerne', 'Hefe', 'Weizen - mehl', 'Sauerteig ', 'Roggenmehl', 'Wasser', 'Gerstenmalzmehl', 'Gerstenmalz - extrakt', 'Meersalz', 'Traubenzucker', 'Säureregulator Natriumacetate']",['E262 - Acétates de sodium'],['Gluten'],['Sans huile de palme'],3,4.93 g,en quantité modérée,0.667 g,en faible quantité,1.87 g,en faible quantité,1.11 g,en quantité modérée,1180,-13%,?,,1180 kj(282 kcal),-14%,"4,93",-20%,"0,667",-43%,"46,7",-15%,"1,87",-52%,"9,73",+2%,"1,11",-13%,"0,443",-13%,2,-61%,B,-61%,,['Bocholt'],,,,,,,,,,,
329,Basis Müsli - DM - 750g,22147147,750 g,,['DM'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Bio européen']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,B,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,
330,Corned Beef - Böklunder - 150g,22147165,150 g,,['Böklunder'],"['Viandes', 'Bœuf']",,,['Aldi'],"['France', 'Allemagne']",[],,,[],,2 g,en faible quantité,1.1 g,en faible quantité,1 g,en faible quantité,2.5 g,en quantité élevée,?,,118,-34%,494 kj(118 kcal),-34%,2,-79%,"1,1",-72%,1,-6%,1,+129%,24,+19%,"2,5",+125%,1,+125%,12,+129%,D,+129%,,,,,,,,,,,,,
331,"Nuss Frucht Mix, Cranberry - Farmer - 40g",22147356,40 g,,['Farmer'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']","['Agriculture durable', 'en:UTZ Certified']",,,"['France', 'Allemagne', 'Suisse']","['100 g 2157 kJ 51 - ? Fett 32,1 g - davon gesâttigte Fettsâuren Kohlenhydrate 39,4 g - davon Zucker 27,5 g']",,,[],3,32.1 g,en quantité élevée,7 g,en quantité élevée,27.5 g,en quantité élevée,0.15 g,en faible quantité,?,,518,-7%,2167 kj(518 kcal),-7%,"32,1",-26%,7,+26%,"39,4",+107%,"27,5",+200%,"15,1",-6%,"0,15",-55%,"0,06",-55%,8,+25%,C,+25%,,,,,,,,,,,,,
332,Trinkjoghurt Vanille,22147783,,,,,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
333,"Streichzarte Leberwurst, fein - Stockmeyer - 125g",22147790,125g,,['Stockmeyer'],,,,,"['France', 'Allemagne', 'Royaume-Uni']",[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,34,,14,,"1,5",,"1,5",,12,,2,,"0,8",,,,,,,,,,,,,,,,,,
334,"Salade d'Orzo avecFromage, Croûtons et Dressing Sylter Art - Snack Time - 350g e",22148995,350 g e,"['Carton', 'Plastique']",['Snack Time'],"['Plats préparés', 'Salades', 'Salades composées']",,,,"['France', 'Allemagne']","['Salade composée 23 % de pâtes de blé dur cuites ', ' semoule de blé', 'eau', 'huile de colza', 'sel', 'salade de maïs', '10 % gouda ', '48% de matière grasse', 'frisée', '6 % de croûtons ', 'farine de blé', 'huile de tournesol', 'huile de tournesol', 'sel', 'levure', ' ', 'œuf', 'eau', 'vinaigre', 'sel de table', '4 % de noix', 'chicorée', '\r Sauce Sylter ', '29 %', ' Sauce Sylter: eau', 'huile de colza', ""12 % d'oignons"", 'sucre', 'vinaigre de vin', 'amidon de tapioca', 'jaunes d’œufs', 'sel', 'graines de moutarde', 'épices', 'assaisonnements', ""régulateurs d'acidité: acétate de sodium"", 'épaississant: carraghénane', 'gomme xanthane']","['E330 - Acide citrique', 'E262 - Acétates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']","['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,13 g,en quantité modérée,2.6 g,en quantité modérée,3.8 g,en faible quantité,0.85 g,en quantité modérée,?,,196,+29%,820 kj(196 kcal),+30%,13,+45%,"2,6",+93%,13,+29%,"3,8",+68%,"5,7",+3%,"0,85",-3%,"0,34",-3%,4,+163%,C,+163%,,,,,,,,,,,,,
335,Multivitamin,22149442,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
336,"Mousse Au Chocolat , Sauerkirsch-chili - Moser roth",22149886,,,['Moser roth'],,"['Agriculture durable', 'en:UTZ Certified']",,,['France'],"['Edel-Bitterschokolade ', 'Kakaomasse', 'Kakaobut - ter', 'Zucker', 'magerer Kakao', 'Emulgator Lecithine ', 'Soja', 'Vanilleextrakt', 'Zucker', 'Kakaomasse', 'Glukosesirup', 'But - terreinfett', 'konzentrierter Orangensaft ', '4,5%', 'Glukose - Fruktose-Sirup', 'Kakaobutter', 'Feuchthaltemittel Sorbitsirup', 'Orangenschalen', 'Sâuerungsmittel Citronensâure', 'Emulga - tor Lecithine ', 'Soja', 'Aromen', 'Maisstârke', 'fârbende Konzen - trate ', 'Aronia', 'Schwarze Karotte', ' Kann auch Anteile von Haselnuss', 'Mandel', 'Erdnuss und anderen Nüssen enthalten']","['E322 - Lécithines', 'E420ii - Sirop de sorbitol']","['Fruits à coque', 'Arachides', 'Soja']",[],4,,,,,,,,,?,,539,,2255 kj(539 kcal),,"38,2",,"23,8",,"36,4",,"27,3",,"7,3",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,
