,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
513,Bonbons fourrés à la châtaigne,3511280404015,['France'],[],[],?,372,1556 kj(372 kcal),"0,6","0,16","91,1","59,7","0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Vin chateau lamothe,3258691563923,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,rôti de porc cuit - tradival - 640gr,0241006041721,['France'],[],[],?,123,515 kj(123 kcal),3,"1,4","0,8",,23,"1,8","0,72",['Ce très Val de loire'],['Tradival'],,"['Viandes', 'Viandes cuites', 'Viande blanche cuite', 'Porc', 'Viande de porc cuite']",3 g,en quantité modérée,1.4 g,en faible quantité,,,1.8 g,en quantité élevée,,-21%,-15%,-52%,-46%,-43%,,+13%,+7%,+7%,,,,,,,,,,,,640 gr,['super u'],"['0241006041721', 'FR 45.147.004 CE', 'Fleury-les-Aubrais (Loiret, France)']",['sous vide'],,,['Fleury les aubris'],,,,,
516,Mélange sportif,2600688037329,['France'],[],[],?,484,2025 kj(484 kcal),30,"2,2",31,30,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Filet de veau,3760192206921,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Cidre rosé le pressoir d'or,3760069963353,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Lomo de cebo ibérico raza ibérica peso aproximado,8428015105695,['France'],[],[],?,332,1389 kj(332 kcal),"21,2","8,9","1,4","0,8",34,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,petit pain chocolat,0255018033452,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Charlotte chair ferme,3332230008264,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Croustillant chocolat BP decongele,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Noisettes decortiquees,3384831749978,['France'],[],[],?,682,2853 kj(682 kcal),63,"4,5","7,74","4,34","13,9","0,04","0,016","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-014']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Coquilles de poisson,3548150520209,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Jus de tomate salé - Saxo,3560070736638,['France'],[],[],75,18,75 kj(18 kcal),~ 0,~ 0,"3,5","2,9","0,6","0,6","0,24",,['Saxo'],,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",0 g,en faible quantité,0 g,en faible quantité,2.9 g,en quantité modérée,0.6 g,en quantité modérée,-7%,-10%,-9%,-100%,-100%,-5%,-10%,-20%,+42%,+42%,-3,,B,,,,,,,,,,,,"['Bouteille', 'Verre']",,,,,,,,
526,Les chocolats d'augustin,3760077186003,['France'],[],['Sans huile de palme'],?,528,2209 kj(528 kcal),"30,2","11,7","50,5","46,6","11,7","0,1","0,04","['Fabriqué en France', 'en:palm-oil-free']","[""Les Chocolats d'Augustin""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Sel rose Himalaya,0634158724787,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,
528,Infusion pamplemousse rose - Racines Bio - 50g,3700019520694,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen']",['Racines Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,
529,Confit de canard,3331080005003,['France'],[],[],?,351,1469 kj(351 kcal),"28,8","9,9","0,1",0,23,"2,38","0,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Raspberry jelly trifle,00361439,['France'],[],[],?,146,611 kj(146 kcal),"7,2","5,2","17,8","16,1","2,1","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Emmental bloc lait pasteurisé - Carrefour,3560071082444,['France'],[],[],?,379,1586 kj(379 kcal),29,19,"0,5","0,5",29,"0,85","0,34",,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,
532,Fuet maxi,3660071000025,['France'],[],[],?,478,2000 kj(478 kcal),38,14,"3,3","2,6",30,"4,3","1,72",['Fabriqué en Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Grattons Lyonnais,2628451022082,['France'],[],[],?,675,2824 kj(675 kcal),59,25,"2,9","0,5",33,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.043.005 CE', 'Chaponost (Rhône, France)']",,,,,,,,,
534,Délice de rougets aux 4 épices - 90g,3424096030104,['France'],[],[],?,217,908 kj(217 kcal),"16,1","2,7","4,2","2,2","13,2",1,"0,4",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,"['EMB 84036D', 'Châteauneuf-de-Gadagne (Vaucluse, France)']",,,,,,,,,
535,Chavroux,2855844003148,['France'],[],[],?,162,678 kj(162 kcal),13,9,"2,6","2,6","8,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Soupe de poisson a la provencale,3269660001100,['France'],[],[],?,34,142 kj(34 kcal),"0,7","0,1","2,1",1,4,"0,8","0,32",,,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",0.7 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,0.8 g,en quantité modérée,,-29%,-29%,-63%,-78%,+15%,+54%,-23%,-9%,-9%,1,+15%,B,+15%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,"['FR 85.164.001 CE', 'Notre-Dame-de-Monts (Vendée, France)']",,,,,,,,,
537,Jus De Pomme/Mirabelle De Lorraine,,['France'],[],[],?,?,,?,,?,,?,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Miel de chataigner,3760223370041,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Duo carotte choux blanc,2055827014691,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Colorado Raw Unfiltered Honey - Kirkland,0096619222834,['France'],[],[],?,?,,?,,?,,?,,,,['Kirkland'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
541,Sangría con vino tinto - P.A. & Co.,8410745500437,['France'],[],[],?,?,,?,,?,,?,,,,['P.A. & Co.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Chutes pour omelettes,72402405,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Margarina Ligera,3560070211470,['France'],[],[],?,364,1523 kj(364 kcal),40,13,0,0,0,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Torsades Choco,0202168013124,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Yaourt bio,3770000402735,['France'],[],[],?,89,372 kj(89 kcal),"3,29","0,1","13,1","6,6","3,22","0,14","0,056","['Bio', 'Bio européen', 'FR-BIO-12']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Eclair au chocolat,0209898019617,['France'],[],[],?,212,887 kj(212 kcal),"5,7",2,33,23,"4,7","0,21","0,084",,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",5.7 g,en quantité modérée,2 g,en quantité modérée,23 g,en quantité élevée,0.21 g,en faible quantité,,-17%,-17%,-54%,-66%,+4%,+14%,+8%,-45%,-45%,6,-53%,C,-53%,,,,,,,,,,,,,,,,,,,
547,Pain de mie - 250g,3228850948465,['France'],[],[],?,283,1184 kj(283 kcal),"4,3","0,5","50,2","6,5",9,"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
548,Gouda au cumin,2237410028470,['France'],[],[],?,375,1569 kj(375 kcal),"30,8",21,"0,5","0,5","23,7","1,9","0,76",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.8 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+0%,+1%,0%,0%,+122%,+131%,0%,+4%,+4%,17,+3%,D,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
549,Garlic sea salt,0715483085627,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Brie Label Rouge,0205722011482,['France'],[],[],?,314,1314 kj(314 kcal),26,18,2,2,18,"1,6","0,64",['Label Rouge'],,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",26 g,en quantité élevée,18 g,en quantité élevée,2 g,en faible quantité,1.6 g,en quantité élevée,,+1%,+1%,+0%,-1%,+186%,+426%,-5%,+1%,+1%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
551,Assortiment de pâtisseries grecques,5425005030671,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Pois Wasabi - Tanoshi,57631332,['France'],[],[],?,422,1766 kj(422 kcal),"8,7",3,64,11,15,"2,2","0,88",,['Tanoshi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Sweets Nafeeseh,6253502970027,['France'],[],[],?,430,1799 kj(430 kcal),10,0,18,16,9,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Amix Oatmash-avena 2 KG Doble Chocolate,8594159538078,['France'],[],[],?,339,1418 kj(339 kcal),"5,6","1,2",59,2,"8,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Nem porc,3700844300270,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Sirop d'érable biologique pur,0736211745040,['France'],[],[],?,210,879 kj(210 kcal),0,0,53,51,0,0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Miel de lavande -,3760216130096,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
558,Baguette céréales bio,0201170005585,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Cabardès,14543934,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Professional collagen,8435569300810,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Weltmeisterbrot - 750g,4009249036333,['France'],[],[],?,249,1042 kj(249 kcal),5,"0,9",40,2,"8,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,,,
562,8425630001067,8425630001067,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'ES-ECO-006-AR']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Poitrine de porc,2238769022966,['France'],[],[],?,202,845 kj(202 kcal),15,"5,2","0,9","0,9",16,"3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Carbonara Pasta Sauce - Morrisons - 340g,5010251587842,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,['Morrisons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,['Bottle'],,,,,,,,
565,Monoprix cuisses de poulets,2201264020478,['France'],[],[],?,?,,?,,?,,?,,,,['Monoprix'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Monoprix'],,,,,,,,,,
566,Serrano Schinken,2340190004586,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Harissa paste ASDA,5054781312536,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,C,"['Epicerie', 'Sauces', 'Harissas']",,,,,,,,,,,,,,,,,,,,,,,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,"['Tubo', 'jar', 'jar(s)']",,,,,,,,
568,BIO skinny water,5034839007478,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Eau,1392013061253,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Schwarzkirschen - Hofgut,4306205632425,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Hofgut'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de plantes en conserve', 'Fruits en conserve', 'Fruits au sirop', 'Cerises au sirop']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,
571,Pflaumen halbe Frucht - Hofgut,4306205631329,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Hofgut'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Prunes']",,,,,,,,,,,,,,,,,,,,,,,92.5%,0.0%,0.0%,3.3%,3.2%,1.0%,63,,,,['Glas'],,,,,,,,
572,Mermelada frambuesa la vieja fábrica,8414555010001,['France'],[],[],?,281,1176 kj(281 kcal),0,0,55,55,2,0,0,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,saumon fumé écosse,2889451074451,['France'],[],[],?,15,63 kj(15 kcal),0,0,0,0,30,0,0,,,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'en:smoked-salmons-from-scotland']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-92%,-92%,-100%,-100%,-100%,-100%,+38%,-100%,-100%,-5,-138%,A,-138%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,
574,Remise à zéro - Green Shoot,3760132083582,['France'],[],[],?,22,92 kj(22 kcal),"1,1","0,3","2,5","1,8","0,5","0,64","0,256",['Bio'],['Green Shoot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Brownie - Bonneterre,3396411847486,['France'],[],[],?,483,2021 kj(483 kcal),30,13,45,35,"6,6","0,56","0,224",['Bio'],['Bonneterre'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Confit de figues - Franprix,65305164,['France'],[],[],?,161,674 kj(161 kcal),"0,4",0,"37,3","34,2","0,7","0,9","0,36",,['Franprix'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Confits de figues']",0.4 g,en faible quantité,0 g,en faible quantité,34.2 g,en quantité élevée,0.9 g,en quantité modérée,,-16%,-16%,-27%,-100%,-14%,-17%,-19%,+109%,+109%,4,-50%,C,-50%,,,,,,,,,['Franprix'],,,,,,,,,,
577,Tablettes Chocolat Riz Croustillant 85G - 85g,5412860120166,['France'],[],[],?,518,2167 kj(518 kcal),"32,5","20,4","50,1","36,9",2,"0,218","0,087",['Sans lactose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 g,,,,,,,,,,,
578,Andouille de vire,2445230024538,['France'],[],[],?,223,933 kj(223 kcal),16,8,"0,2",0,19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Pâte à sucre fushia,5010301319768,['France'],[],[],?,393,1644 kj(393 kcal),"4,2","2,4","89,2","87,7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Caramelos de goma sabor fresas silvestres - El Corte Ingles,8433329074926,['France'],[],[],?,336,1406 kj(336 kcal),"0,5",0,80,59,"4,1","0,1","0,04",,['El Corte Ingles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Poitrine demi sel fumée,2633224030836,['France'],[],[],?,227,950 kj(227 kcal),25,10,0,0,13,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Sweet chilli and red pepper cooking sauce,5000197156745,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jar'],,,,,,,,
583,Cuisses de poulet rôti - Le Gaulois,0217637041263,['France'],[],[],?,?,,?,,?,,?,,,,['Le Gaulois'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
584,"Miel à Tartiner De Dordogne, 500G",3504370000037,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Pétalos de sal negra tarrina - Fossil River,8436029931223,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"99,7","39,88",,['Fossil River'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Beignets Chocolat,3276550565574,['France'],[],[],?,389,1628 kj(389 kcal),18,2,46,20,"7,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Pailles framboise,3602826455858,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Moraines,3579230047941,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Jalfrazi sauce Hot - Heinz,5010251460107,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,['Heinz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jar'],,,,,,,,
590,Cremd'amande,3760190290687,['France'],[],[],?,436,1824 kj(436 kcal),24,2,43,39,9,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Bonbon Thé Vert Matcha 135G,4901326035102,['France'],[],[],?,392,1640 kj(392 kcal),"0,7","0,34",96,"95,3","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Balcioglu,4260161973520,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Pois chiche blanc croquant - 350g,8697415551207,['France'],[],[],?,257,1075 kj(257 kcal),4,1,49,9,9,2,"0,8",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",4 g,en quantité modérée,1 g,en faible quantité,9 g,en quantité modérée,2 g,en quantité élevée,,+35%,+37%,+32%,+156%,+108%,+449%,-12%,+318%,+318%,12,,D,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,350 g,,,,,,,,,,,
594,Sucre de pommes,30101524,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Cacahuète Crue - 1kg,3379148801013,['France'],[],[],?,592,2477 kj(592 kcal),"46,5",7,"16,4",0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
596,Manzanilla ecológica biodegradables - Alma,8412869300511,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],['Alma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Gruesome gooey cupcakes - Tesco,5054269958263,['France'],[],[],?,465,1946 kj(465 kcal),"22,3","6,5","62,9","38,6","2,6","0,2","0,08",,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Moelleux chocolat - Auchan,2030509004979,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,
599,Huile d'olive vierge extra -,3760183980045,['France'],"[""Huile d'olive de catégorie supérieure obtenue directemert des olives et uniquement par des procédés mécaniques""]",[],3756,899,3756 kj(899 kcal),100,17,?,,?,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de France"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,17 g,en quantité élevée,,,,,+4%,+4%,+4%,+3%,+27%,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
600,Banana chip,8852646031502,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,All Butter SULTANA Cookies -  - 200g,00396165,['France'],[],[],?,446,1866 kj(446 kcal),"17,9",11,"64,3","34,7","5,5","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
602,Turbobana Chips,0250406019599,['France'],[],[],?,489,2046 kj(489 kcal),21,11,71,3,4,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Vinaigre Balsamique De Modena,8411211900195,['France'],[],[],?,80,335 kj(80 kcal),0,0,"14,5","14,5","0,7","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,2148370007170,2148370007170,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Mild curry powder,94529081,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Pain d'épices,3760253490375,['France'],[],[],?,415,1736 kj(415 kcal),"16,4",12,"62,3","46,6","3,8","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Aceite de oliva virgen extra botella 750 ml - Rossello,8410585090037,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","12,8",0,0,0,0,0,,['Rossello'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-9%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
608,Thé Citron - Lavazza,8000070108691,['France'],[],[],?,4,17 kj(4 kcal),0,0,"0,5","0,5","0,5",0,0,,['Lavazza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Orange - 3000g,8428775024335,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000 g,,,,,,,,,,,
