,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
18,Roti de porc cuit superieur - Carrefour Bio,2227849036412,['France'],[],[],?,169,707 kj(169 kcal),"7,6",3,"0,6","0,5",24,"1,4","0,56","['Bio', 'Bio européen', 'FR-BIO-13', 'Fabriqué en France']",['Carrefour Bio'],D,"['Viandes', 'Porc', 'Rôtis de porc']",7.6 g,en quantité modérée,3 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+17%,+19%,+51%,+44%,-27%,-20%,+7%,-19%,-19%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,['Carrefour'],,,,,,,,,,
19,Noix de cajou crues,2600203029914,['France'],[],[],?,595,2489 kj(595 kcal),"43,9","7,8","30,2","5,9","18,2","0,03","0,012",,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,0.03 g,en faible quantité,,-1%,-0%,-5%,-8%,+18%,-9%,-3%,-95%,-95%,5,-34%,C,-34%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
20,Berry Blush - Organic Iced Tea - 10 Bags - 80G - 80g,0680275040392,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,
21,Saucisses oignons persil,2273338067504,['France'],[],[],?,205,858 kj(205 kcal),15,6,"2,1",2,"1,6","1,8","0,72",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,
22,Organic Powdered Peanut Butter Chcolate,0628451166498,['France'],[],[],?,372,1556 kj(372 kcal),12,"1,8",29,29,39,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Plough Pure Butter Ghee (500G),5011469003582,['France'],[],[],?,898,3757 kj(898 kcal),"99,8",64,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12 bouchées apéritives de nos régions - Thiriet,3292590802059,['France'],[],[],?,239,1000 kj(239 kcal),13,"5,5",22,"3,7","7,7","1,4","0,56",,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,,
25,Thé au gungembre,8935013110717,['France'],[],[],?,376,1573 kj(376 kcal),"0,19","0,06",0,0,"1,02",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tomates séchées au viognier de la Drome,3349100004752,['France'],[],[],?,301,1259 kj(301 kcal),"25,4",3,"14,8","11,6","2,7","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pastilles sans sucre avec edulcolorants framboise - Pulmoll,4002590703602,['France'],[],"['Végétalien', 'Végétarien']",?,255,1067 kj(255 kcal),0,0,97,"0,5",0,0,0,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en Allemagne', 'Sans lactose']",['Pulmoll'],E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,-28%,-29%,-100%,-100%,+16%,-99%,-100%,-100%,-100%,3,-79%,C,-79%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
