,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
53,Quartier de pêche au sirop léger,3760111100316,['France'],[],[],?,54,226 kj(54 kcal),"0,03","0,01","14,55","13,25","0,45","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 88095', 'Châtenois (Vosges, France)']",,,,,,,,,,
54,Sarcives impériales,0271129031958,['France'],[],[],?,293,1226 kj(293 kcal),"19,5","9,4","8,8","7,4","20,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Panach Fruits - Bijou,86998369,['France'],[],[],?,410,1715 kj(410 kcal),18,"2,4",56,32,"5,3","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bijou'],,,,,,,,,,,,,
56,Vinaigre de Table coloré - Barco,3760083888748,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barco'],,,,,,,,,,,,,
57,Dark chocolate cherry cashew - Kind,5054678300073,['France'],[],[],?,423,1770 kj(423 kcal),24,"7,5",55,28,"8,8","0,12","0,048",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kind'],,,,,,,,,,,,,
58,Crayon d'assaisonnement à tailler basilic,3663787451907,['France'],[],[],?,0,0 kj(0 kcal),"0,05",0,"0,7",0,"0,3","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,The Collective Dairy Passionfruit Yoghurt,96100707,['France'],[],[],?,127,531 kj(127 kcal),"5,5","3,5","14,2","14,2","5,1","0,14","0,056",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mélange Tonus,2600285049855,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Thé glacé saveur pêche,09474339,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Crayon d'assaisonnement à tailler gingembre,3663787451914,['France'],[],[],?,0,0 kj(0 kcal),"0,4",0,"1,8",0,"0,7","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
