,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
156,Boudin Blanc Forestier à l'Ancienne - Brient - 250g (2 * 125g),3346650223510,['Brient'],"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Réfrigérés', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté', 'Charcuteries à cuire']","['Viande-francaise', ""À l'ancienne"", 'Viande-porcine-francaise']",['France'],[],[],23.4 g,en quantité élevée,9.4 g,en quantité élevée,2.1 g,en faible quantité,1.4 g,en quantité modérée,?,,268,+2%,1121 kj(268 kcal),+4%,"23,4",+9%,"9,4",+13%,"2,4",+146%,"2,1",+209%,"10,7",-33%,"1,4",-35%,"0,56",-35%,18,-4%,D,-4%,250 g (2 * 125 g),"['FR 35.004.002 CE', 'Antrain (Ille-et-Vilaine, France)']",C,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,Boudin Blanc Forestier à l'Ancienne,"['barquette plastique', 'Frais', 'Plastique']",['Leclerc'],,,['France'],,['France'],
157,Joue de porc à l'ancienne - Brient,3346650224012,['Brient'],,,['France'],[],[],,,,,,,,,?,,142,,594 kj(142 kcal),,"8,2",,"1,95",,"1,3",,"0,4",,17,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,
158,Pâté de campagne à l'ancienne,3346650225002,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,['France'],[],[],23.7 g,en quantité élevée,8.9 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,288,-7%,1205 kj(288 kcal),-7%,"23,7",-12%,"8,9",-12%,"2,8",+16%,"0,5",-46%,"16,2",+14%,"1,2",-28%,"0,48",-28%,16,-16%,D,-16%,,,D,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,['Magasins U'],,,,,,
159,6 crêpes de froment - La Ploerinoise - 270g e (6 * 45g),3346661111523,['La Ploerinoise'],"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']","['Sans conservateurs', 'Fabrication artisanale']",['France'],"['Farine de froment', 'œufs', 'lait fermier', 'sucre', 'beurre', 'arôme vanille', 'sel', 'eau']",['Non végétalien'],2.1 g,en faible quantité,1.1 g,en faible quantité,14.1 g,en quantité élevée,0.7 g,en quantité modérée,?,,243,-16%,1017 kj(243 kcal),-17%,"2,1",-73%,"1,1",-62%,"41,4",-12%,"14,1",-31%,"5,4",-29%,"0,7",-11%,"0,28",-11%,7,-33%,C,-33%,270 g e (6 * 45 g),"['EMB 56158', 'Plescop (Morbihan, France)']",B,4,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,Crêpes de froment nature,"['Sachet', 'Plastique']",['Carrefour'],,"['Œufs', 'Gluten', 'Lait']","['Plescop', 'Morbihan', 'France', 'Bretagne']",,"['France', 'Bretagne', 'Morbihan', 'Plescop']",
160,Galettes fraiches La Ploerinoise,3346661111554,['La Ploerinoise'],,['Sans conservateurs'],['France'],"['Farine de blé noir 33%', 'eau', 'sel', 'huile de contenir des traces de gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,185,,774 kj(185 kcal),,"1,8",,"0,5",,36,,"0,9",,"6,6",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
161,6 galettes de blé noir bio - La Ploerinoise - 310g,3346661111738,['La Ploerinoise'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],"['Farine de blé noir ', ""issue de l'agriculture biologique"", 'sel', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.8 g,en faible quantité,0.5 g,en faible quantité,0.9 g,en faible quantité,1.4 g,en quantité modérée,?,,185,+5%,774 kj(185 kcal),+4%,"1,8",-54%,"0,5",-69%,36,+32%,"0,9",+26%,"6,6",-3%,"1,4",+6%,"0,56",+6%,2,-61%,B,-61%,310 g,,B,3,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,"['Sachet', 'Plastique']",['Carrefour'],,,,,"['France', 'Bretagne', 'Morbihan', 'Plescop']",
162,Soupe de legumes - Pampryl,3346759105113,['Pampryl'],"['Boissons', 'Boissons sans sucre ajouté']",,['France'],['JUS Ot'],[],0.1 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.63 g,en quantité modérée,?,,26,-41%,109 kj(26 kcal),-45%,"0,1",-70%,"0,1",+5%,"4,7",-46%,"0,9",-87%,1,+101%,"0,63",+1229%,"0,252",+1229%,7,+27%,D,+27%,,,,,,,,,,,,,,,,,,,,
163,Spaghetti au Quinoa Persil Ail - Jardin Bio,3346812020261,['Jardin Bio'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],"['Ingrets : semoule demi complète de BLE dur*,quinoa* ', '1 0%', ""ail* *Issus de llagriculture biologique Peut contenir des traces d'oeufs""]",[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"2,2",,"0,4",,"75,9",,"2,1",,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,
164,Sauniers de l'ile de ré Verrine fleur de sel Le bocal de 125 gr - Les Sauniers de l'Île de Ré,3346902012671,"[""Les Sauniers de l'Île de Ré""]","['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,['France'],[],[],5 g,en quantité modérée,4 g,en quantité modérée,1 g,en faible quantité,100 g,en quantité élevée,?,,20,+567%,84 kj(20 kcal),+664%,5,+2112%,4,+5502%,2,+275%,1,+590%,3,+1408%,100,+81%,40,+81%,,,,,,"['EMB 17019', 'Ars-en-Ré (Charente-Maritime, France)']",B,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,
165,Fleur de sel de l'île de Ré - Les Sauniers de l'Île de Ré,3346902050017,"[""Les Sauniers de l'Île de Ré""]","['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",['Sans additifs'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,100,+81%,40,+81%,,,,,,,B,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,
