,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
0,Terrine de chevreuil les Garibotes is,3340950203074,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,319,+3%,1335 kj(319 kcal),+3%,28,+7%,11,+14%,"0,8",-46%,"0,5",+22%,16,+10%,"1,7",+10%,"0,68",+10%,20,+9%,E,+9%,,,,,,,,,,,,,,,,,,,,
1,Terrine Sanglier 180G Les Garibotes - 180g,3340950203081,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],26 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,306,-1%,1280 kj(306 kcal),-1%,26,-3%,10,+1%,17,+721%,"0,5",-19%,16,+14%,"1,6",+1%,"0,64",+1%,19,+5%,E,+5%,180 g,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,,,,,,,,,,,,,,,
2,Terrine Canard 180G Les Garibotes - U - 180g,3340950203098,['U'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",['France'],"['Gorge de porc* foie de porc* ', 'viande de canard* 20%', 'sel', ""arôme naturel d'ail poivre"", 'épices assaisonnement moutarde poudre', 'dextrose poudre de lus e citron', 'arôme naturel', ' *Origine France', ' SANS CONSERVATEUR - SANS COLORANT SERVIR FRAIS CE']","['Non végétalien', 'Non végétarien']",28 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,319,+4%,1335 kj(319 kcal),+4%,28,+6%,10,+5%,"0,5",-71%,"0,5",-19%,16,+13%,"1,7",+11%,"0,68",+11%,19,+6%,E,+6%,180 g,,E,4,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,
3,Terrine au Roquefort - Les Garibotes,3340950203142,['Les Garibotes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines au Roquefort']",,['France'],[],[],28 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,325,-16%,1360 kj(325 kcal),-17%,28,-22%,11,-15%,"0,5",-55%,"0,5",+39%,18,+25%,"1,6",-6%,"0,64",-6%,21,-1%,E,-1%,,,,,,,,,,,,,,,,,,,,
4,"Tripous PROGRE, 4 pièces",3340950701211,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,6,,3,,"0,5",,"0,2",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
5,8 Tripoux Tradition 800g - Produits blancs - 800g,3340950701228,['Produits blancs'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au mouton', 'Tripoux']",['Sans colorants'],['France'],[],[],6 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,120,+3%,502 kj(120 kcal),+2%,6,+39%,3,+159%,"0,5",-21%,"0,2",+12%,16,+5%,"1,3",+25%,"0,52",+25%,3,+161%,C,+161%,800 g,,,,,,,,,,,,,,,,,,,
6,Gésiers de canard confits émincés,3340950706261,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],7 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.8 g,en quantité élevée,?,,185,-1%,774 kj(185 kcal),-0%,7,+13%,2,-2%,"0,5",+97%,"0,3",+71%,30,+4%,"1,8",+24%,"0,72",+24%,5,-19%,C,-19%,,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,,,,,,,,,,,,,,,
7,Choucroute - choucroute du Rhin - 1kg,3340994501556,['choucroute du Rhin'],"['Plats préparés', 'Choucroutes']",,['France'],"['choucroute', 'jus de cuisson', 'saindoux', 'riesling', 'arômes ', 'lait', 'Arôme de fumé', 'oignons frits ', 'oignons', 'matière grasse végétale ', 'palme', 'farine de blé', 'sel', 'E300']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,1 kg,"['EMB 67338', 'Obenheim (Bas-Rhin, France)']",C,4,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,choucroute,['Plastique'],['Boucheries André'],['E300 - Acide ascorbique'],"['Gluten', 'Lait']",,,,
8,8 beignets de crevette - Varenne Gastronomie,3341181020195,['Varenne Gastronomie'],"['Snacks', 'Snacks salés', 'Beignets salés']",,['France'],[],[],21.7 g,en quantité élevée,1.97 g,en quantité modérée,0.4 g,en faible quantité,0.8 g,en quantité modérée,?,,302,+32%,1264 kj(302 kcal),+34%,"21,7",+134%,"1,97",+58%,"14,9",-41%,"0,4",-89%,"11,3",+66%,"0,8",-46%,"0,32",-46%,2,-71%,B,-71%,,,,,,,,,,,,,,,,,,,,
9,Pastillas,3341181021338,,,,['France'],[],[],,,,,,,,,?,,202,,845 kj(202 kcal),,"9,6",,"4,4",,"16,7",,"2,7",,"10,8",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,
10,Œufs Plein air - Les fermiers de marin - 6,3341400002018,['Les fermiers de marin'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air', 'Œufs frais']","['Haute-savoie', 'Oeufs-code-1', 'Poules-elevees-en-plein-air']",['France'],"['Œufs frais de poules élevées en plein air', 'classe A']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6,"['FR 74.166.001 CE', 'Marin (Haute-Savoie, France)']",C,1,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['boite œufs carton'],,,,,,,
11,Rochebaron 30 %,3341501000128,"['Rochebaron', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français']",,['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,342,-4%,1431 kj(342 kcal),-4%,30,-2%,21,-1%,"0,5",-33%,"0,5",+146%,18,-8%,"1,9",-34%,"0,76",-34%,17,-8%,D,-8%,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
12,Doux réveil 10 Croissants - 400grammes,3341520052108,['doux reveil'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants']",,['France'],"['Farine de blé', 'matières grasses végétales ', 'palme', 'colza', 'eau', 'sucre', 'levure', 'sel', 'fructose', 'émulsifiants ', 'E471', 'E472e', 'arôme naturel ', 'contient alcool', 'protéines de lait', 'levure désactivée', 'conservateur ', 'propionate de calcium', 'épaississant ', 'E466', 'arôme', 'colorant ', 'E160a']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",16 g,en quantité modérée,7.9 g,en quantité élevée,9.8 g,en quantité modérée,1.1 g,en quantité modérée,?,,367,-5%,1536 kj(367 kcal),-5%,16,-26%,"7,9",-41%,49,+16%,"9,8",+24%,"7,5",+1%,"1,1",+15%,"0,44",+15%,17,-9%,D,-9%,400grammes,,B,4,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,['Sachet'],,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E466 - Carboxyméthylcellulose', 'E160a - Carotènes mélangés']","['Gluten', 'Lait']",,,,
13,Pains au Chocolat - Doux Réveil - 450g e,3341520053105,['Doux Réveil'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['Point Vert'],['France'],"['Farine de blé', 'huiles et graisses végétales ', 'palme', 'colza', 'chocolat 10 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'eau', 'sucre', 'levure', 'sel', 'fructose', 'émulsifiants ', 'E471', 'E472e', 'gluten de blé', 'arôme naturel de vanille ', ""contient de l'alcool"", 'levure désactivée', 'protéines de lait', 'épaississant ', 'gomme de cellulose', ' conservateur ', 'propionate de calcium', 'arôme', 'colorant ', 'béta carotène']","['Huile de palme', 'Non végétalien']",19 g,en quantité modérée,9.7 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,?,,393,-1%,1644 kj(393 kcal),-1%,19,-13%,"9,7",-27%,47,+11%,14,+17%,"7,6",+6%,1,+11%,"0,4",+11%,20,+2%,E,+2%,450 g e,,D,4,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,"['Plastique', 'Sachet']",,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E466 - Carboxyméthylcellulose', 'E282 - Propionate de calcium', 'E160ai - Bêta-carotène']","['Gluten', 'Lait']","['France', 'Vendée']",,,
14,Tartinella - Biscochoc,3341791540014,['Biscochoc'],,,['France'],"['sucre', 'huiles végétales ', 'palme', 'colza et tournesol', 'noisettes ', '13%', 'cacao maigre en poudret lait écrémé en poudre', 'lactosérum en poudre', 'lactose', 'matière grasse végetale hydrogénée ', 'palme émulsifiant ', ' lécithine de tournesol arôme vanilline', ' Con ient du lait et des noisettes', ' Peut contenir des traces de soja', 'de gluten', 'œuf', ""d'arachide"", ""d'autres fruits à coque"", 'de sésame et de lupin']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,535,,2238 kj(535 kcal),,30,,11,,60,,59,,5,,"0,12",,"0,048",,,,,,,,,4,,,,,,,,,,,['E322i - Lécithine'],"['Lait', 'Fruits à coque']",,['Huile de palme'],,
15,Pate a tartiner,3341791575023,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",,['France'],[],[],30 g,en quantité élevée,11 g,en quantité élevée,59 g,en quantité élevée,0.12 g,en faible quantité,?,,535,+2%,2238 kj(535 kcal),+3%,30,-7%,11,+36%,60,+19%,59,+35%,5,-20%,"0,12",-34%,"0,048",-34%,26,+27%,E,+27%,,,,,,,,,,,,,,,,,,,,
16,Jambon cuit superieur,3341860576500,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],['France'],[],[],3.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.9 g,en quantité élevée,?,,116,-12%,485 kj(116 kcal),-11%,"3,5",-27%,0,-100%,1,+49%,0,-100%,20,-5%,"1,9",+2%,"0,76",+2%,4,-43%,C,-43%,,,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,
17,Bag in box - Domaine ribonnet - 5litres,3342053059541,['Domaine ribonnet'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,5 litres,,,,,,,,,,,,,,,,,,,
18,Pomme de terre jambon persil - La belle henriette  - 800g,3342280019240,['La belle henriette'],,,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,"6,9",,"1,3",,"7,1",,"0,9",,"5,1",,"1,6",,"0,64",,,,,,800g,,,,,,,,,,,,,['Magasins U'],,,,,,
19,La Belle Henriette Salade de concombres à la crème la barquette de 800 g,3342280805201,['La Belle Henriette'],,,['France'],"['concombres 79%', 'huile de colza', 'eau', 'crème 4,5%', 'épices', 'moutarde ', 'eau', 'graine de moutarde', ""vinaigre d'alcool"", 'sel', ""vinaigre d'alcool"", ""jaune d'œuf"", 'sel', 'sirop de glucose', 'amidon transformé', 'conservateur : sorbate de potassium', 'acidifiant : acide lactique', 'épaississant : gomme xanthane']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,79,,331 kj(79 kcal),,"7,4",,"1,2",,2,,"1,9",,"0,8",,"1,1",,"0,44",,,,,,800 g,,,4,,,,,,,,,,['Magasins U'],"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E415 - Gomme xanthane']","['Œufs', 'Lait', 'Moutarde']",,,,
20,Salade de pâtes au poulet et aux ecrevisses - La Belle Henriette,3342280891860,['La Belle Henriette'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Salade de poulet']",,['France'],[],[],9 g,en quantité modérée,1.5 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,170,+14%,711 kj(170 kcal),+16%,9,+52%,"1,5",-11%,15,+9%,"0,9",-54%,"6,6",-18%,1,+18%,"0,4",+18%,3,+110%,C,+110%,,,D,,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,['Magasins U'],,,,,,
21,Salade marco polo - La Belle Henriette,3342280892126,['La Belle Henriette'],,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,11,,"0,9",,12,,"1,1",,"4,1",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
22,Salade de pommes de terre au jambon et au persil,3342283132243,,,,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,"6,9",,"1,3",,"7,1",,"0,9",,"5,1",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,,
23,Pâtes Aux Fruits Naturels De Bretagne,3342320000054,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.1 g,en faible quantité,?,,318,+1%,1331 kj(318 kcal),+1%,0,-100%,0,-100%,78,+3%,70,+5%,0,-100%,"0,1",-17%,"0,04",-17%,8,-3%,C,-3%,,,C,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,
24,Le Timanoix - Abbaye de Timadeuc,3342320003000,['Abbaye de Timadeuc'],,,['France'],"['lait de vache pasteurisé', 'arôme de noix', 'liqueur de noix', 'sulfite d ammonium', 'natamycine']",['Non végétalien'],,,,,,,,,?,,338,,1414 kj(338 kcal),,28,,19,,"0,5",,0,,21,,"1,375",,"0,55",,,,,,,"['FR 68.024.501 CE', 'Bellemagny (Haut-Rhin, France)']",,,,,,,,,,,,['Magasins U'],['E235 - Natamycine'],,,,,
25,Paté De Foie Pur Porc - Escot et fils,3342630000126,['Escot et fils'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",,['France'],[],[],38 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,395,+11%,1653 kj(395 kcal),+12%,38,+17%,16,+30%,"0,5",-75%,"0,5",-38%,13,+14%,"1,6",-2%,"0,64",-2%,21,+4%,E,+4%,,,,,,,,,,,,,,,,,,,,
26,"Rillettes De Canard En Boîte, 120g -",3342630000157,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],[],42 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,?,,439,+9%,1837 kj(439 kcal),+9%,42,+14%,14,+12%,"1,1",+90%,0,-100%,15,-7%,"1,8",+31%,"0,72",+31%,22,+14%,E,+14%,,,D,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,
27,Pâté de campagne - Escot Et Fils,3342630000201,['Escot Et Fils'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,['France'],"['Gras et Maigre de Porc Foie de Porc 34 % Lait', 'Sel', 'œufs', 'Poivre']",['Non végétalien'],30 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,333,+7%,1393 kj(333 kcal),+7%,30,+11%,12,+19%,"1,3",-46%,"0,5",-46%,15,+6%,"1,7",+2%,"0,68",+2%,21,+11%,E,+11%,,,D,3,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,['Œufs'],,,,
28,Pâté de Foie Pur Porc - Escot - 75g,3342630000751,"['Escot', 'Escot & Fils']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",['Pur porc'],['France'],"['Gras de porc', 'foie de porc ', '34 %', 'lait', 'sel', 'œuf', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",38 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,395,+11%,1653 kj(395 kcal),+12%,38,+17%,16,+30%,"< 0,5",-75%,"< 0,5",-38%,13,+14%,"1,6",-2%,"0,64",-2%,21,+4%,E,+4%,75 g,,,3,,,,,,,,,"['Conserve', 'métal']",,,"['Œufs', 'Lait']",,,,
29,Jambonneau 245g - Escot et fils,3342630002502,['Escot et fils'],"['Viandes', 'Charcuteries', 'Charcuteries cuites']",,['France'],[],[],8.8 g,en quantité modérée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,160,-4%,669 kj(160 kcal),-1%,"8,8",+4%,"3,1",-4%,"0,5",-64%,"0,5",-31%,20,+7%,"1,7",-11%,"0,68",-11%,11,+15%,D,+15%,,,,,,,,,,,,,,,,,,,,
30,Terrine de Lièvre - Escot & Fils,3342630005022,['Escot & Fils'],"['Terrines', 'Terrines de lièvre']",,['France'],[],[],35 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,?,,371,+20%,1552 kj(371 kcal),+21%,35,+32%,11,+11%,"1,8",+105%,0,-100%,12,-17%,"1,8",+21%,"0,72",+21%,21,+15%,E,+15%,,,,,,,,,,,,,,,,,,,,
31,Baguette aux 7 céréales - E.Leclerc,3342690061396,['E.Leclerc'],,,['France'],"['Farine de BLE', 'eau', 'farine de BLÉ : malte', 'graines et flocons ', 'lin', 'brun', 'millet', 'SÉSAMES', 'lin jaune', 'tournesol et BLÉ', 'farine de SEIGLE', 'GLUTEN de BLÉ', 'farine de maïs torréfié', 'farine d’ORGE malté', 'farine de BLE torréfié', 'sel', 'leure,émulsifiants : E472', 'E471', 'agent de traitement de la farine : E300', ' Peut contenir des traces d’OEUFS', 'SOJA', 'SÉSAME', 'LAIT', 'FRUITS À COQUE']","[""Pourrait contenir de l'huile de palme""]",,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,4,,,,,,,,,,,"[""E472 - Esters d'acides gras alimentaires"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']",,,,
32,Pain cereales - Leclerc,3342690061525,['Leclerc'],,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,"3,8",,"0,6",,53,,"1,5",,"9,3",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
33,La Venise Provençale,3342760090011,['La Venise Provençale'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Coteaux d'Aix-en-Provence""]",['Déconseillé aux femmes enceintes'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,['Saint-Julien les Martigues'],,['France'],
34,Vin rose la Venise provençale coteaux d'Aix en Provence AOP 13% - 5l,3342760090035,['La Venise provençale'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Coteaux d'Aix-en-Provence""]","['Déconseillé aux femmes enceintes', ""en:AOP Coteaux d'Aix en Provence""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,5l,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,['Saint-Julien les Martigues'],,['France'],
35,Viré-Clessé 2010 - Bastion de l'oratoire Chanson,3342830410107,"[""Bastion de l'oratoire Chanson""]","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins blancs', 'Viré-Clessé']",['Déconseillé aux femmes enceintes'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bouteille', 'Verre']",,,,,,['France'],
36,"Beaune Bastion 1er Cru AOP, rouge -",3342832410105,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Nougat tendre,3343001311148,,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"8,7",,"0,7",,78,,44,,"4,7",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
38,Assortiment Nougats,3343001491147,,,,['France'],[],[],,,,,,,,,?,,526,,2201 kj(526 kcal),,30,,14,,56,,45,,7,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
39,Borne de Nougat de Montélimar - Les Trois Abeilles - 150g,3343002113116,['Les Trois Abeilles'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",['Fabriqué en France'],['France'],"['Sucre', 'AMANDES ', '30 %', 'miel ', '25 % des matières sucrantes', 'sirop de glucose', 'pain azyme ', 'fécules de pomme de terre', 'eau', ""blanc d'ŒUF"", 'arôme naturel de vanille']",['Non végétalien'],17.4 g,en quantité modérée,1.3 g,en faible quantité,41.7 g,en quantité élevée,0.03 g,en faible quantité,1937,+3%,461,+2%,1937 kj(461 kcal),+2%,"17,4",+4%,"1,3",-25%,"66,5",+1%,"41,7",-27%,9,+16%,"0,03",-16%,"0,012",-16%,15,-5%,D,-5%,150 g,,E,4,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,"['Carton', 'Plastique']",,,"['Œufs', 'Fruits à coque']",['France'],,,
40,Nougat tendre - Les 3 abeilles - 200g,3343002210563,['Les 3 abeilles'],,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,"12,1",,"0,89",,"73,4",,40,,"6,8",,"0,02",,"0,008",,,,,,200g,,,,,,,,,,,,,,,,,,,
41,Nougat Tendre - Les Trois Abeilles - 150g,3343002313318,['Les Trois Abeilles'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats blancs']",,['France'],"['Sucre', 'sirop de glucose', 'AMANDES ', '15%', 'miel', 'pain azyme ', 'fécules de pomme de terre', 'eau', ""blanc d'ŒUF"", 'arôme']","['Sans huile de palme', 'Non végétalien']",8.7 g,en quantité modérée,0.7 g,en faible quantité,44 g,en quantité élevée,0.03 g,en faible quantité,?,,412,-7%,1724 kj(412 kcal),-7%,"8,7",-42%,"0,7",-50%,78,+15%,44,-24%,"4,7",-31%,"0,03",-60%,"0,012",-60%,14,-10%,D,-10%,150 g,,E,4,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,['Plastique'],,,"['Œufs', 'Fruits à coque']",,,,
42,Nougat tendre,3343003310552,,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"8,7",,"0,7",,78,,44,,"4,7",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
43,Pain d épices au miel,3343009613480,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]","['Sans colorants', 'Sans conservateurs']",['France'],[],[],0.6 g,en faible quantité,0.3 g,en faible quantité,46.9 g,en quantité élevée,0.1 g,en faible quantité,?,,329,-2%,1377 kj(329 kcal),-3%,"0,6",-83%,"0,3",-76%,"77,8",+10%,"46,9",+16%,"3,2",-26%,"0,1",-77%,"0,04",-77%,14,-1%,D,-1%,,,B,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,
44,Beaujolais Villages 2017 - Château des Maladrets - 75cl,3343138022719,['Château des Maladrets'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Beaujolais Villages']","['Nouveau', 'Déconseillé aux femmes enceintes']",['France'],['Contient des sulfites'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75 cl,"['EMB 71090B', 'Chapelle-de-Guinchay (Saône-et-Loire, France)']",B,3,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bouteille', 'Verre']",,,['Anhydride sulfureux et sulfites'],['France'],,['France'],
45,Veritable merguez - Tendre Et Plus,3343660011779,['Tendre Et Plus'],,,['France'],"['viande bovine origine France 56%', 'viande de mouton origine UE ou hors UE 22%', ' eau', 'gras de mouton origine UE ou hors UE', ' ras de bœuf origine France', ' sel', 'dextrose', 'pices ', 'dont piment', 'conservateurs : lactate de potas- sium', 'acétates de sodium ', ' arômes naturels', 'plantes aromatiques', 'antioxydant : ascorbate de sodium ', ' betterave déshydratée', 'colorant : carmins ', ' boyau de mouton']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,293,,1226 kj(293 kcal),,25,,10,,"2,8",,"2,1",,14,,"2,2",,"0,88",,,,,,,,,4,,,,,,,,,,,"['E270 - Acide lactique', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique']",,,,,
46,Aiguillette de poulet,3343660016170,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,['France'],[],[],0.8 g,en faible quantité,0.24 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,106,-16%,444 kj(106 kcal),-15%,"0,8",-57%,"0,24",-50%,"0,5",-45%,"0,5",+67%,"24,7",+9%,"0,1",-77%,"0,04",-77%,-4,,A,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
