,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
1062,Farine,4300175165297,['France'],[],[],?,338,"1,1",69,11,1414 kj(338 kcal),"0,1","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Amande grillées a sec et salées,2609882053593,['France'],[],[],?,662,"52,5",21,21,2770 kj(662 kcal),4,"4,9",2,"0,8","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",52.5 g,en quantité élevée,4 g,en quantité modérée,4.9 g,en faible quantité,2 g,en quantité élevée,10,C,E,,+6%,+6%,+0%,-9%,+64%,-13%,-4%,+137%,+137%,+134%,+134%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,
1064,Nuit à Versailles,3259920039943,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Éclairs au chocolat,2020000053361,['France'],[],[],?,277,15,31,"3,5",1159 kj(277 kcal),"4,3",19,"0,46","0,184","['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",15 g,en quantité modérée,4.3 g,en quantité modérée,19 g,en quantité élevée,0.46 g,en quantité modérée,13,D,,,+8%,+8%,+22%,-26%,-2%,-6%,-20%,+20%,+20%,+1%,+1%,,,,,,,,,,,,,,,,,,,,,
1066,Extra virgin olive oil,82309831,['France'],[],[],?,824,"91,6",0,0,3448 kj(824 kcal),"14,1",0,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91.6 g,en quantité élevée,14.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,C,D,,-4%,-4%,-4%,+1%,,,,-100%,-100%,-2%,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
1067,Creme de foie label rouge,3016740106381,['France'],[],[],?,369,34,"2,9",12,1544 kj(369 kcal),13,"0,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,,
1068,Cuisse de dinde,2245039002719,['France'],[],[],?,155,"8,5","0,5",19,649 kj(155 kcal),"2,5","0,5","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Tonijnmoot,5016599009152,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Jambon sec supérieur -,0210749020867,['France'],[],[],?,274,18,1,27,1146 kj(274 kcal),"7,5","0,5","5,9","2,36","['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",18 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,5.9 g,en quantité élevée,20,E,E,,+14%,+15%,+33%,+45%,+54%,+15%,-6%,+20%,+20%,+18%,+18%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,['Qualité supérieure'],,,,,,,,,,,
1071,Pâtes d'Alsace,3065620008529,['France'],[],[],?,367,5,64,15,1536 kj(367 kcal),"1,3","2,6","0,12","0,048","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'Alsace""]",5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,0,B,,,+1%,+0%,+5%,+6%,0%,-8%,0%,+13%,+13%,,,,,,,,,,,,,,,,,,,,,,,
