,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
0,serum Andrea sorti,6132001603547,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OVEN BAKED SWEET POTATO,5391528180004,['France'],[],[],?,140,"6,1",17,"1,6",586 kj(140 kcal),"1,1","7,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anneaux d'encornet géant saumure,3250392602048,['France'],[],[],?,27,"0,5","0,2","6,8",113 kj(27 kcal),"0,2","0,2","1,21","0,484",['Encornet géant'],0.5 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,1.21 g,en quantité modérée,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chocolat lait amandes salées,05760501,['France'],[],[],?,530,30,57,"6,6",2218 kj(530 kcal),15,56,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Muffins blueberry,5600499518953,['France'],[],[],?,281,14,39,"6,2",1176 kj(281 kcal),"2,8","24,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tommette de yenne,0204911095777,['France'],[],[],?,373,31,23,22,1561 kj(373 kcal),24,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mayonnaise,7613036338325,['France'],[],[],?,739,81,"0,5","0,8",3092 kj(739 kcal),0,"0,2","0,2","0,08","['Epicerie', 'Sauces', 'Mayonnaises']",81 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,9,C,D,,+21%,+21%,+22%,-100%,-81%,-86%,-35%,-85%,-85%,-50%,-50%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
7,Yaourt noix de coco -,8719638270953,['France'],"['Lait entier pasteurisé sucre 7%', 'arôme noix de coco <1%', 'ferments']",['Non végétalien'],?,?,?,?,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache']",,,,,,,,,,,B,,,,,,,,,,,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,1,,,,,,,,,,,,,
8,Croustade tradition,3286631400007,['France'],[],[],?,438,25,"46,61","5,24",1833 kj(438 kcal),2,"22,54",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tranche de rôti de porc,0293551007677,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,,,,,,E,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
10,Tripes Provencale 500 G,3449480000020,['France'],[],[],?,102,"2,8","1,6","17,2",427 kj(102 kcal),"1,4","1,6","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cocktail fruits tropicaux,6133018001753,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Roti de porc cuit superieur,2471236071566,['France'],[],[],?,156,7,"0,5","23,4",653 kj(156 kcal),"2,73","0,5","1,5","0,6","['Viandes', 'Porc', 'Rôtis de porc']",7 g,en quantité modérée,2.73 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,4,C,E,,+8%,+10%,+39%,+31%,-39%,-20%,+4%,-13%,-13%,-44%,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
13,Strawberry fresa,8410525241529,['France'],[],[],?,323,0,76,6,1351 kj(323 kcal),0,52,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Escalopes extra fines,0289054022569,['France'],[],[],?,?,?,?,?,,,,,,['Escalopes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pineau,3760216190021,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Terrine de dinde aux marrons - La Table d'Antan,3280950006568,['France'],[],[],?,254,20,"4,5",14,1063 kj(254 kcal),"7,6","0,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""La Table d'Antan""]",,,,,,,,,,,,
17,Spaghetti au légume,3700758501084,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Aiguillettes de poulet fermier bio,0200310057927,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,D,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bio'],,,,,,,,,,,
19,Confiture,3439495106497,['France'],[],[],?,1033,"0,5",59,"0,7",4322 kj(1033 kcal),0,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Fromage de Brebis Etorki - 0,180kg",0202170023357,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etorki'],,"0,180 kg",,,,,,,,,,
21,Quiches lorraines,3700477660970,['France'],[],[],?,300,19,20,11,1255 kj(300 kcal),12,"3,3","1,5","0,6","['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",19 g,en quantité modérée,12 g,en quantité élevée,3.3 g,en faible quantité,1.5 g,en quantité modérée,19,E,C,,+14%,+14%,+17%,+38%,+4%,+43%,+19%,+44%,+44%,+34%,+34%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
22,Roquette,3613460013304,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pâte a tartiner noisette sans sucre,3437400000663,['France'],[],[],?,474,"32,23","8,03","11,26",1983 kj(474 kcal),"3,23","1,45","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Watermelon Strawberry Ade,0892809000219,['France'],[],[],?,6,0,17,0,25 kj(6 kcal),0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Crema al Pecorino Romano DOP & Tartufo Nero,8033993042476,['France'],[],[],?,343,"33,4","4,2","6,3",1435 kj(343 kcal),"7,6","0,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Escalopes Milanaises (fromage frais ail et fines herbes),2424536034571,['France'],[],[],?,165,6,11,16,690 kj(165 kcal),"3,2","1,9","1,4","0,56","['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes', 'Escalopes pânées']",6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,11,D,D,,+24%,+25%,+221%,+419%,+51%,+12%,-23%,+50%,+50%,+1668%,+1668%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,,,,,
27,Osso bucco de veau,2424271038506,['France'],[],[],?,109,2,"6,4",16,456 kj(109 kcal),"0,5","2,6","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fruits et graines du monde,3143110091623,['France'],[],[],?,572,46,28,21,2393 kj(572 kcal),5,"7,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Queues de crevettes decortiquees,2869864034044,['France'],[],[],?,95,"0,5","0,5",22,397 kj(95 kcal),"0,5",0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mogettes de Vendée,3559680076005,['France'],[],[],?,489,"0,35","15,9","9,08",2046 kj(489 kcal),0,0,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,03741119,03741119,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jambon cuit italien roti aux herbes,2227143022500,['France'],[],[],?,171,9,"0,6",21,715 kj(171 kcal),"3,3","0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Moussaka,0293301023551,['France'],[],[],?,165,12,"5,3","7,6",690 kj(165 kcal),"4,8","2,7","0,78","0,312","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf']",12 g,en quantité modérée,4.8 g,en quantité modérée,2.7 g,en faible quantité,0.78 g,en quantité modérée,5,C,,,+20%,+22%,+101%,+120%,-44%,+49%,-14%,-8%,-8%,+118%,+118%,,,,,,,,,,,,,,,,,,,,,
34,Bordeaux fort louis,3662312012026,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Madame Loïk figue noix,3412299071871,['France'],[],[],?,272,24,"7,5","5,9",1138 kj(272 kcal),15,"6,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bouef ratatouille riz parfume,3760076161278,['France'],[],[],?,138,"4,1",16,"8,4",577 kj(138 kcal),"1,3","1,8","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Boulot - Intermarché - 500g,0260049007549,['France'],"['Farine de blé', 'eau', 'sel', 'levure', 'gluten de blé', 'farine de blé malté', 'levure désactivée', 'anti-oxydant : E300']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains blancs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['Intermarché'],,500g,['sachet papier'],['E300 - Acide ascorbique'],['Gluten'],,,,,,,
38,Couscous à la méditerranéenne,2600176007513,['France'],[],[],?,125,"3,9",18,4,523 kj(125 kcal),1,"4,5","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Walkers Shortbread Special Edition Queen Elizabeth,0039047019195,['France'],[],[],?,529,30,"58,2","5,6",2213 kj(529 kcal),"18,7","16,5","0,68","0,272","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",30 g,en quantité élevée,18.7 g,en quantité élevée,16.5 g,en quantité élevée,0.68 g,en quantité modérée,22,E,C,,+12%,+11%,+44%,+85%,-9%,-44%,-14%,+15%,+15%,+11%,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Walkers'],,,,,,,,,,,,
40,Tomato & basil soup,25305036,['France'],[],[],?,39,"1,6","4,8",1,163 kj(39 kcal),"0,1","3,3","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chocolat éclats de fèves au fruit de la passion - Encuentro,3770009530040,['France'],[],[],?,534,37,34,8,2234 kj(534 kcal),24,30,0,0,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",37 g,en quantité élevée,24 g,en quantité élevée,30 g,en quantité élevée,0 g,en faible quantité,22,E,E,,-4%,-4%,-6%,+4%,-12%,-5%,+4%,-100%,-100%,+4%,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['Encuentro'],,,,,,,,,,,,
42,Chateaubriands,0249890076881,['France'],[],[],?,113,"2,3",0,23,473 kj(113 kcal),"0,8",0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Noix de cajou grillées à l'huile et salées,2600159042975,['France'],[],[],?,625,"47,8","30,2","16,8",2615 kj(625 kcal),"8,5",5,1,"0,4","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque salés', 'Noix de cajou', 'Noix de cajou salées']",47.8 g,en quantité élevée,8.5 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,10,C,E,,+2%,+2%,-1%,-7%,+27%,-21%,-12%,+12%,+12%,+23%,+23%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,
44,Vignerons de correns,3273943004405,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2034306010690,2034306010690,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Crepinettes au camembert,0236912034240,['France'],[],[],?,310,29,"0,9",12,1297 kj(310 kcal),11,"0,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AMINO ET ENERGY,9010128013548,['France'],[],[],?,299,0,0,0,1251 kj(299 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Canard aiguillettes,0203554034310,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Plat de cote cuit superieur,2689709021066,['France'],[],[],?,243,"15,3","0,4","26,1",1017 kj(243 kcal),"6,1","0,2","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,
50,Patissou au foie de canard,3512700002477,['France'],[],[],?,286,20,"0,7",23,1197 kj(286 kcal),"7,9","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Erbsensuppe DDR NVA - 800g,4260145830078,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800g,['Dose'],,,,,,,,,
52,Tahina 100% Pâte De Sésame La Gazelle,6194004001270,['France'],[],[],?,593,53,"21,3",20,2481 kj(593 kcal),"6,66",0,"0,113","0,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Langue de bœuf - Tendre & Plus,2498786039952,['France'],[],[],?,153,10,"3,8",12,640 kj(153 kcal),"3,6","1,7",1,"0,4","['Viandes', 'Bœuf', 'Langues de bœuf']",10 g,en quantité modérée,3.6 g,en quantité modérée,1.7 g,en faible quantité,1 g,en quantité modérée,3,C,E,,-1%,-0%,-3%,-13%,-6%,+16%,+11%,+2%,+2%,-38%,-38%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,['Tendre & Plus'],,,,,,,,,,,,
54,Comté,2671353043952,['France'],[],[],?,418,"34,6","0,1","26,7",1749 kj(418 kcal),"22,5","0,1","0,817","0,327","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",34.6 g,en quantité élevée,22.5 g,en quantité élevée,0.1 g,en faible quantité,0.817 g,en quantité modérée,13,D,D,,+5%,+6%,+6%,+4%,-78%,-64%,+6%,-16%,-16%,-3%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
55,Le cordon bleu de ma région,2208633048613,['France'],[],[],?,583,"2,3","9,7",19,2439 kj(583 kcal),"1,1","1,4","1,1","0,44","['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",2.3 g,en faible quantité,1.1 g,en faible quantité,1.4 g,en faible quantité,1.1 g,en quantité modérée,12,D,D,,+163%,+163%,-81%,-65%,-30%,-11%,+44%,-15%,-15%,+69%,+69%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,
56,Mikado pepero,1000481030861,['France'],[],[],?,543,34,53,12,2272 kj(543 kcal),13,31,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Le Mini Beurre,16132337,['France'],[],[],?,744,82,"0,8","0,7",3113 kj(744 kcal),57,"0,8","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Olives de provence,3612645803013,['France'],[],[],?,558,38,37,12,2335 kj(558 kcal),16,35,"0,052","0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Curcuma,8425842701083,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Saucisson à l'andouille,2408524041390,['France'],[],[],?,268,22,"0,9",18,1121 kj(268 kcal),"9,4","0,9","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Gingembre Vrac,0200165001847,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Paint metallic red,5060475073638,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Gouda des moeres,2650143027945,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Diet whey complex extreme - The Protein Works,5060455516827,['France'],[],[],?,363,6,"3,3","71,8",1519 kj(363 kcal),"2,9","2,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The Protein Works'],['en:gluten-free'],,,,,,,,,,,
65,Roquefort,0205650026114,['France'],[],[],?,?,?,?,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,,,,,,,,,,D,,,,,,,,,,,,,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,
66,Shrimp paste Ka-pi,0084909001269,['France'],[],[],?,118,"1,7","2,6",22,494 kj(118 kcal),"0,7",0,"21,8","8,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Gehackte Tomaten - 400g,5712871141915,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Dose'],,,,,,,,,
68,"Mousse au chocolat au lait, bol de",3331480002404,['France'],[],[],?,299,"21,6","22,7","3,1",1251 kj(299 kcal),"16,1",22,"0,29","0,116","['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",21.6 g,en quantité élevée,16.1 g,en quantité élevée,22 g,en quantité élevée,0.29 g,en faible quantité,18,D,D,,+9%,+11%,+31%,+59%,+3%,+11%,-48%,+32%,+32%,+36%,+36%,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,,,,,
69,Les petits fourrés  croc'graines,3175681277557,['France'],[],[],?,526,29,55,"9,4",2201 kj(526 kcal),10,23,"0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4 Beignets parfum chocolat-noisette,0260213013123,['France'],[],[],?,394,19,48,"6,7",1648 kj(394 kcal),"2,1",19,"0,7","0,28","['Snacks', 'Snacks sucrés', 'Beignets sucrés']",19 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,13,D,,,+11%,+11%,+20%,-39%,+6%,+17%,+6%,-5%,-5%,+8%,+8%,,,,,,,,,,,,,,,,,,,,,
71,Strawberry banana smoothie,27639832,['France'],[],[],?,60,0,13,"0,7",251 kj(60 kcal),0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Gelée d'érable,0055526070402,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Confiture de framboise,3174061610601,['France'],[],[],?,?,?,?,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,,,,,,,,,C,,,,,,,,,,,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
74,Chardonnay,3340180010374,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Oaty Biscuits Red Pepper & Pumpkin Seeds,5019605004479,['France'],[],[],?,482,"25,8","51,1","10,5",2017 kj(482 kcal),"10,1","4,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amandine,3701130800047,['France'],[],[],?,397,23,40,"6,8",1661 kj(397 kcal),"3,6",31,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2 tartelettes aux pommes,0260392019022,['France'],[],[],?,270,12,38,"2,2",1130 kj(270 kcal),"7,4",24,"0,18","0,072","['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",12 g,en quantité modérée,7.4 g,en quantité élevée,24 g,en quantité élevée,0.18 g,en faible quantité,15,D,B,,+9%,+10%,+28%,+38%,+5%,+17%,-9%,-29%,-29%,+36%,+36%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,
78,Fine escalope Dinde noire - La Nouvelle Agriculture,0213565030447,['France'],[],[],?,112,"1,2",0,25,469 kj(112 kcal),"0,3",0,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Nouvelle Agriculture'],,,,,,,,,,,,
79,Musli fullkornsflak,7035620033377,['France'],[],[],?,366,5,65,"10,1",1531 kj(366 kcal),"2,9","9,8","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Raisins secs golden jumbo,2600172016076,['France'],[],[],?,344,"0,5","79,5","3,4",1439 kj(344 kcal),"0,1","59,2","0,03","0,012","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs']",0.5 g,en faible quantité,0.1 g,en faible quantité,59.2 g,en quantité élevée,0.03 g,en faible quantité,7,C,D,,+9%,+9%,-14%,-29%,+10%,-5%,+20%,-45%,-45%,+24%,+24%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,,,,,,,,
81,Dragées,3264021131588,['France'],[],[],?,438,11,78,"4,9",1833 kj(438 kcal),"0,9",77,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Hautes cotes de beaume (bourgogne),3219850051378,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cookie triple chocolat,0209245022963,['France'],[],[],?,475,25,57,"5,5",1987 kj(475 kcal),16,39,"0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Beanz,5000157075864,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Rosette de Lyon,3333680001508,['France'],[],[],?,396,32,1,26,1657 kj(396 kcal),13,1,"4,3","1,72","['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",32 g,en quantité élevée,13 g,en quantité élevée,1 g,en faible quantité,4.3 g,en quantité élevée,24,E,D,,+8%,+8%,+12%,+14%,-48%,-31%,+2%,-5%,-5%,+2%,+2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,
86,Miel Trèfle - MAGELLAN - 250g,3760187334578,['France'],[],[],?,?,?,?,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de trèfle']",,,,,,,,,,,A,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['MAGELLAN'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",250 g,['Pot en verre'],,,['Portugal'],"['EMB 93048AU', 'Montreuil (Seine-Saint-Denis, France)']",['Biocoop'],,,,
87,Miw classic,2416345019887,['France'],[],[],?,46,"0,4","10,1","0,66",192 kj(46 kcal),"0,05","9,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Confiture poire framboise,3455140005847,['France'],[],[],?,237,"0,1",60,0,992 kj(237 kcal),0,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Magdalenas,8411037004817,['France'],[],[],?,447,22,58,"4,2",1870 kj(447 kcal),"3,7",45,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fromage pour Tartiflette,2996493004985,['France'],[],[],?,329,27,1,20,1377 kj(329 kcal),19,1,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Grillkräuter,39502007181000000150,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Waitrose cook' ingredients,5000169096826,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
