,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,additives,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,ingredients_origins,allergens,generic_name,packaging,manufacturing,markets,brand_owner,link,palm_ingredients
246,Crème pâtissière et flan pâtissier -  - 800g,0410979108063,['France'],"['Amidon de maïs', 'arôme vanillé', 'carotène', 'riboflavine']",[],94,?,94 kj(22 kcal),"1,4","0,8",18,13,"2,8","0,11","0,044",,,,,"['Epicerie', 'Aides culinaires', 'Préparations pour desserts']",,,,,,,,,-94%,,-93%,-79%,-72%,-68%,-57%,-43%,-74%,-74%,,,,,,,,,,,,,800g,,,,,,,,,,
247,Extra virgin cocos - Aman prana,0411015621416,['France'],[],[],3768,?,3768 kj(901 kcal),100,"92,1",0,0,0,0,0,['Aman prana'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco', 'Huiles vierges de coco']",100 g,en quantité élevée,92.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,+4%,+2%,+8%,-100%,-100%,-100%,-100%,-100%,20,+2%,E,+2%,,,,,,,,,,['Commerce équitable'],,,,"['Bocal', 'Verre']",,,,,
248,0411111970173,0411111970173,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
249,Peanuts nori wasabi coated - Koh-kae - 240,0411211664101,['France'],[],[],?,?,,?,,?,,?,,,['Koh-kae'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes', ""Cacahuètes enrobées d'un biscuit pour apéritif"", 'en:Wasabi Coated Peanuts']",,,,,,,,,,,,,,,,,,,,,,,C,76.8%,13.8%,4.6%,2.6%,2.1%,0.0%,56,240,,,,,,,,,,
250,0411480116509,0411480116509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Classico - Monini - 1litre,0412142671718,['France'],[],[],?,?,,?,,?,,?,,,['Monini'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1litre,,,,,,,,,,
252,Pain bâtard,0413376230436,['France'],[],[],?,283,1184 kj(283 kcal),"5,2","0,6",46,"1,4",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,0414212778877,0414212778877,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Motte tendre - Président  - 250g,0414212880877,['France'],[],[],?,?,,?,,?,,?,,,['Président'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250g,,,,,,,,,,
255,French's Smooth & Spicy - 340g,04150084137,['France'],"['vinaigre distillé', 'eau', 'graines de moutarde', 'raifort', 'sel', 'épices', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",435,?,435 kj(104 kcal),"6,5","0,5","6,3","1,3","5,2","4,064","1,626","[""French's""]",,,4,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",6.5 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en faible quantité,4.06 g,en quantité élevée,-37%,,-39%,-40%,-39%,-9%,-66%,-21%,-14%,-14%,7,-40%,C,-40%,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,340 g,,,['Moutarde'],moutarde,['Plastique'],['États-Unis'],['Kingkong Beer'],,,
