,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
21,Tomates rondes - 1kg,3700741001980,['France'],[],[],?,?,?,?,?,1 kg,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais']",,,,,,,,,,,,,,,,,,,,,,,,B,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,,,,,
22,Pavés de saumon - 5x 120g,3453020002863,['France'],[],[],?,?,?,?,?,5 x 120 g,,,,,,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,,,,,,,,,,,,,,,,,,,E,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,
23,Coffret Punk IPA - Brewdog - 66cl,3434880008608,['France'],"['eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,66 cl,,,,,,"['Végétarien', 'Végétalien', 'Déconseillé aux femmes enceintes']",['Brewdog'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières IPA', 'Bières écossaises']",,,,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,Coffret de bières Punk India Pale Ale,"['Carton', 'métal', 'Verre', 'Bouteille', 'Capsule']",['Écosse'],https://www.brewdog.com/uk/punk-ipa-4-x-can,['Carrefour Market'],['Gluten'],3,,,
24,Vinaigre de riz,4964607001302,['France'],[],[],?,2,"0,5","0,5","0,5",,8 kj(2 kcal),"0,1","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Houmous bio - 160g,8711468061787,['France'],[],[],?,312,"26,6",8,"7,6",160 g,1305 kj(312 kcal),"3,5","0,9","0,9","0,36",['Bio'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",26.6 g,en quantité élevée,3.5 g,en quantité modérée,0.9 g,en faible quantité,0.9 g,en quantité modérée,,+19%,+19%,+32%,+42%,-25%,-33%,+17%,-13%,-13%,5,+0%,C,+0%,,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,
26,Jamón de bellota ibérico lonchas,8436037457050,['France'],[],[],?,297,18,0,33,,1243 kj(297 kcal),"6,3",0,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,La mouna - 500g,3770014766052,['France'],[],[],?,362,13,50,"8,1",500 g,1515 kj(362 kcal),"7,3","17,9","0,2","0,08","['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mini cornet snack,223476759012,['France'],[],[],?,502,27,56,"7,5",,2100 kj(502 kcal),13,41,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cold infuse - Twinings,5055953903279,['France'],[],[],?,?,?,?,?,,,,,,,,['Twinings'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Torsades semi complétes,3267934464644,['France'],[],[],?,360,"1,5","73,8","11,1",,1506 kj(360 kcal),"0,2","1,5",,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wheat and Tofu snack,8809608230145,['France'],[],[],?,496,20,68,12,,2075 kj(496 kcal),12,20,"0,292","0,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crémant d'Alsace blanc demi-sec,3267980005495,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rice and Tofu snack,8809608230138,['France'],[],[],?,496,24,64,8,,2075 kj(496 kcal),12,24,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
