,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
312,Poivre noir grain,3308772191153,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Mayonnaise,6194000803359,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,3045050350887,3045050350887,['France'],[],[],?,123,?,?,?,,515 kj(123 kcal),,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Sorbet cassis - Thiriet,3292590528171,['France'],[],[],?,112,0,27,0,,469 kj(112 kcal),0,24,0,0,,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au cassis']",0 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,0 g,en faible quantité,,-9%,-9%,-100%,-100%,-7%,0%,-100%,-100%,-100%,5,+4%,C,+4%,,C,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,['Thiriet'],,,,,
316,Jus tropical,8435456201060,['France'],[],[],?,58,"0,24","12,62","0,58",,243 kj(58 kcal),"0,05","9,37",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Boules coco zip&zap - 260g,2215402509480,['France'],[],[],?,440,12,81,"3,2",260 g,1841 kj(440 kcal),11,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,organic fig crispbread - Le pain des fleurs,3380380074189,['France'],[],[],?,378,"1,2",82,7,,1582 kj(378 kcal),"0,2","10,7",,,,['Le pain des fleurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Merguez - Jean Rozé,1572701127,['France'],[],[],?,300,26,"2,4",13,,1255 kj(300 kcal),12,"1,4",2,"0,8","['Nutriscore', 'Nutriscore E']",['Jean Rozé'],,,,,,,,,,,,,,,,,,,,,,,,"['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",,,,,,,,,,,,,,,,,,
320,Tuiles au noisettes,3760183296030,['France'],[],[],?,410,25,39,7,,1715 kj(410 kcal),5,30,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Coeur Neufchatel P/E - 200g,2030000060078,['France'],[],[],?,?,?,?,?,200 g,,,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Neufchâtel']",,,,,,,,,,,,,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
322,YUKA Sauce bolognaise,3250392882624,['France'],[],[],?,88,5,"6,5","3,6",,368 kj(88 kcal),"1,2","4,7","1,1","0,44",,,"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']",5 g,en quantité modérée,1.2 g,en faible quantité,4.7 g,en faible quantité,1.1 g,en quantité modérée,,+1%,+2%,+22%,-2%,-1%,-1%,-20%,0%,0%,5,+119%,C,+119%,,E,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,,,,,,,,,,
323,Arome naturel de fleur d oranger,3278584940020,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Lait Ribot,3283324200067,['France'],[],[],?,67,4,"4,7","3,2",,280 kj(67 kcal),"2,7","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Fraise de carpentras,3276559378359,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Crackers sales Bio - 90g,3770015150065,['France'],[],[],?,429,24,38,12,90 g,1795 kj(429 kcal),"3,3",3,"1,3","0,52",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Gingembre moulu Samia - 250g,3276650132010,['France'],[],[],?,?,?,?,?,250 g,,,,,,,,['en:Gingembre moulu'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Crackers sales bio seigle sarrasin - 90g,3770015150072,['France'],[],[],?,380,19,44,"6,1",90 g,1590 kj(380 kcal),"2,7",1,"1,2","0,48",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Abricot sec,2600110027553,['France'],[],[],?,283,"0,5","62,6","3,4",,1184 kj(283 kcal),"0,02","53,4",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,,,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,,,,,,,,D,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,
330,Jambon blanc,2238078042051,['France'],[],[],?,?,?,?,?,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,charles mignon champagne,3518120001892,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,P'tit granité Pomme,3770007424587,['France'],[],[],?,64,0,"18,1",0,,268 kj(64 kcal),0,11,0,0,"['Sans colorants', 'Nutriscore']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Tortelloni - 250g,0002000000066,['France'],[],['Sans huile de palme'],?,219,"2,4","40,5",9,250 g,916 kj(219 kcal),"0,2","0,7","0,5","0,2",['en:palm-oil-free'],,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortelloni']",2.4 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en quantité modérée,,-13%,-14%,-62%,-92%,+5%,-73%,-5%,-56%,-56%,-1,-118%,A,-118%,,,,,,,,,,,,,,,,,,,
334,Chilli paste,4792143120412,['France'],[],[],?,535,"44,6","26,4","6,9",,2238 kj(535 kcal),"19,7","16,2","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Pain Pavé Bio,0202878015098,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,100% Whey Hydro ISOLATE - Prozis,5600854621427,['France'],[],[],?,402,"3,4","2,9",90,,1682 kj(402 kcal),2,"1,1","0,46","0,184",,['Prozis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Les babas de Stanislas,3328560013733,['France'],[],[],?,198,"1,6",45,1,,828 kj(198 kcal),"1,1",43,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Momenti,8000500343944,['France'],[],[],?,569,"36,8","50,5","7,9",,2381 kj(569 kcal),"16,4","36,5","0,445","0,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Tonc OCB,54064164,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Volvic robusta cassis,49301250,['France'],[],[],?,10,0,"2,3",0,,42 kj(10 kcal),0,"2,3",,,,['Volvic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Torsade,0203487011150,['France'],[],[],?,375,19,42,"6,9",,1569 kj(375 kcal),12,10,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Minerva Thunfischfilet In Olivenöl,5606677100019,['France'],[],[],?,214,13,0,23,,895 kj(214 kcal),"0,9",0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Côtes de porc,0207600018040,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Salsa tartufata reale,8059265001743,['France'],[],[],?,375,"41,58","0,18","0,09",,1569 kj(375 kcal),"6,72","0,03","1,06","0,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Protein brownie - The Protein Works,5060455519057,['France'],[],[],?,303,"7,5","34,4","26,6",,1268 kj(303 kcal),"2,2","2,6","0,74","0,296",,['The Protein Works'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Découpe de poulet,0263212034182,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,It's alive !,0634158735691,['France'],[],[],?,68,"0,3","15,4","0,3",,285 kj(68 kcal),"0,1","12,9",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Onagre Vierge 200 Caps,3291960013323,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Poêlée Méditerranéenne,2868075024479,['France'],[],[],?,22,"0,5","3,4","1,2",,92 kj(22 kcal),"0,1","1,4",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Weizen blanche,7612900339635,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Cerneaux de noix,2600184055896,['France'],[],[],?,688,"63,8","10,8","14,7",,2879 kj(688 kcal),"5,7",3,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,,,,+0%,+0%,-0%,-3%,+11%,-6%,-2%,,,,,,,,D,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,
352,Coriandre moulue déshydratée -  - 250g,3547402100190,['France'],['Coriandre moulue déshydratée'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,250 g,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Epices', 'Herbes aromatiques', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Produits de coriandre', 'Feuilles de coriandre', 'Coriandre en poudre']",,,,,,,,,,,,,,,,,,,,,,,,B,54.7%,0.0%,17.4%,16.5%,8.4%,3.0%,95,,,,,,,1,,,
353,Huile d'olive - Monini,8005510003208,['France'],[],[],?,828,92,0,0,,3464 kj(828 kcal),14,0,0,0,,['Monini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
354,Tomate -,0208541003942,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates fraîches']",,,,,,,,,,,,,,,,,,,,,,,,B,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,,,,,,,,,,
355,thé des alizes,9002000026104,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Lebanese halawa - 454g,5281033081203,['France'],[],[],?,580,35,45,13,454 g,2427 kj(580 kcal),10,39,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2189924045590,2189924045590,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Queen Flamingo Tropico Chic - La Débauche - 33cl,3760055360197,['France'],"['Eau', 'malts ', 'gluten', 'houblons', 'levure', 'lactose', ""purée d'ananas""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,33 cl,,,,,,['Déconseillé aux femmes enceintes'],['La Débauche'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Pale Ale']",,,,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,"['Bouteille', 'Verre']",['France'],,['AFKraft'],"['Gluten', 'Lait']",4,,,
359,Jus de pomme bio,3770013230691,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Baionde chipirons,3760084451057,['France'],[],[],?,99,"2,2","6,1","11,4",,414 kj(99 kcal),"0,4","3,7","0,7","0,28","['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Chips,3168467303359,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Glace sanhes,3683080399164,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Bouchées de poulet tandoori,3242278082310,"['Afghanistan', 'France']",[],[],?,223,14,"7,7",14,,933 kj(223 kcal),"3,2","5,3","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,
364,Sirop d'erable,0849131000370,['France'],[],[],?,220,0,54,0,,920 kj(220 kcal),0,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Carré de côte de porc cuit,0255679053929,['France'],[],[],?,755,"8,4",0,26,,3159 kj(755 kcal),4,0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Lebeniye çorbasi,8690504632252,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Buche de chèvre soignon,0209660017711,['France'],[],[],?,291,23,1,20,,1218 kj(291 kcal),16,1,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Beurre,3278310000080,['France'],[],[],?,10,10,0,2,,42 kj(10 kcal),1,,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Oignon jaune,2047108005054,['France'],[],[],?,3,1,1,40,,13 kj(3 kcal),1,0,1,"0,4",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']",1 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,1 g,en quantité modérée,,-86%,-86%,-59%,+449%,-78%,-100%,+1233%,+900%,+900%,-6,,A,,,B,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,
370,Terrine de Canard au pain d'épices - Fabrication Artisanale,3760200771410,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,,E,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,
371,Colombo Moulu,3193840324355,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Fromage de Vache,5941850871479,['France'],[],[],?,195,13,"5,5","14,5",,816 kj(195 kcal),"8,4","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,6 cones vanille - Toupargel,3528161506911,['France'],[],[],?,281,14,36,"2,2",,1176 kj(281 kcal),11,27,"0,12","0,048","['Nutriscore', 'Nutriscore A']",['Toupargel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Sorbet mangue - Thiriet,3292590528423,['France'],[],[],?,110,0,27,0,,460 kj(110 kcal),0,23,,,,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mangue']",0 g,en faible quantité,0 g,en faible quantité,23 g,en quantité élevée,,,,-11%,-11%,-100%,-100%,-8%,-10%,-100%,,,,,,,,C,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,['Thiriet'],,,,,
375,Salade de Pois Chiches - 400g,3760173304196,['France'],[],[],?,152,"4,6",17,"6,1",400 g,636 kj(152 kcal),"0,5",0,"0,5","0,2",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",4.6 g,en quantité modérée,0.5 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,,-20%,-19%,+52%,+28%,-28%,-100%,-40%,+5%,+5%,0,,B,,"['FR 83.107.313 CE', 'Roquebrune-sur-Argens (Var, France)']",B,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,
376,500g,5000394018396,['France'],[],[],?,?,?,?,?,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,5000394032781,5000394032781,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,9100000445144,9100000445144,['France'],[],[],?,?,?,?,?,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,9100000753157,9100000753157,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,"Boîte Bretzli Or Kambly 250 gr, 1 Boîte",7614800128166,['France'],[],[],?,478,19,67,"8,2",,2000 kj(478 kcal),15,26,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Bleu de  brebis,2825692028341,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Bagel pavot,2681302000011,['France'],[],[],?,307,"4,7","56,4","9,8",,1284 kj(307 kcal),"0,5","5,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Dégagement Tranchettes Chorizo Fort 200g - 200g,300338201472010813530132,['France'],[],[],?,360,"29,7",1,22,200 g,1506 kj(360 kcal),"11,4","0,9","3,66","1,464",,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 43211B', 'Saint-Maurice-de-Lignon (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,
384,Crêtes de coq complètes,3253511999814,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Sauvisses de boeuf avec poulet,8711659039069,['France'],[],[],?,100,"15,5",5,"14,8",,418 kj(100 kcal),"6,5","0,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Gorgonzola,2666978022567,['France'],[],[],?,330,27,"0,1",19,,1381 kj(330 kcal),19,"0,1","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,
387,Gressin Ubata aux oignons,3770014430007,['France'],[],[],?,414,"9,6","67,1",12,,1732 kj(414 kcal),"1,1","5,4","1,7","0,68",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Les escalopes gourmandes,2447038031220,['France'],[],[],?,114,"1,3","0,5",25,,477 kj(114 kcal),"0,4","0,4","0,13","0,052","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Batut atlas -,8437005045682,['France'],[],[],?,79,"2,97",12,"2,93",,331 kj(79 kcal),0,"11,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Doli saveur poulet,6044000016634,['France'],[],[],?,145,0,13,7,,607 kj(145 kcal),0,0,23,"9,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Cantal AOP ENT .DEJX 30% U SAV.,2892345008401,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Loukoumi,5200129621536,['France'],[],[],?,341,0,"85,6",0,,1427 kj(341 kcal),0,"76,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Noix de cajou grillé,2600717046704,['France'],[],[],?,597,45,24,20,,2498 kj(597 kcal),"9,4","7,8","0,7","0,28",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",45 g,en quantité élevée,9.4 g,en quantité élevée,7.8 g,en quantité modérée,0.7 g,en quantité modérée,,-0%,-0%,-2%,+11%,-6%,+20%,+7%,+12%,+12%,10,+32%,C,+32%,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
394,Complete,080005563059001,['France'],[],[],?,203,"6,6",19,14,,849 kj(203 kcal),"2,2",13,"0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Vert Pamp',3211209992660,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Emincé de kebab,3770008726246,['France'],[],[],?,149,"8,9","1,9",15,,623 kj(149 kcal),"2,6","0,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,meyvelim ananas,8690575870225,['France'],[],[],?,49,0,"12,3",0,,205 kj(49 kcal),0,"12,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Lokum,3800771008147,['France'],[],[],?,340,"0,2",85,"0,2",,1423 kj(340 kcal),"0,1",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Pain au 6 cereales 314g,3342690061488,['France'],[],[],?,257,"4,4",43,"8,5",,1075 kj(257 kcal),"0,9","1,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Bil bakalım - Haribo,8691216095748,['France'],[],[],?,385,0,"89,9","6,3",,1611 kj(385 kcal),0,"52,4",,,,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Organic Creamy Caesar Dressing,0070974410242,['France'],[],[],?,266.66666666667,"26,667","3,333","3,333",,1116 kj(266 kcal),5,0,"1,333","0,533",,,"['Epicerie', 'Sauces', 'Sauces salades']",26.7 g,en quantité élevée,5 g,en quantité modérée,0 g,en faible quantité,1.33 g,en quantité modérée,,-20%,-20%,-20%,+47%,-40%,-100%,+405%,-30%,-30%,12,-17%,D,-17%,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
402,Sal Refisal Frasc X 500 GR,7703812002295,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Yaourt cannelle,3484380001722,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Vin blanc,3660989217232,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Pain bûcheron - 400g,0209181008861,['France'],[],[],?,256,"3,2",45,9,400 g,1071 kj(256 kcal),"0,7","1,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Confiture extra fraises,3760185190053,['France'],[],[],?,262,"0,7",64,"0,4",,1096 kj(262 kcal),0,61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,BANANES,2600480011022,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Pâtes sèches biologiques - 500g,3770012151058,['France'],[],[],?,?,?,?,?,500 g,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,P'tit Granité Tropical,3770007424600,['France'],[],[],?,61,0,"17,3","0,2",,255 kj(61 kcal),0,"9,9",0,0,"['Sans colorants', 'Nutriscore']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
