,name,bar_code,eco_score,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,quantity,packaging,additives,nova_score,ingredients_origins,markets,generic_name,manufacturing,allergens,link,palm_ingredients,origin_detail
1829,Micro-copeaux chocolat saveur caramel,3700105265348,,,,['France'],[],[],,,,,,,,,?,,544,,2276 kj(544 kcal),,"30,8",,"18,5",,"61,5",,61,,"4,6",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Tête brûler. barres de rire  goût pomme.,07838057,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,Chocolat au lait spécial fontaine fondue,3700105276214,,,,['France'],[],[],,,,,,,,,?,,585,,2448 kj(585 kcal),,"40,4",,"24,3",,"47,6",,"46,7",,"6,5",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Pépites de chocolat blanc,3700105292597,,,,['France'],[],[],,,,,,,,,?,,532,,2226 kj(532 kcal),,28,,17,,66,,66,,"4,1",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Micro-copeaux chocolat blanc,3700105265355,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,"30,4",,"18,3",,"59,9",,"59,5",,"6,5",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Micro-copeaux chocolat au lait,3700105265379,,,,['France'],[],[],,,,,,,,,?,,518,,2167 kj(518 kcal),,"26,9",,"16,1",,"60,7",,"59,4",,"6,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Micro-copeaux chocolat noir,3700105265362,,,,['France'],[],[],,,,,,,,,?,,519,,2171 kj(519 kcal),,"30,3",,"18,2",,"51,9",,"49,4",,"5,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Muesli croustillant triple choc,15725709,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,15,,"5,6",,61,,18,,11,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Billes de céréales croustillantes chocolat noir,3700105222167,,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,"28,3",,"16,9",,"52,1",,"41,4",,"5,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Pain au lait,,,,,['France'],[],[],,,,,,,,,?,,398,,1665 kj(398 kcal),,13,,"7,7",,56,,11,,13,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
1839,poulet aux morilles,2141167004987,,,,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,"14,1",,4,,27,,"1,9",,"12,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1840,La moelleuse,3564706591400,,,,['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,"5,6",,2,,31,,"4,1",,"8,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Billes de céréales croustillantes chocolat au lait,3700105221757,,,,['France'],[],[],,,,,,,,,?,,508,,2125 kj(508 kcal),,"25,5",,"15,2",,"62,5",,"53,6",,"5,8",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Le Ravioli pur Boeuf,3375644008574,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Morceaux choisis de poulet,3230890050480,,,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,16,,5,,0,,0,,17,,"0,19",,"0,076",,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,
1844,"Chocolat de couverture noir 66,1%",3700105208383,,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,"38,6",,"23,2",,"34,7",,"30,9",,"7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Saucisses d’herbe,2288489041594,,,,['France'],[],[],,,,,,,,,?,,249,,1042 kj(249 kcal),,21,,"9,8",,"0,5",,"0,3",,"14,5",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,
1846,Chrunchy easter muesli,4056489336259,,,,['France'],[],[],,,,,,,,,?,,430,,1799 kj(430 kcal),,"14,3",,"6,1",,"58,5",,"18,3",,"10,9",,"0,49",,"0,196",,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Grué cacao,3700105229654,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Saucisson a cuire,2271207027291,,,"['FR 74.224.006 CE', 'Roche-sur-Foron (Haute-Savoie, France)']",['France'],[],[],,,,,,,,,?,,281,,1176 kj(281 kcal),,22,,"9,8",,"0,7",,"0,5",,20,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1849,"Indian Curry Dream, Curry Sauce",40737577,,,,['France'],[],[],,,,,,,,,?,,176,,736 kj(176 kcal),,"0,2",,"0,1",,42,,36,,"0,6",,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Pur jus de pomme et cerise,3770015152168,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Palets,3357021762132,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Strawberry yogurts,00383165,,,,['France'],[],[],,,,,,,,,?,,54,,226 kj(54 kcal),,"0,5",,"0,1",,"7,5",,"5,9",,"5,2",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Mincerettede porc,2201431018505,,,"['FR 87.085.006 CE', 'Limoges (Haute-Vienne, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,
