,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
1849,Dragées aux amandes,8005085722443,,,['France'],[],[],?,431.2,1804 kj(431 kcal),8,"5,6","88,4","78,8","1,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Apéritif Marin,3660902000538,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,Panache Chipolata/Merguez,0261380054315,,,['France'],[],[],?,210,879 kj(210 kcal),"16,3","7,4","1,7",0,"15,38","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Saucisse,2676380058122,,,['France'],[],[],?,74,310 kj(74 kcal),"11,8",5,"1,1","0,96","15,6","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,Grignottes a l’italienne,0206299022765,,,['France'],[],[],?,197,824 kj(197 kcal),11,3,"4,6",0,20,"0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Jus d’aloe vera bio,8437016024232,,,['France'],[],[],?,50.459999084473,211 kj(50 kcal),"1,5",0,"0,2","0,1","8,34",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,Spaghetti,3760275810502,,,['France'],[],[],?,291,1218 kj(291 kcal),"1,9","0,5",58,"0,9",9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,"Oats, Seeds and Berries bars",29079421,,,['France'],[],[],?,427,1787 kj(427 kcal),"17,6","2,5","21,7","21,7","14,5","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Dragibus - Haribo,3103220028995,,['Haribo'],['France'],[],[],?,375,1569 kj(375 kcal),"0,5","0,1",93,59,"0,5","4,85","1,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Sirop frais,3047960050253,,,['France'],[],[],?,1270,5314 kj(1270 kcal),1,0,74,74,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,"Nuts, Oats and Honey bars",29079223,,,['France'],[],[],?,481,2013 kj(481 kcal),"24,5","2,9","36,9","19,6","25,8","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Pains petit,2011200105004,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Brousse Artisanale,3384885720732,,,['France'],[],[],?,130.5,546 kj(130 kcal),"9,5","6,1","3,8","2,9","6,7","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Une affaire de famille,5051889638186,,,['France'],[],[],?,1000,4184 kj(1000 kcal),7,6,5,4,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Gruyere AOP,2987945020783,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,Oeufs de cabillaud - Casino,3222477625730,,['Casino'],['France'],[],[],?,138,577 kj(138 kcal),"2,2","0,5","2,5",0,27,"3,1","1,24",,,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 62160', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,
1865,Macarons,0206253036081,,,['France'],[],[],?,421,1761 kj(421 kcal),18,"3,9",54,53,"9,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,Poudre de curry - Hénaff - 70g,3537580900064,70 g,['Hénaff'],['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,Green pesto,4088600180724,,,['France'],[],[],?,557,2330 kj(557 kcal),60,"7,4","1,1","0,9","3,7","0,79","0,316",C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,,,,60 g,en quantité élevée,7.4 g,en quantité élevée,0.9 g,en faible quantité,0.79 g,en quantité modérée,,+24%,+25%,+36%,+13%,-81%,-61%,-22%,-68%,-68%,16,-18%,D,-18%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,
1868,Saucisson fumer porc et sanglier,2228231037192,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Le riz ô lait,3770013072031,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,Bio Farro integrale - De Cecco,8001250009647,,['De Cecco'],['France'],[],[],?,347,1452 kj(347 kcal),"2,4","0,4",64,"2,6",14,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,Nougat jaune grillé,8412704001535,,,['France'],[],[],?,478,2000 kj(478 kcal),25,"3,3",49,41,12,"0,1","0,04",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,,,,,25 g,en quantité élevée,3.3 g,en quantité modérée,41 g,en quantité élevée,0.1 g,en faible quantité,,+7%,+7%,+52%,+67%,-25%,-25%,+68%,+33%,+33%,17,+6%,D,+6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,
1872,Apple cinnamon granola minis,8711863846033,,,['France'],[],[],?,362,1515 kj(362 kcal),11,"1,4",56,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Ovomaltine,15657430,,['Ovomaltine'],['France'],[],[],?,430,1799 kj(430 kcal),13,"7,3","65,9",50,10,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Zelda,9782302079212,,,['France'],[],[],?,10,42 kj(10 kcal),10,10,10,0,10,0,0,,,['Non alimentaire'],,,,,,,10 g,en quantité modérée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-95%,-95%,-9%,+189%,-56%,-100%,+42%,-100%,-100%,,,,,,,,,,,,,,,,,
1875,Strawberry - Made Good,09645131,,['Made Good'],['France'],[],[],?,353,1477 kj(353 kcal),11,"1,3",53,25,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,yogurt de bere - Land,8017596065599,,['Land'],['France'],[],[],?,69,289 kj(69 kcal),"0,1",0,"14,2","14,2","2,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,Twilight princess,9782375540015,,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,['Non alimentaire'],,,,,,,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-100%,-100%,-91%,-71%,-96%,-89%,-86%,+11%,+11%,,,,,,,,,,,,,,,,,
1878,Sorbet au lait de coco et au taro,0016229902988,,,['France'],[],[],?,185,774 kj(185 kcal),10,8,22,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,Farfalles,3266887019161,,,['France'],[],[],?,354,1481 kj(354 kcal),"1,5","0,1",72,"3,5",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,0783987855015,0783987855015,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,Sablé saveur beurre,3700005003651,,,['France'],[],[],?,473.01000976562,1979 kj(473 kcal),"16,62","7,04","73,15","15,86","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Gaufrettes Fraises,5060201181743,,,['France'],[],[],?,527,2205 kj(527 kcal),"28,4","13,3","62,1","26,2","6,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,Thon à l'huile,8000614000504,,,['France'],[],[],?,384,1607 kj(384 kcal),36,"5,6",0,0,15,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,Ananas raisin,0200855031291,,,['France'],[],[],?,58,243 kj(58 kcal),0,0,13,12,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Miche vendangeuse 400g,,,,['France'],[],[],?,294,1230 kj(294 kcal),"7,3",0,4,0,7,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Sémillant sans sucres agrumes,3271330010602,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,La blonde de cordouan,3770013650246,,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Lego super mario,5702016618402,,,['France'],[],[],?,84,351 kj(84 kcal),54,54,29,3,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,3760218930465,3760218930465,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,Protein Light bar - Myprotein,5056281176014,,['Myprotein'],['France'],[],[],?,394,1648 kj(394 kcal),14,"3,4",19,"4,3",31,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,0099482472337,0099482472337,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
