,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
0,Rösti - McCain - 750g,8710438111972,750 g,['McCain'],['France'],[],[],?,188,787 kj(188 kcal),8,"0,9","25,5","0,5",2,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brioche - sicard - 420gr,3608734285822,420gr,"['Sicard', 'Brio']",['France'],"['Farine de BLE*', 'sucre de canne roux""', 'OEUFS frais', 'CREME FRAÎCHE 11%', 'BEURRE 8% ', 'LAIT', 'rhum*', 'levure', 'sel mnarin de Noirmoutier', 'arômes naturels*', 'vinaigre de cidre""', 'GLUTEN de BLE*', 'épice*', "" *Ingrédients issus de l'Agriculture Biologique"", ' Traces éventuelle de sésame', 'soja', 'sulfites']",['Non végétalien'],?,468,1958 kj(468 kcal),"13,1",8,"53,3","15,8","8,6","0,9","0,36",B,['Plastique'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches Vendéennes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['Vendée France'],['Boulangerie'],"['Œufs', 'Gluten', 'Lait']",4,13.1 g,en quantité modérée,8 g,en quantité élevée,15.8 g,en quantité élevée,0.9 g,en quantité modérée,,+24%,+25%,-14%,-22%,+8%,+9%,+3%,-4%,-4%,18,-5%,D,-5%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
2,Le saint-Génix - 200g,3770014766113,200 g,,['France'],[],[],?,406,1699 kj(406 kcal),"12,2","5,2",64,"36,1","8,1","0,2","0,08",,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vin rouge,3245415308106,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Liquid Honey,0060383781248,,,['France'],[],[],?,300,1255 kj(300 kcal),0,0,85,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambon de Paris Sans Couenne - Auchan - 80g,3596710484386,80 g,['Auchan'],['France'],"[""Jambon de porc issu d'animaux nourris sans OGM "", '<0', '9%', 'sel', 'arôme naturel', 'sucre', 'extrait de carotte', ""extrait d'épices et d'herbes aromatiques"", 'antioxydant: ascorbate de sodium', ' conservateurs : chlorure de potassium', 'nitrite de sodium', ' Élaboré à partir de porc origine France']","['Non végétalien', 'Non végétarien']",?,102,427 kj(102 kcal),2,1,1,1,20,"1,4","0,56",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore B']",,,['Auchan'],,4,2 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,-23%,-22%,-58%,-46%,+49%,+68%,-5%,-25%,-25%,2,-72%,B,-72%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['EMB 19031N', 'Brive-la-Gaillarde (Corrèze, France)', 'FR 19.031.008 CE', 'Brive-la-Gaillarde (Corrèze, France)']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
6,Burger boeuf sauce tomate - 225g,3287390062215,225 g,,['France'],[],[],?,250,1046 kj(250 kcal),12,6,20,"4,5",14,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 49.204.001 CE', 'Mesnil-en-Vallée (Maine-et-Loire, France)']",,,,,
7,Jambon serrano,3701411000111,,,['France'],[],[],?,254,1063 kj(254 kcal),16,"5,7","0,5","0,5",27,"3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Healthy meal shake  cafe latte,0745114177827,,,['France'],[],[],?,384,1607 kj(384 kcal),"8,2","1,6","37,2","31,9","37,8","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Vins,3760237477354,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FARINE MOLINI PUZZITI,8008458008212,,,['France'],[],[],?,221,925 kj(221 kcal),0,0,40,3,37,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sublimes noir et lait,3760085326781,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,gris de gris,3760108280052,,,['France'],[],[],?,58,243 kj(58 kcal),25,24,58,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Crevettes,3664335051402,,,['France'],[],[],?,95,397 kj(95 kcal),"0,9","0,5","0,6","0,6",21,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Eau fruité petillante au jus de citron / citron vert - U - 1l,3256228124043,1 l,['U'],['France'],"['Eau gazéifiée', 'jus de fruits à base de concentrés 5,6% ', 'citron vert', 'citron', 'sucre', 'extrait de citron et de citron vert', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",63,15,63 kj(15 kcal),"0,5","0,1","3,5","3,2","0,5","0,01","0,004",,,"['Boissons', 'Eaux', 'Eaux aromatisées']","['Arômes naturels', 'Transformé en France']",,,['Magasins U'],,3,0.5 g,en faible quantité,0.1 g,en faible quantité,3.2 g,en quantité modérée,0.01 g,en faible quantité,+58%,+67%,+70%,+414%,+1047%,+64%,+62%,+339%,-22%,-22%,6,+77%,D,+77%,,,,,,,,,['E300 - Acide ascorbique'],,,,
15,6130759000892,6130759000892,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Klosterfrau Broncholind, Echinacea Lutschbonbons",4008617137092,,,['France'],[],[],?,6.1999998092651,26 kj(6 kcal),"0,01",0,98,"0,1","0,01",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Suc De Mere,5942045340114,,,['France'],[],[],?,47,197 kj(47 kcal),0,0,11,11,"0,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SOS Drainage,3160928682225,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Celerie rémoulade - Auchan - 1kg,3596710484201,1 kg,['Auchan'],['France'],[],[],583,141,583 kj(141 kcal),13,1,"3,7","1,8",1,"1,1","0,44",B,,"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']","['Nutriscore', 'Nutriscore A']",,,['Auchan'],,,13 g,en quantité modérée,1 g,en faible quantité,1.8 g,en faible quantité,1.1 g,en quantité modérée,+17%,+8%,+7%,+12%,+1%,+13%,+3%,-17%,+9%,+9%,3,-13%,C,-13%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,"['EMB 45307A', 'Selle-sur-le-Bied (Loiret, France)']",,,,,
20,Huile d'olive vierge extra - Monini,8005510003239,,['Monini'],['France'],[],[],3404,828,3404 kj(828 kcal),92,14,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['IGP'],,,,,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-3%,-5%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,
21,Harva German capsules natural Weight Loss support 400 ml 30 Capsule,6363367732439,30 Capsule,['Harva'],"['Égypte', 'France', 'Jordanie', 'Koweït', 'Arabie saoudite', 'Émirats arabes unis', 'Royaume-Uni', 'États-Unis']","['Garcinia Cambogia', 'Green Coffee Extract', 'Methyl Cellulose', 'Green Tea Extract,Hawthorn,Guar Gum', 'Vegetable Magnesium Stearate', 'Vegetable Stearic Acid,Hydroxyl Propyl']",[],?,0,0 kj(0 kcal),0,,0,0,?,,,,['Cartoon Pack'],"['ar:منتجات تنحيف و فقدان الوزن', 'en:Weight loss']","['ar:FDA PN ""through unppar.com only""']","['en:German', 'en:ألمانيا']",['German'],"['unppar.com', 'fettarm.net', 'harva.net']",['ar:يمنع للأمراض المزمنه و الحوامل و المرضعات و من دون 18 عام إلا بإشراف طبيب'],4,0 g,en faible quantité,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,,,,,,"['E461 - Méthylcellulose', 'E412 - Gomme de guar', 'E572 - Stéarate de magnésium', 'E570 - Acide stéarique']",Harva German capsules,https://harva.net,,
22,Caudalie mousse,3522930002321,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Toasts fins,3564706597334,,,['France'],[],[],?,365,1527 kj(365 kcal),"2,6","1,8",71,"3,3",12,"1,3","0,52",,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3700322007479,3700322007479,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Yaourt,3023290043264,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Concombres au fromage blanc, ciboulette - Marque Repère - 200g",3564707168908,200 g,"['Marque Repère', 'Leclerc']",['France'],[],[],?,90,377 kj(90 kcal),"7,9",1,"2,5","1,7","1,2","1,1","0,44",,"['Plastique', 'Frais']",['Salades'],"['Bio', 'Bio européen', 'Agriculture UE', 'Fabriqué en France', 'Nutriscore', 'Nutriscore B']",,,['Leclerc'],,,7.9 g,en quantité modérée,1 g,en faible quantité,1.7 g,en faible quantité,1.1 g,en quantité modérée,,-37%,-35%,-3%,-18%,-73%,-22%,-76%,+34%,+34%,5,+473%,C,+473%,,,,,,,,,,,https://www.e-leclerc.com/catalogue/marques-distributeurs/marque-repere/accueil,,
27,Harissa,3269714300388,,,['France'],[],[],?,309,1293 kj(309 kcal),27,"3,1","9,3","5,1",4,"6,7","2,68",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Les petits delices - Andros,3608580026778,,['Andros'],['France'],[],[],?,43,180 kj(43 kcal),"0,2",0,9,"8,9","0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bière sugar killed,3770012741556,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Le cornichon français aigre doux - Bouton d'Or - 770g,3250392926830,770 g,"[""Bouton d'Or""]",['France'],[],[],?,163,682 kj(163 kcal),"0,5","0,4","6,4","5,7","1,4","1,8","0,72",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,0.5 g,en faible quantité,0.4 g,en faible quantité,5.7 g,en quantité modérée,1.8 g,en quantité élevée,,+504%,+537%,+69%,+486%,+86%,+118%,+39%,+5%,+5%,5,+130%,C,+130%,,,,,,,,"['EMB 72090D', 'Connerré (Sarthe, France)']",,,,,
31,Le cornichon français,3250392926809,,,['France'],[],[],?,12,50 kj(12 kcal),"0,5","0,1","0,8","0,6","1,3","1,9","0,76",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,1.9 g,en quantité élevée,,-56%,-53%,+69%,+46%,-77%,-77%,+29%,+10%,+10%,3,+38%,C,+38%,,,,,,,,,,,,,
32,D’Artigny Fruits Rouges sans alcool,3012993069947,,,['France'],[],[],?,15,63 kj(15 kcal),"0,1","0,1","9,3","8,6","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Glace Rocher Noir,3267180390346,,,['France'],[],[],?,248,1038 kj(248 kcal),"11,9","2,3",28,"27,1","5,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Moringa,3160920773389,,,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Endibias roja,8421022710005,,,['France'],[],[],?,9,38 kj(9 kcal),"0,2",0,"2,6","0,7","1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,pesto raviolotto parmesan - Lustucru,3240931546124,,['Lustucru'],['France'],[],[],?,277,1159 kj(277 kcal),12,"3,6",30,"5,4",11,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Liégeois pomme fraise sur lit au cassis,3456770000790,,,['France'],[],[],?,110,460 kj(110 kcal),"4,7","2,9",15,12,"0,85","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Crème gâteau à la vanille bio,5701073024027,,,['France'],[],[],?,379,1586 kj(379 kcal),"0,3","0,1",94,55,"0,3",,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,JAMBON de Paris Sans couenne - Auchan,3596710484393,,['Auchan'],['France'],[],[],?,102,427 kj(102 kcal),2,1,1,1,20,"1,4","0,56",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']","['Peu ou pas de sel', 'Peu de sel', 'Viande Française', 'Allégé en sel', 'Moins 25% de sel', 'Viande Porcine Française', 'Nutriscore', 'Nutriscore B']",,,['Auchan'],,,2 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,,-9%,-10%,-31%,-7%,+56%,+61%,-5%,-1%,-1%,2,-16%,B,-16%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,
40,Knuspermüsli,4061458178839,,,['France'],[],[],?,423,1770 kj(423 kcal),13,"5,6",61,19,"9,5","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Nuggets de poulet,3701004807462,,,['France'],[],[],?,209,874 kj(209 kcal),10,1,19,"9,4","9,7","1,4","0,56",D,,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,,,,,,10 g,en quantité modérée,1 g,en faible quantité,9.4 g,en quantité modérée,1.4 g,en quantité modérée,,-7%,-7%,-11%,-50%,+13%,+618%,-24%,+20%,+20%,5,+36%,C,+36%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,,,,,,
42,Batonnets feuilletes aux pepites de cassis,3760166540457,,,['France'],[],[],?,510,2134 kj(510 kcal),25,17,62,15,"7,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cracker tex-mex,8710759502107,,,['France'],[],[],?,505,2113 kj(505 kcal),25,16,51,"2,5",18,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Grissini Grissinificio Pasticceria Artigianale,8030966000013,,,['France'],[],[],?,458,1916 kj(458 kcal),18,"7,4","9,4","1,2","9,4","1,1","0,44",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,,,,,,18 g,en quantité modérée,7.4 g,en quantité élevée,1.2 g,en faible quantité,1.1 g,en quantité modérée,,+9%,+9%,+67%,+227%,-86%,-52%,-18%,-42%,-42%,16,+25%,D,+25%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,
45,Plateau de 20 oeufs Plein Air,3446892053637,,,['France'],[],[],?,194,812 kj(194 kcal),"0,18",0,"0,71",0,"10,3","0,387","0,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Confiture Extra de Fraises - Paquito,3250392882457,,"['Paquito', 'Intermarché']",['France'],[],[],1055,?,1055 kj(252 kcal),"0,5","0,1","61,4","58,5","0,5","0,01","0,004",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Nutriscore', 'Nutriscore D']",,,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,58.5 g,en quantité élevée,0.01 g,en faible quantité,+15%,,+16%,+107%,+122%,+16%,+15%,+13%,-56%,-56%,12,+37%,D,+37%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
47,Cocktail asiatique,3143110081266,,,['France'],[],[],?,404,1690 kj(404 kcal),"8,9","1,6",69,"6,4",12,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Yaourt brassé nature - Leaderprice,3263859603496,,['Leaderprice'],['France'],[],[],?,56,234 kj(56 kcal),3,"2,1","3,8","3,7","3,5",,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",,,,,,,3 g,en quantité modérée,2.1 g,en quantité modérée,3.7 g,en faible quantité,,,,-30%,-29%,-35%,-30%,-20%,-16%,-13%,,,,,,,,,,,,,,,,,,,
49,Canistrelli au citron - Castellane - 300g,3307484001446,300 g,['Castellane'],['France'],[],[],?,415,1736 kj(415 kcal),13,"1,5",68,21,"6,6","0,6","0,24",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Canistrelli']",,,,,,,13 g,en quantité modérée,1.5 g,en quantité modérée,21 g,en quantité élevée,0.6 g,en quantité modérée,,-11%,-11%,-29%,-41%,+2%,-24%,-1%,-4%,-4%,10,-32%,C,-32%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,
50,Penne,8007066210406,,,['France'],[],[],?,?,,"1,4","0,3",73,3,"10,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Semoule & lait de coco,3252920038664,,,['France'],[],[],?,171,715 kj(171 kcal),12,11,14,"8,8",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Œuf de poul - Carrefour,3560071400569,,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,,,,['Point Vert'],,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Expresso classico,3149330005457,,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BANAMIEL Organic,8435177065316,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Doritos bits bbq,8710398518170,,['Doritos'],['France'],[],[],?,524,2192 kj(524 kcal),29,"3,7",58,"5,1","5,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amora - 195g,26160122,195 g,['Amora'],['France'],"['Eau', 'graines de MOUTARDE', 'vinaigre d alcool', 'sei', 'conservateur: E224 ', 'SULFITES', 'acidifiant: acide citrique', ' Valeurs nutritionnelles moyennes pour 100g/par pertion de 10 g/%*par portion: Valeur energetique:670 kJ - 161 kcal/66 kJ - 16 kcal/<1%', ' Glucides: 4,4g/<0,5g/<1% dont sucres : 2,3g/<0,5g/<1%', ' Protéines : 7,2g/0,7g/1%', "" Sel : 5,7g/0,61g/10% % d'apport de référence pour un adulte type""]",[],?,160,670 kj(160 kcal),10,1,5,5,7,"6,1","2,44",,['Verre'],['en:Moutarde'],['en:Moutarde de Dijon'],,['France'],['Cora'],['Anhydride sulfureux et sulfites'],,10 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité modérée,6.1 g,en quantité élevée,,+10%,+10%,-20%,+20%,-22%,+39%,+13%,+28%,+28%,12,-1%,D,-1%,,,,,,,,,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,http://www.amora.fr,,
57,SKYR Vanille,8718906966178,,,['France'],[],[],?,78,326 kj(78 kcal),0,0,"9,5","8,5",10,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Canistrellu,3590223002372,,,['France'],[],[],?,538,2251 kj(538 kcal),"29,9","9,3",58,35,"7,2","1,05","0,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Croc'O Lait - Galler,54014305,,['Galler'],['France'],[],[],?,536,2243 kj(536 kcal),"32,3","16,61","52,5","44,7","7,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sardine a l huile,6111188000561,,,['France'],[],[],?,209,874 kj(209 kcal),"11,3","2,8",0,0,"26,3",0,0,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,,,,11.3 g,en quantité modérée,2.8 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-15%,-15%,-36%,-27%,-100%,-100%,+23%,-100%,-100%,-1,-118%,A,-118%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,
61,Lomo Embuchado,2201130003055,,,"['France', 'Espagne']",[],[],?,226,946 kj(226 kcal),8,"3,1","0,4","0,4",38,"3,9","1,56",,['blister plastique'],,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Graine de tournesol - Biothentic - 250g,3760092216457,250 g,['Biothentic'],['France'],[],[],?,627,2623 kj(627 kcal),"51,5","4,5",20,"2,6","20,8",,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",['Bio'],,,,,,51.5 g,en quantité élevée,4.5 g,en quantité modérée,2.6 g,en faible quantité,,,,+10%,+10%,+13%,-9%,+50%,+8%,-5%,,,,,,,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,"['EMB 60469N', 'Novillers (Oise, France)']",,,,,
63,Mayonnaise Bio,3263850373763,,,['France'],[],[],?,723,3025 kj(723 kcal),79,"7,7","1,7","1,7",3,"1,4","0,56",C,,"['Epicerie', 'Sauces', 'Mayonnaises']","['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,79 g,en quantité élevée,7.7 g,en quantité élevée,1.7 g,en faible quantité,1.4 g,en quantité modérée,,+18%,+18%,+19%,+25%,-37%,+16%,+144%,+5%,+5%,22,+23%,E,+23%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,
64,3459223570949,3459223570949,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Falafel epinard,7640158181928,,,['France'],[],[],?,254,1063 kj(254 kcal),14,"0,8",25,"0,9",7,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Escalope extra-fine de dinde,2614156016334,,,['France'],[],[],?,110,460 kj(110 kcal),"1,1","0,4",0,0,25,"0,16","0,064",D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",,,,,,1.1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.16 g,en faible quantité,,-9%,-9%,-17%,-1%,-100%,-100%,+9%,-71%,-71%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,
67,Filets de poulet halal,3700158736321,,,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
68,Farine de blé intégrale Type T150 - Natur Avenir,3520831630452,,['Natur Avenir'],['France'],[],[],?,326,1364 kj(326 kcal),"1,4","0,3",68,"1,8",12,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,1.4 g,en faible quantité,0.3 g,en faible quantité,1.8 g,en faible quantité,,,,-5%,-5%,+4%,+28%,-2%,+18%,+10%,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['EMB 01365B', 'Saint-Jean-sur-Veyle (Ain, France)']",,,,,
