,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
13,"2 Galettes Jambon, Œufs et Emmental - La CRÊPE de BROCÉLIANDE - 320g",3326120010062,320 g,['Barquette'],['La CRÊPE de BROCÉLIANDE'],"['EMB 35027A', 'Boisgervilly (Ille-et-Vilaine, France)', 'FR 35.027.002 CE', 'Boisgervilly (Ille-et-Vilaine, France)']",,['France'],"['Galette de blé noir 46,8% ', 'eau', 'farine de blé noir 20,6% ', 'France', 'sel del Guérande', ' OEUF sur le plat décongelé 24,3% ', 'France', 'jambon cuit supérieur 9,3% ', 'jambon de porc ', 'France', 'eau', 'sel', 'arômes naturels', 'sirop de glucose', 'conservateur : nitrite de sodium', 'antioxydant : érythorbate de sodium', 'LAIT', 'EMMENTAL 5,7%', 'eau', 'amidon modifié de manioc', 'farine de BLE', 'BEURRE', 'sel', 'poivre blanc', 'muscade']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E14XX - Amidons modifiés']","['Non végétalien', 'Non végétarien']",4,?,154,644 kj(154 kcal),"5,6","0,1",15,"0,7",10,"1,1","0,44",['en:produced-in-bretagne'],A,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir', 'Galettes garnies']",,-13%,-29%,-13%,+16%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,5.6 g,en quantité modérée,0.1 g,en faible quantité,0.7 g,en faible quantité,1.1 g,en quantité modérée,-14%,-98%,-31%,-8%,-8%,0,-100%,B,-100%,"2 Galettes Jambon, Oeuf sur le plat et Emmental",['Boisgervilly'],"['Œufs', 'Gluten', 'Lait']",,,,,
14,Kourabies,5203225003046,,,,,,['France'],[],,[],,?,515,2155 kj(515 kcal),30,"20,2","54,1","7,1","6,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pruneaux ultra moelleux - Pruni,3361291956139,,,['Pruni'],,,['France'],[],,[],,?,131,548 kj(131 kcal),"0,3","0,1","36,5","30,7","1,4","0,005","0,002","['Bio', 'Bio européen', 'Sans sucre ajouté', 'AB Agriculture Biologique']",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Pruneaux']",,-45%,-19%,-31%,-26%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,0.3 g,en faible quantité,0.1 g,en faible quantité,30.7 g,en quantité élevée,0.005 g,en faible quantité,-45%,-19%,-15%,-67%,-67%,2,-10%,B,-10%,,,,,,,,
16,Galette de blé noir jambon fromage -,3700009268391,,,,,,['France'],[],,[],,?,177,741 kj(177 kcal),"7,7","4,8",15,1,11,"1,4","0,56",,B,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,0%,+98%,-45%,+61%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,7.7 g,en quantité modérée,4.8 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,0%,+202%,+39%,+6%,+6%,12,+133%,D,+133%,galettes jambon fromage,,,,,,,
17,Andouille de vire X10,3340584105096,,,,"['FR 49.239.001 CE', 'Pin-en-Mauges (Maine-et-Loire, France)']",,['France'],[],,[],,?,258,1079 kj(258 kcal),17,"9,2","0,7",0,25,"2,1","0,84",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Spicy Chili tortilla Chips,5412514240004,,,,,,['France'],[],,[],,?,472,1975 kj(472 kcal),20,9,"64,4","1,5","6,6","1,6","0,64",,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,-2%,-12%,+7%,+3%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,20 g,en quantité modérée,9 g,en quantité élevée,1.5 g,en faible quantité,1.6 g,en quantité élevée,-2%,+207%,-21%,+37%,+37%,20,+106%,E,+106%,,,,,,,,
19,Pays d'Oc Cabernet Sauvignon 13° - Pierre Chanau,3254560044777,,,['Pierre Chanau'],,['Auchan'],['France'],[],,[],,?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Pays d'Oc""]",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,['France'],,,,
20,Créma de café,4002309012001,,,,,,['France'],[],,[],,?,565,2364 kj(565 kcal),"37,2","9,5","49,3","48,5","5,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tuile de chocolat soufflé,20194857,,,,,,['France'],[],,[],,?,534,2234 kj(534 kcal),"30,5","19,4",53,"41,7","7,4","0,63","0,252","['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gateau au chocolat et noix de pecan - Picard,3270160821747,,,['Picard'],,['Picard'],['France'],[],,[],,?,351,1469 kj(351 kcal),24,13,28,25,"4,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
