,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
362,3261415310406,3261415310406,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,ricore capuccino - nestle - 243g,16139204,243g,['Platique'],['Nestle'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,E,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,,,
364,Zebrano,5453003483021,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Mango-limette Rooibush - tea friends - 90g,4030716642801,90g,,['tea friends'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Caramel,4028452261196,,,,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,?,,?,,?,,?,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Pomme abricot,3770006385254,,,,,,['France'],[],,[],,?,77,322 kj(77 kcal),"0,3","0,2","17,5","14,8","0,3","0,01","0,004",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,"Haribo Salino, Réglisse, 150 Pièces",4001686216361,,,['Haribo'],,,['France'],[],,[],,?,333,1393 kj(333 kcal),"0,5","0,1",100,83,"0,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Caramelised onion houmous - Tesco,5053526261702,,"['card-sleeve', 'pet-pot']",['Tesco'],,,['France'],[],,[],,?,256,1071 kj(256 kcal),"19,4","1,8","12,4","4,3",5,"0,8","0,32",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,-3%,-4%,+17%,-23%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,19.4 g,en quantité modérée,1.8 g,en quantité modérée,4.3 g,en faible quantité,0.8 g,en quantité modérée,-3%,-27%,+221%,-23%,-23%,4,-20%,C,-20%,,,,,,,,
370,Schweppes Ginger Ale - 12FL OZ,0078000003468,12 FL OZ,['Canette'],['Schweppes'],,['U EXPRESS CECILE'],['France'],"['Eau gazéifiée', 'sirop de maïs', 'acide citrique', 'benzoate de sodium', 'colorant : caramel', 'arômes naturels,']","['E330 - Acide citrique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E150 - Caramel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,120,502 kj(120 kcal),0,0,33,32,0,"0,6","0,24",,,"['Boissons', 'Boissons gazeuses', 'Sodas']",,+344%,-100%,+387%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,0.6 g,en quantité modérée,+333%,-100%,+384%,+4217%,+4217%,22,+138%,E,+138%,,,,,,,,
371,Boules au praliné chocolat au lait - 235g,3222473271436,235 g,,,,,['France'],"['Praliné 35% ', ""sucre - pâte de noisettes torréfiées - pâte d'amandes torréfiées"", ' - sucre - beurre de cacao - poudre de lait entier - graisses végétales ', 'palmiste', 'palme', ' - pâte de cacao - lactose - poudre de lait écrémé - cacao maigre en poudre - émulsifiant : lécithines de tournesol - arôme naturel de vanille - arôme', ' traces de gluten']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,2287,548,2287 kj(548 kcal),33,17,54,53,"7,4","0,1","0,04","['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 bonbons de chocolat au lait fourrage au praliné.,,"['Lait', 'Fruits à coque']",,,,,
372,Bolachas de arroz com cobertura - 100g,5600445610489,100 g,,,,,['France'],[],,[],,?,467,1954 kj(467 kcal),"18,2","10,2","67,5","22,5","6,3","0,08","0,032","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Clément,3107460006171,,,['Clément'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,The vert qian dao chun ya,6944027000329,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Finest Marzipan Plum & Madeira - Favorina,20507534,,,['Favorina'],,,['France'],[],,[],,?,435,1820 kj(435 kcal),"19,7","7,8","53,1","52,2","5,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Preparati Solubili Crastan Orzo Caffe' Barattolo,8007100011051,,,,,,['France'],[],,[],,?,358,1498 kj(358 kcal),1,"0,6","70,9","1,8","11,4","0,28","0,112",['Sans arômes ajoutés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Torsade feuilletée petites de chocolat - Auchan,2030500485197,,,['Auchan'],,['Auchan'],['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Cheese flavored corn chips,9337803003381,,,,,['Woolworths'],"['Australie', 'France']",[],,[],,?,514,2151 kj(514 kcal),"23,4","2,2","63,4","3,7",9,1,"0,4","['en:gluten-free', 'Fabriqué en Australie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Croissant beurre -,0201576009842,,,,,,['France'],[],,[],,?,466,1950 kj(466 kcal),29,21,40,"7,1","9,9","0,99","0,396",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",,+21%,+34%,-2%,+32%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,29 g,en quantité élevée,21 g,en quantité élevée,7.1 g,en quantité modérée,0.99 g,en quantité modérée,+20%,+48%,+1%,+0%,+0%,20,+7%,E,+7%,,,,,,,,
380,Miel - Alpes Miel,3770009182027,,,['Alpes Miel'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels crémeux']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,['France'],,,,
381,Agujas,8426441160745,,,,,,['France'],[],,[],,?,245,1025 kj(245 kcal),17,"3,1",0,0,"22,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,"Poivron Bio, Variété coloration mixte - 300g",3661030109063,300 g,,,,,['France'],[],,[],,?,0,0 kj(0 kcal),0,0,5,"2,7","1,1",0,0,"['Bio', 'Bio européen', 'ES-ECO-004-AN']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Kawa Sati Pur Guatemala café moulu - Cafés SATI,3149330003071,,,['Cafés SATI'],,,['France'],[],,[],,?,?,,?,,?,,?,,,"['Commerce équitable', 'Max Havelaar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Naturactive Activ 4 Renfort,3700026997694,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Advent calendar - Provence d'Antan,3554740401476,,,"[""Provence d'Antan""]",,,['France'],[],,[],,?,0,0 kj(0 kcal),"0,1","0,001","0,2","0,05","0,05","0,05","0,02","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,-100%,-100%,-100%,-99%,,,,,,,,0.1 g,en faible quantité,0.001 g,en faible quantité,0.05 g,en faible quantité,0.05 g,en faible quantité,-100%,-100%,-100%,-74%,-74%,0,-100%,B,-100%,,,,,,,,
386,Fromage de brebis - Migros,7613404037928,,,['Migros'],"['FR 48.094.011 CE', 'Massegros (Lozère, France)']",,['France'],[],,[],,?,161,674 kj(161 kcal),9,6,"0,9","0,9",19,"2,8","1,12",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,-56%,-71%,-0%,-5%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,9 g,en quantité modérée,6 g,en quantité élevée,0.9 g,en faible quantité,2.8 g,en quantité élevée,-55%,-71%,+231%,+13%,+13%,12,-31%,D,-31%,,,,,,,,
387,"Cocos Blancs Import 1 Kg,",3276650026517,,,,,,['France'],[],,[],,?,373,1561 kj(373 kcal),"0,85","0,21",60,2,23,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Crispy sticks - Findus - 350g,7613036506854,350 g,['Kunststoff'],['Findus'],,,"['France', 'Suisse']",[],,[],,?,200,837 kj(200 kcal),10,"1,3",13,"0,7",13,"0,91","0,364","['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Beurre de Baratte,3368241042409,,,,,,['France'],[],,[],,?,745,3117 kj(745 kcal),"82,2","54,9","0,6","0,6","0,7","0,04","0,016",,E,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,+2%,+2%,-13%,-1%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,82.2 g,en quantité élevée,54.9 g,en quantité élevée,0.6 g,en faible quantité,0.04 g,en faible quantité,+2%,+2%,+7%,-97%,-97%,19,-17%,E,-17%,,,,,,,,
390,Crayon de coulis Mangue et gingembre,3060731014346,,,,,,['France'],[],,[],,?,50,209 kj(50 kcal),"0,2","0,02","10,7",10,"0,4","0,05","0,02",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de mangue']",,-60%,-58%,-61%,-36%,,,,,,,,0.2 g,en faible quantité,0.02 g,en faible quantité,10 g,en quantité modérée,0.05 g,en faible quantité,-60%,-85%,-62%,+450%,+450%,-3,-206%,A,-206%,,,,,,,,
391,Tisane du Pere Noel biologique,3554740401483,,,,,,['France'],[],,[],,?,0,0 kj(0 kcal),"0,1",0,"0,2","0,05","0,05","0,05","0,02",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Chocolat Extra Pur 94% cacao,8718421157983,,,,,,['France'],[],,[],,?,708,2962 kj(708 kcal),"65,7","38,7","24,8","6,4","8,7",0,0,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Pain au noix,0227611008861,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,König Ludwig Weißbier,4003304142205,,,['König Ludwig'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,
395,Pflanzenöl - Bellasan,28505785,,,['Bellasan'],,,"['France', 'Suisse']",[],,[],,?,828,3464 kj(828 kcal),92,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Ananas - Chiquita,0074904060057,,,['Chiquita'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Ananas']",,,,,,37.7%,0.0%,0.0%,33.4%,15.9%,13.1%,95,,,,,,,,,,,,,,,,,,,,,,,,,
397,Christmas Pudding - 454g,00888714,454 g,,,,,['France'],[],,[],,?,323,1351 kj(323 kcal),"4,9","2,3","65,4","47,3","2,6","0,23","0,092",,,"['Desserts', 'Puddings']",,+110%,+28%,+171%,-25%,,,,,,,,4.9 g,en quantité modérée,2.3 g,en quantité modérée,47.3 g,en quantité élevée,0.23 g,en faible quantité,+110%,+1%,+235%,+67%,+67%,17,+292%,D,+292%,,,,,,,,
398,Rillettes de canard,3532820000245,,,,,,['France'],[],,[],,?,327,1368 kj(327 kcal),"27,3","9,4","0,5","0,5","20,3","1,46","0,584",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,-18%,-26%,-13%,+25%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,27.3 g,en quantité élevée,9.4 g,en quantité élevée,0.5 g,en faible quantité,1.46 g,en quantité modérée,-19%,-25%,+99%,+7%,+7%,19,-2%,E,-2%,,,,,,,,
399,Café de Paris Litchi -  - 20g,3013010047474,20 g,,,,,"['France', 'Suisse']",[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Mulled wine winter berry conserve,00843904,,,,,,['France'],[],,[],,?,254,1063 kj(254 kcal),"0,7","0,3","60,4","54,4","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Sea salted caramel - Brinkers,8710573752818,,,['Brinkers'],,,['France'],[],,[],,?,578,2418 kj(578 kcal),"39,8",9,"50,6","50,6","4,7","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Honig Minis Sommerblüte - Langnese - 20g,4023300937704,20g,['Karton'],['Langnese'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,
403,Senfpulver - Hartkorn - 25g,4052600007022,25g,['Dose'],['Hartkorn'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,,"['Epicerie', 'Condiments']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Texas BBQ Ribs Rub - Feuer & Glas,9262051241769,,,['Feuer & Glas'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,,,,,,,,,,,,,,,,,,,
405,Pan d'épice - Le Comptoir de Mathilde - 35g,3700961301167,35 g,,['Le Comptoir de Mathilde'],,,['France'],[],,[],,?,350,1464 kj(350 kcal),"0,7","0,2",79,38,"6,8","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,16 Capsules Amm Dolcemente Lavazza,8000070086494,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Sorbet plein fruit à la rhubarbe - Erhard,3428420005158,,,['Erhard'],,,['France'],"['purée de rhubarbe sucrée 67% ', 'rhubarbe 80%', 'sucre', 'mynile', 'antioxydant: acide ascorbique', 'eau', 'sucre', 'dextrose de blé ou de mais', 'sirop de glucose déshydraté de blé ou de mais', 'jus de citron', 'stabilisants farine de graines de caroube,n gomme guar', 'protéines de LAIT', ' ', 'Ce sorbet contient 0,01% de proteines de LAIT', ' Traces éventuelles de SOJA', 'OEUF et FRUITS A COQUE']","['E300 - Acide ascorbique', 'E410 - Gomme de caroube']",['Non végétalien'],4,?,139,582 kj(139 kcal),"0,1",0,"33,3","26,8","0,3","0,01","0,004",,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la rhubarbe']",,+14%,-65%,+17%,-34%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,0.1 g,en faible quantité,0 g,en faible quantité,26.8 g,en quantité élevée,0.01 g,en faible quantité,+14%,-100%,+11%,-67%,-67%,5,-5%,C,-5%,,,['Lait'],,,,,
408,Crunchy Pearls - Zolux - 45g,3336022092677,45g,,['Zolux'],"['EMB 17415C', 'Saintes (Charente-Maritime, France)']",,['France'],"['Farine de Blé', 'Sucre', 'Oeuf', 'Huile de Colza', 'Carotte 1%', 'Persil 1%', 'Colorants naturels ', 'curcumine', 'betanine', 'chlorophylle', 'Poudre à lever ', 'E450', 'E500ii', 'amidon de maïs']","['E100 - Curcumine', 'E162 - Rouge de betterave', 'E140i - Chlorophylles', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,?,?,,?,,?,,?,,,,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Europe'],"['Œufs', 'Gluten']",,,,http://www.zolux.com/qrcode/,
409,Algue Séchée,3379140141094,,,,,,['France'],[],,[],,?,189,791 kj(189 kcal),"0,77","0,35",52,0,"12,7","14,5","5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Spécial Ballonnements - Floressance,3456300000450,,,"['Floressance', 'Léa Nature']",,,['France'],[],,[],,?,?,,?,,?,,?,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Cremaceto Balsamico - Mazzetti,0021200002212,,,['Mazzetti'],,,"['France', 'Allemagne']",[],,[],,?,?,,?,,?,,?,,,,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crema con Aceto Balsamico di Modena,,,,,,,
412,Purée de pommee de terre et de pommes de terre bleues - Knorr,8711200420148,,,['Knorr'],,,"['France', 'Suisse']",[],,"['Végétalien', 'Végétarien']",,?,58,243 kj(58 kcal),"0,5","0,2",11,"1,3","1,8","0,6","0,24","['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Purée de pomme de terre et potiron - Knorr - 120g,8711200420162,120 g,['Sachet'],['Knorr'],,,"['France', 'Suisse']",[],,"['Végétalien', 'Végétarien']",,?,278,1163 kj(278 kcal),"0,7","0,3",12,3,"2,3","0,5","0,2","['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Cassoulet au confit de canard,3397131150511,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,['Sans conservateurs'],C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",,,,,,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,,,,,,,,,,,,,,,,,,,,,
415,Thon entier à l'huile d'olive,6191571800978,,,,,,['France'],[],,[],,?,171,715 kj(171 kcal),"7,94","2,03",0,0,"27,9","0,71","0,284",,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons entiers']",,+4%,+18%,-100%,+11%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,7.94 g,en quantité modérée,2.03 g,en quantité modérée,0 g,en faible quantité,0.71 g,en quantité modérée,+5%,+104%,-100%,-33%,-33%,1,-24%,B,-24%,,,,,,,,
416,Steaks haches pur boeuf bio - 2x 125g,3361114019188,2 x 125 g,,,"['FR 56.057.003 CE', 'Faouët (Morbihan, France)']",,['France'],[],,[],,?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",E,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,,,,,,,,,,,,,
417,A-one Pork Flavour Rice Noodle,8934684031161,,,,,,['France'],[],,[],,?,368,1540 kj(368 kcal),8,3,69,3,5,2,"0,8",,,['en:Rice Noodles'],,,,,,,,,,,,,8 g,en quantité modérée,3 g,en quantité modérée,3 g,en faible quantité,2 g,en quantité élevée,,,,,,14,,D,,,,,,,,,
418,Confit de canard - Delpeyrat,3067162286076,,,['Delpeyrat'],,,['France'],[],,[],,?,1280,5356 kj(1280 kcal),24,"8,2","0,2",0,24,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Bonhomme de neige chocolat,3273071008825,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Bouquet Garni Origine France,3760020501563,,['Sachet'],,,,['France'],[],,[],,?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,8 manteaux du Père Noël - Picard,3270160821716,,,['Picard'],,['Picard'],['France'],[],,[],,?,331,1385 kj(331 kcal),14,"10,5",46,31,3,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Poires conférence,3276550101529,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Ail blanc,3343779121000,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,
424,Mes idées purées - Priméale,3663362003408,,,['Priméale'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Magret de canard - Maison Occitane,3443705051705,,,['Maison Occitane'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,,,,,,,,,,,,
426,Sauce aux legumes d'ete - 1809l,3770002981221,1809 l,,,,,['France'],[],,[],,?,51,213 kj(51 kcal),"2,51","0,34","4,82","3,38","1,37","0,44","0,176",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Organic green tea,8719134001518,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,['Bio'],B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,
428,Fat Free Natural Yogurt - Dunnes Stores - 500g,5099874080008,500 g,['Plastic'],['Dunnes Stores'],,['Dunnes Stores'],"['France', 'Irlande']","['Irish Skimmed Milk', 'Skimmed Milk Powder', 'Yogurt Cultures']",,['Non végétalien'],,?,54,226 kj(54 kcal),"0,4","0,2","7,6","7,3","4,8","0,19","0,076",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,-41%,-88%,-31%,+27%,,,,,,,,0.4 g,en faible quantité,0.2 g,en faible quantité,7.3 g,en quantité modérée,0.19 g,en faible quantité,-41%,-90%,-28%,+65%,+65%,-1,-133%,A,-133%,,['Ireland'],['Lait'],['Irlande'],,,,
429,Farine intégrale de blé Type 150 - Primeal,3380390129206,,,['Primeal'],,,['France'],[],,[],,?,332,1389 kj(332 kcal),"1,7","0,3","62,3","2,4","12,5","0,02","0,008","['Bio', 'Bio européen', 'FR-BIO-01']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,-3%,+27%,-10%,+15%,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,1.7 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0.02 g,en faible quantité,-4%,+28%,+57%,-16%,-16%,-1,,A,,,,,,,,,
430,Jus de Pomme Basilic,3760048260282,,,,,,['France'],[],,[],,?,44,184 kj(44 kcal),"0,1",0,"10,3",10,0,0,0,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Gebüse-Hähnchen vom Blech - Knorr,8712423038646,,,['Knorr'],,,['France'],[],,[],,?,118,494 kj(118 kcal),"4,8","0,8","8,4","2,9","9,4","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Truffes fantaisies - Mathez,3481290032402,,,['Mathez'],,,['France'],[],,[],,?,590,2469 kj(590 kcal),44,37,43,41,"3,9","0,2","0,08",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Plateau de 20 oeufs blancs gros calibre,3265290048409,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Baguette pain cuit sur place,,,,,,,['France'],[],,[],,?,256,1071 kj(256 kcal),"0,8","0,2",51,"1,4","9,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
