,name,bar_code,packaging,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,ingredients_origins,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,producer_info,brand_owner,origin_detail
902,Jet Gum Liquids Peppermint - JETgum,20389253,,['JETgum'],,"['Algérie', 'France', 'Espagne', 'Suisse']","['édulcorant : maltitols ', ' base', 'édulcorants : mannitol', 'sorbitols', 'sirop de maltitols ', ' humectït', ' glycérols ', ' arôme', 'gélatine', 'colorants : dioxyde titane', 'bleu brillant FCF ', ' édulcorants : aspartame acésuIfame-K ', ' émulsifiant : lécithine de tourne 01 ', ' agentdlenrobage : cire de carnauba ', ' stabilis lit : carboxyméthylcellulose', ' ** contient une sourc de Phénylalanine', ' Une consommation excessive peu avoir deseffetslaxatifs']","['Non végétalien', 'Non végétarien']",?,173,724 kj(173 kcal),0,0,71,0,"1,4",0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,,"['E965 - Maltitol', 'E421 - Mannitol', 'E420 - Sorbitol', 'E965ii - Sirop de maltitol', 'E422 - Glycérol', 'E428 - Gélatine', 'E171 - Oxyde de titane', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E951 - Aspartame', 'E322i - Lécithine', 'E903 - Cire de carnauba', 'E466 - Carboxyméthylcellulose']",,4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,+8%,+8%,-100%,-100%,+13%,-100%,+985%,-100%,-100%,,,,,,,,,,,,,,,,,,,
903,Pain de Campagne Blanc - lidl - 400g,20400286,['Sachet'],['Lidl'],,['France'],"['67% farine de blé', 'eau', 'sel iodé ', 'sel', 'iodure de potassium', 'levure', 'huiles végétales ', 'navette', 'colza', '0,6% levain de blé', 'dextrose', 'acidifiant: acétate de calcium', ' amidon de blé', 'sirop de glucose', 'protéines de lait', 'agent de traitement de la farine: acide ascorbique', "" Peut contenir des traces d'autres céréales contenant du gluten"", 'd’œuf', 'de soja', 'de fruits à coque', 'de graines de sésame et de lupin']",['Non végétalien'],?,250,1046 kj(250 kcal),"1,4","0,2",48,1,10,"1,1","0,44",400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de campagne']",,,,"['E263 - Acétate de calcium', 'E300 - Acide ascorbique']",['Lait'],4,1.4 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,,-6%,-6%,-59%,-58%,-0%,-50%,+22%,-12%,-12%,0,-100%,B,-100%,,,,,,,,,,,,,,,
904,Dés de poulet - Saint Alby - 150g,20400590,"['Barquette', 'Plastique', 'Item', 'Barquette', 'Film en plastique']","['Saint Alby', 'Dulano']",['Lidl'],['France'],"['95 % Viande de poulet', 'sel nitrite pour saumure ', 'sel', 'conservateur : nitrite de sodium', ""extraits d'épices"", 'épices', 'dextrose', 'stabilisant : diphosphates ', ' antioxydant : ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,106,444 kj(106 kcal),2,"0,5",1,"0,5",21,"1,9","0,76",150 g,"['Viandes', 'Volailles', 'Poulets', 'Dés de poulet']",['Fabriqué en Allemagne'],,['DE RP 03001 EG'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,4,2 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-30%,-30%,-66%,-67%,-50%,+14%,+3%,+122%,+122%,4,+184%,C,+184%,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,Dés de poulet cuits,,,,,
905,Bunter Vogel - Milbona - 175g,20422066,['plástico'],['Milbona'],['Lidl'],"['France', 'Allemagne', 'Espagne']",[],[],?,81.7,342 kj(81 kcal),"3,26","2,11","11,1","10,2","1,94","0,074","0,03",175 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts sucrés']","['Agriculture durable', 'en:UTZ Certified', 'es:Con Lacasitos']",,,,,,3.26 g,en quantité modérée,2.11 g,en quantité modérée,10.2 g,en quantité modérée,0.0743 g,en faible quantité,,-15%,-15%,+5%,+6%,-14%,-17%,-45%,-35%,-35%,4,+37%,C,+37%,,,,,,,,,,,,http://www.lidl-info.com/utz,,,
906,"Harvest Basket Steakhouse Frites, Kartoffel - 750g",20437046,['07 PE'],['Harvest basket'],['Lidl'],"['Finlande', 'France']","['90% pommes de terre', '6% enrobage épicé [farine de riz', 'sel', 'dextrine poudre à lever ', 'diphosphates', 'carbonates de sodium', 'épaississant ', 'gomme xanthane', 'dextrose', 'arôme]', '4% huile de tournesol']",[],655,155,655 kj(155 kcal),4,"0,5","26,6","1,3","2,7","0,24","0,096",750 g,"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Point Vert', 'Fabriqué en Belgique']",,,"['E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,4,4 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en faible quantité,0.24 g,en faible quantité,+5%,+2%,+2%,-19%,-24%,+16%,+164%,+8%,-17%,-17%,1,,B,,,B,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,['Belgium'],,,,
907,Salade Mélangée - Saladinettes,20445812,,['Saladinettes'],['Lidl'],['France'],[],[],?,12,50 kj(12 kcal),"0,1",0,"1,2","0,3","1,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Cornet de Glace - Gelatelli Ecorino,20459710,,['Gelatelli Ecorino'],,['France'],"['Lait écrémé réhydraté', 'sucre', 'farine de blé', 'graisse de coco', 'sirop de glucose-fructose', 'lactosérum ', 'lait', '3% chocolat blanc ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'émulsifiant : lécithine ', 'soja', ' ', ' arôme naturel de vanille', 'cacao maigre en poudre', '2,5% chocolat en poudre ', 'sucre', '32% cacao en poudre', '0,9% éclats de chocolat ', 'émulsifiant: lécithines ', 'soja', 'beurre de cacao', 'émulsifiants : lécithines ', 'soja', ""mono - et diglycérides d'acides gras"", ' lait entier en poudre', 'amidon modifié de tapioca', '0,3% chocolat ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'dextrose', 'lait écrémé en poudre', 'lactose', 'protéines de lait', 'stabilisants : farine de graines de caroube', 'gomme guar', ' arôme naturel de chocolat et autres arômes naturels', 'sel', 'arôme naturel', ' Chocolat: cacao: 35% min', ' Chocolat blanc : beurre de cacao : 20% min', 'matière sèche issue du lait: 14% min', ' Traces éventuelles de fruits à coque', ' Ne jamais recongeler un produit décongelé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,269,1125 kj(269 kcal),"11,1","8,7","37,8",29,"3,9","0,2","0,08",,,"['Agriculture durable', 'Ne pas recongeler', 'en:UTZ Certified', 'Entrepreneurs + Engagés']",,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Friture Praliné - Favorina,20462512,,['Favorina'],['Lidl'],['France'],"['lgrédients : sucre', 'graisses végétales ', 'Palme', 'palmiste', 'poudre de lait entier', 'èraliné 8% ', 'pâte de noisettes', 'sucre', 'beurre de cacao', 'pâte de cacao', 'actose', 'lactosérum en Poudre', 'huile végétale ', 'tournesol', 'cacao - naigre en poudre', 'émulsifiants : lécithine de tournesol - polyricino - éate de polyglycérol ', 'arômes,']","['Huile de palme', 'Non végétalien']",?,538,2251 kj(538 kcal),29,15,61,61,"4,6","0,2","0,08",,,"['Agriculture durable', 'en:UTZ Certified']",,,['E322i - Lécithine'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Carpaccio - L'étal du boucher,20466671,['Barquette'],"[""L'étal du boucher""]",,['France'],"['78% viande bovine ', 'origine France', ' ', 'morceaux à carpaccio', '16% marinade ', 'huile de colza', ""30% huile d'olive vierge extra"", 'eau', 'sel', 'jus de citron concentré', '3,5% basilic', '2% paramigano reggiano ', 'lait', '1,3% olives vertes', 'riz écrasé', 'sel', 'conservateur : E202 5% parmiggiano reggiano ', 'lait']","['Non végétalien', 'Non végétarien']",?,224,937 kj(224 kcal),16,"3,7",0,0,20,"0,75","0,3",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Carpaccio de boeuf', 'Carpaccio']","['Viande-francaise', 'Viande-bovine-francaise']",,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],3,16 g,en quantité modérée,3.7 g,en quantité modérée,0 g,en faible quantité,0.75 g,en quantité modérée,,+10%,+10%,+13%,+46%,-100%,-100%,+5%,+4%,+4%,3,+64%,C,+64%,,,,,,,,,,,,,,,
911,Lupins - Sol & Mar - 540g (350g égoutté),20468606,"['Bocal', 'Verre']",['Sol & Mar'],,['France'],"['Lupins cuits', 'eau', 'sel', ""correcteur d'acidité : acide citrique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,136,569 kj(136 kcal),"5,6","1,2","1,5","0,5",17,"3,5","1,4",540 g (350 g égoutté),"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Pickles', ""Pickles d'origine végétale"", 'Légumes secs', 'Légumineuses en conserve', 'Pickles de légumineuses', 'Lupins', 'Tramousses']",,,,['E330 - Acide citrique'],['Lupin'],3,5.6 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en quantité élevée,,0%,-1%,+16%,+69%,-49%,-33%,+26%,+18%,+18%,7,+36%,C,+36%,,,,,,,,,,,['Portugal'],,,,
