,name,bar_code,packaging,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,ingredients_origins,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,producer_info,brand_owner,origin_detail
0,Purée d'Aromates - Tomates séchées - Maggi,7613036436755,['Plastique'],['Maggi'],['Magasins U'],['France'],"['Tomate séchée réhydratée ', 'tomate séchée*', 'eau', 'sel 49 %,huile de tournesol extra* 15%', 'oignon* et oignon frit ', 'oignon*', 'huile de tournesol', 'tomate concassée ', 'tomate*', 'jus de tomate', 'poudre de tomate*,herbes de Provence 2% thym* origan*', "" pulpe d'ail "", 'ail* huile de tournesol*', 'sel', 'jus de citron concentré', 'poivre* sel de Camargue*']",[],?,158,661 kj(158 kcal),"9,1","1,3",13,"6,1","2,9","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bircher Müesli Baies - Emmi - 200g,7613100001049,,['Emmi'],['Coop'],"['France', 'Suisse']","['Yogourt au lait pasteurisé 50%', 'fruits 30% ', 'pommes 12%', 'mûres 7%', 'fraises 6%', 'ananas 5%', 'sucre', 'flocons de céréales 7% ', 'blé', 'avoine', 'épaississant pectin', 'concentré de jus de citron', 'concentré de jus de betterave rouge', 'noisettes', 'arôme']",['Non végétalien'],450,?,450 kj(108 kcal),2,1,18,14,3,"0,08","0,032",200 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux céréales', 'Yaourts mixés']",['Fabriqué en Suisse'],['Suisse'],['CH-2410'],['E440 - Pectines'],"['Gluten', 'Fruits à coque', 'Avoine']",4,2 g,en faible quantité,1 g,en faible quantité,14 g,en quantité élevée,0.08 g,en faible quantité,+19%,,+18%,-22%,-39%,+40%,+14%,-19%,-32%,-32%,3,+46%,C,+46%,,,,,,,,,,,,,,,
2,Petits pains croustillants - M Classic - 225g,7613269370314,,['M Classic'],['Migros'],"['France', 'Suisse']","['Farine de blé', 'blé broyé 32%', 'sucre', 'margarine végétale ', 'huile de palme', 'huile de colza', 'eau', 'émulsifiant: E 471', 'levure', 'protéine de blé', 'sel de cuisine iodé', 'poudres à lever: E 500', 'E 450', 'amidon de blé', 'émulsifiant: E 472e', ""farine de malt d'orge""]","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1656,392,1656 kj(392 kcal),6,"2,5",70,8,12,"1,7","0,68",225 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",['Gluten'],4,6 g,en quantité modérée,2.5 g,en quantité modérée,8 g,en quantité modérée,1.7 g,en quantité élevée,+22%,+20%,+20%,-2%,+114%,+28%,+104%,+26%,+33%,+33%,9,+76%,C,+76%,['Huile de palme'],,,,,,,,,,,,,,
3,Happy bread fonce Terrasuisse - Migros - 350g,7613269412465,,['Migros'],,"['France', 'Suisse']",[],[],1111,263,1111 kj(263 kcal),4,"0,5",44,"2,5",11,"1,7","0,68",350 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,4 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en faible quantité,1.7 g,en quantité élevée,-18%,-20%,-19%,-35%,-57%,-20%,-36%,+16%,+33%,+33%,2,-61%,B,-61%,,,,,,,,,,,,,,,
4,Joghurt léger - 180g,7613269779735,,['Léger'],['Migros'],"['France', 'Suisse']",[],[],?,47,197 kj(47 kcal),"0,1",0,7,7,"4,5","0,1","0,04",180 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts allégés en matière grasse']","['Agriculture durable', 'en:UTZ Certified']",,,,,,0.1 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,0.1 g,en faible quantité,,-24%,-19%,-82%,-100%,-10%,-3%,-2%,-32%,-32%,-1,,A,,,,,,,,,,,,,,,,
5,Double crème de la gruyère - Migros - 250ml,7613269872221,"['Barquette', 'Vasetto']",['Migros'],,"['France', 'Suisse']",[],[],?,437,1828 kj(437 kcal),"46,3","27,5",3,3,2,"0,1","0,04",250 ml,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages double crème']",,['Svizzera'],,,['Lait'],,46.3 g,en quantité élevée,27.5 g,en quantité élevée,3 g,en faible quantité,0.1 g,en faible quantité,,+32%,+31%,+53%,+32%,+84%,+161%,-85%,-93%,-93%,14,-5%,D,-5%,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
6,Bauernbrot - Jowa,7613269894339,,['Jowa'],,"['France', 'Suisse']","['eau', 'amidon de tapioca modifié', 'farine de riz', 'amidon de maïs', 'farine de sarrasin 8%', 'amidon de pommes de terre', 'sirop de riz', 'huile de tournesol', 'psyllium', 'levain déshydraté ', 'sarrasin', 'quinoa', 'levure', 'sel de cuisine', 'épaississant: hydroxypropylméthylcel - lulose', ""extrait de malt d'ORGE grillé sans gluten"", 'acidifiant: acétate de calcium', ' Peut contenir fruits à coque', 'sésame', 'soja', 'protéine du lait', 'œufs']",['Non végétalien'],?,276,1155 kj(276 kcal),"4,6","0,4",54,"4,2","2,1","1,7","0,68",,,['en:gluten-free'],,,['E263 - Acétate de calcium'],['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Party Sticks (poulet), Fleisch - Malbuner - 40g",7613292144456,,['Malbuner'],,"['France', 'Suisse']","['viande de poulet', 'sel nitrité pour saumure ', 'sel de cuisine,\rconservateur: E 250', 'glucose', 'arômes', 'antioxydant: E 301']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1241,296,1241 kj(296 kcal),14,"4,2","1,5",1,41,"5,4","2,16",40 g,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yogourt Vanille Bio - coop naturaplan - 180g,7613331818454,"['pot en plastique', 'carton']",['coop naturaplan'],,"['France', 'Suisse']","['Lait entier ', 'homogénéisé', 'pasteurisé [Suisse]', 'sucre de canne brut* ', 'Amérique centrale et Amérique du Sud', 'protéines lactiques', 'fécule de manioc', 'extrait de vanille* ', 'Madagascar', 'graines de vanille* ', 'Madagascar', 'concentré de jus de citron', ' *Ingrédients conformes aux standards du commerce équitable Fairtrade', ' 76,5% du poids total sans lait', ' Dont sucre de canne brut avec bilan de masse']",['Non végétalien'],?,100,418 kj(100 kcal),"3,4","2,1",13,12,"4,3","0,1","0,04",180 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille']","['Bio', 'Bio européen', 'Commerce équitable', 'CH-BIO-006', 'Fairtrade International', 'Max Havelaar', 'en:Bio', 'en:Bio européen', 'en:Commerce équitable']",['en:lait de Suisse'],,,['Lait'],4,3.4 g,en quantité modérée,2.1 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,+3%,+3%,-3%,-7%,+9%,+8%,+12%,-7%,-7%,3,+12%,C,+12%,,,,,,,,,,,,,,,
9,Porridge aux baies sans sucres ajoutés - Naturaplan - 320g,7613356111189,"['Carton', 'Sachet', 'Plastique']","['Naturaplan', 'Coop']",['Coop'],"['France', 'Suisse']","['flocons d’avoine ', 'Allemagne', 'Autruche', 'République tchèque', 'flocons de fruits ', 'farines de céréales [froment', 'seigle', 'orge]', 'pulpe de datte', 'purée de pommes', 'purées de bananes', 'baies lyophilisées 4,5% ', 'fraises ', 'Pologne', 'Turquie]', 'framboises [Bulgarie', 'Pologne', 'Serbie,]']",[],1590,380,1590 kj(380 kcal),6,1,64,12,12,"0,02","0,008",320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales aux fruits', 'Porridge', 'Porridge aux fruits']","['Bio', 'Bio européen', 'CH-BIO-006', 'Sans sucre ajouté', 'Bourgeon-bio']","['Bulgarie', 'Europe', 'Monténégro', 'Pologne', 'Serbie', 'Suisse', 'Turquie']",,,"['Gluten', 'Avoine']",1,6 g,en quantité modérée,1 g,en faible quantité,12 g,en quantité modérée,0.02 g,en faible quantité,,+5%,+5%,-13%,-22%,+9%,-8%,+13%,+4%,+4%,-4,,A,,,B,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,Flocons d'avoine avec des flocons de fruits et des baies,"['Bio-familia AG', 'Sachseln', 'Suisse']",,,,
10,Coop Karma Dim Sum Betty Bossi - 160g,7613356166615,,['Betty bossi'],,"['France', 'Suisse']","['légumes 33 % ', 'carottes', 'chou chinois', 'chou', 'poireaux', 'oignons', 'eau', 'amidons ', 'maïs', 'manioc', 'farine de riz', 'shiitakés 3%', 'huiles végétales ', 'sésame', 'soja', ""préparation d'épices "", 'avec fèves de soja', 'sésame', 'farine de froment', 'coriandre', 'sauce au soja ', 'avec farine de froment', 'sucre', 'sel de cuisine', 'gingembre', 'ail', 'chili', 'amidon de maïs modifié ', 'E 1422', 'poivre']","['Végétalien', 'Végétarien']",650,163,650 kj(163 kcal),"2,5","0,4",32,"2,2",2,"0,7","0,28",160 g,,"['Végétarien', 'Végétalien']",,,['E1422 - Adipate de diamidon acétylé'],"['Gluten', 'Graines de sésame', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cookies - Chocolaté chip - Coop - 225g,7613356373792,"['Sachet plastique', 'Barquette plastique']","['Coop', 'Qualité & Prix']",['Coop'],"['France', 'Suisse']","['Farine blanche ', 'Froment', 'sucre', 'cacao en pâte 17%', 'graisse de palme', 'sirop de glucose', 'œuf entier', 'lait écrémé en poudre', 'beurre de cacao', 'poudre à lever E450', 'E500', 'beurre fondu', 'sirop de glucose fructose', 'amidon de froment', 'émulsifiant E332', 'sel de cuisine', 'sirop de sucre caramélisé ', 'sucre eau', 'lait entier en poudre', 'arôme', 'blanc d’œuf en poudre,']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2100,502,2100 kj(502 kcal),26,14,58,32,7,"0,68","0,272",225 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat']",,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E332 - Citrates de potassium']","['Œufs', 'Gluten', 'Lait']",4,26 g,en quantité élevée,14 g,en quantité élevée,32 g,en quantité élevée,0.68 g,en quantité modérée,-0%,+2%,+1%,+3%,+13%,-3%,+1%,+12%,+0%,+0%,22,-3%,E,-3%,['Huile de palme'],D,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,,,,
12,Chicken Tikka Masala - Betty Bossi - 400g,7613379126689,['Barquette'],['Betty Bossi'],['Coop'],"['France', 'Suisse']","['Produit à base de viande de poulet avec des légumes en sauce 233 g: produit à base de viande de poulet ', 'viande de poulet 22% [Suisse]', 'eau', 'amidon de riz', 'sel de cuisine', 'dextrose', 'eau', 'yogourt enrichi en crème ', 'lait [suisse]', 'crème [Suisse]', 'légumes 15% ', 'haricots verts', 'tomates', 'oignons', 'crème', 'purée de tomate', 'cacahuètes grillées', 'épices ', 'oignons', 'ail', 'cumin*', 'coriandre*', 'poivre de Cayenne', 'huile de colza', 'sucre de canne brut*', 'sel de cuisine iodé', 'curry', 'fécule de manioc', 'coriandre', 'extrait de paprika', 'épaississant ', 'E 415']","['Non végétalien', 'Non végétarien']",?,148,619 kj(148 kcal),5,2,18,"2,5",7,1,"0,4",400g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Céréales et pommes de terre', 'Viandes', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Volailles', 'Riz', 'Sauces', 'Riz parfumés', 'Poulets', 'Volailles cuites', 'Riz de variété indica', 'Riz long grain', 'Poulets cuisinés', 'Riz blanc', 'Riz Basmati', 'Sauces indiennes', 'Sauces tikka masala', 'Riz Basmati blancs']","['Commerce équitable', 'Max Havelaar']",,,"['E160c - Extrait de paprika', 'E415 - Gomme xanthane']","['Lait', 'Arachides']",4,5 g,en quantité modérée,2 g,en quantité modérée,2.5 g,en faible quantité,1 g,en quantité modérée,,+17%,+15%,-35%,-33%,+100%,-49%,+274%,+28%,+28%,1,-80%,B,-80%,,A,53.8%,21.4%,9.3%,8.8%,4.0%,2.8%,86,,,,,,
13,Mélange de Noix - Naturaplan - 150g,7613379159069,"['Sachet', 'Plastique']","['Naturaplan', 'Coop']",['Coop'],"['France', 'Suisse']","['Amandes', 'noix de cajou', 'noisettes', 'noix', ' 100 % biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,624,2611 kj(624 kcal),56,6,6,"4,5",21,0,0,150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']","['Bio', 'Bio Suisse']",,,,['Fruits à coque'],1,56 g,en quantité élevée,6 g,en quantité élevée,4.5 g,en faible quantité,0 g,en faible quantité,,+1%,+2%,+11%,-5%,-63%,-16%,+8%,-100%,-100%,-3,-161%,A,-161%,,,,,,,,,,Mélange de Noix,,,,,
14,Dunkelpops - Naturplan - 275g,7613379578891,,"['Naturplan', 'Coop']",,"['France', 'Suisse']","['Épeautre 60% ', 'Europe', 'Suisse', 'sucre de canne brut 25% ', 'Paraguay', 'Argentine', 'Brésil', 'sirop de glucose ', 'Europe', 'miel', 'Tous les ingrédients agricoles sont issus de la production biologique']",['Non végétalien'],1580,378,1580 kj(378 kcal),"3,3","0,5",76,35,"7,5","0,08","0,032",275 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Blé soufflé', 'Épeautre soufflé']",['Bio'],,,,['Gluten'],4,3.3 g,en quantité modérée,0.5 g,en faible quantité,35 g,en quantité élevée,0.08 g,en faible quantité,-3%,0%,-1%,+76%,+40%,-4%,+10%,-6%,+77%,+77%,6,+7%,C,+7%,,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
15,"Goldfish Salés Kambly 160 GR, 3 Sachets - 160g",7614800213169,"['sachet plastique', 'sacchettino']",['Kambly'],['Coop'],"['France', 'Suisse']","['farine de blé', 'graisses végétales ', 'palmiste', 'coprah', 'sel iodé 3,4%', 'sucre', ""extrait de malt d' orge"", 'levure', 'poudre à lever ', 'carbonates de sodium', ""correcteur d' acidité "", 'hydroxyde de sodium', 'sirop de sucre inverti', 'farine de seigle,']","['Huile de palme', 'Végétalien', 'Végétarien']",?,440,1841 kj(440 kcal),14,11,67,"4,6","9,9","3,8","1,52",160 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Fabriqué en Suisse'],,,"['E500 - Carbonates de sodium', 'E524 - Hydroxyde de sodium']",['Gluten'],4,14 g,en quantité modérée,11 g,en quantité élevée,4.6 g,en faible quantité,3.8 g,en quantité élevée,,-5%,-6%,-30%,+103%,+13%,+17%,0%,+90%,+90%,21,+36%,E,+36%,['Huile de palme'],C,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Petits crackers croustillants au sel,['Suisse'],,,,
16,Florentin - Kambly,7614800256005,['Carton'],['Kambly'],,['France'],"['chocolate 31 % ', 'cocoa mass', 'sugar', 'cocoa butter', 'butterfat', 'emulsifier [soya lecithinsl', 'natural vanilla flavouring', ' Cocoa solids: 50% min', 'sugar', 'almonds 1 5%', 'fruit pieces 5% ', 'humectant Iglyceroll', 'concentrated apple puree', 'fructose-glucose syrup', 'glucose syrup', 'concentrated orange juice', 'Wheat fibres', 'sugar', 'rice starch', 'palm fat', 'gelling agent [pectinsl/ acidit regulator Icitric acidl', 'concentrated vegetables [carrot', 'pumpkinl', 'natural orangeïlavouring', 'antioxidant ascorbic acid]', 'potato starch', 'Wheat flour', 'palm fat', 'lucose syrup', 'butter', 'powdered egg White', 'Wheat starch', 'sunflower oil', 'emulsifier ', 'soya lecithins', 'wh]e milk powder', ""bakers' honey"", 'skimmed milk powder', 'salt/ orange oil']","['Huile de palme', 'Non végétalien']",?,522,2184 kj(522 kcal),30,12,53,36,"7,4","0,15","0,06",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Biscuits au chocolat noir', 'Florentins']",,,,"['E300 - Acide ascorbique', 'E322 - Lécithines']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,30 g,en quantité élevée,12 g,en quantité élevée,36 g,en quantité élevée,0.15 g,en faible quantité,,-1%,-1%,-2%,-8%,-2%,-15%,-3%,-25%,-25%,23,-2%,E,-2%,,D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,
17,Kambly Eclats de noisettes - 100g,7614800265229,"['Carton', 'Plastique']",['Kambly'],"['Carrefour', 'Magasins U']","['France', 'Allemagne', 'Suisse']","['chocolat au lait 30% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lait écrémé en poudre', 'émulsifiant [lécithines de soja]', 'extrait de vanille', ' Cacao : 39% min', 'sucre', 'graisses végétales ', 'palmiste', 'coprah', 'palme', 'noisettes 11%', 'dextrose', 'lait écrémé en poudre', 'farine de blé', 'blanc d’œuf en poudre', 'lait entier en poudre', 'sucre caramélisé', 'fécule de pomme de terre', 'sirop de glucose', 'huile de tournesol', 'cacao en poudre', 'beurre', 'miel de pâtisserie', 'émulsifiant ', 'lécithine de soja', 'sel']","['Huile de palme', 'Non végétalien']",2348,563,2348 kj(563 kcal),35,22,52,45,"9,1","0,25","0,1",100 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Point Vert'],,,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,35 g,en quantité élevée,22 g,en quantité élevée,45 g,en quantité élevée,0.25 g,en faible quantité,+17%,+19%,+18%,+68%,+118%,-19%,+53%,+40%,-58%,-58%,27,+36%,E,+36%,['Huile de palme'],D,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,Un biscuit fin meringué à la crème de noisettes exquise (35%) et au délicieux chocolat au lait suisse,['Suisse'],http://www.kambly.ch,,,
18,Lait concentré sucré - Nestlé - 397g,7616100071401,['Conserve'],['Nestlé'],,"['Algérie', 'France', 'Maroc', 'Tunisie']","['lait entier', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1359,322,1359 kj(322 kcal),8,5,55,55,"7,5","0,26","0,104",397 g,"['Produits laitiers', 'Laits', 'Laits concentrés', 'Laits concentrés non sucrés', 'Laits concentrés sucrés', 'Laits entiers concentrés']",,,,,['Lait'],3,8 g,en quantité modérée,5 g,en quantité modérée,55 g,en quantité élevée,0.26 g,en faible quantité,+35%,+26%,+31%,+3%,+0%,+48%,+49%,+7%,+7%,+7%,19,+45%,E,+45%,,E,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,33,Lait concentré sucré,['Espagne'],,,,
19,Lilibiggs Petit Suisse - Migros - 300g,7616600709712,['Pot'],['Migros'],['Migros'],"['France', 'Suisse']",[],[],?,117,490 kj(117 kcal),"3,6","2,1",15,12,6,"0,1","0,04",300 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",,,,,,,3.6 g,en quantité modérée,2.1 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,,+7%,+9%,-32%,-39%,+134%,+102%,-24%,+2%,+2%,2,+531%,B,+531%,,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,
20,"Blutorangensaft Migros Bio, Blutorangen - 750ml",7616800894911,,['Bio'],['Migros'],"['France', 'Suisse']","[""Jus d'oranges sanguine"", ' De production biologique étrangère']",[],206,49,206 kj(49 kcal),"0,5",0,11,10,"0,7","0,04","0,016",750 ml,,"['Bio', 'Bio européen', 'CH-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Biscuits à la cuillère - Migros Bio - 200g,7617027960908,,['Migros Bio'],['Migros'],"['France', 'Suisse']","['Farine de blé', 'sucre', 'oeufs', 'poudres à lever: E500 et E503', 'arômes naturels', 'sel de cuisine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,148,619 kj(148 kcal),4,1,77,42,9,"0,25","0,1",200 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']","['Bio', 'Bio européen', 'IT-BIO-009']",,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten']",4,4 g,en quantité modérée,1 g,en faible quantité,42 g,en quantité élevée,0.25 g,en faible quantité,,-61%,-61%,+6%,-12%,-1%,-14%,+18%,+16%,+16%,10,-31%,C,-31%,,B,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,,,,,,
22,Graisse de coco - migros - 450g,7617300500005,,"['Migros', 'M Classic']",['Migros'],"['France', 'Suisse']",['graisse de coco 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,884,3700 kj(884 kcal),100,88,0,0,0,0,0,450 g,['Matière grasse ou graisse végétale solide type margarine pour friture'],"['Végétarien', 'Végétalien']",,,,,3,100 g,en quantité élevée,88 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,20,,E,,,,,,,,,,,,['Suisse'],,,,
23,Bâtons aux Noisettes - MIDOR - 500g,7617400030235,,['MIDOR'],,"['France', 'Suisse']","['farine de blé', 'sucre', 'noisettes 29%', ""blanc d'oeuf en poudre "", ""d'élevage au sol"", 'protéines du lait ', 'contient lactose', 'poudre à lever: E 503', ""malt d'orge""]",['Non végétalien'],1956,?,1956 kj(467 kcal),18,"1,5",64,34,10,"0,08","0,032",500 g,,,,,"[""E503 - Carbonates d'ammonium""]","['Gluten', 'Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Biscuits 5 céréales - Midor - 228g e,7617400033557,"['Sachet', 'Plastique']","['Midor', 'Migros', 'Blévita']",['Migros'],"['France', 'Suisse']","['Farine de cinq céréales 90% ', 'blé', 'avoine', 'seigle', 'orge', 'épeautre', 'huile de tournesol', 'lait écrémé en poudre', 'sel de cuisine', 'levure', ""extrait de malt d'orge"", 'germes de blé 1%', 'poudres à lever: E 500', 'E 503', 'arôme naturel', 'vitamines: B1', 'B2', 'B6', 'niacine et acide folique']",['Non végétalien'],1730,412,1730 kj(412 kcal),12,"1,5",59,"2,5",11,"1,6","0,64",228 g e,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",,,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Gluten', 'Lait', 'Avoine']",4,12 g,en quantité modérée,1.5 g,en quantité modérée,2.5 g,en faible quantité,1.6 g,en quantité élevée,-7%,-8%,-8%,-26%,-76%,-12%,-92%,+49%,+240%,+240%,8,-53%,C,-53%,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,['Suisse'],,,,
25,Choco & Sesam - BLÉVITA - 44.5g,7617400036381,['4x6 portions'],"['BLÉVITA', 'MIGROS']",['Migros'],"['France', 'Suède', 'Suisse']","['Sucre', 'farine de cinq céréales 28% ', 'blé', 'avoine', 'seigle', 'orge', 'épeautre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'graines de sésame 6%', 'huile de tournesol', 'lait écrémé en poudre', 'levure', 'sel de cuisine', ""extrait de malt d'orge"", 'germes de blé 0', '3%', 'émulsifiant: lécithines de soja', 'poudres à lever: E 500', 'E 503', 'vitamines: B1', 'B2', 'B6', 'niacine et acide folique', ' Peut contenir des noisettes', ""d'autres fruits à coquet et des oeufs""]",['Non végétalien'],2192,524,2192 kj(524 kcal),29,14,54,34,"8,9","0,7","0,28",44.5g,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['Agriculture durable', 'en:UTZ Certified']",,,"['E322i - Lécithine', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]","['Gluten', 'Avoine', 'Graines de sésame']",4,29 g,en quantité élevée,14 g,en quantité élevée,34 g,en quantité élevée,0.7 g,en quantité modérée,+20%,+20%,+20%,+23%,+76%,+10%,+10%,+54%,+35%,+35%,21,+14%,E,+14%,,D,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,['Mellen'],,,,
26,Breuss - Biotta - 500ml e,7618500941124,"['Bouteille', 'Verre']",['Biotta'],,['France'],"['Jus lacto-fermentes de: betterave rouge*', 'carotte*', 'céleri*', 'pomme de terre*', 'jus de radis noir*', 'acidifiant ', 'acide lactique L', '+', ' naturel', ""\r* Issus de l'agriculture biologique""]","['Végétalien', 'Végétarien']",?,36,151 kj(36 kcal),0,0,8,6,1,"0,1","0,04",500 ml e,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Boissons sans sucre ajouté']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'CH-BIO-006', 'Union Végétarienne Européenne']",,,['E270 - Acide lactique'],['Céleri'],1,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.1 g,en faible quantité,,+38%,+40%,-100%,-100%,+50%,+28%,+48%,-67%,-67%,0,,B,,,,,,,,,,,Jus de légumes,,,,,
27,Biotta - 500ml,7618500949311,,['Biotta'],,"['France', 'Suisse']",['À partir des meilleures betteraves bio suisses'],[],170,41,170 kj(41 kcal),9,0,9,8,1,"0,1","0,04",500 ml,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
