,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
1551,Miel D'acacia,3484240000254,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1552,Huile de nigel,4792133501030,,['France'],[],[],?,885,3703 kj(885 kcal),"97,15","14,7",0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Tesco Milk Chocolate Coins 72G,5052910347237,,['France'],[],[],?,?,,?,,?,,?,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Lentilles au chocolat,4043651146426,,['France'],[],[],?,464,1941 kj(464 kcal),16,10,76,75,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Rocher Vincent Guerlais,,,['France'],[],[],?,6,25 kj(6 kcal),43,12,"35,3","31,2","12,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,18 oeufs de poules élevées en plein air - Le Clos Mally,3479433300204,"['Plein air', 'Œufs de poules élevées en plein air', 'en:FSC', 'FSC Mix', 'Sans OGM', 'Nutriscore', 'Nutriscore A', 'Soja Français', 'Soja Français sans OGM', ""Produit d'Auvergne"", 'Zéro déforestation']",['France'],['œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,141,590 kj(141 kcal),"9,764","2,912","0,828","0,3","12,438","0,328","0,131",18,['Le Clos Mally'],['Auchan'],['Œufs'],1,,"[""Produits d'élevages"", 'Poissons et viandes et oeufs', 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",9.76 g,en quantité modérée,2.91 g,en quantité modérée,0.3 g,en faible quantité,0.328 g,en quantité modérée,,+2%,+2%,-2%,+18%,+33%,-40%,-0%,+20%,+20%,-1,,A,,"['FR 63.113.027 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)', 'FSC-C115463']",C,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,Oeufs de poule élevée en plein air,"['Carton', 'Sec', 'Boîte en carton']",['Clermont Ferrand'],,,"['Auvergne', 'St Bonnet de Rochefort']",,,
1557,Katerfrühstück - Appel - 200g,4020500966619,"['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']",[],[],880,211,880 kj(211 kcal),"13,5","2,4","8,8","6,3","12,7","1,8","0,72",200g,['Appel'],,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Harengs', 'Harengs en conserve']",13.5 g,en quantité modérée,2.4 g,en quantité modérée,6.3 g,en quantité modérée,1.8 g,en quantité élevée,+12%,+6%,+6%,-6%,-18%,+255%,+250%,-9%,+7%,+7%,12,+60%,D,+60%,['MSC-C-50411'],B,65.1%,0.0%,5.9%,25.1%,3.0%,0.8%,77,,"['Dose', 'Metall']",,,,,,,
1558,Maasdamer - Norma - 300g,20208080,"['Végétarien', 'Union Végétarienne Européenne']","['France', 'Allemagne']","['lait de vache pasteurisé origine UE', 'sel', 'cultures de bactéries lactiques', 'présure microbienne']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,347,1452 kj(347 kcal),27,"17,6","< 0,1","< 0,1",26,"1,5","0,6",300 g,['Norma'],,['Lait'],3,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Maasdam']",27 g,en quantité élevée,17.6 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,-1%,-1%,-2%,-6%,-51%,-46%,+2%,+13%,+13%,15,+4%,D,+4%,['DE SN-016 EG'],D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Packung(en)'],,,,,,,
1559,La lentille Verte du Puy AOP,3760287490013,['AOP'],['France'],[],[],?,331,1385 kj(331 kcal),"1,2","0,2",49,"1,4",25,"1,2","0,48",,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']",1.2 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,1.2 g,en quantité modérée,,+13%,+14%,-2%,-11%,+24%,+9%,+10%,+674%,+674%,4,,C,,,B,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,
1560,Sauce bo bun,4002359013263,,['France'],[],[],?,138,577 kj(138 kcal),"0,5","0,5",33,31,"1,5","8,8","3,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Schokoladenkränze - Weihnachtstraum,29049356,,"['France', 'Allemagne']",[],[],?,450,1883 kj(450 kcal),"14,8","8,9","74,3",67,3,,,,['Weihnachtstraum'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Champignons nameko en infusion épicée,4030011550207,,['France'],[],[],?,25,105 kj(25 kcal),"0,4","0,2","4,1","0,5","1,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Mandarine 900gr categorie 1 origine espagne,8432117869232,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Sauerrahm - Jeden Tag - 250g,9009473001164,,"['Autriche', 'France', 'Allemagne']",[],[],?,162,678 kj(162 kcal),15,9,3,3,3,15,6,250g,['Jeden Tag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Becher'],,,,,,,
1565,Smootie fraise banane - Pago,9001400104504,,['France'],[],[],?,59,247 kj(59 kcal),0,0,13,13,0,,,,['Pago'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
