,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,allergens,nova_score,ingredients_origins,manufacturing,markets,additives,traceability_code,palm_ingredients,link
142,Jus pomme presse - Andros,3608580001591,['Andros'],['France'],[],[],?,50,209 kj(50 kcal),"0,1",0,12,12,"0,1",0,0,['Sans colorants'],,,['Boissons'],0.1 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,,-11%,-13%,-71%,-100%,+6%,+27%,-80%,-100%,-100%,15,+96%,E,+96%,,,,,,,,,,,,,,,,,,
143,Fruit à Tartiner Abricot - Andros,3608580003366,['Andros'],['France'],[],[],?,200,837 kj(200 kcal),"0,1",0,"48,6","48,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bonne maman Blueberry - 225g,3608580004257,['Bonne maman'],['France'],[],[],?,?,,?,,?,,?,,,,225g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Confiture Bonne Maman,3608580004271,['Bonne Maman'],['France'],[],[],?,236,987 kj(236 kcal),"0,1",0,57,57,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Citronnade à la passion - Andros,3608580004394,['Andros'],['France'],['Boisson au citron et aufruitde'],[],?,27,113 kj(27 kcal),0,0,"6,7","6,7",0,0,0,,,,"['Boissons', 'Boissons sans sucre ajouté', 'Citronnades']",0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité élevée,0 g,en faible quantité,,-16%,-17%,-100%,-100%,-16%,-11%,-100%,-100%,-100%,9,-11%,D,-11%,,,,,,,,,,,,,,,,,,
147,Pomme pêche - Andros,3608580004592,['Andros'],['France'],"['pêches 47%', 'pommes 44%', 'fibres de citron', 'sucre', 'arôme naturel', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,76,318 kj(76 kcal),"0,2",0,17,0,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,['E300 - Acide ascorbique'],,,
148,Bonne Maman Coeur Fondant Au Chocolat,3608580005391,['Bonne Maman'],['France'],"['chocolat 26% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'sucre', 'beurre', 'farine de blé', 'œufs entiers', 'crème', 'jaune dlœufs', 'sirop de sucre inverti', 'cacao en poudre', 'lait écrémé en poudre', 'gélifiant : pectines', ' Ce produit est élaboré dans un atelier utilisant des fruits à coque et des graines de sésame']",['Non végétalien'],?,449,1879 kj(449 kcal),28,17,41,30,"6,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",4,,,,"['E322i - Lécithine', 'E440 - Pectines']",,,
149,"Gourde Pomme Fraise Framboise sans sucre ajoutés, 4x90g - Andros - 4x 90g",3608580006718,['Andros'],['France'],[],[],?,57,238 kj(57 kcal),?,"0,2",?,12,"0,5",0,0,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",4 x 90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Compotes pomme nature s/sucres ajoutés,3608580006930,,['France'],[],[],?,47,197 kj(47 kcal),"0,2",0,10,10,"0,3",0,0,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Compote pomme abricot - Andros,3608580006954,['Andros'],['France'],[],[],?,75,314 kj(75 kcal),"0,2",0,17,17,"0,5",,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Dés de Pommes - Garniture avec Morceaux - Andros Restauration - 2,2kg e",3608580007210,"['Andros Restauration', 'Andros Chef', 'Andros']",['France'],"['Pommes 91%', 'sucre', 'épaississant : amidon modifié', ""correcteurs d'acidité : acide citrique"", 'citrate de sodium', 'antioxydant : acide ascorbique', 'affermissant : chlorure de calcium', 'arôme', 'conservateur : sorbate de potassium']",['Sans huile de palme'],?,?,,?,,?,,?,,,,"2,2 kg e",,"['Pommes et dérivés', 'Préparations à base de pommes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garniture aux pommes avec morceaux,"['Plastique', 'Pot', 'Seau']",,4,,,['Apriba'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,
153,Sugar Free Peppermint Flavour Mints - Starbucks,3608580007241,['Starbucks'],['France'],"['Édulcorant: sorbitols', ""arôme naturel de menthe et de menthol? agent anti-agglomérant: sels de magnésium d'acide gras"", ' Une consommation excessive peut avoir des effets laxatifs', ' Net weight/Nettogewicht/ 26', '4ge Nettogewicht/Poids net Best before end - see below/Ten minste houdbaar tot einde - zie onder/Mindestens haltbar bis Ende siehe unden/']","[""Pourrait contenir de l'huile de palme""]",?,242,1013 kj(242 kcal),"0,6","0,5",99,"0,4","0,4","0,01","0,004",['Une consommation excessive peut avoir des effets laxatifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"['E420 - Sorbitol', ""E470b - Sels de magnésium d'acides gras""]",,,
154,Mint Flavoured Sugar-Free Chewing Gum - Starbucks,3608580007258,['Starbucks'],['France'],"['Chewing-gum sans sucres aromatisé menthe avec édulcorants ', ' Édulcorants : sorbitols', 'majtjtols', 'xyaol', 'aspartame', 'acesulfame K', ' gomme base ', 'dont émulsifiant : lécithine de SOJA', ' arômes', 'épaississants : gomme arabique', ' humectant : colorant: E171', ""agent d'enrobage : cire de carnauba"", 'antioxydants ', 'E306', 'E307', 'E320', 'E321']",[],?,178,745 kj(178 kcal),"0,5","0,1",72,"0,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Soja'],4,,,,"['E420 - Sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', 'E306 - Extrait riche en tocophérols', 'E307 - Alphatocophérol', 'E320 - Butylhydroxyanisol', 'E321 - Butylhydroxytoluène']",,,
155,L'originale,3608580007401,,['France'],[],[],?,389,1628 kj(389 kcal),"0,4",0,97,77,"0,4","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Sucette pierrot,3608580007418,['Pierrot'],['France'],"['Confiserie aromatisée - Sucre,-sirop de glucose acide citrique cassis', 'concentré colorant de sureau', 'colorant ', ' : E100', 'E141']",[],?,384,1607 kj(384 kcal),"0,01","0,01",97,77,"0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"['E100 - Curcumine', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",,,
157,Pierrot gourmand l’original,3608580007425,['Pierrot Gourmand'],['France'],"['Lait frais 53%', 'sucre', 'sirop de glucose', 'arôme', 'beurre', 'sel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,398,1665 kj(398 kcal),"2,1","1,3",93,75,"1,7","0,153","0,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],4,,,,,,,
158,Cara duo,3608580007432,,['France'],[],[],?,396,1657 kj(396 kcal),"2,2","0,8",92,75,"1,8","0,679","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,L’originale - Pierrot gourmand,3608580007449,['Pierrot gourmand'],['France'],[],[],?,389,1628 kj(389 kcal),"0,5","0,1",97,77,"0,5","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Boite a perles - Pierrot Gourmand - 540g,3608580007470,['Pierrot Gourmand'],['France'],[],[],?,360,1506 kj(360 kcal),"0,5","0,1",89,59,"0,5",,,['Fabriqué en France'],540 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Perles - Pierrot Gourmand - 100g,3608580007517,['Pierrot Gourmand'],['France'],"['Sucre', 'sirop de glucose', 'amidon modifié', 'acidifiants : acide citrique', 'acide malique', 'arômes naturels', ""arôme naturel d'orange"", 'arôme naturel de citron avec autres arômes naturels', 'concentrés colorants ', 'spiruline', 'pomme', 'colorants : E100', 'E131', 'E160c', 'E163', 'E171', 'huile végétale de coco', ""agents d'enrobage : cire de carnauba"", ""cire d'abeille"", 'amidon de blé']","['Sans huile de palme', 'Non végétalien']",1530,?,1530 kj(366 kcal),"< 0,5","< 0,1",89,59,"< 0,5","0,01","0,004","['Fabriqué en France', 'en:without-gelatin']",100 g,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.5 g,en faible quantité,0.1 g,en faible quantité,59 g,en quantité élevée,0.01 g,en faible quantité,+6%,,+6%,+25%,-40%,+11%,+2%,-86%,-91%,-91%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Confiserie gélifiée aromatisée,['Plastique'],['Gluten'],4,,['France'],['Auchan'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E296 - Acide malique', 'E100 - Curcumine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E163 - Anthocyanes', 'E171 - Oxyde de titane', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",,,
162,Le p'tit friquet,3608580007609,,['France'],[],[],?,343,1435 kj(343 kcal),"0,5","0,1",82,78,"2,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Dessert fruitier Pomme Fraise Fraises des Bois - Andros,3608580007722,['Andros'],['France'],"['pommes 65%', 'fraises 20%', 'sucre', 'fraises des bois 5%', 'cassis', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",318,75,318 kj(75 kcal),"0,2","0,1",17,17,"0,4",0,0,"['Sans colorants', 'Sans conservateurs']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de fraise', 'Desserts frais', 'Desserts fruités']",0.2 g,en faible quantité,0.1 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,-26%,-25%,+7%,+206%,-27%,-22%,-31%,-100%,-100%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"dessert de Pomme, Fraise, et Fraises des Bois",['Frais'],,3,,,,['E300 - Acide ascorbique'],,,https://www.andros.fr/dessert-pomme-fraise/
164,Sucettes gourmandes,3608580007814,,['France'],[],[],?,388,1623 kj(388 kcal),"0,5","0,1",97,77,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Confiture allegée rhubarbe - Andros,3608580007968,['Andros'],['France'],"['rhubarbe', 'sucre', 'gélifi', ' moyennes pour 100 g ', ' iats-5u', '?e J FRANCE 683 kJ /']",[],?,161,674 kj(161 kcal),0,0,39,39,"0,3",0,0,"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",0 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,0 g,en faible quantité,,-27%,-27%,-100%,-100%,-28%,-26%,-36%,-100%,-100%,4,-53%,C,-53%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,3,,,,,,,
166,Pomme nature - Andros,3608580008279,['Andros'],['France'],"['pommes 92%', 'sucre', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,74,310 kj(74 kcal),"0,1",0,17,17,"0,3",0,0,"['Sans colorants', 'Sans conservateurs']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']",0.1 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,+16%,+16%,-66%,-100%,+20%,+28%,+2%,-100%,-100%,-2,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,Dessert de pommes,,,3,,,,['E300 - Acide ascorbique'],,,
167,Confiture de mirabelles,3608580381884,,['France'],[],[],?,241,1008 kj(241 kcal),"0,1",0,59,59,"0,4",0,0,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,,+8%,+8%,-55%,-100%,+9%,+14%,+3%,-100%,-100%,8,-17%,C,-17%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
168,Compote Pomme-Fruits Rouges - Andros,3608580707141,['Andros'],['France'],[],[],?,76,318 kj(76 kcal),"0,2",0,17,17,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Compote Aprikose 4X100G - Andros - 400g,3608580707233,['Andros'],"['France', 'Suisse']","['abricots 83%', 'suce', 'gélifiant : pectine de fruits', 'antioxydant : acide ascorbique', ""correcteur d'acidité : citrate de calcium""]",[],406,?,406 kj(97 kcal),"0,2",0,22,22,"0,7",0,0,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,"['E440 - Pectines', 'E300 - Acide ascorbique', 'E333 - Citrates de calcium']",,,
170,100 % Pur Jus Pasteurisé de Raisin Rouges - Sans marque - 1L,3608580711032,['Sans marque'],['France'],['Jus de raisins bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",264,?,264 kj(63 kcal),"0,2",~ 0,15,13,"0,1","0,102","0,041","['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",1 L,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin', 'Jus de fruits pur jus']",0.2 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0.102 g,en faible quantité,-7%,,-6%,+4%,-100%,-8%,-18%,-67%,+1454%,+1454%,8,-18%,D,-18%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus de raisins issu de l'agriculture biologique,['Plastique'],,1,['Agriculture UE'],"['Andros [Filiale Andros et Compagnie (Groupe Andros)] - ZI La Motte - 26800 Portes-lès-Valence', 'Drôme', 'Rhône-Alpes', 'France']",,,"['EMB 26252D', 'Portes-lès-Valence (Drôme, France)']",,
171,granité pêche abricot - andros - 4,3608580713043,['Andros'],['France'],[],[],?,?,,?,,?,,?,,,"['Sans arômes artificiels', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",4,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes pêche', 'Compotes pommes abricot']",,,,,,,,,,,,,,,,,,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,
172,Sour Worm,3608580722625,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Mini cola bottle - Pierrot Gourmand - 125g,3608580722649,['Pierrot Gourmand'],"['France', 'Japon']","['Sirop de glucose', 'sucre', 'gélatine', 'acidifiant : acide citrique', 'arôme cola', 'huile végétale', ""agent d'enrobage : cire végétale"", 'colorant : E150a', 'amidon de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1403,?,1403 kj(335 kcal),"0,1","0,1",77,62,"5,3",0,0,"['Fabriqué en France', 'Sans colorants artificiels']",125 g,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",0.1 g,en faible quantité,0.1 g,en faible quantité,62 g,en quantité élevée,0 g,en faible quantité,-3%,,-3%,-75%,-40%,-4%,+8%,+44%,-100%,-100%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,Confiserie gélifiée aromatisée,"['Sachet', 'Plastique']",,4,,['France'],['Noz'],"['E428 - Gélatine', 'E330 - Acide citrique', 'E150a - Caramel E150a']",,,
174,Pêcher - Bonne Maman - 200g (2x 100g),3608580723189,['Bonne Maman'],['France'],"['Pêches ', '47 %', 'crème fraîche', 'sucre', 'oeufs frais', 'lait entier frais', 'farine de blé', 'beurre', 'gélifiant : pectine de fruits', 'jus de citron', 'poudre à lever ', 'pyrophosphate acide de sodium', 'carbonate acide de sodium', 'extrait naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Nouveau'],200 g (2 x 100 g),,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux pêches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dessert pâtissier,"['Pot', 'Plastique', 'Etui', 'Carton']","['Œufs', 'Gluten', 'Lait']",4,,"['Novandie (Filiale Groupe Andros) - Route de Roinville - 28700 Auneau', 'Eure-et-Loir', 'Centre-Val de Loire', 'Tradifrais (Filiale Groupe Andros) - 6 Rue du 19 Mars 1962 - Zone Industrielle - 46130 Biars-sur-Cère', 'Lot', 'Midi-Pyrénées', 'France']","['Carrefour market', 'Banque alimentaire']","['E440 - Pectines', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)', 'FR 46.029.001 CE', 'Biars-sur-Cère (Lot, France)']",,http://www.bonne-maman.com/desserts-patissiers.html
175,Confiture Abricots Bergeron - Bonne Maman,3608580724889,['Bonne Maman'],['France'],[],[],?,201,841 kj(201 kcal),"0,1",0,49,49,"0,5",,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.1 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,,,,-8%,-8%,-56%,-100%,-8%,-3%,-0%,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
176,Compote de pommes texture tamisée - Andros,3608580726203,['Andros'],['France'],"['pommes 94%', 'sirop de antioxidant : acide ascorbique']",[],?,63,264 kj(63 kcal),"0,2",0,14,14,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Bonne Maman Fraise  Framboises,3608580742005,['Bonne Maman'],['France'],[],[],?,110,460 kj(110 kcal),"4,1","2,6","15,5","15,5","2,4","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],,,,,,,,,
178,Bâtons De Réglisse Pierrot,3608580742753,,['France'],[],[],?,337,1410 kj(337 kcal),"2,9",1,73,49,"3,1","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Abricots Confiture Extra - Bonne Maman - 30g,3608580743774,['Bonne Maman'],"['France', 'Suisse']","['Sucre', 'abricots', 'jus de citrons concentré', 'gélifiant : pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,60,?,,,,30 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,60 g,en quantité élevée,,,,,,,,,+19%,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,4,,,,['E440 - Pectines'],,,
180,Confiture allégée fraises -,3608580744894,,['France'],[],[],?,165,690 kj(165 kcal),"0,1",0,40,40,"0,4",,,"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.1 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,,,,-24%,-24%,-59%,-100%,-25%,-21%,-10%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
181,Dessert fruitier Pomme fraise 8x100 g - Andros - 8x 100g,3608580745273,['Andros'],['France'],[],[],?,75,314 kj(75 kcal),?,"0,2",?,17,"0,4",0,0,,8 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Pomme poire - Andros,3608580745280,['Andros'],['France'],[],[],?,75,314 kj(75 kcal),?,"0,2",?,17,"0,3",0,0,"['Sans colorants', 'Sans conservateurs']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']",,,0.2 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,+21%,+20%,,+133%,,+37%,-15%,-100%,-100%,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,
183,Dessert fruitier pomme abricot - Andros,3608580745297,['Andros'],['France'],"['pommes} 61%', 'abricots 31%', 'sucre', 'arôme} naturel', 'antioxydant : acidit escorbique', ' SPECIALITEIT VAN ABRIKOZEN', ' 61 abrikozen 31%', 'aroma', ""antioxidant: * Équivaut à l'une des 5 portions de fruits et légumes par jour""]",[],?,75,314 kj(75 kcal),"0,2",0,17,17,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
184,Pomme Banane - Andros,3608580745303,['Andros'],['France'],['Énorqio / encqqio Matiòrofi / Vottoo dont waatondor votzadiodo Glucides / Koolbydraton dont sucroo / waatvan Fibros /Vczc15 Protéines / Eiwitton 580 745303'],[],?,76,318 kj(76 kcal),"0,2",0,17,16,"0,5",0,0,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Compote Pomme Rhubarbe - Andros,3608580745327,['Andros'],['France'],[],[],?,75,314 kj(75 kcal),"0,1",0,17,17,"0,4",0,0,"['Sans colorants', 'Sans conservateurs']",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes rhubarbe']",0.1 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,+9%,+11%,-64%,-100%,+17%,+24%,-15%,-100%,-100%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,
186,Liégeois pomme abricot sur coulis de framboise - Andros - 8pots (8X 100g),3608580745396,['Andros'],['France'],[],[],?,135,565 kj(135 kcal),"6,8","4,3",17,16,"0,8","0,02","0,008","['Sans colorants', 'Sans conservateurs']",8 pots (8 X 100 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,250 cœurs fraise - Pierrot Gourmand,3608580749622,['Pierrot Gourmand'],['France'],[],[],?,347,1452 kj(347 kcal),"0,5","0,1",84,78,"2,6","0,018","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Confiture cassis - Bonne Maman,3608580750024,['Bonne Maman'],['France'],"['50%', 'sucre', 'jusdecitons concent de fruib', ' Valeurs n=nelles moyennes pour 100 g conserve 21 jours au réfrigérateur', 'yététence avant fin : le couverde', ' Illis • FIIICE']",[],?,170,711 kj(170 kcal),"0,2",0,41,41,"0,5",0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",0.2 g,en faible quantité,0 g,en faible quantité,41 g,en quantité élevée,0 g,en faible quantité,,-26%,-26%,-29%,-100%,-24%,-21%,-17%,-100%,-100%,9,-3%,C,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
189,Confiserie gélifiée aromatisée- soucoupes,3608580751748,,['France'],[],[],?,336,1406 kj(336 kcal),"0,5","0,1",78,68,5,"0,026","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Fruits panachés PROMO : 30% - Andros,3608580753858,['Andros'],['France'],"['DESSERT DE POMMES ET DE POIRES', ' Ingrédients ', ' pommes 64%', 'poires 28%', 'sucre', 'antioxydant : acide ascorbique', ' APPELEN- EN PERENDESSERT', ' Inqrediënten: appelen 64%', 'peren 28%', 'sulker', 'antioxidant: ascorbinezuur']",[],?,75,314 kj(75 kcal),"0,2",0,17,17,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E300 - Acide ascorbique'],,,
