,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,packaging,labels,manufacturing,traceability_code,additives,nova_score,markets,generic_name,link,ingredients_origins,palm_ingredients,brand_owner,origin_detail,producer_info
10,Triple choc,8435130128867,,,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,6,,5,,52,,8,,"0,333",,"0,855",,"0,342",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Olivada  negra - Veritas,8435173002100,C,,['Veritas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', ""Produits de l'olivier"", 'Pâtes à tartiner végétales', 'Pâtés végétaux', 'Tapenades', ""Pâtés à tartiner végétaux à base d'olives""]","['France', 'Espagne']",[],[],36 g,en quantité élevée,5 g,en quantité modérée,0.3 g,en faible quantité,1.2 g,en quantité modérée,?,,365,+29%,1527 kj(365 kcal),+33%,36,+34%,5,+37%,"8,3",+74%,"0,3",-79%,"1,8",-29%,"1,2",-43%,"0,48",-43%,13,+12%,D,+12%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,,,
12,Oli Coco Eco Veritas 50G,8435173009406,,,['Veritas'],['Matières grasses'],['France'],"['Grasas Hidratos de carbono de los cuales azücares Fibra alimentaria Proteinas sal Conservar en lugar fresco y seco', ' Consumo preferente: ver tapa']",[],100 g,en quantité élevée,91 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+13%,91,+299%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,20,+77%,E,+77%,,,,,,,,,,['Bio'],,,,,,,,,,,,
13,Pêche blanche - fruitona séduction - 1kg,8435177001727,,1kg,['fruitona séduction'],,['France'],[],[],,,,,,,,,?,,5,,21 kj(5 kcal),,0,,0,,0,,0,,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Orange à jus - Auchan,8435177002441,,,['Auchan'],,['France'],"['Traitées aorès récolte avec Imazalil et thiabendazol Enrobage a base de cires', ' E-904,E-914 ANECOOP SCOOP', ' C/MONFORTE 1 ENTLO SAT NOVA CITRUS 46010 VALENCIA ESPAflA RGS 21', '1', '557jv']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,45,,188 kj(45 kcal),,"0,2",,0,,10,,10,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,"['E904 - Gomme-laque', 'E914 - Cire de polyéthylène oxydée']",4,['Auchan'],,,,,,,
15,Jus d'orange et Kiwi - Zumosol,8435425100516,,,['Zumosol'],,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,"0,1",,0,,"10,7",,"10,7",,"0,5",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Zumo de naranja 100% exprimido,8435425102046,D,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,9.4 g,en quantité élevée,0 g,en faible quantité,?,,43,0%,180 kj(43 kcal),-1%,"0,1",-40%,0,-100%,"9,4",-3%,"9,4",+3%,"0,6",-4%,0,-100%,0,-100%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
17,Nectar de piña y uva - Zumosol,8435425107454,D,,['Zumosol'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']","['France', 'Espagne']","[""Jus d'ananas à partir d'ananas concentré "", '30%', 'jus de raisin à partir de concentré de raisin ', '20%', 'eau', 'sucre', 'acide ', 'acide citrique', 'vitamine C et stabilisateur ', 'pectine']",[],0.1 g,en faible quantité,0 g,en faible quantité,11.2 g,en quantité élevée,0.003 g,en faible quantité,?,,46,+10%,192 kj(46 kcal),+9%,"0,1",-48%,0,-100%,"11,2",+12%,"11,2",+18%,"0,2",-36%,"0,003",-69%,"0,001",-69%,15,+40%,E,+40%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E440 - Pectines']",4,,,,,,,,
18,Tortilla chips,8436002420058,B,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],20 g,en quantité modérée,2.2 g,en quantité modérée,2.4 g,en faible quantité,1.1 g,en quantité modérée,?,,479,-1%,2004 kj(479 kcal),-1%,20,-12%,"2,2",-25%,67,+11%,"2,4",+27%,"6,3",-2%,"1,1",-6%,"0,44",-6%,11,+14%,D,+14%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,['en:gluten-free'],,,,,,,,,,,,
19,Super mex,8436002420317,B,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",['France'],[],[],20 g,en quantité modérée,2.2 g,en quantité modérée,2.4 g,en faible quantité,1.1 g,en quantité modérée,?,,479,-1%,2004 kj(479 kcal),-1%,20,-12%,"2,2",-25%,67,+11%,"2,4",+27%,"6,3",-2%,"1,1",-6%,"0,44",-6%,11,+14%,D,+14%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,['en:gluten-free'],,,,,,,,,,,,
