,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,manufacturing,additives,palm_ingredients,origin_detail,producer_info,brand_owner
38,Jus Carotte Pomme Gingembre - Juste Pressé - 500ml,3770006565120,C,,500 ml,"['bouteille plastique', 'frais', 'plastique', 'PET 1']",['Juste Pressé'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Réfrigérés', 'Jus multifruits']","['Sans sucre ajouté', 'Sans additifs', 'Sans conservateurs', 'Hpf-haute-pression-a-froid']",,http://www.justepresse.fr,"['Leclerc', 'Auchan']","['France', 'Luxembourg']","['Jus de pomme ', '67 %', 'jus de carotte ', '32 %', 'jus de gingembre ', '1 %']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9.2 g,en quantité élevée,0.06 g,en faible quantité,?,,48,0%,201 kj(48 kcal),+0%,0,-100%,0,-100%,11,0%,"9,2",-12%,"0,5",+27%,"0,06",+556%,"0,024",+556%,4,-10%,C,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
39,Chips de légumes - Phm Production - 125g,3770008133181,,,125 g,,['Phm Production'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,,,['France'],"['Mélange de Légumes en proportions variables 61 % ', 'betteraves', 'carottes', 'patates douces', 'panais', 'huile de tournesol 39%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,39 g,en quantité élevée,4.49 g,en quantité modérée,26.8 g,en quantité élevée,0.36 g,en quantité modérée,?,,531,+4%,2222 kj(531 kcal),+3%,39,+32%,"4,49",+45%,"39,5",-27%,"26,8",+1040%,"4,2",-27%,"0,36",-73%,"0,144",-73%,14,+20%,D,+20%,,,,,,,,"['EMB 80677B', 'Roisel (Somme, France)']",,,,,,
40,Kom Bucha - Jubiles - 25cL,3770010589044,C,boisson fermentée à base de thé,25 cL,['Bouteille végétale en canne à sucre'],['Jubiles'],"['Boissons', 'Produits fermentés', 'Boissons fermentées', 'Boissons au thé', 'Kombuchas', 'Boissons non alcoolisées']","['Bio', 'Ecocert', 'Commerce équitable', 'Equitable Ecocert']",,https://jubiles.bio/,"['Biocoop', 'la vie claire', 'Naturalia']",['France'],"['Eau filtrée', 'culture de kombucha', 'sucre blond de canne', ""thé noir Pu'er"", 'infusion de menthe douce ', '6%', 'jus de citron vert frais ', '0,5%', 'jus de pomme ', '0,3%', "" Ingrédients issus de l'agriculture biologique the et sucre issus du commerce équitable""]",,[],3,0.1 g,en faible quantité,0.1 g,en faible quantité,5.4 g,en quantité modérée,0.1 g,en faible quantité,92,+19%,24,+33%,92 kj(24 kcal),+23%,"0,1",+108%,"0,1",+258%,"5,9",+54%,"5,4",+57%,0,-100%,"0,1",+400%,"0,04",+400%,8,+40%,D,+40%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,"['Joinville-le-pont', 'France']",,,,,
41,Kit Kat Peanut Butter - Nestlé - 42g,3800020418819,C,,42 g,['Stück'],['Nestlé'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",['Nestle-cocoa-plan'],,,,"['Autriche', 'France', 'Allemagne', 'Espagne']",[],,[],,31.2 g,en quantité élevée,16.1 g,en quantité élevée,45.3 g,en quantité élevée,0 g,en faible quantité,?,,538,+8%,2251 kj(538 kcal),+8%,"31,2",+26%,"16,1",+10%,"52,8",-15%,"45,3",+32%,"10,4",+89%,0,-100%,0,-100%,26,+18%,E,+18%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,
42,Cockta -  - 1.5l,3838471032537,,,1.5l,"['PP 5', 'HDPE 2']",,['sl:Gazirana pijača'],"['sl:brez kofeina', 'sl:naravni co2']",,,['Hofer'],"['Croatie', 'France', 'Slovénie']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité modérée,20 g,en quantité élevée,?,,42,,176 kj(42 kcal),,0,,0,,"10,6",,"10,3",,"0,1",,20,,8,,12,,D,,,,,,,,,,['Slovenija'],,,,,
43,Lino Čokolino - Podravka - 500g,3850104210259,,,500 g,,['Podravka'],,,,,,"['Croatie', 'France', 'Serbie']","['cereals 55% ', 'Wheat grits', 'Wheat flour', 'sugar', 'powdered chocolate 18% ', 'sugar', 'cocoa powder', 'butter', 'emulsifier soy lecithin', 'starch and vitimims', 'thiamine mononitrate', 'riboflavin', 'pyridoxine hydiochloride', 'L-ascorbicacid DL-alpha tocopherol acetate', 'folic acidr contain hazelnut and milk Manufacturer', ' Podravka d', 'd', 'Ante Startevita 32', '48000 Koprivnicat CROATIA', 'Britain: Adriatic ', 'UK', ' Ltd? 352Fulham Road', 'LondonSW10 WH', 'UnitedY\\ingdom', 'Company No', ' origin Croatia']","['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,411,,1720 kj(411 kcal),,"4,1",,"2,4",,84,,39,,7,,0,,0,,,,,,,,,,,,,,,"['E322i - Lécithine', 'E101i - Riboflavine']",,,,
44,"Schokolade ""nugat"" 100g Tafel Schogetten - 100g",4000415851705,E,,100 g,,['Schogetten'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",['Fabriqué en Allemagne'],,,,"['France', 'Maroc', 'Espagne']","['sucre', 'beurre de cacao', 'pâte de noisettes ', '10%', ' crème en poudre', 'pâte de cacao', 'poudre de lait écrémé', 'poudre de lait entier', 'lactosérum en poudre', 'matière grasse butyrique', ' émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille', 'sel', ' Cacao: 30% minimum dans le chocolat au lait', "" Peut contenir des traces d'arachides"", ""d'amandes"", ""de gluten et d'oeuf""]","['Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,33 g,en quantité élevée,16 g,en quantité élevée,53 g,en quantité élevée,0.2 g,en faible quantité,?,,547,-2%,2289 kj(547 kcal),-2%,33,-8%,16,-6%,54,+8%,53,+13%,"7,1",+2%,"0,2",+56%,"0,08",+56%,26,+5%,E,+5%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
45,Curry King Geflügel - Meica - 220.0g,4000503281001,,,220.0 g,,['Meica'],,,,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,157,,657 kj(157 kcal),,"8,5",,"2,9",,12,,12,,8,,"1,575",,"0,63",,,,,,,,,,,,,,,,,,,
46,Kaffee Balance - Jacobs - 500g,4000508058516,E,,500g,['Paket'],['Jacobs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,1,-67%,4 kj(1 kcal),-71%,0,-100%,0,-100%,"0,2",-47%,"0,2",+85%,"0,1",-75%,0,-100%,0,-100%,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,
47,Cacao pour la cuisson - Dr.Oetker - 100g,4000521005450,E,,100g,"['Pappe', 'product']",['Dr.Oetker'],"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,,,,"['France', 'Allemagne', 'Suisse']","['Kakaopulver', 'Säureregulator ', 'Kaliumcarbonate']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,21 g,en quantité élevée,13 g,en quantité élevée,0.8 g,en faible quantité,0.08 g,en faible quantité,1556,+13%,375,+7%,1556 kj(375 kcal),+7%,21,+51%,13,+61%,"9,9",-62%,"0,8",-93%,20,+17%,"0,08",-26%,"0,032",-26%,14,+52%,D,+52%,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,,,
48,Haribo Froggis,4001686472651,,,,,['Haribo'],,['Sans colorants'],,,,['France'],[],,[],,,,,,,,,,?,,345,,1443 kj(345 kcal),,"0,5",,"0,1",,79,,53,,"5,8",,0,,0,,,,,,,,,,,,,,,,,,,
49,Uncle Ben's aigre doux,4002359003059,,,,,,,,,,['Delhaize'],"['Belgique', 'France']",[],,[],,,,,,,,,,?,,71,,297 kj(71 kcal),,"0,2",,0,,"16,4",,"13,2",,"0,4",,"0,42",,"0,168",,,,,,,,,,,,,,,,,,,
50,Bio-Plus-3 Margarine - Land Krone - 250g,4002824150615,B,,250 g,,['Land Krone'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-013']",,,,"['Autriche', 'France', 'Allemagne']","['Rapeseed oil*', 'water', 'palm oil', 'coconut oil', 'acacia fibre', 'walnut oil""', 'carrot* and lemon* juice concentrate', 'sea salt ', '0,11%', ' *certified organic ingredients']",['Fruits à coque'],"['Végétalien', 'Végétarien']",,70 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,0.11 g,en faible quantité,?,,635,+24%,2657 kj(635 kcal),+25%,70,+24%,20,+23%,34,+8316%,"0,1",-59%,0,-100%,"0,11",-81%,"0,044",-81%,9,-22%,C,-22%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,,,,
51,GENUSS PUR - 3 Glocken - 500g,4002966004067,,Hartweizen-Nudeln (Spiralen),500 g,"['Kunststoff', 'Tüte']",['3 Glocken'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,,,,"['France', 'Allemagne', 'Suisse']","['Hartweizengriess', 'Quellwasser']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.4 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,1491,+19%,352,+17%,1491 kj(352 kcal),+18%,"1,5",-78%,"0,4",-86%,71,+45%,3,+45%,12,+58%,"0,01",-99%,"0,004",-99%,-4,-916%,A,-916%,,,,,,,,,,,,,,
52,pains d'epices - weissella - 200g,4003160036519,B,,200g,['7 biscuits'],['Weissella'],"['Biscuits et gâteaux', ""Pains d'épices""]",['Fabriqué en Allemagne'],,,,"['France', 'Allemagne']","['sucre', 'graines oléagineuses 20% ', 'noisettes', 'noix', 'amandes', 'noix de cajou', 'farine de froment', ""zeste d'orange confit "", ""zestes d'orange"", 'sirop de glucose-fructose', 'sucre', 'pâte de noyaux ', ""noyaux d'abricot,sucre"", 'sirop de sucre inverti', 'hosties pour pâtisserie ', 'farine de froment', 'fécule de pomme de terre', 'sirop de glucose-fructose', 'masse de cacao', 'abricots', ""l'œuf entier liquide"", 'protéine de lait', 'humectant: sorbitol', 'glycérine', ' figues épices', 'beurre de cacao', ' poudre à lever: carbonates de sodium', ' extrait de pomme', 'fécule de pomme de terre', 'émulsifiant: lécithines', "" blanc d'oeuf séché"", 'amidon de blé', 'acidifiant: acide citrique', ' sel', 'épaississant: gomme arabique', ' arôme naturel', "" Peut contenir d'autres fruits à coque"", ""de l'arachide"", 'du lupin', 'du sésame et du soja']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'de:flüssiges Vollei', 'en:Butterreinfett', 'en:Cashewkerne', 'en:Haselnüsse', 'en:Hühnertrockeneieiweiß', 'en:Mandeln', 'en:Milcheiweiß', 'en:Walnüsse', 'en:Weizengrieß', 'en:Weizenmehl', 'en:Weizenstärke', 'en:flüssiges Vollei']","['Sans huile de palme', 'Non végétalien']",4,12.7 g,en quantité modérée,2.2 g,en quantité modérée,35.6 g,en quantité élevée,0.56 g,en quantité modérée,?,,392,+16%,1640 kj(392 kcal),+15%,"12,7",+264%,"2,2",+77%,"57,6",-19%,"35,6",-12%,"9,2",+112%,"0,56",+28%,"0,224",+28%,15,+6%,D,+6%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E500 - Carbonates de sodium', 'E322 - Lécithines', 'E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E440 - Pectines']",,,,
53,Joghurt griechischer art - Elinas - 600g,4003490323747,,,600 g,['Kunststoff'],['Elinas'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque', 'Yaourts sucrés']",['Fabriqué en Allemagne'],,,['REWE'],"['France', 'Allemagne']",[],,[],,7.4 g,en quantité modérée,4.9 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,?,,134,+15%,561 kj(134 kcal),+14%,"7,4",+8%,"4,9",+11%,"13,4",+53%,13,+63%,"2,7",-39%,"0,1",-14%,"0,04",-14%,6,+47%,C,+47%,,,,,,,,['DE NI-53053 EG'],['Thalfang'],,,,,
54,Adelholzener Apfelschorle,4005906002758,,,,,['Adelholzener'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],,[],,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,1",,"0,01",,"5,5",,"5,3",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,
