,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,manufacturing,additives,palm_ingredients,origin_detail,producer_info,brand_owner
400,Lifebar Choco Protéine Verte - Lifefood,8594071484583,,,,,['Lifefood'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']","['Bio', 'Végétarien', 'Végétalien']",,,,"['France', 'Espagne']","['Dattes* 46 %', 'purée d’amandes*', 'chocolat cru* 10 % ', 'fèves de cacao cru', 'beurre de cacao cru', 'amandes*', 'graines de courges', 'pou de protéinés de graines de chanvre 3,5 %', 'poudre protéinée de graines de courges 3', '5 %', 'spiruline 0,8 %', 'vanille*']",['Fruits à coque'],"['Végétalien', 'Végétarien']",1,19 g,en quantité modérée,4 g,en quantité modérée,29 g,en quantité élevée,0.43 g,en quantité modérée,?,,397,+7%,1661 kj(397 kcal),+7%,19,+46%,4,-32%,36,+10%,29,+118%,20,-32%,"0,43",-12%,"0,172",-12%,7,-32%,C,-32%,,,,,,,,,,,,,,
401,Rocky Rice Milk Bar - Benlian Foods Doo - 18g,8606012184961,,,18 g,['Plastik'],['Benlian Foods Doo'],"['Snacks', 'Snacks sucrés', 'Barres']","['Sans gluten', 'Agriculture non UE']",,,,"['France', 'Allemagne']","['Schokoladenüberzug 68% ', 'Zucker', 'Kakaobutter', 'Kakaopulver', 'Magermilchpulver 8%', 'Emulgatoren [Sojalecithin', 'Polyglycerin-Polvricinoleat', ' Venille Aroma', 'gepuffter Vollkornreis 32% Kakao: 49% mindestens in der Schokolade']","['Lait', 'Soja']",['Non végétalien'],4,28 g,en quantité élevée,18 g,en quantité élevée,30 g,en quantité élevée,0.2 g,en faible quantité,2164,+10%,515,+15%,2164 kj(515 kcal),+14%,28,+37%,18,+102%,59,+7%,30,-12%,"6,1",-27%,"0,2",-42%,"0,08",-42%,18,+5%,D,+5%,,,,,,,,,,,,,,
402,Cheetos Big Chipito saveur fromage,8710398509222,,,,,['Cheetos'],,,,,,['France'],"['farine et huile de maïs', 'base aromatisante gout fromage [petit-lait en poudre', 'poudre de fromage ', 'lait', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'arômes ', 'lait', 'sucre', 'chlorure de potassium', 'colorants ', 'extrait de paprika', 'rocou', ']', 'sel']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,538,,2251 kj(538 kcal),,34,,"4,8",,52,,"4,5",,"5,4",,"2,1",,"0,84",,,,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E160b - Rocou']",,,,
403,48+ Goudse Jong Zacht - Albert heijn - 190,8710400264248,D,,190,['Plastik'],['Albert heijn'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,['Albert Heijn'],"['France', 'Pays-Bas']","['Melk*', 'zout', 'zuursel', 'stremsel', ' *Weidemelk keurmerk: koeien die minimaal 120 dagen per jaar', '6 uur per dag in de wei lopen']",['Lait'],['Non végétalien'],3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,1500,+20%,360,+9%,1500 kj(360 kcal),+9%,30,+13%,20,+12%,0,-100%,0,-100%,23,+13%,"1,8",+38%,"0,72",+38%,16,+17%,D,+17%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
404,Frites Deluxe - McCain - 600g,8710438088892,B,,600g,,['McCain'],"['Chips et frites', 'Surgelés', 'Pommes de terre préfrites surgelées', 'Frites', 'Frites surgelées']","['Végétarien', 'Végétalien', 'Union Végétarienne Européenne', 'Nutriscore', 'Nutriscore B']",,,,"['France', 'Allemagne']",[],,"['Végétalien', 'Végétarien']",,5 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,?,,152,0%,636 kj(152 kcal),-1%,5,+1%,"0,6",-8%,23,+0%,"0,5",+1%,"2,5",0%,"0,5",+74%,"0,2",+74%,2,,B,,21.9%,0.0%,23.0%,18.3%,27.1%,9.8%,97,,,,,,,
405,Biscuits fourrés chocolat - Brink - 3x 300g,8710445017298,C,Biscuits Fourrés au goût chocolat,3 x 300 g,['Carton'],['Brink'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés']","['Agriculture durable', 'en:UTZ Certified', 'Premier Prix']",,,['Magasins U'],['France'],"['farine de blé', 'sucre', 'graisses végétales ime', 'palmiste', 'sirop de glucose', ""cacao maigre en poudre poudre lever: carbonates d'ammonium"", ' sel', 'émulsifiant: lécithines de tournesol', ' lait écrémé en poudre', ""extrait de malt d' orge"", ' Fabriqué dans un atelier utilisant: seigle', ' A conserver Vabri de la chaleur et IN humidité', ' < 250']",['Gluten'],"['Huile de palme', 'Non végétalien']",4,13.2 g,en quantité modérée,7 g,en quantité élevée,33.6 g,en quantité élevée,0.51 g,en quantité modérée,?,,487,+4%,2038 kj(487 kcal),+3%,"13,2",-31%,7,-18%,"76,2",+14%,"33,6",+2%,"5,4",-7%,"0,51",-8%,"0,204",-8%,21,+6%,E,+6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['RSPO-1106141'],,"['E502 - Carbonates', 'E322i - Lécithine']",['Huile de palme'],,,
406,Cookies Chocolat Fourrés Chocolat Noir - Newman s own,8710502405013,,,,,['Newman s own'],,,,,,['France'],"['Sucre', 'huiles végétales ', 'huile de palme', 'huile de tournesol', 'farine de froment', 'pâte de cacao', ""farine d'avoine"", 'cacao maigre en poudre', 'poudres à lever', ' E450', 'E500 ', ' beurre de cacao', 'sirop de glucose', 'émulsifiant: lécithine de soja', 'lactose', 'sel', 'arôme naturel\rprésence possible de fruits à coque', 'lupin et oeufs']","['Œufs', 'Gluten', 'Lupin', 'Lait', 'Avoine']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,?,,0,,0 kj(0 kcal),,28,,13,,61,,40,,"4,8",,"0,63",,"0,252",,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E322i - Lécithine']",['Huile de palme'],,,
407,Biscuits Au Chocolat Et à La Pâte De Noisette - Newtree - 175g,8710502470042,D,,175 g,,['Newtree'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat et aux noisettes']",,,,,['France'],"['sucre', 'farine de froment', 'huiles vegetales ', 'palme', 'ecacao', ""farine d'avoine"", 'noisettes 4%', 'beurre ', 'lait', 'lait écrémé en poudre', 'poudre de cacao maigre', 'lactose ', 'lait', ""poudre d'oeuf entier"", 'beurre de cacao', 'sirop de glucose', 'poudres à lever: 80 50mulsifiant: lécithines de soja', ' arômes naturels', "" Peut contenir des traces d'autres fruits à coque""]","['Gluten', 'Lait', 'Fruits à coque', 'Avoine']","['Huile de palme', 'Non végétalien']",4,27 g,en quantité élevée,12 g,en quantité élevée,40 g,en quantité élevée,0.62 g,en quantité modérée,?,,515,+2%,2155 kj(515 kcal),+2%,27,-1%,12,-4%,60,+5%,40,+33%,"5,7",-15%,"0,62",+10%,"0,248",+10%,26,+19%,E,+19%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,,,['E322i - Lécithine'],['Huile de palme'],,,
408,Jacobs Latte Macchiato Classico - Tassimo - 26g,8711000504895,,,26g,"['Stück', 'Stück']",['Tassimo'],"['Boissons', 'Boissons avec sucre ajouté']",,,,,"['Autriche', 'France', 'Allemagne']","['Crème ', 'de lait', ' ', '46%', 'café moulu ', '21%', 'sucre ', '20%', 'protéines de lait concentrées eau', 'sel', 'minéraux du lait', 'épaississant ', 'E414', ""correcteur d'acidité "", 'E331']",['Lait'],['Non végétalien'],4,2.1 g,en quantité modérée,1.4 g,en quantité modérée,2.4 g,en faible quantité,0.1 g,en faible quantité,?,,31,-64%,130 kj(31 kcal),-65%,"2,1",+460%,"1,4",+743%,"2,4",-88%,"2,4",-87%,"0,3",-44%,"0,1",+167%,"0,04",+167%,8,-33%,D,-33%,,,,,,,,,,"[""E414 - Gomme d'acacia"", 'E331 - Citrates de sodium']",,,,
409,L'Or Expresso décaffeinato - Tassimo,8711000520093,,,,['Sachet'],"['Tassimo', ""L'Or""]","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,['Magasins U'],['France'],[],,[],,,,,,,,,,?,,1,-93%,4 kj(1 kcal),-95%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,
410,Knorr Grillsauce Würzige Burger Sauce Squeezer - 250ml,8712100493713,,,250 ml,['Flasche'],['Knorr'],"['Epicerie', 'Condiments']","[""Fabriqué dans l'UE""]",,,['Netto'],"['France', 'Allemagne']",[],,[],,21 g,en quantité élevée,1.7 g,en quantité modérée,7.1 g,en quantité modérée,1.9 g,en quantité élevée,?,,236,+69%,987 kj(236 kcal),+65%,21,+254%,"1,7",+168%,10,-24%,"7,1",+4%,1,-76%,"1,9",-66%,"0,76",-66%,12,+19%,D,+19%,,,,,,,,,,,,,,
411,Lipton Thé Vert Framboise Grenade 20 Sachets - 28g,8712100620447,A,Thé vert aromatisé framboise grenade,28 g,"['Carton', 'Boîte en carton', 'Film en plastique', 'boite', 'Boîte en carton', 'Film en plastique']",['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés aromatisés']","['Point Vert', 'PEFC', 'Rainforest Alliance']",,http://www.lipton.fr/product/detail/434806/the-blanc-rose-violette,['Leclerc'],['France'],"['Thé vert¹ ', '77%', 'arôme naturel', 'framboise ', '2%', 'écorces de grenade ', '2%', ' ¹Vérifié Rainforest Alliance']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,4,+33%,17 kj(4 kcal),+42%,0,-100%,0,-100%,"0,5",+28%,"0,5",+96%,"0,5",+169%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
412,Chips au Sel et au Poivre - BIO ORGANIC - 125g,8712423019812,B,,125g,"['Sachet', 'Plastique']",['BIO ORGANIC'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol""]","['Bio', 'Bio européen']",,,,['France'],"['Pommes de terres*', 'huile de tournesol', 'sel et poivre goût ', 'dextrose*', 'poivre* ', 'farine de mais* ', 'sel', 'huile de tournesol*']",,[],4,38 g,en quantité élevée,4.3 g,en quantité modérée,0.9 g,en faible quantité,2 g,en quantité élevée,?,,553,+4%,2314 kj(553 kcal),+3%,38,+14%,"4,3",+45%,"9,5",-81%,"0,9",-30%,5,-15%,2,+52%,"0,8",+52%,14,+28%,D,+28%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
413,ALOE & GREEN TEA - Tropical sun - 1,8712857008208,B,,1,,['Tropical sun'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,https://aguadealoevera.com/bebida-con-aloe-vera-tropicalfoods/,,['France'],"['Eau', 'lus et pulpe d’Aloe Vera ', '20%', 'Infusion thé vert ', '15%', 'Sucre de canne', 'Jus de omrne de concentré', 'Arôme raisin', 'Correcteur d’acidité: acide malique', 'Stabilisateur:  lactate de calcium', 'Miel', 'Antiiocydant: Vitamine C,']",,['Non végétalien'],3,,,,,,,,,?,,35,+192%,146 kj(35 kcal),+204%,0,-100%,0,-100%,"8,7",+288%,8,+561%,0,-100%,0,-100%,0,-100%,11,+162%,E,+162%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,"['E296 - Acide malique', 'E327 - Lactate de calcium']",,,,
414,Magnum Glace Batonnet Mini Double Framboise 6x60ml - 300g,8714100689370,B,"Glace à la framboise, enrobage au cacao maigre (8%), sauce à la framboise avec arômes naturels (18%) et second enrobage de chocolat au lait (20%).",300 g,"['boîte carton et sachet individuel plastique', 'boite', 'wrapper', 'Film']",['Magnum'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés']","['Lacto-végétarien', 'Ovo-végétarien', 'Kascher', 'Sans gluten', 'Ovo-lacto-végétarien', 'Point Vert', 'Rainforest Alliance']",['Non indiqué'],http://www.facebook.com/magnum,['panier sympa'],['France'],"['Sucre', 'LAIT écrémé réhydraté', 'purée de framboise ', '11%', 'sirop de glucose-fructose', 'huile de coco', 'pâte de cacao¹', 'beurre de cacao¹', 'LAIT en poudre entier', 'LAIT écrémé en poudre ou concentré', 'BEURRE concentré', 'sirop de glucose', 'cacao maigre en poudre¹', 'jus de framboise concentré', 'amidon modifié', 'émulsifiants ', 'E476', 'E471', 'E442', 'LACTOSE et protéines de LAIT', 'stabilisants ', 'E412', 'E410', 'E440i', 'LAIT en poudre écrémé', 'concentré de carotte', 'arôme naturel de framboise', 'arômes naturels', 'arôme', ""correcteurs d'acidité "", 'E331iii', 'E270', 'E330', 'sel', 'jus de betterave concentré', 'concentré de carthame', 'concentré de cassis', 'concentré de citron', ' Peut contenir : soja', 'amande', ' Sans gluten', ' ¹Vérifié Rainforest Alliance™']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,20 g,en quantité modérée,14 g,en quantité élevée,29 g,en quantité élevée,0.15 g,en faible quantité,1420,+20%,339,+22%,1420 kj(339 kcal),+21%,20,+23%,14,+26%,36,+23%,29,+13%,3,+3%,"0,15",+8%,"0,06",+8%,20,+22%,E,+22%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['non indiqué'],"['E14XX - Amidons modifiés', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E440i - Pectine non amidée', 'E331iii - Citrate trisodique', 'E270 - Acide lactique', 'E330 - Acide citrique']",,,,
415,Sorbet Pot Framboise,8714100719633,C,,,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'en:Desserts glacés', 'en:Glaces', 'en:Glaces et sorbets', 'en:Surgelés']",,,,['Delhaize'],"['Belgique', 'France']",[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,27 g,en quantité élevée,0.01 g,en faible quantité,?,,120,-38%,502 kj(120 kcal),-39%,"0,5",-95%,"0,1",-98%,27,+34%,27,+114%,"0,5",-89%,"0,01",-96%,"0,004",-96%,6,-23%,C,-23%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
416,Ketchup - Hellmann’s - 430ml,8714100725566,B,Tomato Ketchup,430 ml,['Bouteille'],['Hellmann’s'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces tomate', 'Ketchup', 'Assaisonnements']","['Végétarien', 'Sans gluten', 'Végétalien']",,,,['France'],"['Tomates¹ ', '168 g de tomates pour 100 g de ketchup', 'sucre', ""vinaigre d'alcool"", 'sel', 'arômes naturels', "" ¹Tomates issues de l'agriculture durable"", ' Convient aux végétaliens']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,21 g,en quantité élevée,2 g,en quantité élevée,420,-59%,99,-51%,420 kj(99 kcal),-53%,"< 0,5",-95%,"< 0,1",-92%,22,+4%,21,+124%,"1,5",-64%,2,-79%,"0,8",-79%,13,+17%,D,+17%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,
417,Salat Krönung - Knorr,8714100823675,,,,,['Knorr'],,['Sans conservateurs'],,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,430,,1799 kj(430 kcal),,46,,"6,4",,4,,"3,3",,"0,5",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,
418,Finesse bouillon de poule - Knorr,8714100838143,,,,,['Knorr'],,,,,['Delhaize'],"['Belgique', 'France']",[],,[],,,,,,,,,,?,,326,,1364 kj(326 kcal),,18,,11,,38,,13,,36,,25,,10,,,,,,,,,,,,,,,,,,,
419,8.6 IPL - 50cl,8714800036214,B,,50 cl,['Aluminium'],['8.6'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières fortes']",,['Pays-Bas'],http://www.86beer.com,['Monoprix'],['France'],"['Eau minérale naturelle', 'malt de blé', ""malt d'orge"", 'sirop de glucose', 'houblon']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,59,,247 kj(59 kcal),+68%,0,,0,,0,,0,,0,,0,-100%,0,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Holland'],,,,,
420,Lait concentré non sucré,8716200674317,B,,,,,"['Produits laitiers', 'Laits concentrés']",,,,,['France'],[],,[],,9.78 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,173,-31%,724 kj(173 kcal),-30%,"9,78",+31%,1,-78%,"12,6",-66%,0,-100%,"8,5",+21%,0,-100%,0,-100%,-3,-123%,A,-123%,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,,,,,,
421,Dark chocolate 51% almond sea salt - Tonny's Chocolonely - 180g,8717677337354,E,,180 g,"['Paper', 'Aluminium']","[""Tonny's Chocolonely""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Chocolats', 'Chocolats noirs', 'Barres chocolatées', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']","['Commerce équitable', 'Fairtrade-maxhavelaar']",,,['Delhaize'],"['Belgique', 'France']","['Masse de cacao', 'sucre', 'beurre de cacao', 'amandes 10%', 'sel de mer 0,5%', 'émulsifiant: lécithine de soja', ' Cacao : 51% minimum']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,35 g,en quantité élevée,18.2 g,en quantité élevée,41.5 g,en quantité élevée,0.5 g,en quantité modérée,?,,539,-3%,2255 kj(539 kcal),-3%,35,-9%,"18,2",-7%,44,+9%,"41,5",+19%,"7,4",-12%,"0,5",+692%,"0,2",+692%,27,+26%,E,+26%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,['E322i - Lécithine'],,,,
422,Iced tea - Arizona - 500ml,8718612000067,C,,500 ml,,['Arizona'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés']",,,,,"['France', 'Allemagne']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,?,,28,+40%,117 kj(28 kcal),+38%,0,-100%,0,-100%,"8,3",+76%,8,+79%,"0,01",-91%,0,-100%,0,-100%,10,+50%,E,+50%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,
423,Banana and hemp - VHFG - 30g e,8719324585163,,Barre crue avec banane et protéines de chanvre. Raw Bar Banana and Hemp,30 g e,"['Sachet', 'Plastique']",['VHFG'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres aux fruits']","['Végétarien', 'Végétalien', ""Fabriqué dans l'UE""]",,,,['France'],"['Date séchées', 'banane séchée ', '25 %', 'amandes crues', 'protéine de chanvre ', '5 %', 'graines de lin', 'avoine avec fruits à coque', ""sirop d'agave"", 'sirop concentré de jus de raisin']","['Fruits à coque', 'Avoine']","['Végétalien', 'Végétarien']",3,3.4 g,en quantité modérée,0.54 g,en faible quantité,28.1 g,en quantité élevée,0.3 g,en quantité modérée,?,,359,-7%,1502 kj(359 kcal),-6%,"3,4",-72%,"0,54",-80%,"70,48",+22%,"28,08",-31%,"11,6",+76%,"0,3",+95%,"0,12",+95%,5,-48%,C,-48%,,,,,,,,,"['Bulgarie', 'Union Européenne']",,,,,
424,Leerdam rape - Leerdammer - 200g,8721800084756,D,Fromage râpé,200 g,"['Sachet', 'Plastique', 'Sous atmosphère protectrice']","['Leerdammer', 'Leerdammer original']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages râpés']",,,,,['France'],"['FROMAGE râpé 98% ', 'LAIT pasteurisé', 'sel', 'ferments LACTIQUES', 'enzyme coagulante microbienne', 'fécule de pomme de terre']","['Lait', 'Fruits à coque', 'Lait et produits laitiers (y compris lactose)']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,27.5 g,en quantité élevée,18.5 g,en quantité élevée,0.1 g,en faible quantité,1.6 g,en quantité élevée,1460,-6%,352,-6%,1460 kj(352 kcal),-6%,"27,5",-5%,"18,5",-5%,2,+107%,"0,1",-72%,24,-12%,"1,6",+60%,"0,64",+60%,16,+24%,D,+24%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Pays Bas'],,,,Fromageries Bel,
425,Aa Drink High Energy - AADrink (After activity Drink) - 33cl,87222081,,,33cl,"['Point vert', 'Tidyman wastebasket']",['AADrink (After activity Drink)'],"['Boissons', 'Boissons énergisantes']",,,,,"['Belgique', 'France', 'Pays-Bas']","['Eau', 'saccharose', 'dextrose', 'fructose', 'maltose', 'polysaccharides', 'malto-dextrine', 'acidifiant: acide citrique', 'conservateur: sorbate de potassium', 'arôme', 'antioxydant: acide ascorbique', 'stabilisateur : E445', 'colorant : bêta-carotène', 'chlorure de sodium']",,"[""Pourrait contenir de l'huile de palme""]",4,0 g,en faible quantité,0 g,en faible quantité,1.6 g,en faible quantité,0.02 g,en faible quantité,?,,252,+600%,1054 kj(252 kcal),+607%,0,-100%,0,-100%,"14,8",+85%,"1,6",-78%,0,-100%,"0,02",-83%,"0,008",-83%,12,+11%,E,+11%,,,,,,,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E445 - Esters glycériques de résine de bois', 'E160ai - Bêta-carotène']",,,,
426,CJ Red pepper paste (TYC GOLD) - Haechandle - 500g,8801007166452,,Chilipaste,500 g,['Dose'],"['Haechandle', 'CJ']","['Epicerie', 'Condiments', 'Assaisonnements']",,,,['Nanuko'],"['France', 'Allemagne']","['Maissirup', 'rote Pfeffer Würze 23', '85% ', 'Paprika-Pulver', 'Wasser', 'Salz', 'Zwiebeln', 'Knoblauch', 'Reis', 'Wasser', 'Meersalz', 'Paprika-Pulver 2,0%', 'Getreide', 'Alkohol', 'Soja Salz', 'Sojabohnenpulver', 'klebriger Reis', 'Reismehl', 'Koji']",,[],3,2.7 g,en faible quantité,0.6 g,en faible quantité,26.6 g,en quantité élevée,4.6 g,en quantité élevée,1014,-1%,240,+18%,1014 kj(240 kcal),+12%,"2,7",-71%,"0,6",-53%,"51,2",+142%,"26,6",+183%,"4,2",+0%,"4,6",-51%,"1,84",-51%,15,+35%,D,+35%,,,,,,,,,,,,,,
427,Koren ramen - Mr.Min - 1,8801128542586,,,1,,['Mr.Min'],,,,,,['France'],[],,[],,,,,,,,,,?,,79,,331 kj(79 kcal),,"2,9",,"1,6",,"0,5",,0,,"2,9",,11,,"4,4",,,,,,,,,,,,,,,,,,,
428,Authentic Korean Udon - Mr Min,8809419300945,,,,,['Mr Min'],,,,,,['France'],"['FR Nouille : Farine de blé ', 'blé', 'amidon de tapioca modifié ', '€1442', 'gluten de blé ', 'blé', 'sel', 'huile de mais', ""correcteur d'acidité "", '070', 'C2GO', '32*5', '355', 'riboflavine ', '6101', 'cau / sauce liquide : sirop d•arnidon', 'sauce ', 'l*hujtre ', 'fruits de mer', 'crustacés', 'sauce worcester', 'soJa', 'blé', 'huile de soja', 'soJa', ""mélange d'assaisonnement 1"", 'E1400', ""tnéjltnge d'assaisonnement 2"", 'E501', 'E150c', 'sucre', 'sirop de mais', ""huile d'assaisonnement"", 'extrait de bonite ', 'poisson', 'sauce soja fermentée ', 'soJa', 'sel', 'eau / Légumes déshydratés : chou déshydraté', 'bovchoy', ' déshydraté', 'carotte déshydratée', '• Pour les éléments allergènes', 'se référer aux ingrédients en gras,']",,[],4,,,,,,,,,?,,218,,912 kj(218 kcal),,"3,38",,"0,6",,41,,"4,89",,"6,01",,"1,425",,"0,57",,,,,,,,,,,,,,,"['E101 - Riboflavine', 'E1400 - Dextrines', 'E501 - Carbonates de potassium', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,
429,Authentic Korean Udon - Mr.Min,8809419300976,,,,,['Mr.Min'],,,,,,['France'],"['FR Nouille : Farine de blé ', 'blé', 'amidon de tapioca modifié ', '11442', 'gluten de blé ', 'blé', 'sel', 'huile de maïs', ""correcteur d'acidité "", 'E270', 'E26 E325', 'E355', 'riboflavine ', 'EIOI', ""eau / sauce liquide : sirop d'amidC' saucc d'huître "", 'fruits de mer', 'crustacés', 'sauce worccster', 'soja', 'bl"" huile de soja', 'soJa', ""mélange d'assaisonnement 1"", 'E1400', ""mélange d'assaisonnement 2"", 'E501', 'E150c', 'oleores', ' capsicum', 'sucre', 'sirop de mais', ""huile d'assaisonnement"", 'extrait à', 'bonite ', 'poisson', 'sauce soja fermentée ', 'soja', 'sel', 'eau / Légur chou déshydraté', 'bok•choy', ' déshydraté', 'caret déshydratés déshydratée', ' • Pour les éléments allergènes', 'se référer aux ingrédients en gras']",,[],4,,,,,,,,,?,,220,,920 kj(220 kcal),,"4,5",,"0,79",,39,,"4,71",,"5,77",,"1,525",,"0,61",,,,,,,,,,,,,,,"['E270 - Acide lactique', 'E325 - Lactate de sodium', 'E355 - Acide adipique', 'E101 - Riboflavine', 'E1400 - Dextrines', 'E501 - Carbonates de potassium', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,
