,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
1880,Osso bucco de veau -,2424271048741,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",['France'],[],[],2 g,en faible quantité,0.5 g,en faible quantité,2.6 g,en faible quantité,0.82 g,en quantité modérée,?,109,456 kj(109 kcal),2,"0,5","6,4","2,6",16,"0,82","0,328",-1,A,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,-32%,-31%,-73%,-80%,-39%,+66%,+69%,-13%,-13%,-130%,-130%,,,,,,,,,,,,,,,,,,,,,
1881,Filet de poulet rôti - Le Gaulois,2431628022439,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,151,632 kj(151 kcal),"5,8","1,4",0,0,24,"1,4","0,56",3,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,['Sans conservateurs'],,+15%,+16%,+101%,+88%,-100%,-100%,+5%,+87%,+87%,,,D,['Le Gaulois'],83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Barquette en plastique', 'Film en plastique', 'Barquette']",,,,,,,,,,,
1882,Parmigiano reggiano Aop,2449185025589,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",17,D,,,,,+0%,+1%,+1%,+1%,-100%,,-1%,0%,0%,+2%,+2%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1883,Comté Rivoire,2460590025780,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,418,1749 kj(418 kcal),35,23,"0,5","0,5",27,"0,8","0,32",13,D,,,,,+5%,+6%,+7%,+6%,+8%,+80%,+7%,-18%,-18%,-3%,-3%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1884,Comté 10 mois,2481231028274,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",13,D,,,,,-0%,-0%,+1%,+1%,-100%,-100%,+0%,+7%,+7%,0%,0%,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1885,Comté Juraflore Fort des Rousses,2481232026767,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",13,D,"['FR 39.434.001 CE', 'Poligny (Jura, France)']",,,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,-3%,-3%,D,['JuraFlore'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1886,Comté - JuraFlore,2481234035224,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Fromages au lait cru', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",13,D,"['FR 39.434.001 CE', 'Poligny (Jura, France)']",,['AOP'],,+24%,+24%,+27%,+24%,-100%,-100%,+23%,-40%,-40%,-12%,-12%,D,['JuraFlore'],82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['Lait'],3,,,,,,,
1887,Onglet - Charal,2494593033060,,['France'],[],[],,,,,,,,,?,153,640 kj(153 kcal),"8,6","3,9",0,0,19,"0,2","0,08",,,,,,,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,,,,,,,
1888,Gorgonzola aop,2600087018899,,['France'],[],[],,,,,,,,,?,315,1318 kj(315 kcal),27,19,0,0,18,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Abricot sec,2600110021582,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],[],[],0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0 g,en faible quantité,?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4",0,0,6,C,,,,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,-100%,-100%,+73%,+73%,D,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,
