,name,bar_code,quantity,packaging,brand,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,allergens,palm_ingredients,link,markets,origin_detail,brand_owner
487,Fleur de Yaourt Poire saveur Sakura,3456770020668,,,,,,['France'],[],[],,?,,84,,"2,7",,"11,5",,"3,1",,351 kj(84 kcal),"1,8","10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Comté Bio,3542865182110,,,,,,['France'],[],[],,?,,418,,35,,0,,27,,1749 kj(418 kcal),23,0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Sang de licorne,3800477251588,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Café Arabica Dolce - 2x 250g,3245678169148,2 x 250 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,['France'],[],[],,?,,1,-98%,0,-100%,"0,3",-96%,"0,2",-90%,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,-98%,-100%,-100%,-100%,-100%,,,,,,,,,,,
491,Guacamole - Itinéraire des saveurs,0152421162338,,,['Itinéraire des saveurs'],"['Epicerie', 'Sauces', 'Guacamoles']",,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,C,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Marabou Hazelnut - Mokafe,86132200031,,,['Mokafe'],,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Sauce Curry - Carrefour,8508070408778,,,['Carrefour'],,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,"Nesquik, Sirop Aromatisé Rolo",0055000540940,,,,,,['France'],[],[],,?,,0,,0,,"86,667",,"1,333",,0 kj(0 kcal),0,"73,333","0,333","0,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,2 bavettes d’aloyau - Charal,0292475053852,,,['Charal'],"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",,['France'],[],[],,?,,131,0%,"6,7",+18%,0,-100%,9,-55%,548 kj(131 kcal),"2,2",0,"0,19","0,076",,"['Viande Française', 'Viande Bovine Française', 'Nutriscore', 'Nutriscore A']",E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,6.7 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.19 g,en faible quantité,0%,+0%,-100%,0%,0%,-2,,A,,,,,,,,
496,Capri-Sun,4000177172810,,,,,,['France'],[],[],,?,,44,,"0,5",,11,,"0,5",,184 kj(44 kcal),"0,1",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,"Saucisse à l'ancienne, saucisson de la Ardèche",2439594038836,,,,,,['France'],[],[],,?,,441,,36,,"2,2",,27,,1845 kj(441 kcal),15,"0,6","4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Jambon cuit superieur de chiffonnade aux herbes de provence,2454887021388,,,,,,['France'],[],[],,?,,1,,4,,1,,20,,4 kj(1 kcal),"1,6","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Scaldatelli,8022951001242,,,,,,['France'],[],[],,?,,380,,16,,49,,7,,1590 kj(380 kcal),"2,2","1,1","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Buiscuits à la crème fraiche,3800015762026,,,,,,['France'],[],[],,?,,444,,"17,8",,"63,6",,"7,3",,1858 kj(444 kcal),"8,3","15,6","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Freeze-dried sensational strawberries,5060513540214,,,,,,['France'],[],[],,?,,323,,"3,7",,"50,9",,"7,6",,1351 kj(323 kcal),"0,3",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Feuilleté jambon emmental,3325710233775,,,,,,['France'],[],[],,?,,287,,17,,24,,"8,6",,1201 kj(287 kcal),"8,6","2,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Gelato Noisette,3665147105093,,,,,,['France'],[],[],,?,,197,,"12,3",,"23,5",,"4,9",,824 kj(197 kcal),"2,9","4,8","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Lily’s dark chocolate keto baking chips,0810003460295,,,,,,['France'],[],[],,?,,392.85714285714,,"28,571",,"57,143",,"7,143",,1644 kj(392 kcal),"17,857",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Coco amande,3770016639088,,,,,,['France'],[],[],,?,,423,,"18,8",,"51,7",,"13,3",,1770 kj(423 kcal),5,9,"0,11","0,044",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Tam yağlı özel Peynir,4260043290271,,,,,,['France'],[],[],,?,,310,,"28,1",,"1,3",,13,,1297 kj(310 kcal),"19,6","1,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Ma compote de POMME des Alpes Françaises VANILLE,3608580058977,,,,,,['France'],[],[],,?,,57,,"0,2",,13,,"0,2",,238 kj(57 kcal),0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,3LS,3770018956008,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Casale toscano,8029054897000,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Tiramisu,5430001504088,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Velouté,3760239452571,,,,,,['France'],[],[],,?,,92,,"2,7",,"13,5",,"3,5",,385 kj(92 kcal),"1,9","13,2","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Mon sorbet cassis de bourgogne,3331480013554,,,,,,['France'],[],[],,?,,112,,"0,5",,26,,"0,5",,469 kj(112 kcal),"0,1",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Gelato tartufo,0813973020223,,,,,,['France'],[],[],,?,,140,,7,,19,,0,,586 kj(140 kcal),5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,ericio - l\'etat sauvage,3701419700181,,,"[""l\\'etat sauvage""]",,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Ashoka Carrot Pickle Olive Oil,8901552014441,,,,,,['France'],[],[],,?,,233.19999694824,,"20,4",,"11,3",,"2,8",,976 kj(233 kcal),"2,8",0,"8,8","3,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,1000 island sauce salade,8801052728292,,,,,,['France'],[],[],,?,,495,,51,,8,,1,,2071 kj(495 kcal),9,7,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Biscotti con Granelli di Zucchero,8032755321422,,,,,,['France'],[],[],,?,,452,,13,,74,,"8,7",,1891 kj(452 kcal),"1,4",22,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Tartine p'tit dej,0205785006890,,,,,,['France'],[],[],,?,,267,,4,,44,,10,,1117 kj(267 kcal),0,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Latte fresco alta qualità,8001101000038,,,,,,['France'],[],[],,?,,66,,"3,6",,"4,9",,"3,4",,276 kj(66 kcal),"2,4","4,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Granola a tartiner au chocolat,3760287220863,,,,,,['France'],[],[],,?,,505,,"33,6",,"38,8",,"10,1",,2113 kj(505 kcal),"13,5","16,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Porridge,3175681275645,,['Etui en carton'],,,,['France'],[],[],,?,,18,,"6,9",,46,,25,,75 kj(18 kcal),"1,2",14,"1,1","0,44",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Confiture de lait noisettes,3760161770354,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Pain mais,0202079010502,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Fusilli di grano antico val cecina,8051511230204,,,,,,['France'],[],[],,?,,1450,,"2,1",,65,,12,,6067 kj(1450 kcal),"0,5","3,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Pasta sfoglia delicata,7613034062727,,,,,,['France'],[],[],,?,,345,,16,,41,,7,,1443 kj(345 kcal),"6,3","1,5","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Infusion Ventre plat,3456300013863,,,,,,['France'],[],[],,?,,1,,0,,"0,2",,"0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Miel de chataignier de gascogne,3770001790039,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Pasta all'uovo tagliatelle,8000839431237,,,,,,['France'],[],[],,?,,379,,"5,6",,65,,16,,1586 kj(379 kcal),"1,8","2,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Barre chocolatée,4902505560514,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,100% whey isolate,5600985802481,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Huile de nigelle d'Éthiopie.,9882931317720,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Jambon supérieur sans couenne 2 tranches,2273694012668,,,,,,['France'],[],[],,?,,111,,3,,1,,20,,464 kj(111 kcal),"1,2","0,5","2,1","0,84","['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Chewing Gum Vitality,3440814615828,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Aperifrais ca,3480341002692,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Nut bar,8719979201494,,,,,,['France'],[],[],,?,,516,,30,,41,,17,,2159 kj(516 kcal),"6,2",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Sauce tartare,3344540060788,,,,,,['France'],[],[],,?,,613,,66,,"2,7",,"1,2",,2565 kj(613 kcal),"4,9","2,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Sauce bolognaise,3069538103253,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,pruneaux,2609941030572,,,,,,['France'],[],[],,?,,234,,"0,5",,54,,2,,979 kj(234 kcal),"0,1",35,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Brume d’Air - Febreze - 300ml,8001090234537,300ml,['bouteille metal'],['Febreze'],['Produit'],,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Préfou beurre ail français 280g,3250392919870,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Kiwi,2303839003715,,,,,,['France'],[],[],,?,,0,,28,,28,,2,,0 kj(0 kcal),28,23,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Bouchées mediterranéennes,13913502,,,,,,['France'],[],[],,?,,255,,14,,24,,"6,5",,1067 kj(255 kcal),"1,8","1,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Roquefort,2286860001861,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Taralli tondi all?olio,8022951404043,,,,,,['France'],[],[],,?,,352,,11,,52,,"1,7",,1473 kj(352 kcal),"1,7","1,6","7,3","2,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Cœurs coulants,3027030018710,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Proteines mix vegan maca caroube,3701182300830,,,,,,['France'],[],[],,?,,342,,9,,16,,40,,1431 kj(342 kcal),"1,6","7,3",0,0,,"['Bio', 'Bio européen', 'FR-BIO-15']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Fromage frais en faisselle au lait de chèvre -  - 400g,3701003106122,400 g,"['Plastique', 'Pot']",,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Faisselles']","['France', 'Pays basque']",['France'],"['LAIT entier de chèvre du Pays Basque 99,5%', 'ferments lactiques', 'présure']",[],3,?,,333,+287%,5,-6%,"3,7",-16%,5,+13%,1393 kj(333 kcal),"3,2","2,5","0,1","0,04","['FR 64.094.103 CE', 'Bardos (Pyrénées-Atlantiques, France)']",,B,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,5 g,en quantité modérée,3.2 g,en quantité modérée,2.5 g,en faible quantité,0.1 g,en faible quantité,+288%,-4%,-27%,-10%,-10%,4,+172%,C,+172%,,['Lait'],,,,,
548,Almond butter & dark chocolat,29122493,,,,,,['France'],[],[],,?,,613,,"47,7",,"26,8",,"16,1",,2565 kj(613 kcal),"13,1",16,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Vermicelles de patate douce - Wang - 340g,,340 g,['Sachet'],['Wang'],['Vermicelles'],,['France'],"['Patate douce en poudre 92%', 'Eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1431,,342,+7%,0,-100%,0,-100%,0,-100%,1431 kj(342 kcal),0,0,0,0,,,,,,,,,,,['Corée du sud'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+2%,-100%,-100%,-100%,-100%,4,+69%,C,+69%,Korean style starch noodle,,,,,,
550,H market dinde,3683080567914,,"['Barquette', 'Film en plastique']",,,,['France'],[],[],,?,,110,,"4,3",,4,,14,,460 kj(110 kcal),"1,3","1,1","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,oxycoccus palustris - PREMIUM ROSA,5902036002421,,,['PREMIUM ROSA'],,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Miel de thym,3701407701855,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Ficellapero,0254101009183,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Bière DESPERADOS,3112883007636,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Petits pains de saumon au citron et basilic,3276770235639,,,,,,['France'],[],[],,?,,230,,14,,"7,6",,17,,962 kj(230 kcal),"5,7",2,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Sel moulu de Guérande - Le guérandais,2445830465854,,"['Carton', 'Plastique']",['Le guérandais'],"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,"['100% naturel', 'Sans additifs', 'AOP']",B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,"['Guérande', 'France']",,,,,,,,,,,,,,,,,,,Sel fin,,,,,,
557,Champignon émincé sans sulfite - Bonduelle,3083681120653,,,['Bonduelle'],,,['France'],[],[],,?,,19,,"0,6",,"0,7",,"1,8",,79 kj(19 kcal),"0,1",0,"0,58","0,232",,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Mayonnaise - Louis Auvergne - 9.5g,7610425348507,9.5 g,"['Sachet', 'Plastique']",['Louis Auvergne'],"['Epicerie', 'Sauces', 'Mayonnaises']",,['France'],"['huile 70%', 'eau', 'vinaigre', ""jaune d'oeuf 6"", '2%', 'sucre', 'sel', 'gomme de xanthaan', 'gomme de guar', 'moutarde', 'épices']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,,662,+8%,72,+9%,3,+12%,"0,9",-27%,2770 kj(662 kcal),"5,8","2,9","1,1","0,44",,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['E412 - Gomme de guar'],72 g,en quantité élevée,5.8 g,en quantité élevée,2.9 g,en faible quantité,1.1 g,en quantité modérée,+8%,-6%,+99%,-17%,-17%,17,-5%,D,-5%,,"['Œufs', 'Moutarde']",,,,,
559,Cookie buttons,5060669620006,,,,,,['France'],[],[],,?,,357,,"12,1",,"60,7",,5,,1494 kj(357 kcal),"7,1","22,1","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Brasse fraise banane bébé,3564707162852,,,,,,['France'],[],[],,?,,70,,2,,11,,"1,9",,293 kj(70 kcal),"1,3","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,la crié du port - 750ml,3701086302145,750 ml,['Verre'],,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Carpaccio de poulpe,550000020379018,,,,,,['France'],[],[],,?,,126,,"5,5",,1,,18,,527 kj(126 kcal),"0,6",0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Présure,3760244870094,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Nappage framboise - Vahiné,3179142040209,,"['Conserve', 'Verre']",['Vahiné'],"['Aides culinaires', 'Nappages']",,['France'],[],[],,?,,0,-100%,0,-100%,15,-76%,"1,1",-6%,0 kj(0 kcal),0,12,,,,['Fabriqué en France'],,,,,,,,,['France'],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité modérée,,,-100%,-100%,-76%,,,,,,,,,,,,,
565,Farci Poitevin,2266854025714,,,,,,['France'],[],[],,?,,118,,"9,5",,"1,8",,5,,494 kj(118 kcal),"3,6","1,4","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Mousse de canard qualité supperieure,0209091015355,,,,,,['France'],[],[],,?,,402,,"39,4",,"3,2",,"8,7",,1682 kj(402 kcal),"14,5","2,4","1,66","0,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Yaourt de Brebis Fermier nature -,3760060540164,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,"['Ardèche', 'France']",,,,,,,,,,,,,,,,,,,Yaourt de Brebis,,,,,,
568,Chloroquine Cola -,3770013079153,,,,"['Boissons', 'Boissons gazeuses', 'Sodas']",,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soda Cola,,,,,,
569,Saucisson sec pur porc aux noisettes - Louis Auvergne,2602604034115,,,['Louis Auvergne'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,['France'],[],[],,?,,472,+17%,"41,1",+30%,"3,5",+57%,"22,1",-20%,1975 kj(472 kcal),"15,9","1,4","3,92","1,568",,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Boyau naturel']",D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,41.1 g,en quantité élevée,15.9 g,en quantité élevée,1.4 g,en faible quantité,3.92 g,en quantité élevée,+17%,+29%,+2%,-16%,-16%,25,+4%,E,+4%,,,,,,,
570,Energy drink Peach Mango,8720211191220,,,,,,['France'],[],[],,?,,3,,0,,0,,"0,5",,13 kj(3 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Vegan protein extreme,5060594778735,,,,,,['France'],[],[],,?,,366,,2,,"6,6",,80,,1531 kj(366 kcal),"0,5","2,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Poulet,0253071053660,,,,,,['France'],[],[],,?,,104,,"1,3",,0,,23,,435 kj(104 kcal),"0,4",0,"0,11","0,044","['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Pain Bucheron,0200223012143,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Roast beef all'inglese di bovino adulto,8024845001055,,,,,,['France'],[],[],,?,,108,,"1,6",,"2,5",,21,,452 kj(108 kcal),"0,8",0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Chocolat Noir 100% - Franck B,3760242651794,,"['Sachet', 'Plastique']",['Franck B'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],"['Beurre de cacao*', 'Cacao*']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,621,+12%,54,+37%,"12,5",-68%,14,+83%,2598 kj(621 kcal),"32,4","0,5","0,25","0,1",,"['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",D,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,54 g,en quantité élevée,32.4 g,en quantité élevée,0.5 g,en faible quantité,0.25 g,en faible quantité,+12%,+40%,-98%,+435%,+435%,13,-39%,D,-39%,,,,,,,
576,Limonade - Brasserie des Ceutrons - 33cl,25761160,33 cl,"['Bouteille', 'Verre']",['Brasserie des Ceutrons'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']",,['France'],[],[],,?,,33,+6%,0,-100%,"8,2",+10%,0,-100%,138 kj(33 kcal),0,"8,2",0,0,,,,,,,,,,,['France'],,0 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0 g,en faible quantité,+10%,-100%,+12%,-100%,-100%,11,+8%,E,+8%,,,,,,,
577,Sandwich Jambon-beurre-emmenthal,60352056,,,,,,['France'],[],[],,?,,264,,"9,8",,"29,9",,"13,1",,1105 kj(264 kcal),"6,41","1,5","1,42","0,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Éclairs au cage,0260399013122,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,ShinyCat,4002064413136,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Cassoulet de Castelnaudary à la cuisse de canard confite - Le Moulin de Moreau,0001127677,,"['Conserve', 'Métal']",['Le Moulin de Moreau'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard']",,['France'],[],[],,?,,156,-34%,"9,3",-46%,"5,9",+40%,10,-32%,653 kj(156 kcal),"3,4","0,7","0,64","0,256",,,D,80.1%,13.0%,2.0%,3.0%,1.1%,0.8%,38,,,9.3 g,en quantité modérée,3.4 g,en quantité modérée,0.7 g,en faible quantité,0.64 g,en quantité modérée,-34%,-44%,-5%,-44%,-44%,1,-90%,B,-90%,Cassoulet,,,,,,
581,Dolce ricotta,8024354000099,,,,,,['France'],[],[],,?,,274,,"9,8",,"37,3",,"9,3",,1146 kj(274 kcal),"5,9","31,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,savane,99113667,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Glace caramel beurre salé - Maison de la Glace,3760124194654,,"['Pot', 'Carton']",['Maison de la Glace'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",,['France'],[],[],,?,,219,-0%,"7,9",-28%,32,+22%,"3,6",+8%,916 kj(219 kcal),"4,8",28,"0,36","0,144",,,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,7.9 g,en quantité modérée,4.8 g,en quantité modérée,28 g,en quantité élevée,0.36 g,en quantité modérée,-0%,-30%,+25%,+138%,+138%,13,+3%,D,+3%,,,,,,,
584,Le Bowl Poulet Citron Coleslaw -,3700365099585,,,,,,['France'],[],[],,?,,187,,"7,6",,23,,"6,3",,782 kj(187 kcal),"1,5","3,1","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Rouleaux imperiaux aux légumes,2760246070745,,,,,,['France'],[],[],,?,,143,,2,,25,,4,,598 kj(143 kcal),"0,3","7,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
