,name,bar_code,quantity,packaging,brand,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,allergens,palm_ingredients,link,markets,origin_detail,brand_owner
23,Inde Malabar,3760332490272,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ethiopie Guji,3760332490357,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nuance 69 Inspiration Barista,3760331830253,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Poitrine fumée en vrac,2497301031167,,,,,,['France'],[],[],,?,,312,,"27,3",,"0,6",,"16,3",,1305 kj(312 kcal),"8,3","0,6","3,5","1,4","['FR 07.338.002 CE', 'Vernoux-en-Vivarais (Ardèche, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Figues,3000404000740,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,0,0,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Colombie Tolima,3760332490234,,,,,,['France'],[],[],,?,,0,,0,,0,,0,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thé Glacé maté citron,3770015265417,,,,,,['France'],[],[],,?,,24,,0,,"2,5",,0,,100 kj(24 kcal),0,"2,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Domaine,3245390250223,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Levure bio,3266191095370,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Lentilles de corail,3701269702380,,,,,,['France'],[],[],,?,,334,,"2,2",,48,,25,,1397 kj(334 kcal),"0,4","1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pecorino romano d.o.p.,8002461871368,,,,,,['France'],[],[],,?,,394,,32,,0,,26,,1648 kj(394 kcal),18,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ice Cream Black Cookies,8410087860602,,,,,,['France'],[],[],,?,,217,,12,,24,,"3,2",,908 kj(217 kcal),"8,5",21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Graines de sésame toastées,3111952029708,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame', 'Sésame toasté']",,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,E,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Graines de sésame blanc torréfiées,3701184005948,,,,,,['France'],[],[],,?,,677,,60,,12,,23,,2833 kj(677 kcal),"9,4","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pâte à tartiner Chocolat Noisettes Bio - La Fourche - 700g,3760324840368,700 g,['Verre'],['La Fourche'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",['Italie'],['France'],"['Sucre de canne*', 'purée de noisettes 17%', 'huile de tournesol*', 'poudre de lait écréme 6%', 'poudre de cacao maigre* 6%', 'beurre de cacao émulsifiant : lécithine de tournesol*', 'extrait de vanille bourbon*', ' ""ingrédients issus de l\'agriculture biologique', "" Peut contenir des traces d'autres fruits à coque"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', ' Souligné: ingrédients conformes aux standards du commerce équitable ', ""62% du poids total des ingrédients d'origine agricole""]",['Non végétalien'],3,2168,-4%,519,-5%,28,-18%,58,+13%,"7,5",+10%,2168 kj(519 kcal),"5,2",54,"0,15","0,06",,"['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-007', 'Sans huile de palme', 'AB Agriculture Biologique']",B,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,['Italie'],['E322i - Lécithine'],28 g,en quantité élevée,5.2 g,en quantité élevée,54 g,en quantité élevée,0.15 g,en faible quantité,-6%,-32%,+13%,+46%,+46%,17,-18%,D,-18%,,,,,,,
38,Sauce tomate piment d'Espelette,3456300014297,,,,,,['France'],[],[],,?,,48,,"1,2",,"6,4",,"1,6",,201 kj(48 kcal),"0,2","5,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saucisse Sèche Supérieure - Justin Bridou - 0.55kg,3449865291937,0.55 kg,['Sachet en plastique'],['Justin Bridou'],,,['France'],"['Viande de porc ', 'origine UE', 'sel LACTOSE ', 'LAIT', 'dextrose', 'épices', 'sucre', 'conservateurs : nitrate de potassium et nitrite de sodium', 'ferments', ' 160 g de viande utilisés pour la préparation de 100 g de produit fini']","['Non végétalien', 'Non végétarien']",4,1845,,445,,37,,2,,26,,1845 kj(445 kcal),15,"1,5",5,2,,,,,,,,,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Saucisse Sèche Supérieure,['Lait'],,,,,
40,Saucisson sec supérieur - Justin Bridou - 0.2kg,3449850409491,0.2 kg,,"['Justin Bridou', 'Bâton de Berger A Croquer']",,,['France'],"['Viande de porc ', 'origine : UE', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'conservateur : nitrite de sodium', 'ferments', ' Enveloppe : collagène', '180 g de viande utilisés pour la préparation de 100 g de produit fini', 'Présence possible de fruits à coques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1951,,471,,39,,"1,9",,28,,1951 kj(471 kcal),16,"1,4","4,5","1,8",,,,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Saucisson sec supérieur,['Lait'],,,,,
41,Jambon sec traditionnel - Aoste - 0.165kg,3449865298455,0.165 kg,,"['Aoste', 'Grandes Tranches']",,,['France'],"['Jambon de porc origine France', 'sel', 'Présence possible de fruits à coques et de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1142,,274,,18,,1,,27,,1142 kj(274 kcal),"7,4",1,"5,7","2,28","['EMB 38012', 'Aoste (Isère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jambon sec traditionnel,['Lait'],,,,,
42,Jambon sec supérieur - Aoste - 0.2kg,3449865329524,0.2 kg,,['Aoste'],,,['France'],"['Jambon de porc origine UE', 'sel', 'chlorure de potasium', 'conservateur : nitrate de potassium', 'Présence possible de fruits à coques et de lait']","['Non végétalien', 'Non végétarien']",,1191,,286,,20,,"0,5",,26,,1191 kj(286 kcal),"8,7","0,4",4,"1,6","['EMB 38012', 'Aoste (Isère, France)', 'FR 38.012.001 CE', 'Aoste (Isère, France)']",,,,,,,,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Jambon sec supérieur,['Lait'],,,,,
43,"Jamón Serrano ETG, jambon cru traditionnel d'Espagne - Aoste - 0.2kg",3449865292583,0.2 kg,,['Aoste'],,,['France'],"['Jambon de porc origine Espagne', 'sel de mer', 'Présence possible de fruits à coques et de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1029,,246,,"12,6",,"1,1",,32,,1029 kj(246 kcal),"3,4","0,8","4,9","1,96",,['STG'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jamón Serrano ETG, jambon cru traditionnel d'Espagne",['Lait'],,,,,
44,"Jamón Serrano ETG, Jambon cru traditionnel d'Espagne. - Aoste - 0.125kg",3449865274824,0.125 kg,,"['Aoste', 'Grandes Tranches']",,,['France'],"['Jambon de porc origine Espagne', 'sel de mer', 'Présence possible de fruits à coques et de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1029,,246,,"12,6",,"1,1",,32,,1029 kj(246 kcal),"3,4","0,8","4,9","1,96",,['STG'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jamón Serrano ETG, Jambon cru traditionnel d'Espagne.",['Lait'],,,,,
45,Jambon de Bayonne - Aoste - 0.2kg,3449865240959,0.2 kg,,['Aoste'],,,['France'],"['Jambon de porc origine France', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1031,,247,,15,,1,,27,,1031 kj(247 kcal),6,1,5,2,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,Jambon de Bayonne,,,,,,
46,Saucisson sec supérieur pur porc - Cochonou - 0.1kg,3449865298714,0.1 kg,,['Cochonou'],,,['France'],"['Viande de porc origine France', 'LACTOSE', 'sel', 'arômes naturels ', 'PROTÉINES DE LAIT', 'épices', 'plantes aromatiques', 'dextrose', 'sucre', 'conservateurs : acide ascorbique', 'nitrate de potassium et nitrite de sodium', 'ferments', '\r150 g de viande utilisés pour la préparation de 100 g de produit fini', '\rPrésence possible de fruits à coques et de protéines de soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1794,,433,,36,,"3,2",,24,,1794 kj(433 kcal),14,"2,7","2,9","1,16",,"['Viande Française', 'Viande Porcine Française', 'Point Vert']",,,,,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Saucisson sec supérieur pur porc,['Lait'],,,,,
47,"Saucisson sec supérieur pur porc Spécialité de viande de poulet avec graisse de palme goût fumé hachée, assaisonnée, séchée. - Justin Bridou - 0.3kg",3449865245459,0.3 kg,['Film en plastique'],"['Justin Bridou', 'Bâton de Berger Mini']",,,['France'],"['NATURE : Viande de porc ', 'origine UE', 'sel', 'LACTOSE', 'dextrose', 'épices et plantes aromatiques', 'antioxydant : acide ascorbique', 'conservateur : nitrite de sodium', 'ferments', ' Enveloppe : alginate de sodium', 'cellulose ou collagène', 'cellulose', ' 180 g de viande utilisés pour la préparation de 100 g de produit fini', 'POULET : Viande de poulet ', 'origine UE ou hors UE', 'graisse de palme ', '10 %', 'sel', 'LACTOSE', 'dextrose', 'arôme', 'arôme de fumée', 'poudre de tomate', 'épices et plantes aromatiques', 'colorant : rouge de betterave', 'conservateurs : ascorbate de sodium', 'nitrate de potassium', 'nitrite de sodium', 'ferments', ' Enveloppe : alginate de sodium', 'cellulose ou collagène', 'cellulose', ' Traces éventuelles de porc', ' 190 g de viande utilisés pour la préparation de 100 g de produit fini']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,2198,,530,,44,,"4,1",,29,,2198 kj(530 kcal),18,"3,2",5,2,,"['Point Vert', 'Fabriqué en France']",,,,,,,,,,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E460 - Cellulose', 'E162 - Rouge de betterave', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,"Saucisson sec supérieur pur porc Spécialité de viande de poulet avec graisse de palme goût fumé hachée, assaisonnée, séchée.",['Lait'],['Huile de palme'],,,,
48,Saucisson sec qualité supérieure - Cochonou - 0.25kg,3449865298646,0.25 kg,['Film en plastique'],['Cochonou'],,,['France'],"['Viande de porc origine France', 'sel', 'sel de mer', 'minéraux de mer ', 'potassium', 'magnésium', 'calcium', 'LACTOSE', 'dextrose', 'épices', 'sucre', 'conservateur : nitrate de potassium', 'ferments', ' Boyau naturel de porc', 'Présence possible de fruits à coques', '160g de viande utilisés pour la préparation de 100g de produit fini']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1693,,408,,34,,"1,6",,24,,1693 kj(408 kcal),14,"1,1","3,6","1,44",,"['Viande Française', 'Sans gluten', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Saucisson sec qualité supérieure,['Lait'],,,,,
49,Jambon sec traditionnel - Aoste - 0.3kg,3449865293368,0.3 kg,,['Aoste'],,,['France'],"['Jambon de porc origine France', 'sel', '#Présence possiblede fruits à coques et de lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1142,,274,,18,,1,,27,,1142 kj(274 kcal),"7,4",1,"5,7","2,28","['EMB 38012', 'Aoste (Isère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jambon sec traditionnel,['Lait'],,,,,
50,Petits veggies légumes petit pois pois chiche,4062300410244,,,,,,['France'],[],[],,?,,50,,"0,4",,"7,7",,"2,3",,209 kj(50 kcal),0,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chorizo - César Moroni - 0.4kg,3181454660921,0.4 kg,,['César Moroni'],,,['France'],"['Viande et gras de porc ', 'origine: UE', ""piments rouges d'Espagne 3,7% "", 'Pimentón de Murcia DOP et Pimentón de la Vera DOP', 'LACTOSE', 'sel', 'piment de cayenne', 'plantes aromatiques', 'sucre', 'dextrose', 'conservateurs: ascorbate de sodium', 'nitrate de potassium et nitrite de sodium', 'ferments', ' Boyau naturel de porc', ' 120g de viande utilisés pour la préparation de 100g de produit fini']","['Non végétalien', 'Non végétarien']",4,2059,,498,,46,,3,,18,,2059 kj(498 kcal),18,"2,5","3,6","1,44","['EMB 81144', ""Lescure-d'Albigeois (Tarn, France)"", 'FR 81.144.022 CE', ""Lescure-d'Albigeois (Tarn, France)""]",,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Chorizo,['Lait'],,,,,
52,Croutons ail et persil,2227649013972,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Spécialité de salaison sèche espagnole - Justin Bridou - 0.34kg,3449865292224,0.34 kg,,['Justin Bridou'],,,['France'],"['Viande et gras de porc ', 'origine U', 'E', 'poudre de lait écrémé', 'sel', 'sucre', 'épices', 'dextrose', 'antioxydant : ascorbate de sodium', 'conservateurs : nitrate de potassium', 'nitrite de sodium', 'ferments', ' Boyau naturel de porc', ' 154 g de viande utilisés pour la préparation de 100g de produit fini']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1805,,435,,35,,3,,27,,1805 kj(435 kcal),12,2,4,"1,6",,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,Spécialité de salaison sèche espagnole,['Lait'],,,,,
54,Intrecciati,8032758702891,,,,,,['France'],[],[],,?,,378,,4,,81,,"1,3",,1582 kj(378 kcal),"1,9","5,9","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mélange Brazilian Mix,2600282012869,,,,,,['France'],[],[],,?,,522,,31,,45,,13,,2184 kj(522 kcal),"6,6","5,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bonbon,6921299762049,,,,,,['France'],[],[],,?,,12,,8,,20,,3,,50 kj(12 kcal),1,15,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Melange Manhattan,2600713051238,,,,,,['France'],[],[],,?,,504,,34,,19,,19,,2109 kj(504 kcal),"4,3","6,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fèves edamamé,3255691008713,,"['Capsule en métal', 'Bocal en verre']",,,,['France'],[],[],,?,,59,,"2,45",,"2,3",,"4,03",,247 kj(59 kcal),"0,4","0,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tortilla de blé,7898957617555,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",,['France'],[],[],,?,,332,+6%,"8,2",+17%,55,+6%,"9,25",+10%,1389 kj(332 kcal),"3,25","1,25","1,3","0,52",,,B,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,,,8.2 g,en quantité modérée,3.25 g,en quantité modérée,1.25 g,en faible quantité,1.3 g,en quantité modérée,+6%,+107%,-39%,-2%,-2%,12,+110%,D,+110%,,,,,,,
60,Tartinade patate douce piment d’espelette,3770007341891,,,,,,['France'],[],[],,?,,190,,10,,19,,"4,1",,795 kj(190 kcal),"1,4","5,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Le matinal ( 10948),0200459013051,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Linguine IGP, épinards à la crème et au vin blanc",3701456312446,,,,,,['France'],[],[],,?,,158,,8,,15,,6,,661 kj(158 kcal),5,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chocotogo,4992641575008,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Panzetta corse fumee mcx s/v.,2642849035881,,,,,,['France'],[],[],,?,,426,,34,,34,,21,,1782 kj(426 kcal),"12,9",21,"7,61","3,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,crepes fourrage à la fraise,3222477533332,,,,,,['France'],[],[],,?,,347,,"6,2",,68,,"4,2",,1452 kj(347 kcal),"3,1",38,"0,63","0,252",,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Pasteque,8437017794035,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Haribo Vrolijke Drop Zacht Zoet,4001686225516,,,,,,['France'],[],[],,?,,348,,"0,5",,83,,4,,1456 kj(348 kcal),"0,1",54,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Energie,7061287065956,,,,,,['France'],[],[],,?,,1,,0,,"0,2",,"0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Road Trip a Mexico,3456300014518,,,,,,['France'],[],[],,?,,350,,"4,4",,"59,8",,"13,2",,1464 kj(350 kcal),"0,7","3,4","1,5","0,6",,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Banane poire mangue,3257987269723,,['Etui en carton'],,,,['France'],[],[],,?,,320,,"2,2",,17,,"0,8",,1339 kj(320 kcal),"0,1",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Biscuit Becassine,3017760741491,,,,,,['France'],[],[],,?,,510,,26,,60,,"5,8",,2134 kj(510 kcal),15,27,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,graines de chia - markal,329488732508,,,['Markal'],,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Cold infusion lemon, lime and nint",5900396031204,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Portion meule de Savoie BIO,2630301030703,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
