,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,brand,categories,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,ingredients_origins,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,labels,palm_ingredients
1042,Black Pepper Whole 400G (pfefferkörner) TRS,5017689038441,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Pesto Verde,03707968,['France'],[],[],?,312,1305 kj(312 kcal),30,"3,9","5,3","2,5","3,7","1,6","0,64",,,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,,,30 g,en quantité élevée,3.9 g,en quantité modérée,2.5 g,en faible quantité,1.6 g,en quantité élevée,,-31%,-30%,-32%,-40%,-10%,+9%,-22%,-35%,-35%,13,-33%,D,-33%,C,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,
1044,Confiture extra Airelle,3331100001183,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],
1045,"Velouté pois cassés, carottes et oignons",3580282264910,['France'],[],[],?,47,197 kj(47 kcal),"0,7","0,4","7,1","0,5","2,1","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Gyoza crevettes 7 pièces,3760291421935,['France'],[],[],?,135,565 kj(135 kcal),"2,4","0,4",22,"3,9","5,1","1,2","0,48",,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais', 'Gyosas aux crevettes']",,,,,,2.4 g,en faible quantité,0.4 g,en faible quantité,3.9 g,en faible quantité,1.2 g,en quantité modérée,,-15%,-18%,-49%,-54%,-5%,+43%,-29%,+10%,+10%,3,+66%,C,+66%,,,,,,,,,,,,,
1047,Baie de Goji seches,2600328018305,['France'],[],[],?,317,1326 kj(317 kcal),"2,7","0,3","53,9","53,1",13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Saucisses fumé Osobsja,4036117031008,['France'],[],[],?,214,895 kj(214 kcal),17,"6,7","0,9","0,9",16,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Amino 8500,5902444701039,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Crème dessert cacao,0602561841896,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Jambon de Paris,3560071263065,['France'],[],[],?,107,448 kj(107 kcal),3,"1,5",2,2,18,2,"0,8",,,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,,3 g,en quantité modérée,1.5 g,en quantité modérée,2 g,en faible quantité,2 g,en quantité élevée,,-19%,-18%,-38%,-18%,+199%,+236%,-15%,+7%,+7%,5,-29%,C,-29%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['Nutriscore', 'Nutriscore C']",
1052,M&S iced&spiced fruit bun,29074822,['France'],[],[],?,318,1331 kj(318 kcal),5,"2,3","61,9","37,1","5,3","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Fèves d’haricot avec saveur de crabe,6940188803595,['France'],[],[],?,515,2155 kj(515 kcal),30,13,47,12,16,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Poulet au thym et chou-fleur fondant,0748367063343,['France'],[],[],?,119,498 kj(119 kcal),7,3,2,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Barbe a papa,3662572108019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Cebolla Frita,8436007952585,['France'],[],[],?,58.8,246 kj(58 kcal),"3,66","0,47","4,3","3,35","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Champagne,3760197915026,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,
1058,Fruit sec,3760048335317,['France'],[],[],?,405,1695 kj(405 kcal),17,4,29,"4,4",25,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,"Davert Quinoa Mix Hirse & Buchweizen, 250 G",4019339163047,['France'],[],[],?,359,1502 kj(359 kcal),"4,8","0,8",68,"2,9",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Crème de vinaigre - Ciro,3760014294167,['France'],[],[],?,188,787 kj(188 kcal),"0,01",0,"44,7","37,21","0,13","0,14","0,056",,,['Bouteille'],['Ciro'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,,,,,0.01 g,en faible quantité,0 g,en faible quantité,37.2 g,en quantité élevée,0.14 g,en faible quantité,,-11%,-11%,-75%,-100%,-10%,-11%,-80%,+10%,+10%,10,-8%,C,-8%,,,,,,,,,,,,,
1061,Bar sauvage aux citrons rôtis,3770000648829,['France'],[],[],?,201,841 kj(201 kcal),15,"9,3","5,2","3,2",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,"Linzer Stangerl, Mit Zartbitterschokolade",9006459313242,"['Autriche', 'France']",[],[],?,461,1929 kj(461 kcal),25,13,54,25,"4,6","0,17","0,068",,,"['stück', 'stück']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,"Fetta Cheese, (reduced Fat)",9316389000342,['France'],[],[],?,263,1100 kj(263 kcal),16,"11,3",0,0,"23,9",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Formule Relax,8437017545088,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Farine de Blés T55,3760235210014,['France'],[],[],?,322,1347 kj(322 kcal),2,"0,26",64,"1,89",12,0,0,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,2 g,en faible quantité,0.26 g,en faible quantité,1.89 g,en faible quantité,0 g,en faible quantité,,-6%,-6%,+49%,+11%,-8%,+24%,+10%,-100%,-100%,-1,,A,,B,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,"['Bio', 'Bio européen', 'FR-BIO-10']",
1066,Belgian chocolate & hazelnut - Häagen-Dazs,3415587167713,['France'],[],[],?,315,1318 kj(315 kcal),"20,1","10,6","28,1","26,9","4,5","0,1","0,04",,,,['Häagen-Dazs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Yaourt de brebis crème de châtaigne - Naturalia,3700036907096,['France'],[],[],?,107,448 kj(107 kcal),"2,8",2,15,13,"4,6",,,,,,['Naturalia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,,,,,2.8 g,en faible quantité,2 g,en quantité modérée,13 g,en quantité élevée,,,,+2%,+2%,-45%,-40%,+58%,+61%,-5%,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",
1068,Surimi shrimps,4740056072038,['France'],[],[],?,5,21 kj(5 kcal),"6,5",0,21,3,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Pieds et paquets sisteronnais,0204999088555,['France'],[],[],?,121,506 kj(121 kcal),"6,4","2,2","1,8","0,9",14,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Cantal jeune au lait cru aop,0285209015745,['France'],[],[],?,372,1556 kj(372 kcal),30,22,"1,5",0,24,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
