,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
632,3600550456035,3600550456035,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Curcuma piperine - Arkopharma,3401560212662,,['France'],[],[],?,?,?,?,?,,,,,,,['Arkopharma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Mini choux à la creme - Eldorado,7035620018541,,['France'],[],[],?,305,"23,4","18,5",5,,1276 kj(305 kcal),"16,9","12,1","0,05","0,02",['Eldorado'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Saumon Atlantique Fumé - U,3256227762710,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09', 'AB Agriculture Biologique']",['France'],[],[],?,209,13,"0,5",21,,874 kj(209 kcal),"2,7","0,5","2,8","1,12",['U'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",,+11%,+20%,-6%,-5%,,D,,,,,,,13 g,en quantité modérée,2.7 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,+11%,+26%,+47%,0%,0%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
636,Émincé de poulet saveur barbecue - Auchan - 150g (2x 75g),3596710476145,"['Nutriscore', 'Nutriscore D']",['France'],"['Viande de cuisses de poulet', 'eau', 'sucre', 'sel', 'arôme ', 'dont arôme de fumée', 'poudre de tomate', 'extrait de levure ', 'extrait de levure', 'sel', 'huile de tournesol', ' dextrose de blé', ""poudre d'oignon"", ""poudre d'ail"", 'sucre caramélisé ', 'sirop de sucre caramélisé', 'maltodextrine de pomme de terre', ' épices ', 'cayenne', 'gingembre', ""extraits d'épices paprika"", 'poivre noir', 'huile de tournesol', 'protéines de soja', 'acidifiants lactate de potassium lactate de calcium', 'acétate de sodium', 'gélifiant : carraghénanes']","['Non végétalien', 'Non végétarien']",802,192,"8,4","3,8",24,150 g (2 x 75 g),802 kj(192 kcal),"2,2","0,3","1,9","0,76",['Auchan'],"['Viandes', 'Emincés', 'Viande de poulet']",,,+8%,+144%,+25%,"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']",,"['Plastique', 'Frais']",,,,['Auchan'],4,8.4 g,en quantité modérée,2.2 g,en quantité modérée,0.3 g,en faible quantité,1.9 g,en quantité élevée,+18%,-6%,-47%,+76%,+76%,12,+177%,D,+177%,,,,,,,,"['E262i - Acétate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,Émincé de poulet saveur barbecue,,,,
637,Manteiga de Amendoim Calve,8711200482429,,['France'],[],[],?,631,53,14,21,,2640 kj(631 kcal),"8,1","9,4","0,49","0,196",['Calvé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,+5%,+10%,-3%,-15%,,C,,,,,,,53 g,en quantité élevée,8.1 g,en quantité élevée,9.4 g,en quantité modérée,0.49 g,en quantité modérée,+6%,-2%,+48%,-8%,-8%,19,+73%,E,+73%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,
638,Happy-Cola Pik - Haribo,3103220046173,,['France'],[],[],?,335,"0,5",76,"5,6",,1402 kj(335 kcal),"0,1",47,"0,18","0,072",['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Pizza pecheur - Sole Mio - 440g,3273640000656,,['France'],[],[],?,231,9,"24,8","10,5",440 g,967 kj(231 kcal),"3,6","6,3","0,97","0,388",['Sole Mio'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,+1%,+8%,-8%,+2%,,,,,,,,,9 g,en quantité modérée,3.6 g,en quantité modérée,6.3 g,en quantité modérée,0.97 g,en quantité modérée,+1%,-8%,+114%,-22%,-22%,5,-36%,C,-36%,,,,,,,,,,,,,,
640,TRU-LEM,6001324092041,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Bock Würstchen - Gut & Günstig,4311596442034,,['France'],[],[],?,885,21,"0,6","11,5",,3703 kj(885 kcal),"8,3","0,4",2,"0,8",['Gut & Günstig'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Saucisses de Francfort']",,+246%,-3%,-47%,-18%,,E,,,,,,,21 g,en quantité élevée,8.3 g,en quantité élevée,0.4 g,en faible quantité,2 g,en quantité élevée,+243%,+3%,-45%,+2%,+2%,26,+41%,E,+41%,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,,,,,,,
