,name,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,allergens,link,traceability_code,palm_ingredients,bar_code,brand_owner
1609,Ktipiti - Deluxe - 200g,,,200g,,['Deluxe'],"['Produits à tartiner', 'Produits à tartiner salés', 'Ktipiti']",,,,['Lidl'],['France'],"['76% fromage frais à } ', 'lait', '15% poivrons marinés ', '11% poivrons miel', 'acidifiant : acide citrique', ""5% poivron rouge,'l t"", ' Tc', 'oigan', 'romarin', 'thym', 'ail en poudre', 'épaissisvt: xanthane', 'consenateur : sorbate de potassium', 'de céréales contenant du gluten', 'de crustacés t??ufs', 'de poissons', 'de soja', 'de céleri', 'de moutatdeÉi I', ' gaines de sésame', 'de lupin et de mollusques', ' entre OOC et +40C', "" Non ouvert à ls,u'au : sur le couvercle""]","['Non végétalien', 'Non végétarien']",4,?,,56,-63%,"3,2",-72%,"0,3",-90%,5,+2%,"4,3",+5%,"1,5",-71%,"0,89",-1%,"0,356",-1%,,,,,,,,3.2 g,en quantité modérée,0.3 g,en faible quantité,4.3 g,en faible quantité,0.89 g,en quantité modérée,234 kj(56 kcal),-63%,3,-49%,C,-49%,"['E330 - Acide citrique', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Céleri', 'Poisson', 'Gluten', 'Lupin', 'Lait', 'Mollusques', 'Soja']",,,,20682194,
1610,Sauce oseille - Coop,,,,,['Coop'],"['Epicerie', 'Sauces', ""Sauces à l'oseille""]",,,,,['France'],[],[],,?,,81,-28%,"6,1",-43%,"3,2",-47%,"5,7",+28%,1,-14%,"0,9",-8%,"1,11",-3%,"0,444",-3%,,,,,,,,6.1 g,en quantité modérée,3.2 g,en quantité modérée,1 g,en faible quantité,1.11 g,en quantité modérée,339 kj(81 kcal),-29%,8,-28%,C,-28%,,,,,,20682439,
1611,Tarte Pommes Rhubarbe - Les surgelés,,,,"['surgelé', 'Carton', 'boîte']",['Les surgelés'],"['Surgelés', 'Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes sucrées', 'Pizzas et tartes surgelées', 'Tartes salées surgelées']",,,,,['France'],"['17 % cubes de pomme', '17 % cubes de rhubarbe', 'farine de blé', 'sucre', 'œufs entiers', 'eau', '6,8 % beurre ', 'lait', ' pâtissier', 'lait écrémé reconstitué ', ' amidon modifié de pomme de terre', 'sirop de glucose', 'sucre en grains', 'amidon de blé', 'arôme vanille', 'poudre à lever : diphosphates', 'carbonates de sodium ', ' sel', 'gélifiant : pectine ', ' acidifiant : acide citrique']",['Non végétalien'],4,?,,242,+3%,"9,5",-25%,"5,8",-11%,"34,8",+60%,"19,3",+521%,"3,5",-50%,"0,28",-71%,"0,112",-71%,,,,,,,,9.5 g,en quantité modérée,5.8 g,en quantité élevée,19.3 g,en quantité élevée,0.28 g,en faible quantité,1013 kj(242 kcal),+4%,13,+25%,D,+25%,"['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait']",,,,20682460,
1612,Mexican Style Yogurt Papaya & Lime - 150g,,,150 g,,,,,,,,['France'],[],[],,?,,119,,"3,8",,"2,4",,"16,6",,"16,3",,4,,"0,15",,"0,06",,,,,,,,,,,,,,,,,498 kj(119 kcal),,,,,,,,,,,20682781,
1613,Sucre de vanilline - Belbake - 125g,B,,125 g,,['Belbake'],"['Édulcorants', 'Sucres', 'Sucres vanillés']",,,,['Lidl'],['France'],"['sucre', 'arôme: vanilline', ' Agiter avant Il emploi']",[],4,?,,396,0%,0,-100%,0,-100%,99,+0%,99,+2%,0,-100%,0,-100%,0,-100%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,0 g,en faible quantité,0 g,en faible quantité,99 g,en quantité élevée,0 g,en faible quantité,1657 kj(396 kcal),-1%,14,-3%,D,-3%,,,,,,20683139,
1614,Sucre roux en morceaux,,,,,,,,,,,['France'],[],[],,?,,400,,0,,0,,100,,100,,0,,,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),,,,,,,,,,,20684273,
1615,Muffins - Connell Bakery,,,,,['Connell Bakery'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,,,,['France'],"['6 family muffins flour ', 'wheat flour', 'calcium', 'iron', 'nnater', 'yeast', 'sugar', 'salt', 'emulsifiers: mono - and acids', 'diacetyl tartaric acid esters of mono - and oils ', 'palm', 'advlce: for allergens', 'including cerea', 's containing gluten', 'see ingredients in bold,']",['Huile de palme'],4,?,,271,-32%,"3,6",-82%,"0,5",-87%,"52,6",+8%,"6,8",-75%,"8,7",+68%,1,+35%,"0,4",+35%,,,,,,,,3.6 g,en quantité modérée,0.5 g,en faible quantité,6.8 g,en quantité modérée,1 g,en quantité modérée,1134 kj(271 kcal),-32%,0,-100%,B,-100%,,['Gluten'],,,,20688134,
1616,Glacé Cherries - 100g,,,100 g,['Bag'],,,,,,,"['France', 'Italie']",[],[],,?,,314,,0,,0,,78,,70,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,1314 kj(314 kcal),,,,,,,,,,,20688998,
1617,Brassé à la vanille - Milbona - 1kg (8x 125g),,"Yaourt brassé au lait entier, sucré, avec arôme naturel de vanille",1 kg (8 x 125 g),"['Carton', 'Pots', 'Plastique']",['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts sucrés', 'Yaourts vanille', 'Yaourts entiers']",,,,['Lidl'],['France'],"['82,6 % lait entier', '9,5 % sucre', 'eau', 'lactose et protéines de lait', 'amidon modifié de maïs', 'arôme naturel de vanille', 'épaississants : pectines', 'gomme guar', ""correcteur d'acidité : acide citrique"", 'citrates de sodium', 'citrates de calcium', 'grains de vanille épuisée', 'ferments lactiques ', 'lait', 'colorant : riboflavine', ' Décor : grains de vanille épuisée']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,377,+0%,?,,3,-15%,"1,9",-16%,"12,8",+8%,"12,5",+13%,"2,9",-24%,"0,11",+2%,"0,044",+2%,,,,,,,,3 g,en quantité modérée,1.9 g,en quantité modérée,12.5 g,en quantité modérée,0.11 g,en faible quantité,377 kj(90 kcal),-7%,3,+12%,C,+12%,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E333 - Citrates de calcium', 'E101i - Riboflavine']",['Lait'],,"['FR 53.054.005 CE', 'Changé (Mayenne, France)']",,20689025,
1618,"ENCAS Spécialié laitière sucrée, avec 10%de préparation à la framboise, 7% de crème et arôme naturel. - MILBONA - 150g",,Yaourt aux fruits,150 g,"['Pot plastique', 'Opercule aluminium']",['MILBONA'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,"['France', 'LNUF. MDD - ZA Les Placis 35230 BOURGBARRE']","['Lidll', 'Lidl']",['France'],"['72 % lait écrémé', '10% framboise ', 'morceaux et purée', '7,8% sucre', '7% crème ', 'lait', 'amidon modifié de maïs', 'lactose et protéines de lait', 'arôme naturel', 'concentrè de végétaux à pouvoir colorant', 'épaississants : pectines', 'gomme guar', 'carraghénanes', "" correcteur d'acidité : citrates de sodium"", ' ferments lactiques ', 'lait', 'jus de citron concentré']",['Non végétalien'],4,394,+7%,?,,"2,3",-30%,"1,5",-27%,"11,6",+5%,11,+9%,"6,2",+64%,"0,11",-4%,"0,044",-4%,,,,,,,,2.3 g,en faible quantité,1.5 g,en quantité modérée,11 g,en quantité modérée,0.11 g,en faible quantité,394 kj(94 kcal),+3%,1,-67%,B,-67%,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],,"['EMB 14366', 'Lisieux (Calvados, France)', 'FR 14.366.001 CE', 'Lisieux (Calvados, France)']",,20689063,
