,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,labels,traceability_code,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,additives,allergens,nova_score,markets,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail
1072,Hure de langue pistachee,2241489018171,['France'],[],[],?,259,1084 kj(259 kcal),21,"7,2","0,7","0,5",16,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,2 Escalopes de Dinde,0217291018243,['France'],[],[],?,137,573 kj(137 kcal),"5,9","1,4",20,0,20,"0,19","0,076",,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+13%,+347%,+560%,-13%,,,D,5.9 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,+14%,+247%,-100%,-66%,-66%,-3,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
1074,8715342034980,8715342034980,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Saucisson Cuit Courbe,3760039216564,['France'],[],[],?,236,987 kj(236 kcal),"19,3",8,"1,8","1,8","13,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Comté au lait cru,2860350020206,['France'],[],[],?,410,1715 kj(410 kcal),34,22,"0,5","0,5",26,"0,8","0,32",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-2%,-2%,+8%,-3%,,,D,34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,-2%,-3%,+87%,-5%,-5%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
1077,Das curtido kimchi,0750258305500,['France'],[],[],?,25,105 kj(25 kcal),"0,2","0,1","3,6","0,1","1,3","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Jambon cuit supérieur,2693280037729,['France'],[],[],?,171,715 kj(171 kcal),10,"2,4","0,6","0,6",20,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Saucisson de l'Ardèche,2368911712060,['France'],[],[],?,423,1770 kj(423 kcal),33,13,2,2,30,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Extravergine di oliva,8028632302011,['France'],[],[],?,824,3448 kj(824 kcal),"91,6",15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Cristallina Max G 240,80051084,['France'],[],[],?,149,623 kj(149 kcal),0,0,0,0,0,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Miel de Montpellier,3760139810518,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,köpük helva,8697950291484,['France'],[],[],?,1000,4184 kj(1000 kcal),2,1,50,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Confiture traditionnelle,3297772999077,['France'],[],[],?,235,983 kj(235 kcal),"0,8","0,01","57,1","50,5","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Mastri biscottal,8026424111148,['France'],[],[],?,540,2259 kj(540 kcal),35,19,45,22,"8,7","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Farine de blé,03739655,['France'],[],[],?,342,1431 kj(342 kcal),"1,3","0,2","68,9","1,1","11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Poulet fumé,0256828047035,['France'],[],[],?,200,837 kj(200 kcal),12,"3,4","0,5","0,5",23,"0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Moutarde mi-forte au miel,9900000043773,['France'],[],[],?,155,649 kj(155 kcal),"8,9","0,6","12,3","10,2","6,4","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Carottes râpée assaisonnees,0219030020142,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Puree De Papaye (330 GR),8018699014309,['France'],[],[],?,127,531 kj(127 kcal),"0,5","0,1",30,24,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Acqua Minerale Naturale Frizzante - Conad,8003170016408,['France'],[],[],?,?,,?,,?,,?,0,0,,,['Conad'],['it:Acqua Minerale Naturale Frizzante'],,,,,,,,,,,,,,,0 g,en faible quantité,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Pain aux fruits secs - Biocoop,0207338025716,['France'],[],[],?,?,,?,,?,,?,,,,,['Biocoop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,7610053865186,7610053865186,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Chiffonade de Jambon Serrano,2256211817359,['France'],[],[],?,212,887 kj(212 kcal),"3,9","1,1","0,6","0,5","5,1","9,3","3,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Marsipan,7090017541712,['France'],[],[],?,304,1272 kj(304 kcal),20,"1,6",28,"3,1","8,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Terrine beauj’ano,3551820000079,['France'],[],[],?,314,1314 kj(314 kcal),29,11,"0,9","0,4",13,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Biscuits,3770012929060,['France'],[],[],?,513.3,2148 kj(513 kcal),"28,5","18,7","53,1","19,1","8,3","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Le Canelé Nomade,3760070341980,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Vermicelle Large De Patate Douce,6948079800036,['France'],[],[],?,1293,5410 kj(1293 kcal),0,0,10,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Chocolat Lait Bio,3770016166003,['France'],[],[],?,588,2460 kj(588 kcal),"40,2","24,2","47,9","46,7","7,7","0,25","0,1",,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Boudin blanc creole,0210550021527,['France'],[],[],?,159,665 kj(159 kcal),"9,1","1,1",16,"1,7","2,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Fuet catalan,2411235022305,['France'],[],[],?,562,2351 kj(562 kcal),50,18,3,2,25,"4,5","1,8",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses espagnoles', 'Fouets catalans', 'Fuet Catalan']",,+25%,+39%,-10%,-8%,,,,50 g,en quantité élevée,18 g,en quantité élevée,2 g,en faible quantité,4.5 g,en quantité élevée,+25%,+38%,-9%,+11%,+11%,27,+8%,E,+8%,,,,,,,,,,,,,,,,,,
1103,Rumsteck,0203088021060,['France'],[],[],?,118,494 kj(118 kcal),2,0,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Râpé 3 fromage les croisés - 20,3564700452790,['France'],[],[],?,?,,?,,?,,?,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Viennois crudités oeufs - 2,3367700001285,['France'],[],[],?,?,,?,,?,,?,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Viennois créole porc gros piment,3367700001261,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,baconf fumé au bois de hêtre AB - bonneterre - 10tranches,3396410242084,['France'],"['Valeurs nutritionrelles moyennes pour 100g :Energie: 582 kj /138kcalmatière grasse: 5,6g dont acides gras saturés :2,1gglucides:<0,5g dont sucres:<0,5gproteines:22gsel:2', '1g']",[],?,?,,"5,6",,"< 0,5","< 0,5",22,"2,1","0,84",10 tranches,['Plastique'],['Bonneterre'],"['Viandes', 'Charcuteries']",,,-71%,-66%,+18%,['Qualité supérieure'],"['EMB 85059B', 'Châtaigneraie (Vendée, France)']",,5.6 g,en quantité modérée,,,0.5 g,en faible quantité,2.1 g,en quantité élevée,,,-37%,-12%,-12%,,,,,,,,,,,,,,,,['je grand panier bio'],['France'],['Vendée'],,,,
1108,Abricots secs,2609842018303,['France'],[],[],?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,+8%,+3%,+8%,+10%,,,D,0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0 g,en faible quantité,+8%,-67%,+18%,-100%,-100%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,
1109,Beignets fourres au chocolat,0000510013125,['France'],[],[],?,394,1648 kj(394 kcal),19,"2,1",48,19,"6,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Lasagnes au thon,405197907400,['France'],[],[],?,115,481 kj(115 kcal),"3,6","1,6","12,1","2,6","8,1","0,8","0,32",,,,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Lasagnes au thon']",,-17%,-43%,+2%,+19%,,,D,3.6 g,en quantité modérée,1.6 g,en quantité modérée,2.6 g,en faible quantité,0.8 g,en quantité modérée,-16%,-43%,+20%,+7%,+7%,0,-100%,B,-100%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,,,,,,,,,,,
1111,Why isolate,0733739038807,['France'],[],[],?,370,1548 kj(370 kcal),"0,3",0,"1,3","0,3",90,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Vachard de legumes cuisine du sud - 3,3367700022273,['France'],[],[],?,?,,?,,?,,?,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Salade de betterave - 3,3367700022204,['France'],[],[],?,?,,?,,?,,?,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Poulet plein champs,2245333036939,['France'],[],[],?,138,577 kj(138 kcal),"5,7","1,8","1,1",0,20,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Pop Rolls - Intermarché,3250392968472,['France'],[],[],?,455,1904 kj(455 kcal),"23,1","4,8","55,3","35,2","5,2","0,35","0,14",,,"['Intermarché', 'Chabrior']",,,,,,,"['Sans arômes artificiels', 'Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Fındık ezmesi,8690982012263,['France'],[],[],?,591,2473 kj(591 kcal),"42,5","3,3","38,3","31,8","10,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Chocolatine pur beurre,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Farce à légumes,4056489360971,['France'],[],[],?,269,1125 kj(269 kcal),23,"8,8","1,4",1,14,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Vainillina,8410721424658,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,"Thé noir aromatisé ""merci""",3662051009608,['France'],[],[],?,25,105 kj(25 kcal),0,0,0,0,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Confiture fraise gourmande,3469670510023,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,OVO juste le blanc,3770018616001,['France'],[],[],?,43,180 kj(43 kcal),"0,5","0,1","0,5","0,5","10,8","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Filet poulet fermier jaune bio,0211994046572,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Unicorn balls,8410525238048,['France'],[],[],?,380,1590 kj(380 kcal),0,0,95,80,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Pate a tartiner qu caramel beurre salee,3770014600295,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Protéines de chanvre - Alter Nutrition,0111111700182,['France'],[],[],?,?,,?,,?,,?,,,,,['Alter Nutrition'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,9103152924314,9103152924314,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Levure boulangère,3274371006009,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Additifs alimentaires', 'Levures de boulanger']",,,,,,,,C,,,,,,,,,,,,,,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,,,
1129,Soufflé au citron & yusu,96732399418,['France'],[],[],?,193,808 kj(193 kcal),"8,6","4,3","23,3","17,5","5,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Thé Oasis au CBD,3760335670039,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,"Barre de fruits Pomme, Orange, Carotte",3760250173738,['France'],[],[],?,313,1310 kj(313 kcal),"0,9","0,1",68,68,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Pure farine de Chanvre biologique,3770016399050,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Artichaut Extrait De Plante Fraîche - 50 ML - Ladrôme,3486330011379,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
