,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,labels,traceability_code,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,additives,allergens,nova_score,markets,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail
0,Napolitains au chocolat,3514280139420,['France'],[],[],?,570,2385 kj(570 kcal),"40,6","24,5","40,1","37,9","6,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pâte (Escargots),3701128702070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Salade pêcheur maison,0202506020791,['France'],[],[],?,190,795 kj(190 kcal),14,"1,2",11,1,"3,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tablette de chocolat,4043651158993,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cold brew,032310,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,1","0,9","0,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Champagne LANSON black label brut - 75cl,3029440007780,['France'],[],[],?,?,,?,,?,,?,,,75 cl,['Verre'],['LANSON'],"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L'ickabog,9782075150552,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Persil flocon,3760177741799,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Galette frangipane,0207032045591,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cranberries sechees en moities,2600298017780,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tarte au Citron de Sicile,0206063031498,['France'],[],[],?,354,1481 kj(354 kcal),16,"9,3",47,33,"5,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pains aux raisins,0000158011156,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Riz Pour Risotto Carnaroli Bio,5033742000712,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Baies de Goji sechées,2609844035292,['France'],[],[],?,317,1326 kj(317 kcal),"2,7","0,3","53,9","53,1",13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mélange pour bruschetta,8713056175098,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Foies de volaille,0226015021452,['France'],[],[],?,115,481 kj(115 kcal),"4,4","1,6","1,3","0,7",22,"0,28","0,112",,['Film en plastique'],,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Caramel café Dolce Gusto,5902480017057,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Poulet extra tendre,2276746045065,['France'],[],[],?,95,397 kj(95 kcal),"0,6",0,"1,2",0,21,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sfoglia per lasagne all'uova,8005297008878,['France'],[],[],?,376,1573 kj(376 kcal),"4,1","2,3",81,0,"3,6","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Curry doux,3102870027310,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Compote - Lidl,4056489314868,['France'],[],[],?,52,218 kj(52 kcal),"0,5","0,1","10,3","9,2","0,8",0,0,,,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Biscuits reine des neiges,5425019202057,['France'],[],[],?,443,1854 kj(443 kcal),18,"4,7",62,19,"6,5","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Huile de tournesol,8423243009951,['France'],[],[],?,900,3766 kj(900 kcal),100,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Hot chocolate flavour stirrers,1000031417005,['France'],[],[],?,525,2197 kj(525 kcal),31,28,60,55,5,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tablette de fruits à la noix de coco,3770006576027,['France'],[],[],?,617,2582 kj(617 kcal),"46,7","32,5","45,7","31,9","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tarte aux pommes,3497390001019,['France'],[],[],?,355,1485 kj(355 kcal),16,"1,9",49,25,"3,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10133484,10133484,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2871744018761,2871744018761,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,"['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Filet de truite,2869804025194,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Mélange Spécial Poisson, 40 Grammes, Marque Ducros",3166290200838,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Galette frangipane,3199213269360,['France'],[],[],?,1259,5268 kj(1259 kcal),19,"7,3",30,19,"3,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Saveurs des terroirs mirabelle,2160117980836,['France'],[],[],?,4,17 kj(4 kcal),"0,5","0,1",12,11,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Filets de poulet nourris au grain de blé,0215067057465,['France'],[],[],?,113,473 kj(113 kcal),"2,3","2,3",0,0,23,"0,11","0,044",,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-14%,-20%,-100%,+1%,"['Nutriscore', 'Nutriscore A']",,D,2.3 g,en faible quantité,2.3 g,en quantité modérée,0 g,en faible quantité,0.11 g,en faible quantité,-13%,+208%,-100%,-85%,-85%,-2,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
33,Galette saucisse,3760080261278,['France'],[],[],?,226,946 kj(226 kcal),"12,1","4,8","15,7","1,1","12,3","1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tartelettes chocolat caramel,3178530496451,['France'],[],[],?,490,2050 kj(490 kcal),22,14,66,41,"6,1","0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,La caillette des rois - Gueze,2402122040731,['France'],[],[],?,231,967 kj(231 kcal),"16,5","6,4","8,5","2,5","13,6","2,7","1,08",,,['Gueze'],['Caillettes'],,-11%,-19%,+56%,+1%,,,,16.5 g,en quantité modérée,6.4 g,en quantité élevée,2.5 g,en faible quantité,2.7 g,en quantité élevée,-11%,-18%,+58%,+24%,+24%,18,-4%,D,-4%,,,,,,,,,,,,,,,,,,
36,Farine de riz complet - 1kg,3520831630681,['France'],[],[],?,357,1494 kj(357 kcal),"2,5","0,46","73,9","0,9",8,"0,13","0,052",1 kg,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de riz']",,+1%,+44%,-4%,+17%,,,C,2.5 g,en faible quantité,0.46 g,en faible quantité,0.9 g,en faible quantité,0.13 g,en faible quantité,+1%,+6%,+66%,+992%,+992%,0,,B,,79.1%,0.8%,5.1%,13.0%,2.0%,0.0%,66,,,,,,,,,,,
37,PAIN ÉNERGÉTIQUE,0207693013052,['France'],[],[],?,182,761 kj(182 kcal),13,2,"6,9","1,7","9,7","20,3","8,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nature’s creation,7613038032092,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Farine bio,3276555793439,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Shampooing Antipelliculaire,3263855630397,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mini tropezienne,0240253016407,['France'],[],[],?,286,1197 kj(286 kcal),12,"7,4",41,22,"3,8","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,La Tranche Végane Poivre noir,8053853071583,['France'],[],[],?,249,1042 kj(249 kcal),"7,8","2,7",15,"2,8",29,"1,5","0,6",,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Madeleines de liverdun au chocolat au lait -,3383390040199,['France'],[],[],?,365,1527 kj(365 kcal),19,11,42,29,"5,1","0,22","0,088",,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,-18%,-19%,-20%,-11%,,,D,19 g,en quantité modérée,11 g,en quantité élevée,29 g,en quantité élevée,0.22 g,en faible quantité,-18%,+65%,+2%,-71%,-71%,20,+9%,E,+9%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,
44,Sfinx Konfekt,7037710025361,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,truite fumée,0290013045765,['France'],[],[],?,167,699 kj(167 kcal),"8,3","1,6","0,5",0,23,"3,3","1,32",,,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,+2%,+6%,+20%,+2%,,,E,8.3 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,3.3 g,en quantité élevée,+2%,-1%,-100%,+20%,+20%,13,+10%,D,+10%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,
46,Sirop de curcuma,3424242717149,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Lait fermenté à boire - Kokaz,3701002405219,['France'],[],[],?,58,243 kj(58 kcal),3,"1,9","4,4","3,3","3,3","0,1","0,04",,,['Kokaz'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']",,+5%,+32%,-15%,+3%,,,,3 g,en quantité modérée,1.9 g,en quantité modérée,3.3 g,en quantité modérée,0.1 g,en faible quantité,+3%,+36%,-27%,-8%,-8%,13,+14%,E,+14%,,,,,,,,,,,,,,,,,,
48,Complément alimentaire,3701026306776,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Champignons farcis,2689749036730,['France'],[],[],?,?,,?,,?,,?,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cerises - Confiserie gélifiée,2608148019618,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Lunettes Chocolat noir,990530101010432550,['France'],[],[],?,464,1941 kj(464 kcal),24,"9,2",62,"0,3","6,2","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ananas extra sweet,2868501019482,['France'],[],[],?,42,176 kj(42 kcal),"0,5","0,01",9,"7,1","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jambon cuit,2201150055430,['France'],[],[],?,161.6,676 kj(161 kcal),"9,5","1,1","0,9","0,6",0,"0,33","0,132",,,,,,,,,,,"['FR 65.452.001 CE', 'Trie-sur-Baïse (Hautes-Pyrénées, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Halva gourmet marbre,7290013927620,['France'],[],[],?,539,2255 kj(539 kcal),35,8,41,30,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Cuisses de poulet,0215694015029,['France'],[],[],?,180,753 kj(180 kcal),12,"2,9",0,0,18,"0,24","0,096",,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-6%,-3%,-100%,-2%,"['Nutriscore', 'Nutriscore A']",,D,12 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,0.24 g,en faible quantité,-6%,-13%,-100%,-68%,-68%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
56,Tomette de brebis,2480024015552,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Petits pois très fins à l'étuvée -,3030210540635,['France'],[],[],?,0,0 kj(0 kcal),"0,6","0,2","7,6","4,6","5,3","0,53","0,212",,['Couvercle en métal'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,-100%,-13%,-25%,+10%,,,B,0.6 g,en faible quantité,0.2 g,en faible quantité,4.6 g,en faible quantité,0.53 g,en quantité modérée,-100%,+32%,+39%,-5%,-5%,-5,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,,,,,,,,
58,Filet mignon fumé au bois de hêtre,2859740024665,['France'],[],[],?,137,573 kj(137 kcal),"4,5","1,7","0,5",0,24,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,La foie Gras de canard entier du sud-ouest -,3598962099967,['France'],[],[],?,543,2272 kj(543 kcal),"55,6","20,3","2,4","1,1",8,"1,3","0,52",,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foie gras de canard entier cuit']",,+3%,+2%,-1%,+6%,,,B,55.6 g,en quantité élevée,20.3 g,en quantité élevée,1.1 g,en faible quantité,1.3 g,en quantité modérée,+3%,-12%,-19%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,
60,Riz risotto -,15906319,['France'],[],[],?,341,1427 kj(341 kcal),"1,1","0,4",76,"0,1","6,7","0,1","0,04",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de variété japonica', 'Riz pour risotto', 'Riz à grain court', 'Riz arborio']",,-3%,+54%,-3%,-5%,,,C,1.1 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,-3%,+119%,-54%,+1842%,+1842%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,
61,Sauté de pintade sauce écrevisses,3760281770050,['France'],[],[],?,38,159 kj(38 kcal),"6,22","2,55","1,91","0,11","15,97","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mousse de foie forestiere,0211178017787,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pommes de terre,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Arachide wasabi,0207091015870,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Olio extra vergine di Oliva squeeze,76176784,['France'],[],[],?,823,3443 kj(823 kcal),92,13,0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,,,,,D,92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-7%,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
66,Galette,0207506025913,['France'],[],[],?,295,1234 kj(295 kcal),17,12,31,12,"3,6","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Couronne Briochee 8 parts,2648818036088,['France'],[],[],?,9,38 kj(9 kcal),"8,1","5,1",47,"9,2",8,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Farina bramata di granoturco,8001392000502,['France'],[],[],?,361,1510 kj(361 kcal),"1,7","0,3","72,8","1,09","7,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Saucisse de Morteau,2437501048282,['France'],[],[],?,397,1661 kj(397 kcal),"36,6","9,61",1,"0,5",16,"2,6","1,04",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,+25%,+33%,+81%,-5%,,,E,36.6 g,en quantité élevée,9.61 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,+25%,-9%,+30%,+17%,+17%,23,+6%,E,+6%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,
70,saucisse couteau persillée,2282669051953,['France'],[],[],?,161,674 kj(161 kcal),"9,3","3,5","0,5","0,5",19,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pastilles miel et eucalyptus,3503740365707,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Weiss Fidelis Schoko,4003803094500,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,NOFLITER,3770012535087,['France'],[],[],?,21,88 kj(21 kcal),0,0,"3,9","3,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Gâteau de poisson,8801066200029,['France'],[],[],?,165,690 kj(165 kcal),"0,5",0,27,2,13,"1,21","0,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Petit saucisson pur porc fumé,3501140087199,['France'],[],[],?,420,1757 kj(420 kcal),35,14,"1,2","0,5",25,"4,6","1,84",,,,,,,,,,,"['FR 74.042.001 CE', 'Bonneville (Haute-Savoie, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Multi Vitamine,3661505086615,['France'],[],[],?,36,151 kj(36 kcal),"0,1",0,"7,6","7,3","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Enjoy chips baked,8594197510098,['France'],[],[],?,370,1548 kj(370 kcal),"2,6","0,4",79,"3,2","5,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Farine de l’Aveyron,3760219550129,['France'],[],[],?,1437,6012 kj(1437 kcal),"0,7","0,2",69,"1,9",12,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Reines vergnügen,9007220136107,['France'],[],[],?,392,1640 kj(392 kcal),"8,8","5,5","63,7","58,2","7,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ito En Hey Tea Silky Green Tea Containing Dark Brown,4901085163214,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Spécialité Poire et chocolat,3144550018171,['France'],[],[],?,241,1008 kj(241 kcal),"0,9","0,5",57,52,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tandoori roti,8901552013352,['France'],[],[],?,273,1142 kj(273 kcal),"7,8","3,8",42,0,"6,9","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cailles farcies,0215692051951,['France'],[],[],?,204,854 kj(204 kcal),14,"3,6","1,8",0,17,"0,66","0,264",,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,cidre fermier demi sec - les vergers de la passion - 33cl,3760234710300,['France'],['Cidre demi-sec'],[],?,?,,?,,?,,?,,,33 cl,['Verre'],['les vergers de la passion'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres demi-secs']",,,,,,,,C,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,
85,MARLETTE,3770002297629,['France'],[],[],?,360,1506 kj(360 kcal),"1,8","0,3",75,23,9,"0,55","0,22",,,['Marlette'],,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Foie gras de canard entier du Sud-Ouest,3067163650470,['France'],[],[],?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,The wild snack,4260509931076,['France'],[],[],?,515,2155 kj(515 kcal),29,"2,4",54,"1,6","6,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Lentille moong entier,3760184322103,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Yaourt vanille,3770012061128,['France'],[],[],?,95,397 kj(95 kcal),"3,3","2,1",13,13,"3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Terrine au jambon du Périgord,3598964205946,['France'],[],[],?,314,1314 kj(314 kcal),"27,8","10,2","1,6","0,1","14,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Fit-stick chien et chat,4260208740801,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Oignons Blancs,4099200259444,['France'],[],[],?,29,121 kj(29 kcal),"0,1","0,1",0,0,"0,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Lune nuove integrali,8000015003722,['France'],[],[],?,452,1891 kj(452 kcal),"14,6",2,"67,8","25,8","9,4","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Crevettes géantes,4008467051142,['France'],[],[],?,0.3,1 kj(0 kcal),1,"0,3",0,0,17,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mélange kosaki rice,0204032004504,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Parmigiano reggiano - Monoprix Gourmet,2350054112159,['France'],[],[],?,?,,?,,?,,?,,,,,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Thé vert équitable,3456300014020,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Burrata - Monoprix Gourmet,7170784530055,['France'],[],[],?,?,,?,,?,,?,,,,,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,natalis,4260423963702,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Keto bark,0850008751059,['France'],[],[],?,120,502 kj(120 kcal),10,5,15,0,1,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Maoam,4001686511329,['France'],[],[],?,394,1648 kj(394 kcal),"6,4","3,2",84,60,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
