,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
270,Ravioli di verdura verdi,8032770622177,,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,7,,"3,2",,35,,2,,11,,"1,22",,"0,488",,,,,,,,,,,,,,,,,,,,,,,,,
271,Cuisse de canard bio,2448435040471,,,['Bio'],['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,11,,3,,0,,0,,20,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
272,Mélange pour légumineuses - Ducros,3166296300013,,,,['France'],[],[],,,,,,,,,?,,316,,1322 kj(316 kcal),,11,,"1,4",,29,,"7,1",,13,,"0,15",,"0,06",,,,,,,,,,,,,['Ducros'],,,,,,,,,,,,
273,Biscuits morceaux d’orange,0730989030674,,,,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,22,,11,,40,,18,,29,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
274,Courgettes grillées et graines,3700225110986,,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,22,,"1,9",,7,,"4,3",,"3,4",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
275,Sablés aux pépites de choco,3111952021627,,,,['France'],[],[],,,,,,,,,?,,434,,1816 kj(434 kcal),,21,,13,,50,,24,,"8,5",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
276,Minceur 5en1 - Gayelord Hauser,40041131,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Gayelord Hauser'],,,,,,,,,,,,
277,Chaumes,0265320021658,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
278,Mimolette 1/2 vieille,0236450028145,,,,['France'],[],[],,,,,,,,,?,,325,,1360 kj(325 kcal),,25,,18,,1,,1,,25,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
279,Jambon rôti aux herbes,2228508053597,,,,['France'],[],[],,,,,,,,,?,,133,,556 kj(133 kcal),,5,,"1,8",,"0,1",,"0,1",,22,,"2,2",,"0,88",,,,,,,,,,,,,,,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,,,,,,,
280,Filet d'églefin - Auchan - 1kg,2825558028010,,"['Produits de la mer', 'Poissons', 'en:raw-fishes']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Auchan'],,"['FR 62.160.172 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,1kg,,,,,,['Auchan'],,
281,Dos de cabillaud - Auchan - 500gr,2815830081802,,"['Produits de la mer', 'Poissons', 'en:raw-fishes']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Auchan'],,"['FR 62.160.254 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,500gr,,,,,,['Auchan'],,
