,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
0,Escalopes extra fines de dinde,0212693022706,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0.13 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,"1,3",-2%,"0,4",-1%,"0,5",-83%,"0,4",-48%,25,+9%,"0,13",-77%,"0,052",-77%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1,Cordon de volaille - Sélection des comptoirs,3760239183857,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,10,,"2,2",,17,,"0,6",,14,,"1,2",,"0,48",,,,,,,,,,,,,['Sélection des comptoirs'],,,,,,,,,,,,
2,2 filets poulet fermier loué,0217247046702,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Saucisses goût chorizo,3266110801150,,,,['France'],[],[],,,,,,,,,?,,263,,1100 kj(263 kcal),,20,,"7,1",,4,,"2,7",,18,,"1,7",,"0,68",,,,,,,,,,,,,,"['Barquette', 'Film en plastique']","['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,,,,,,
4,Assortiment duo rolls et nigiri,3760253240123,,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,6,,"0,7",,25,,"4,9",,"8,1",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
5,Soft bakes breakfast,59558187,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,14,,"3,2",,60,,20,,"5,9",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,
6,limouzi saveurs,3760268980366,,,,['France'],[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,0,,0,,36,,26,,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rhum passion,3255610048028,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,
8,Les milanaises,0217217031226,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Miche Blanche (Les moulins de Armel),0260003010509,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"1,45",,"0,4",,"53,4",,"1,9",,"9,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
10,8 Frutos,5601227039122,,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,0,,0,,"9,7",,6,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ubel Fiuritu,2231383069997,,,,['France'],[],[],,,,,,,,,?,,313,,1310 kj(313 kcal),,26,,18,,"0,5",,"0,5",,19,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,
12,Purée de céleri cuisinée,3083681074130,,,,['France'],[],[],,,,,,,,,?,,78,,326 kj(78 kcal),,33,,"2,3",,"3,2",,"3,2",,"7,7",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
13,Yaourt Brassé Fraise-Rhubarbe,3770016633024,,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"3,1",,"1,6",,"13,8",,"13,2",,"4,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
14,Roti cuit a l’ancienne,79242592,,,,['France'],[],[],,,,,,,,,?,,190.00955200195,,795 kj(190 kcal),,10,,"3,5",,0,,0,,25,,"5,25",,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,
15,Smileys,8710449914654,,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,"6,7",,"1,1",,"23,6",,"0,6",,"2,1",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
16,Raisin,0208151015090,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sarriegui,8437000757375,,,,['France'],[],[],,,,,,,,,?,,586,,2452 kj(586 kcal),,44,,"4,2",,"38,3",,"0,5",,7,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
18,Allumettes fumées Bio,2443877024010,,,['Bio'],['France'],[],[],,,,,,,,,?,,959,,4012 kj(959 kcal),,17,,"6,7",,0,,0,,19,,"1,8",,"0,72",,,,,,,,,,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,,,,,,,,
19,Apéro avec Huguette poulet colombo courgettes,3760286220314,,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,2,,1,,"2,1",,"1,6",,7,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
20,Farine de lin - Vitaflor,3175681004023,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Vitaflor'],,,,,,,,,,,,
21,Sandwich Fromage et oignon,29063666,,,,['France'],[],[],,,,,,,,,?,,288,,1205 kj(288 kcal),,"18,3",,"6,2",,19,,"1,1",,"8,9",,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,,,,,,,
22,Seitan gourmet original,2550108002430,,,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,"1,5",,"0,2",,6,,"0,4",,18,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
23,Pasticcini do mandorla,8006017101084,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Choux a la creme,0204139016400,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,"2,9",,"2,4",,"3,1",,"2,4",,0,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,
25,Guimauves cricks,2600687022432,,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,19,,13,,61,,51,,4,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,
26,Punch des îles,3289250306590,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Macadamia et Caramel,5600961113297,,,,['France'],[],[],,,,,,,,,?,,221,,925 kj(221 kcal),,11,,"6,6",,26,,26,,"4,5",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,
28,Soybean sticks,3379140164017,,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,"0,6",,0,,63,,"8,6",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Soda mousse,0059749882668,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,0,,0,,31,,31,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fleur de coco,3700829007804,,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,40,,20,,38,,36,,11,,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,,,,,,
31,Strawberry Jam 300G,9311485600137,,,,['France'],[],[],,,,,,,,,?,,275.3333,,1152 kj(275 kcal),,"6,667",,"6,667",,66,,"65,333",,"6,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Perrier ananas,0074780336482,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Perrier'],,,,,,,,,,,,
33,Tubetti rigati - De Cecco,8001250010452,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,['De Cecco'],,,,,,,,,,,,
34,Marie - framboise et chocolat noir,3760300891476,,,,['France'],[],[],,,,,,,,,?,,206,,862 kj(206 kcal),,"3,2",,"2,8",,47,,44,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Scottish Smoked Salmon,5060374373563,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],[],11.3 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,2.7 g,en quantité élevée,?,,174,-6%,728 kj(174 kcal),-6%,"11,3",+8%,0,-100%,"0,1",-80%,"0,1",-70%,"17,8",-19%,"2,7",-4%,"1,08",-4%,12,-8%,D,-8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,
36,Peches - Machandel,8713938004546,,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,16,,16,,"0,5",,,,,,,,,,,,,,,,,['Machandel'],,,,,,,,,,,,
37,Fraise - Maison Francis Miot,3396745003589,,,,['France'],[],[],,,,,,,,,?,,177.10000610352,,741 kj(177 kcal),,"0,5",,"0,1",,42,,42,,"0,5",,,,,,,,,,,,,,,,,['Maison Francis Miot'],,,,,,,,,,,,
38,Chocolat île de ré,3663901005702,,,,['France'],[],[],,,,,,,,,?,,592,,2477 kj(592 kcal),,41,,25,,48,,46,,"6,5",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,
39,Confettura di albicocca,8050046850017,,,,['France'],[],[],,,,,,,,,?,,107,,448 kj(107 kcal),,"0,1",,0,,"27,3",,"27,1",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Poivre de Kampot IGP - Albert Ménès,3234750030810,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Albert Ménès'],,,['Cambodge'],,,,,,,,,
41,5 pains orientaux,0478262018376,,,,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,"0,9",,"0,2",,58,,5,,11,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,
42,Raisin,2664802029263,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fromage de brebis a tartiner,2124009000002,D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
44,Petales de rose,8741720080119,,,,['France'],[],[],,,,,,,,,?,,1222,,5113 kj(1222 kcal),,"0,5",,"0,1",,7,,"0,1",,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,All natural,5365038247021,,,,['France'],[],[],,,,,,,,,?,,62,,259 kj(62 kcal),,"1,8",,"1,1",,"7,5",,"7,5",,"3,7",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
46,Poulpe cuit,2945861006977,,,,['France'],[],[],,,,,,,,,?,,321.89999389648,,1347 kj(321 kcal),,"0,8",,"0,3",,"0,8",,"0,3",,"16,4",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
47,Snickers peanut butter,5056351900617,,,,['France'],[],[],,,,,,,,,?,,12,,50 kj(12 kcal),,47,,"15,2",,"19,1",,"13,6",,"21,8",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
48,Noisette décortiquée,2282657022118,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Manti-turkish Pasta 12X400G - 400g,8690804331411,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"1,7",,"0,7",,7,,"5,4",,"14,2",,"0,9",,"0,36",,,,,,,,,,,,,,,,,400 g,,,,,,,,
50,Gommes sans sucre,5410404341510,,,,['France'],[],[],,,,,,,,,?,,260,,1088 kj(260 kcal),,"0,1",,"0,1",,"72,2",,"0,1",,7,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
51,Pain au chocolat,1900000003454,,,,['France'],[],[],,,,,,,,,?,,453,,1895 kj(453 kcal),,26,,17,,17,,14,,14,,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,
52,Araignée de porc marinee basquaise,2276806019425,,,,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,"11,5",,3,,"1,8",,"0,2",,"13,4",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,
53,Confiture figue violette - Saveurs attitudes,3299430065773,,,,['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,"0,2",,"0,1",,"43,9",,"43,2",,"1,1",,,,,,,,,,,,,,,,,['Saveurs attitudes'],,,,,,,,,,,,
54,Quillo Trufa Blanca,8437015509310,,,,['France'],[],[],,,,,,,,,?,,140,,586 kj(140 kcal),,8,,1,,16,,16,,2,,"0,925",,"0,37",,,,,,,,,,,,,,,,,,,,,,,,,
55,Olivettes enrobées au chocolat,3700662754439,,,,['France'],[],[],,,,,,,,,?,,575,,2406 kj(575 kcal),,44,,"19,9",,"29,8",,"28,8",,"10,06",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
56,Pain d’epices aux eclats de Caramel - Mulot & Petitjean,3760129922849,,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,"3,1",,"1,7",,"72,4",,"38,6",,"5,2",,"0,58",,"0,232",,,,,,,,,,,,,['Mulot & Petitjean'],,,,,,,,,,,,
57,Figues séchées bio de Rijaw,3760034603659,,,['Bio'],['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,"0,87",,"0,35",,"53,7",,"48,7",,"2,99",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,,
58,0858198001633,0858198001633,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Salade aux gambas,3308650422591,,,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,"6,8",,"0,9",,"6,7",,"3,7",,"4,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
60,Cake brioché tomates chorizo,3250392909925,,,"['Nutriscore', 'Nutriscore D']",['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"18,8",,"8,2",,34,,"5,9",,4,,"9,6",,"3,84",,,,,,,,,,,,,,,,,,,,,,,,,
61,Tahini,5201182020014,,,,['France'],[],[],,,,,,,,,?,,664,,2778 kj(664 kcal),,"59,1",,"9,8",,"1,9",,"1,3",,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pate brisée,0250040017388,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes brisées']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,73.5%,10.3%,4.3%,3.2%,1.9%,7.0%,55,,,,,,,,,,,,,
63,Huile vierge de tournesol bio 1ere pression à froid,3700361300036,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Araignée de porc,0261526058252,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,"24,2",,8,,11,,6,,"14,8",,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,
65,Cubes moelleux banane cacao bio,3770014908315,,,['Bio'],['France'],[],[],,,,,,,,,?,,327,,1368 kj(327 kcal),,"8,7",,"5,2",,57,,47,,"5,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
66,NyonsOlive,3261414301122,,,,['France'],[],[],,,,,,,,,?,,313,,1310 kj(313 kcal),,"31,7",,"3,56",,"0,2",,"0,2",,"2,1",,"4,16",,"1,664",,,,,,,,,,,,,,,,,,,,,,,,,
67,Le moelleux,6785533039577,,,,['France'],[],[],,,,,,,,,?,,457,,1912 kj(457 kcal),,26,,23,,49,,25,,"6,1",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,
68,Charcuterie Daniel bernier,74602544,,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"32,4",,"13,8",,"1,8",,"0,5",,16,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
69,Saint nectaire fermier AOP,0200123030704,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-Nectaire fermier']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
70,Boudin aux oignons,2676367029190,,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,20,,"6,8",,1,,1,,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
71,Aiguillette de poulet blanc,0253097019152,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-17%,435 kj(104 kcal),-17%,"1,3",-30%,"0,4",-16%,0,-100%,0,-100%,23,+1%,"0,11",-75%,"0,044",-75%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
72,Mélange tonus,2600285012200,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,28,,"2,5",,26,,24,,25,,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,
73,Mini bouchée duo fromages chèvre - Les Recettes Apéritives - 120g (10bouchées de 12g),3760210774869,B,"['Plats préparés', 'Sandwichs', 'Entrées', 'Canapés']",,['France'],"['Mini-bouchées 54,2% ', 'farine de blé', 'margarine ', 'matière grasse végétale ', 'palme', 'eau', 'sel', 'émulsifiant E471', 'acidifiant : E330', 'colorant : E160a', 'arôme', 'eau', 'sel', 'lait écrémé', 'huile de colza', 'protéines de lait', 'protéines de petits pois', 'lait entier', 'fromage de chèvre 15,7%', 'fromage frais au lait de vache 12,5%', 'crème fraiche épaisse ', 'crème fraîche pasteurisée', 'ferments lactiques', 'crème fraîche pasteurisée', 'échalote', 'arôme ', 'contient lait', 'beurre', 'sel', 'poivre', 'ciboulette']","['Huile de palme', 'Non végétalien']",30 g,en quantité élevée,17 g,en quantité élevée,2.2 g,en faible quantité,1.1 g,en quantité modérée,1723,+44%,414,+52%,1723 kj(414 kcal),+50%,30,+129%,17,+197%,29,0%,"2,2",-58%,"7,3",-14%,"1,1",-15%,"0,44",-15%,18,+78%,D,+78%,59.9%,18.9%,9.2%,6.9%,4.0%,1.1%,87,"['Les Recettes Apéritives', 'Lily Toques']","['Barquette carton sous film plastique', 'Film en plastique', 'Etui en carton']",,,120 g (10 bouchées de 12 g),Mini bouchées garnies au fromage de chèvre et au fromage frais de vache - saveur chèvre,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés']","['Gluten', 'Lait']",4,,,,
74,Les filets poulet,0226487044744,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Morbier À O P,0200547022040,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
76,CereAlé,3760113474019,,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,"23,1",,13,,"64,7",,"27,1",,"6,6",,"0,483",,"0,193",,,,,,,,,,,,,,,,,,,,,,,,,
77,Poulet escalope caissette,2610855054516,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pates macaroni,3560780329151,,,,['France'],[],[],,,,,,,,,?,,344,,1439 kj(344 kcal),,2,,"0,5",,68,,"3,5",,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pizza Boeuf Tomates Oignon,3287390081896,,,,['France'],[],[],,,,,,,,,?,,287,,1201 kj(287 kcal),,6,,"3,2",,"9,2",,0,,49,,0,,0,,,,,,,,,,,,,,,"['FR 49.204.001 CE', 'Mesnil-en-Vallée (Maine-et-Loire, France)']",,,,,,,,,,
80,Tajine poulet aux olives et citrons confits,3770012119324,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,"2,44",,"2,44",,"10,93",,"2,51",,"10,45",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,,
81,Velouté de tomates - Maison Marc,3760262231211,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Tomates et dérivés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de tomates']",['Sans conservateurs'],['France'],[],[],6.5 g,en quantité modérée,1 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en quantité modérée,?,,70,+71%,293 kj(70 kcal),+75%,"6,5",+433%,1,+149%,"1,2",-79%,"0,3",-90%,"0,9",+10%,"0,7",+9%,"0,28",+9%,-2,,A,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Maison Marc'],,,,,,,,,,,,
82,Infusion florale petillante,3760310500009,,,,['France'],[],[],,,,,,,,,?,,37,,155 kj(37 kcal),,"0,1",,"0,1",,"8,69",,"8,69",,"0,1",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,
83,Sugarfree,7640102140711,,,,['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,0,,0,,92,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Fresubin intense,4051895017549,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Croquants bio,3549170004267,,,['Bio'],['France'],[],[],,,,,,,,,?,,434,,1816 kj(434 kcal),,"8,7",,"0,7",,"80,8",,67,,"7,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
86,Jus concombre persil pomme céleri citron,0770010858648,,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,"6,7",,"3,4",,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
87,Concassé d'artichaut au maquereau,3660088163423,,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"6,5",,"2,79",,"5,8",,"2,5",,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
88,Recup 10,3760145410146,,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,"5,3",,"1,5",,"17,25",,12,,"10,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Barre substitut de repas raisins au blé et aux myrtilles,57650838,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,"8,2",,"1,1",,34,,20,,22,,"0,77",,"0,308",,,,,,,,,,,,,,,,,,,,,,,,,
90,Dosette LATTE,5410658904271,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,21,,"8,6",,53,,38,,20,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,
91,Saucisses 100% volaille nature - Le gaulois,3266980382834,,,,['France'],"['Ingrédients ', 'à la mise en œuvre', ' : Viande de dinde origine France : 71,2%', 'peaux de poulet cuites', 'eau', 'conservateurs: lactate de potassium', 'acétate de calcium', 'sel', 'fécule de pomme de terre', 'sirop de glucose ', 'fibre de carotte', 'betterave', 'panais', 'ail', 'arômes', 'épices', 'paprika', 'antioxydants : ascorbate de sodium', 'acide ascorbique', ' Boyau naturel de mouton']","['Non végétalien', 'Non végétarien']",,,,,,,,,569,,136,,569 kj(136 kcal),,"7,1",,"1,9",,2,,0,,16,,"1,2",,"0,48",,,,,,,,,,,,,['Le gaulois'],,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,"['E326 - Lactate de potassium', 'E263 - Acétate de calcium', 'E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']",,4,,,,
92,Cuisse de poulet,0211121037138,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
93,Bûchettes à l’Emmental Gratinées - Pierre Schmidt - 260g,3234510014869,D,"['Snacks', 'Snacks salés', 'Plats préparés', 'Feuilleté salé', 'Friands', 'Plats préparés à réchauffer au micro-ondes', 'Feuilleté au fromage', 'Plats préparés au fromage']","['Pur beurre', 'Emmental origine FRance']",['France'],"['Eau', 'emmental 13%', 'farine de blé complète', 'farine de blé', 'beurre 6%', 'lait écrémé en poudre', 'fibre soluble de blé', 'amidons', ""jaune d'œuf"", 'sucre', 'levure', 'sel', 'farine de riz', 'arômes naturels', ""vinaigre d'alcool déshydraté"", 'gluten de blé', 'lactose', 'dextrose', 'agent de traitement de la farine: acide ascorbique', 'muscade']",['Non végétalien'],13 g,en quantité modérée,9 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,?,,251,-18%,1050 kj(251 kcal),-18%,13,-30%,9,-13%,25,-5%,2,-18%,"7,1",-10%,1,-18%,"0,4",-18%,15,-11%,D,-11%,76.7%,9.5%,2.8%,3.2%,1.6%,6.1%,50,['Pierre Schmidt'],"['Plastique', 'Sec']",,['Emmental FRance'],260 g,feuilletés gratinés à l'emmental,['E300 - Acide ascorbique'],"['Œufs', 'Gluten', 'Lait']",4,['67720'],,,
94,Marie - 400,16816183,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,
