,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
1450,Piperade - Pascal Massonde,3527020000027,,,['Pascal Massonde'],"['Plats préparés', 'Légumes préparés']",,,['France'],"['Tomates', 'poivrons', 'oignons', 'sucre', 'sel', 'ail', ""piment d' Espelette en poudre 0"", '02%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0.1 g,en faible quantité,6.3 g,en quantité modérée,1.2 g,en quantité modérée,?,,54,-40%,226 kj(54 kcal),-39%,"0,3",-93%,"0,1",-86%,"11,6",+68%,"6,3",+99%,"1,3",-37%,"1,2",+65%,"0,48",+65%,5,+1172%,C,+1172%,,,,,,,,,"['Gluten', 'Lait', 'Moutarde']",,,,,,,,,
1451,Soupe poisson,3527020000140,,,,,,,['France'],[],,[],,,,,,,,,,?,,34,,142 kj(34 kcal),,21,,"0,7",,"0,5",,"0,4",,"3,8",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
1452,4 saucisses confites,3527020000683,,,,,,,['France'],[],,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"11,6",,"4,9",,"6,7",,"3,8",,"8,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
1453,Poitrne roulée,3527020001239,,,,,,"['FR 64.510.003 CE', 'Sault-de-Navailles (Pyrénées-Atlantiques, France)']",['France'],[],,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,"34,2",,13,,"0,5",,"0,5",,"18,8",,"2,78",,"1,112",,,,,,,,,,,,,,,,,,,,,,,
1454,Sel au piment d'Espelette - Pascal Massonde - 100g,3527020001314,,100 g,['Pascal Massonde'],,,,['France'],"['hgrédients : Sel', 'Piment d:EspeIette en poudre10%']",,[],,,,,,,,,,?,,34,,142 kj(34 kcal),,"1,1",,"0,2",,"2,8",,"1,9",,"1,4",,"87,6",,"35,04",,,,,,,,,,,,,,,,,,,,,,,
1455,Piperade au piment d'Espelette - Pascal Massonde - 380g,3527020001734,,380 g,['Pascal Massonde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes préparés', 'Piperades']",,,['France'],[],,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,6.3 g,en quantité modérée,1.2 g,en quantité modérée,?,,54,-8%,226 kj(54 kcal),-8%,"0,3",-89%,"0,1",-86%,"11,6",+84%,"6,3",+56%,"1,3",+4%,"1,2",+34%,"0,48",+34%,0,-100%,B,-100%,,,,,,,,"['Bocal', 'Verre']",,,,,,,,,,
1456,Pâté basque au piment d'Espelette - Pascal Massonde - 0.130,3527020002052,,0.130,['Pascal Massonde'],['Pâte en conserve'],['en:gluten-free'],,['France'],[],,[],,26.9 g,en quantité élevée,11 g,en quantité élevée,2.1 g,en faible quantité,1.9 g,en quantité élevée,?,,323,,1351 kj(323 kcal),,"26,9",,11,,"4,8",,"2,1",,"15,5",,"1,9",,"0,76",,22,,E,,,,,,,,,,,['Souraide(64)'],,,['France'],http://pascal.massonde.com,,,,
1457,Spaghetti,3527030000758,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,['France'],[],,[],,2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+0%,2,+14%,0,-100%,72,+4%,0,-100%,12,+2%,0,-100%,0,-100%,-1,,A,,,,,,,,,,,,,,,,,,,
1458,Macaroni - Panzani - 500g,3527030300025,C,500 g,['Panzani'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Macaroni de blé dur']",,,['France'],[],,[],,2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,358,0%,1498 kj(358 kcal),-0%,2,+12%,0,-100%,72,+1%,0,-100%,13,+7%,0,-100%,0,-100%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Sachet plastique'],,,,,,,,,,
1459,Tagliatelles,3527030300070,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Tagliatelles']",,,['France'],[],,[],,2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,358,+13%,1498 kj(358 kcal),+13%,2,-15%,0,-100%,72,+19%,0,-100%,13,+18%,,,,,,,,,,,,,,,,,,,,,,,,,,
