,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,JAMBON BLANC DECOUENNE - Bioporc - 180g,3483190011143,D,180 g,['Bioporc'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']","['EMB 85059B', 'Châtaigneraie (Vendée, France)', 'FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",['France'],"['jambon de porc ', '90%', 'sel', 'sirop de glucose*', 'sucre de canne ', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'plante aromatique', 'huile essentielle de poivre*', "" **Ingrédients agricoles issus de l'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.7 g,en faible quantité,0.9 g,en faible quantité,0.6 g,en faible quantité,2.17 g,en quantité élevée,?,,106,-20%,444 kj(106 kcal),-19%,"2,7",-44%,"0,9",-51%,"0,6",-10%,"0,6",+1%,20,-5%,"2,175",+16%,"0,87",+16%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,
1,"Rosette de porc 80g, Bio",3483190011181,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,19.5 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,4.7 g,en quantité élevée,?,,295,-19%,1234 kj(295 kcal),-19%,"19,5",-32%,"6,9",-39%,"0,5",-74%,"0,5",-66%,"29,7",+16%,"4,7",+4%,"1,88",+4%,19,-19%,E,-19%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
2,Chipolatas herbes - Bioporc,3483190011655,D,,['Bioporc'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],,[],,17 g,en quantité modérée,6.3 g,en quantité élevée,0.6 g,en faible quantité,1.6 g,en quantité élevée,?,,218,-13%,912 kj(218 kcal),-12%,17,-15%,"6,3",-18%,"0,6",-53%,"0,6",-3%,16,+7%,"1,6",-10%,"0,64",-10%,15,-13%,D,-13%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
3,Paupiettes De Porc - Bioporc  - 440g,3483190011686,,440g,['Bioporc'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)', 'EMB 85059B', 'Châtaigneraie (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,260,,1088 kj(260 kcal),,21,,"7,7",,"0,8",,"0,5",,17,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,
4,Demi-jambonneau - Bioporc,3483190011785,,,"['Bioporc', 'Biopord']",,"['Bio', 'Bio européen', 'FR-BIO-01']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",['France'],"['jambonneaux de couenne de porc*:', 'sel', 'sirop de glucose/', 'sucre de canne*:', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'plante aromatique*', 'huile essentielle de poivre$', "" Ingrédients issus de L'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,,,,,,,,,?,,194,,812 kj(194 kcal),,"9,8",,3,,"0,5",,"0,5",,26,,"2,63",,"1,052",,,,,,,,,,,,,,,,,,,,,,,
5,Filet mignon de porc traite en salaison fumé aux herbes - Bioporc,3483190012324,,,['Bioporc'],"['Viandes', 'Charcuteries']","['Bio', 'Bio européen', 'Point Vert', 'Fumé au bois de hêtre', 'Triman']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)', 'EMB 85059B', 'Châtaigneraie (Vendée, France)']",['France'],"['Filet mignon de porc ', '90 %', 'bouillon aromatique ', 'eau', 'ail', 'plantes aromatiques', 'poivre', 'clous de girofle', 'sel', 'enrobage: herbes de Provence', 'sucre de canne', ' Fumage au bois de hêtre']",,"['Non végétalien', 'Non végétarien']",3,3.9 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.35 g,en quantité modérée,?,,526,+102%,2201 kj(526 kcal),+104%,"3,9",-80%,"1,5",-79%,"< 0,5",-66%,"< 0,5",-37%,"22,4",+20%,"1,35",-43%,"0,54",-43%,12,-25%,D,-25%,,,,,,,,"['Frais', 'Plastique']",,,,,,,,,,
6,Crevette nature - Sacré marins! - 100g,3483190060110,,100g,['Sacré marins!'],,"['Bio', 'Sans colorants']",,['France'],"['crevettes* ', 'Penaeus vannamei - crustacés dont sulfite', ' décortiquées ', '98%', 'sel', "" *Ingrédients issus de l'agriculture biologiques""]",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,74,,310 kj(74 kcal),,"1,1",,"0,4",,"0,5",,"0,5",,16,,"1,9",,"0,76",,,,,,,,,,,,,,['Crustacés'],,,,,,,,,
7,Salade vitalite,3483190085007,,,,,"['Bio', 'Bio européen']","['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,135,,565 kj(135 kcal),,"10,2",,"1,1",,"9,1",,7,,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
8,"Quinoa gourmand (quinoa,courgettes,abricots&fruits secs)",3483190085038,,,,,,"['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"13,3",,"1,3",,"48,5",,"5,9",,"9,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
9,Jambon de Bayonne - Saveurs Du Bocage - 80g,3483190090162,E,80 g,['Saveurs Du Bocage'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"[""Jambon de Bayonne issu de l'agriculture biologique"", ' Jambon frais de porc biologique', 'sel', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,4.97 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"4,975",+4%,"1,99",+4%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['France'],,,,,,,,
10,Galettes pois chiche & cumin,3483460021186,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,279,,1167 kj(279 kcal),,14,,2,,27,,"1,8",,"6,6",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,
11,Galettes au tofu épinard fromage - Tossolia - 2x90g,3483460340188,B,2x90 g,['Tossolia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01', 'Sans OGM']",,['France'],"['tofu 56% ', 'eau', 'soja', 'gélifiants ', 'chlorure de calcium', 'chlorure de magnésium ', 'nigari', 'épinard 18%', 'oignon', 'flocon de riz', 'emmental 5%', 'huile de tournesol', 'sel', 'ail', 'poivre']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,10 g,en quantité modérée,1.8 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en quantité modérée,769,+31%,?,,769 kj(184 kcal),+23%,10,+15%,"1,8",+26%,"10,5",+382%,"0,6",-3%,"12,9",-7%,"0,9",+31%,"0,36",+31%,1,,B,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,"['Carton', 'Plastique']","['Lait', 'Soja']","['Haute Provence', 'France']",Galettes tofu,"[""La ruche d'Alésia""]",,,,,,
12,Galettes au tofu aubergine parmesan - Tossolia - 2x90g,3483460350187,,2x90 g,['Tossolia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Substituts de viande', ""Plats préparés d'origine végétale"", 'Steaks végétaux', 'Galettes de tofu']","['Bio', 'Bio européen', 'Sans gluten', 'AB Agriculture Biologique']",,['France'],"['Tofu 47% ', 'eau', 'soja', 'gélifiants ', 'chlorure de calcium', 'chlorure de magnésium ', 'nigari', 'tomate', 'oignon', 'flocon de riz', 'aubergine 8%', 'huile de tournesol', 'parmesan ', 'parmigiano reggiano', ' 2%', 'sel', 'poivre', 'origan']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,8.4 g,en quantité modérée,1.4 g,en faible quantité,1.7 g,en faible quantité,0.81 g,en quantité modérée,?,,146,-29%,611 kj(146 kcal),-28%,"8,4",-6%,"1,4",-4%,"6,3",-63%,"1,7",-28%,11,+5%,"0,81",-23%,"0,324",-23%,0,-100%,B,-100%,,,,,,,,"['Frais', 'Plastique', 'Carton']","['Lait', 'Soja']","['Haute Provence', 'France']",Galettes au tofu aubergine parmesan,"[""La ruche d'Alésia""]","['France', 'Sud-Est de la France']",,,,,
13,Galette tofu chèvre miel - Tossolia,3483460430186,,,['Tossolia'],,['Bio'],,['France'],"[""tofu' "", 'eau', 'soja*', 'gélifiants : chlorure de calcium', 'de magnésium ', 'nigari', ' fromage de chèvre* flocons dtavoine?', ' oignon?', "" miel de lavande* noix'"", 'huile de tournesol*', ' sel', ' *Ingrédients agricole obtenus selon les règles de C*oduction biologique']",,[],4,,,,,,,,,?,,187,,782 kj(187 kcal),,"10,6",,"2,3",,"8,9",,"4,1",,"13,2",,"1,1",,"0,44",,,,,,,,,,,,,,['Soja'],,,,,,,,,
14,2X125G Panisse Nature - Tossolia,3483461000258,,,['Tossolia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"['eau', ""farinede pois chiches'"", 'sel', "" 'Ingrédients d'origine agricole obtenus selon les règles de production biologtque"", ' Fabriqué dans un atelier utilisant : soja', 'céleri', 'moutarde', 'fruits à coque', 'sésame et produits laitiers']",,[],3,1.9 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,1.1 g,en quantité modérée,?,,102,-37%,427 kj(102 kcal),-36%,"1,9",-70%,"0,2",-80%,"13,9",-11%,3,+23%,"7,3",+18%,"1,1",+21%,"0,44",+21%,1,+326%,B,+326%,,,,,,,,,,,,,,,,,,
15,Les legumineuses s’en mêlent - Tossolia,3483461220182,,,['Tossolia'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,['France'],"['haricots blancs* 38% ', 'haricots blancs lingots*', 'eau', 'sel de Guérande', 'épinards* 22%', ""flocons d'avoine sans gluten*"", 'oignons*', ""huile d'olive*"", 'ail*', 'sel', 'poivre*', "" *Ingrédients d'origine agricole obtenus selon les règles de production biologique""]",,[],,,,,,,,,,?,,206,,862 kj(206 kcal),,"7,2",,"1,1",,"23,3",,2,,"8,1",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
16,Galette petits pois - tandoori - Tossolia,3483461240180,,,['Tossolia'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,,,,,,,,,?,,155,,649 kj(155 kcal),,"4,5",,"0,5",,22,,"2,9",,"3,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
17,Oeufs gros plein air -,3483500002236,D,,,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,,['France'],[],,[],,9.94 g,en quantité modérée,3.1 g,en quantité modérée,0.77 g,en faible quantité,0.07 g,en faible quantité,?,,147,+7%,615 kj(147 kcal),+6%,"9,94",-0%,"3,099",+26%,"0,77",+24%,"0,77",+53%,"12,58",+1%,"0,07",-74%,"0,028",-74%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,
18,Sorbet framboise basilic - Maison Alpérel,3483640001151,,,['Maison Alpérel'],,,,['France'],"['FRAMBOISE BASILIC Pour profiter pleinement de votre sorbet', 'sortir 10 à 15 minutes avant dégustation', ' PURÉE DE FRAMBOISE 53,696', 'EAU,SUCRE', 'FRAMBOISES 5%', 'GLUCOSE ATOMISÉ', 'BASILICA,5 0%', 'JUS DE CITRON', 'STABILISANTS : GOMME DE GUAR BIO', 'FARINE DE CAROUBE BIO', 'EN CRAS SONT INDIQUÉS LES ALLERGÈNES possibles de : soja', 'fruits à coques', 'gluten', 'Œufs', ""arachide' sésame"", 'lait et lactose POIDS NET V LITRAGE 500ML confectionnés avec O en région parisienne']","['E412 - Gomme de guar', 'E410 - Gomme de caroube']",['Non végétalien'],4,,,,,,,,,?,,86,,360 kj(86 kcal),,"0,2",,0,,17,,14,,"0,8",,"0,01",,"0,004",,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,,,,,
19,Glace caramel - Maison Alpérel,3483640003940,B,,['Maison Alpérel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au caramel']",,,['France'],"['GLACE CARAMEL FLEUR DE SEL Pour profiter pleinement de votre glace', 'sortir 10 à 15 minutes avant dégustation', ' LAIT ENTIER FERME DE CRÈME FLEURETTE PAMPLIE', ""SUC JAUNES D'ŒUF"", 'FLEUR DE SEL VANILLE', 'STABILISANTS : GOMME OF FARINE DE CAROUBE EN CRAS SONT possibles de soja', ""fruits co'"", 'v', 'e,s', 'sésame', 'et tactose 4100 MOYENNES GLUCIDES DONT sucRES 128 PROTÉINES']",,[],,12 g,en quantité modérée,7.3 g,en quantité élevée,25 g,en quantité élevée,0.38 g,en quantité modérée,?,,226,-3%,946 kj(226 kcal),-3%,12,+4%,"7,3",-4%,25,-12%,25,+2%,"3,6",+12%,"0,38",+17%,"0,152",+17%,15,+1%,D,+1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Œufs', 'Lait']",,,,,,,,,
20,Sorbet fruit rouge - Maison Alpérel,3483640004039,C,,['Maison Alpérel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets aux fruits rouges']",['Bio'],,['France'],"['PURÉE DE FRAISE34,2%', 'EAU', 'SUCRE Ml BLANC DE CANNE*', 'PURÉE DE FRAMBOISE* 11,7%', 'PURÉE DE CASSIS 5,8% GLUCOSE ATOMISÉ•', 'SUCRE INVERTI•', 'JUS DE CITRON•', 'STABILISANTS: GOMME DE GUAR•', ' FARINE DE CAROUBE', '                           Traces possibles de : soja', 'fruits à coques', ' gluten', 'Œufs', 'arachide', 'sésame', 'lait et lactose']","['E412 - Gomme de guar', 'E410 - Gomme de caroube']",['Non végétalien'],4,0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.1 g,en faible quantité,?,,425,+248%,1778 kj(425 kcal),+248%,0,-100%,0,-100%,23,-19%,20,-17%,"0,5",+10%,"0,1",+233%,"0,04",+233%,9,+71%,C,+71%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,,,,
21,Glace - Maison Alperel,3483640004046,,,['Maison Alperel'],,,,['France'],"[""GLACE MOKA D'ÉTHIOPIE Pour profiter pleincmont de votre glace"", 'sortir 10 à 15 minuths avant dégustation', ' LAIT ENTIER FERME DE GRIGNON', 'LAIT CONCENTRÉ', ""JAUNES D'ŒUF"", 'ATOMISÉ', ""CAFÉ D'ETHIOPIE EXTRAIT DE CAFÉ SOLUBLE STABILISANIS GOMME DE GUAR BIO"", 'FARINE OE CAROUBE EN CRAS SONT INDIQUtS Lts ALLtRCCNCS Traces possibles de : soja', 'fruits coques', 'glutcn', 'arachide', 'sésame', 'lait et lactosc']",,['Non végétalien'],,,,,,,,,,?,,189,,791 kj(189 kcal),,9,,"3,7",,21,,17,,"6,4",,"0,07",,"0,028",,,,,,,,,,,,,,"['Œufs', 'Lait']",,,,,,,,,
22,Yaourt compotee de fraise glace - maison alperel - 400g,3483640004503,,400 g,['maison alperel'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",,['France'],"['BIO YAOURT COMPOTÉE DE FRAISE GLACE ARTISANALE Sorti 5 à 10 min avant dégustation', "" YAOURT NATURE' SLA%"", 'LAIT ENTIER', ""CREME'"", 'SUCRE MI-BLANC DE CAN ECOMPOTÉE DE FRAISE 7% ', 'FRAISES 4,12%', 'SUCRE MI-BLANC DE CANNE', 'SIROP DE SUCRE INVERTI CRISTALLISÉ*', ' EAU', 'PECTINE*', 'GLUCOSE DESHYDRATÉ*', 'POUDRE DE LAIT 0%', 'STABILISANTS GOMME DE GUAR*', ' GOMME DE CAROUBE""']","['E440 - Pectines', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",['Non végétalien'],4,,,,,,,,,?,,151,,632 kj(151 kcal),,"4,7",,"3,3",,24,,19,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,['-18 degrés'],['Lait'],['région parisienne'],,,['Union européenne'],http://www.maisonalperel.com,,,,
23,Glace artisanale Matcha Latte à la vanille,3483640004527,,,,,['Fabriqué en France'],,['France'],[],,[],,,,,,,,,,?,,138,,577 kj(138 kcal),,"4,8",,"0,6",,20,,14,,"3,1",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
24,Maison alperel glace,3483640004589,,,,,,,['France'],[],,[],,,,,,,,,,?,,183,,766 kj(183 kcal),,"5,6",,"3,5",,29,,24,,"3,4",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,
25,Cafe grand cru,3483640004596,,,,,['Fabriqué en France'],,['France'],[],,[],,,,,,,,,,?,,176,,736 kj(176 kcal),,"8,5",,"5,8",,21,,18,,"3,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
26,Glace caramel fleur de sel,3483640004619,,,,,['Fabriqué en France'],,['France'],[],,[],,,,,,,,,,?,,183,,766 kj(183 kcal),,"5,6",,"3,5",,29,,24,,"3,4",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,
27,Glace thé matcha,3483640004664,,,,,['Fabriqué en France'],,['France'],[],,[],,,,,,,,,,?,,138,,577 kj(138 kcal),,"4,8",,"0,6",,20,,14,,"3,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
28,Yaourt compotee de fraise,3483640004671,,,,,"['Bio', 'Fabriqué en France']",,['France'],[],,[],,,,,,,,,,?,,151,,632 kj(151 kcal),,"4,7",,"3,3",,24,,19,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
29,La vie est belle,3483640004718,,,,,"['Bio', 'Fabriqué en France']",,['France'],[],,[],,,,,,,,,,?,,101,,423 kj(101 kcal),,"0,2",,0,,20,,18,,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
30,Les gourmandes aux perles de chocolat - Isidore Penven,3483830200500,,,['Isidore Penven'],,['Fabriqué en France'],,['France'],"[""Inu't•edients: \\Vheat flour"", 'fre\\h churned butter 30%', 'dark chocolate chips ', 'cocoa tnass', 'stiùlr', 'cocosl butter', 'enliilsiher: soja lecithin', ' egg yolk and baking Product of Brittany - France']",,[],,,,,,,,,,?,,53,,222 kj(53 kcal),,29,,19,,57,,24,,"8,1",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,,,
31,Gaufrettes Amusantes Parfum Vanille - Breizh Gaufrette,3483830313101,C,,['Breizh Gaufrette'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées à la vanille']",['Huile de palme durable'],,['France'],"['Sucre', 'farine de blé', 'matières grasses végétales non hydrogénées ', 'palme', 'arôme', 'colorant : béta-carotène', 'sel', 'émulsifiant : lécithine de soja', 'poudre à lever: carbonate de magnésium']","['E160ai - Bêta-carotène', 'E322i - Lécithine']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,28 g,en quantité élevée,14 g,en quantité élevée,42 g,en quantité élevée,0.2 g,en faible quantité,?,,534,+3%,2234 kj(534 kcal),+3%,28,+5%,14,-11%,67,+8%,42,+31%,"3,5",-20%,"0,2",-15%,"0,08",-15%,25,+11%,E,+11%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,"['Sachet', 'Plastique', 'Carton']","['Gluten', 'Soja']",,,,,,['Huile de palme'],,,
32,Les délices de Pont-Aven,3483830701076,,,,,,,['France'],[],,[],,,,,,,,,,?,,478,,2000 kj(478 kcal),,20,,13,,66,,30,,"6,6",,"0,72",,"0,288",,,,,,,,,,,,,,,,,,,,,,,
33,Mexique - Café Michel - 250g,3483981000417,,250 g,['Café Michel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus', 'Boissons sans sucre ajouté', 'Arabica']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Producteurs Paysans']",,['France'],['Café moulu équitable et biologique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sachet', 'Plastique']",,"['Mexique', 'Mojomut']",Arabica moulu pure origine,"['Biocoop', 'Bio14']",['Mexique'],,,,,
34,Arabica moulu Bolivie - Café Michel - 250g,3483981000974,,250 g,['Café Michel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Cafés moulus', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Producteurs paysans']",,['France'],['Café moulu équitable et biologique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sachet', 'Plastique']",,,,['Bio14'],['Bolivie'],,,,,
35,Chocolat Graines Natures Noir 72% - Terra etica,3483981002442,D,,['Terra etica'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],,[],,39 g,en quantité élevée,22 g,en quantité élevée,27 g,en quantité élevée,0.05 g,en faible quantité,?,,563,+1%,2356 kj(563 kcal),+2%,39,-1%,22,-5%,38,-2%,27,-15%,9,+17%,"0,05",+7%,"0,02",+7%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
36,Rooibos - Afrique du sud - infusion montagne du cederberg - Terra Etica - 100g,3483981201210,B,100 g,['Terra Etica'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']","['Bio', 'Bio européen', 'Commerce équitable', 'Max Havelaar', 'Max-havelaar-france', 'Agriculture Afrique du Sud']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,['Afrique du Sud'],,,,,
37,Cafe Grains Mexique - Café Michel - 500g,3483981500023,,500 g,['Café Michel'],,"['Bio', 'Bio européen', 'FR-BIO-01']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Quinoa Equateur - Terra Etica,3483981801137,,,['Terra Etica'],,['Bio'],,['France'],['QUINOA ÉQUITABLE ET BIOLOGIQUE A conserver dans un endroit sec et iras'],,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"3,8",,"0,4",,"66,2",,0,,13,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
39,Pâté piquant,3484035020016,,,,,['Sans colorants'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Paté basque au piment d'espelette,3484035020030,,,,,['Sans colorants'],,['France'],[],,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,"22,5",,"9,7",,1,,"0,5",,"16,4",,"1,53",,"0,612",,,,,,,,,,,,,,,,,,,,,,,
41,Pâté Jean Haget Au Piment d'Espelette 1/4,3484035020047,,,,,,,['France'],[],,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,"22,5",,"9,7",,1,,"0,5",,"16,4",,"1,53",,"0,612",,,,,,,,,,,,,,,,,,,,,,,
42,Fromage Frais Fermier - Petit Manoir - 500g,3484440000061,,500g,['Petit Manoir'],,"['Bio', 'Bio européen', 'FR-BIO-09']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Graine de chia - Madia Bio,3484639088719,D,,['Madia Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']","['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",,['France'],[],,[],,32 g,en quantité élevée,3.5 g,en quantité modérée,0.3 g,en faible quantité,0.1 g,en faible quantité,?,,458,+2%,1916 kj(458 kcal),+2%,32,+4%,"3,5",+12%,"2,6",-78%,"0,3",-46%,"19,8",-1%,"0,1",+318%,"0,04",+318%,-2,-322%,A,-322%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,
