,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,allergens,nova_score,quantity,packaging,traceability_code,generic_name,ingredients_origins,manufacturing,link,brand_owner,palm_ingredients
838,Sugo ai Peperoni - 280g,6057,,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 g,['Glas'],,,,,,,
839,Travemünder Labskaus - Fleischerei Lohff - 250g,4250299230206,['Fleischerei Lohff'],,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,['Glas'],,,,,,,
840,Hot Chili Sauce - Grill Party - 300ml,23203082,['Grill Party'],,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,B,"['Epicerie', 'Sauces', 'Sauces barbecue', 'Sauces chili']",,,,,,,,,,,,,,,,,,,,,,,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,300 ml,['Flasche(n)'],,,,,,,
841,4260201580671,4260201580671,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Mass gainer - Aptonia,3583788734307,['Aptonia'],,['France'],[],[],?,370,1548 kj(370 kcal),"1,5","0,8",69,36,20,"0,3","0,12",,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",1.5 g,en faible quantité,0.8 g,en faible quantité,36 g,en quantité élevée,0.3 g,en quantité modérée,,+3%,+3%,-84%,-79%,+176%,+233%,-47%,-43%,-43%,12,+46%,D,+46%,,,,,,,,,,,,,,,,,,,,
843,Cold In'fuse - Twinings,0070177225490,['Twinings'],,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['pet-unknown', 'pp-lid']",,,,,,,
844,Boisson cacaotée intense,0136318341785,,,['France'],[],[],?,364,1523 kj(364 kcal),"3,6","2,1",70,67,"7,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,
845,Millefeuilles,0204172018379,,,['France'],[],[],?,289,1209 kj(289 kcal),11,"5,9",43,22,4,"0,56","0,224",B,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",11 g,en quantité modérée,5.9 g,en quantité élevée,22 g,en quantité élevée,0.56 g,en quantité modérée,,-8%,-8%,-27%,-42%,+8%,+11%,+4%,+19%,+19%,14,-18%,D,-18%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,,,
846,Schweinefilet,2186870006057,,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,
847,Curry Ketchup,4058172221781,,,['France'],[],[],?,124,519 kj(124 kcal),"0,5","0,1",27,27,"1,6",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
