,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
54,BREAD TIN BAKERY -,5099630251550,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['en:gluten-free'],['France'],"['Gluten Free Oatmeal', 'Pea Flour', 'Gluten Free Oatflakes', 'Gluten Free Oat Flour', 'Raising Agent: Sodium Bicarbonate', 'Coconut Sugar', 'Salt']",[],,5.6 g,en quantité modérée,0.8 g,en faible quantité,2.1 g,en faible quantité,2.7 g,en quantité élevée,?,,349,+6%,1460 kj(349 kcal),+6%,"5,6",-9%,"0,8",-32%,54,-1%,"2,1",-46%,"14,6",+53%,"2,7",+111%,"1,08",+111%,14,+175%,D,+175%,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,,,,,,,,
55,Poivrons doux au fromage frais,20669645,,,,,,['France'],[],[],,,,,,,,,,?,,192,,803 kj(192 kcal),,14,,"8,8",,12,,12,,"3,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
56,Noisettes décortiquées - La Vie Claire - 600g,3266191013619,C,600 g,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],['Noisettes décortiquées'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,63 g,en quantité élevée,4.46 g,en quantité modérée,4.34 g,en faible quantité,0.04 g,en faible quantité,?,,682,+1%,2853 kj(682 kcal),+2%,63,+1%,"4,46",-8%,"7,74",-16%,"4,34",+8%,"13,9",-9%,"0,04",+29%,"0,016",+29%,-3,-600%,A,-600%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,['Turquie'],['La Vie Claire'],,,,,
57,Confiture du bonheur,3441260023212,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dano Milk Goodness - Arla,4100290000820,D,,['Arla'],"['Produits laitiers', 'Laits']",,['France'],[],[],,3.6 g,en quantité modérée,2.5 g,en quantité modérée,4.9 g,en faible quantité,0.05 g,en faible quantité,?,,65,-2%,272 kj(65 kcal),-1%,"3,6",+75%,"2,5",+110%,"4,9",-19%,"4,9",-10%,"3,4",-4%,"0,05",-60%,"0,02",-60%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
59,samt - schwartau - 270g,4011800193010,,270 g,['Schwartau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']",,['France'],[],[],,0.2 g,en faible quantité,0 g,en faible quantité,53.2 g,en quantité élevée,0.03 g,en faible quantité,?,,222,-0%,929 kj(222 kcal),-1%,"0,2",-22%,0,-100%,"53,2",-1%,"53,2",+3%,"0,4",-20%,"0,03",+28%,"0,012",+28%,12,+26%,D,+26%,,,,,,,,['Glas'],,,,,,,,,,,,
60,Olives à la farce d'anchois,3450120004865,,,,,,['France'],[],[],,,,,,,,,,?,,149,,623 kj(149 kcal),,"14,1",,"2,4",,"5,6",,"0,5",,"1,7",,"3,6",,"1,44",,,,,,,,,,,,,,,,,,,,,,,,,
61,Pain Complet - Leclerc,1900000019400,,,['Leclerc'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jodekoek,8710434011016,,,,,,['France'],[],[],,,,,,,,,,?,,509,,2130 kj(509 kcal),,"24,2",,"12,6",,"66,3",,"35,3",,"5,1",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,
63,sélection de terrines - Deluxe - 540g,02211268,,540 g,['Deluxe'],"['Viandes', 'Charcuteries']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Lidl'],,,,,
64,Pflaume In Madeira 8er - Anthon Berg - 220g,5774540984155,,220g,['Anthon Berg'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']",,['France'],"['sucre', 'prunes 15%', 'pâte de cacao', 'amandes 11%', ""amandes d'abricot"", 'sirop de glucose', 'beurre de cacao', 'vin de liqueur ', 'Madère 1,5% inclus', 'alcool', 'graisse lactique', 'agent épaississant ', 'pectine', 'émulsifiant ', 'lécithine de colza', 'conservateurs ', 'acide sorbique', 'sorbate de potassium', 'acidifiant ', 'acide citrique', ' Cacao: 50% au minimum dans le chocolat noir', ' Allergènes: amandes', 'lait', ' Peut contenir des traces de noisettes']",['Non végétalien'],4,22 g,en quantité élevée,7.6 g,en quantité élevée,41 g,en quantité élevée,0 g,en faible quantité,?,,466,-10%,1950 kj(466 kcal),-11%,22,-28%,"7,6",-54%,55,+3%,41,-13%,7,+14%,0,-100%,0,-100%,21,-14%,E,-14%,,,,,,,,,,,"['E440 - Pectines', 'E322i - Lécithine', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Lait', 'Fruits à coque']",,,,,,,,
65,Mont d'or - Franprix,3263858066612,D,,['Franprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or""]",['AOP'],['France'],"['Lait cru entier', 'sel', 'présure', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,25 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,303,+2%,1268 kj(303 kcal),+3%,25,+1%,16,-4%,0,-100%,0,-100%,18,+2%,"1,4",-1%,"0,56",-1%,14,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 25.282.002 CE', 'Goux-les-Usiers (Doubs, France)']",,['Lait'],,,['Franprix'],,,,,
66,Rösti Fries - Naturaplan,7610078243259,B,,['Naturaplan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Plats préparés', 'Pommes de terre préfrites surgelées', 'Préparations à base de pommes de terre', 'Légumes préparés', 'Rostis', 'Röstis de pommes de terre surgelés']",,"['France', 'Suisse']",[],[],,8 g,en quantité modérée,8 g,en quantité élevée,0.5 g,en faible quantité,1.11 g,en quantité modérée,?,,176,+7%,736 kj(176 kcal),+8%,8,+10%,8,+502%,22,+15%,"0,5",-37%,"2,6",-17%,"1,11",+13%,"0,444",+13%,13,+281%,D,+281%,40.8%,16.8%,10.8%,9.2%,4.7%,17.7%,91,['Pakete'],,,,,,,,,,,,
