,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
30,Çokomel pofti,8690766130268,,,,,,['France'],[],[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,"6,6",,"3,5",,"62,4",,"43,2",,"3,6",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,
31,Organic Peanut Butter,0068892324826,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pains au chocolat - Cora,3257984547169,D,,['Cora'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,['Cora'],,,,,
33,Filets eglefin - Auchan,3254560131255,,,"['Auchan', 'Groupe Auchan']",,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
34,Lentilles kréol naturel,3609901001115,,,,,,['France'],[],[],,,,,,,,,,?,,83,,347 kj(83 kcal),,"0,5",,0,,11,,"0,7",,"6,3",,"1,11",,"0,444",,,,,,,,,,,,,,,,,,,,,,,,,
35,Achard de legumes - Sans Marque,0206340007024,,,['Sans Marque'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Légumes au vinaigre', 'Légumes au vinaigre', 'Achards de légumes']",,['France'],[],[],,5.3 g,en quantité modérée,0.6 g,en faible quantité,2.3 g,en faible quantité,1.1 g,en quantité modérée,?,,73,-53%,305 kj(73 kcal),-53%,"5,3",-59%,"0,6",-58%,"5,1",-17%,"2,3",-27%,1,-8%,"1,1",-44%,"0,44",-44%,-1,-129%,A,-129%,,,,,,,,,,,,,,,,,,,,
36,Assortiment de 3 spritz - La Biscuiterie de l'Oncle Hansi,3279130112274,C,,"[""La Biscuiterie de l'Oncle Hansi"", 'Fortwenger']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sprits']",['Point Vert'],['France'],[],[],,26.6 g,en quantité élevée,14.1 g,en quantité élevée,23.3 g,en quantité élevée,0.0898 g,en faible quantité,?,,505,-4%,2113 kj(505 kcal),-4%,"26,6",-10%,"14,08",-16%,"55,2",-6%,"23,3",-5%,"9,6",+79%,"0,09",-82%,"0,036",-82%,21,-3%,E,-3%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,
37,Gingembre moulu,3102870053890,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,,,,,
38,SAUCE BECHAMEL - Maggi,7613037488029,B,,['Maggi'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces béchamel']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,,?,,499,+176%,2088 kj(499 kcal),+180%,29,+272%,17,+298%,54,+207%,12,+132%,"4,4",+20%,"6,4",+276%,"2,56",+276%,,,,,66.1%,14.4%,8.0%,5.6%,3.4%,2.4%,81,,,,,,,,,,,,,
39,Confitures Ardechoises Abricot - La Chareyrade,3511281001015,B,,['La Chareyrade'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,['France'],[],[],,0.13 g,en faible quantité,0.02 g,en faible quantité,48 g,en quantité élevée,0.016 g,en faible quantité,?,,204,-7%,854 kj(204 kcal),-7%,"0,13",-42%,"0,02",-53%,49,-8%,48,-5%,"0,5",-0%,"0,016",-27%,"0,006",-27%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,
40,Orange Navel Afrique du Sud,3605260045470,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Coca-cola sans sucre,3348630001323,,,['Coca-Cola'],,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,1",,0,,"0,05",,"0,017",,"0,007",,,,,,,,,,,,,,,,,,,,,,,,,
42,Thé vert - Baronny's - 40g,3700496336023,B,40 g,"[""Baronny's""]","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
43,Jarret de porc demi sel,0290078024804,,,,"['Viandes', 'Porc']",,['France'],[],[],,7.5 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,4.26 g,en quantité élevée,?,,137,-29%,573 kj(137 kcal),-28%,"7,5",-33%,"2,3",-47%,"0,7",-21%,"0,5",-19%,"16,8",-15%,"4,26",+123%,"1,704",+123%,13,+17%,D,+17%,,,,,,,,,,,,,,,,,,,,
