,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,packaging,ingredients_origins,manufacturing,link,markets,allergens,brand_owner,additives,nova_score,generic_name,producer_info,origin_detail
1271,Confiture d'abricots - Monoprix,10562312,,['France'],[],[],?,170,711 kj(170 kcal),0,0,42,40,"0,5","0,03","0,012",['Monoprix'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0.03 g,en faible quantité,,-22%,-22%,-100%,-100%,-21%,-21%,-0%,+36%,+36%,5,-44%,C,-44%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,['Monoprix'],,,,,,,
1272,Découpe de saumon élevé en Ecosse,2869964039420,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.273.112 CE', 'Corbas (Rhône, France)']",,,,,,,,,,,,
1273,Pain au chocolat au beurre AOP X4,0240148016734,,['France'],[],[],?,436,1824 kj(436 kcal),27,18,40,12,"7,9",0,0,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",27 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0 g,en faible quantité,,+10%,+10%,+23%,+35%,-5%,0%,+10%,-100%,-100%,17,-14%,D,-14%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,
1274,Organic lemon vanilla cookies,8594071481445,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'CZ-BIO-002', 'Agriculture UE/Non UE']",['France'],[],"['Végétalien', 'Végétarien']",?,531,2222 kj(531 kcal),36,10,44,25,13,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Thé Caramel Breton,3665206100526,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,MIEL DE FLEURS,3770001776378,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
1277,Jus d'orange frais,3346041293047,,['France'],[],[],?,41,172 kj(41 kcal),0,0,"9,9","9,9","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Pur jus de pomme,5410986001017,,['France'],[],[],?,46,192 kj(46 kcal),0,0,"10,6","10,6","0,1",0,0,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0 g,en faible quantité,0 g,en faible quantité,10.6 g,en quantité élevée,0 g,en faible quantité,,0%,+1%,-100%,-100%,-4%,+2%,-54%,-100%,-100%,5,+20%,C,+20%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,
1279,Sirop melon routin,0612511307303,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,Risotto au Beaufort,3760150338824,,['France'],[],[],?,344,1439 kj(344 kcal),"3,3","0,6","69,5",0,"9,1","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Sopa de quinoa sin gluten,8410770600058,,['France'],[],[],?,329,1377 kj(329 kcal),"3,7","0,6","49,6","2,2","13,9","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Mermelada de arándanos - Pazo de Vilane,8437000124115,,['France'],[],[],?,191,799 kj(191 kcal),"0,5","0,5","47,3","42,6","0,5","0,002","0,001",['Pazo de Vilane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Border Crumbles Classic Case of 6 X 150G,0652655000388,,['France'],[],[],?,458,1916 kj(458 kcal),"22,9","2,5",57,"27,4","5,1","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Action Energydrink,4021155165655,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Mozzarella fresca de búfala campana d.o.p.,8433329026345,,['France'],[],[],?,247,1033 kj(247 kcal),21,14,"0,5","0,5",14,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Chorizo fort,3365490010388,,['France'],[],[],?,376,1573 kj(376 kcal),29,11,2,2,28,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Ciambelle Caserecce,8011676000517,,['France'],[],[],?,403,1686 kj(403 kcal),15,7,68,25,7,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Clipper: Fairtrade Organic Indian Chai - 20 Bag,5021991000553,,['France'],[],[],?,?,,?,,?,,?,,,['Clipper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,Simply Chai Vanilla -,4260420840273,"['Bio', 'Végétarien', 'Végétalien', 'en:EG-Öko-Verordnung']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés chaï']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,['Dose'],,,,,,,,,,,
1290,Célébration marmalade with champagne,0637793003798,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Raspberry & redcurrant,0637793003750,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Thunfisch Inspiration mit Zitrone & Thymian - Hawesta,4006922007574,"['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,['Hawesta'],D,"['Produits de la mer', 'Poissons', 'Thons', 'Préparations de poisson']",,,,,,,,,,,,,,,,,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,
1293,Mini viennoiseries assorties x20,2644757019687,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Nicola Bocage,5601132102010,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Cuisse de poulet tex mex,0204411041656,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1296,Pain pavé 550g,0260083012400,,['France'],[],[],?,248,1038 kj(248 kcal),"1,1","0,3","48,8","1,5","3,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,Holy Cowl Starbier,4102430063269,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,4016144005937,4016144005937,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,Pois carré de la Rauze cuisiné Sauce merguez - 400g,3760222140102,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,
1300,Gâteaux de lune aux graines de lotus (1 jaune d'oeuf),3364691366416,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Rumsteck,0206233015389,,['France'],[],[],?,115,481 kj(115 kcal),"2,3","0,8","0,6",0,23,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 49323B', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]",,,,,,,,,,,,
1302,Horchata de chufa - superSol,8430803043720,"['Sans gluten', 'Point Vert']",['France'],[],[],?,?,,?,,?,,?,,,['superSol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Huile d'olive au piment d'espelette,3760252170087,,['France'],[],[],?,31,130 kj(31 kcal),"1,3","0,2","1,7","1,1","1,3","90,9","36,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Cabernet d'anjou,3215190015728,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Pișmaniye,8680976000338,,['France'],[],[],?,441,1845 kj(441 kcal),"11,59",0,"81,08","4,7","4,14",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Yaourt Nature,26347493,,['France'],[],[],?,55,230 kj(55 kcal),"1,1","0,8","6,5","6,5","4,5","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Biscuit roundie,7622210598066,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,Specialites de coco cubes,2600254019551,,['France'],[],[],?,450,1883 kj(450 kcal),"18,8","17,3","63,6","39,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Leeo,8718215831235,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Dakatine,3951106605019,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Araignée de porc à la basquaise,0261525031355,,['France'],[],[],?,281,1176 kj(281 kcal),"24,2","8,1","1,1","0,6","14,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
