,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
531,Biere blonde hors piste,3217690045694,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Magdalenas artesanas sin lactosa envasadas individualmente - El Corte Ingles,8433329001960,['France'],[],[],?,481,2013 kj(481 kcal),29,"3,9",46,25,"6,5","0,6","0,24",,,['El Corte Ingles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Turron diverso,8436025206455,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Confiture mûre au miel - Le Bois Jumel,3176630004347,['France'],[],[],?,235,983 kj(235 kcal),0,0,57,55,"1,1","0,03","0,012",,,['Le Bois Jumel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Pão ralado,5608447160223,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Tripes au cidre,3296410002773,['France'],[],[],?,125,523 kj(125 kcal),"4,6",2,"0,6","0,6",20,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Pastilles du bassin de vichy arôme orange - 350g,3162210107850,['France'],[],[],?,397,1661 kj(397 kcal),0,0,99,99,"0,2","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,
538,Genepi,3770011280049,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Sea Isle Pepper Sauce Extra Hot (220G),5010626016205,['France'],[],[],?,31,130 kj(31 kcal),"0,5","0,3","5,8","1,6",1,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Fettucine al peperoncino,8014311100405,['France'],[],[],?,365,1527 kj(365 kcal),"4,5","1,4",66,"2,5",15,"0,13","0,052",['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Fromage de vache,5609707009306,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Risotto au safran - 300g,8018370006937,['France'],[],[],?,401,1678 kj(401 kcal),"0,5","0,1",91,1,"8,2","0,019","0,008",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
543,Andouillette - 1kg,3250392599669,['France'],[],[],?,233,975 kj(233 kcal),"16,2","5,7","1,9","0,5","17,4","1,66","0,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
544,KP original salted peanuts,50237043,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Confitures mi figue mi raisinl,3511281005051,['France'],[],[],?,194,812 kj(194 kcal),"0,17","0,04",46,46,"0,5","0,021","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Chocolat Mapple Latte - Canada True,0771098011154,['France'],[],[],?,525,2200 kj(525 kcal),30,"17,5","62,5","57,5",5,"0,219","0,088",,E,['Canada True'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",30 g,en quantité élevée,17.5 g,en quantité élevée,57.5 g,en quantité élevée,0.219 g,en faible quantité,,-5%,-5%,-13%,-11%,+20%,+17%,-30%,-6%,-6%,24,-6%,E,-6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,
547,Le praliné impérial - Barnier,3374602650442,['France'],[],[],?,437,1828 kj(437 kcal),"2,3","0,8",86,68,"2,3","0,01","0,004",,,['Barnier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Garlic habanero,0788823111133,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Mp combat protéines powder - 1814g,0752830202115,['France'],[],[],?,386,1615 kj(386 kcal),"6,87","3,71","6,78","4,9","72,09","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814 g,,,,,,,,,,,,
550,Boisson à L'orange,0067311310020,['France'],[],[],?,40,167 kj(40 kcal),0,0,12,12,0,"0,12","0,048",,C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange""]",0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.12 g,en faible quantité,,+3%,+2%,-100%,-100%,+32%,+43%,-100%,+823%,+823%,14,+59%,E,+59%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,,,
551,The Deli Wasabi Peanuts 80G,5000362400192,['France'],[],[],?,432,1807 kj(432 kcal),"13,7","4,2","63,8","19,9","11,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Grillon charentais,2210619426117,['France'],[],[],?,196,820 kj(196 kcal),13,5,1,"0,5",19,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Tamount,6111260921388,['France'],[],[],?,123,515 kj(123 kcal),23,5,12,12,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Pâte à tartiner belge au chocolat noir,5425018449323,['France'],[],[],?,566,2368 kj(566 kcal),"37,3","6,6","49,4","48,7","5,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
