,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,generic_name,packaging,ingredients_origins,nova_score,manufacturing,additives,allergens,brand_owner,link,palm_ingredients
0,Granfiocco cotto al miele,2293501005959,['France'],[],[],?,268,1121 kj(268 kcal),"18,8","6,9","0,1","0,1","22,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Merguez volaille,2344023002541,['France'],[],[],?,130,544 kj(130 kcal),"5,6","1,5","0,1","0,1","18,8","2,09","0,836",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bnane bio,0209842024537,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pâté de campagne au Floc de Gascogne,3760113830334,['France'],[],[],?,377,1577 kj(377 kcal),35,14,"2,1","0,8",14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moutarde cèpes et ail - Reine de Dijon,3563490016878,['France'],[],[],?,170,711 kj(170 kcal),"11,1","0,8","3,6","2,5","8,1","5,3","2,12",,B,['Reine de Dijon'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",11.1 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en faible quantité,5.3 g,en quantité élevée,,0%,+0%,+3%,-2%,-48%,-35%,+23%,+13%,+13%,12,+3%,D,+3%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,
5,Assortiment de chocolats belges,5411901461053,['France'],[],[],?,555,2322 kj(555 kcal),35,19,54,51,"6,1","0,29","0,116",['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Douceur chocolat,3770013312182,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chicken piri piri - Tesco,03280942,['France'],[],[],?,352,1473 kj(352 kcal),"9,2",3,"49,3","8,4","15,9","1,7","0,68",,,['Tesco'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",9.2 g,en quantité modérée,3 g,en quantité modérée,8.4 g,en quantité modérée,1.7 g,en quantité élevée,,+120%,+123%,+24%,+19%,+370%,+435%,+68%,+80%,+80%,14,+317%,D,+317%,,,,,,,,,,,,,,,,,,,,
8,Brie aux Truffes,0205871020663,['France'],[],[],?,277,1159 kj(277 kcal),23,16,0,0,17,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Limoncello Golfondoro,8009710006106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pailletés De Chocolat Fin,3073417500590,['France'],[],[],?,501,2096 kj(501 kcal),26,16,58,56,5,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Yaourt,3518646125935,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Api vitality,8411882012210,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ravioli ricotta épinards - Findus,8434702000457,['France'],[],[],?,137,573 kj(137 kcal),"6,7","2,1",14,"2,6","4,4","1,2","0,48",['Sans colorants'],B,['Findus'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Tortellini', 'Ravioli ricotta & épinards']",6.7 g,en quantité modérée,2.1 g,en quantité modérée,2.6 g,en faible quantité,1.2 g,en quantité modérée,,-36%,-36%,+7%,-30%,-53%,-8%,-47%,+15%,+15%,6,+10%,C,+10%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,,,,,,,,,,,,,
14,Seed & Nut bars,5056066200279,['France'],[],[],?,398,1665 kj(398 kcal),11,1,57,31,12,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vinaigre a la pulpe de figue,3760129020774,['France'],[],[],?,116,485 kj(116 kcal),"0,21","0,02","25,09","24,84","0,68","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Veritable andouille de Vire,2252661108696,['France'],[],[],?,230,962 kj(230 kcal),14,"7,7","0,2","0,2",26,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Torrone Tenero Nougat - 150g,8001975046279,['France'],[],[],?,488,2042 kj(488 kcal),"24,5","12,4","56,2","53,4","7,9",1,"0,4",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,
18,300laitiers unis en cooperative,9503830046725,['France'],[],[],?,98,410 kj(98 kcal),4,"2,6",12,11,"3,4","0,08","0,032","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Thé rouge Casablanca,3700286555597,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Charly biscuit,3760255170374,['France'],[],[],?,447,1870 kj(447 kcal),"24,1","13,4","51,6","31,2","5,9","0,695","0,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fuet extra poivre,8437000999560,['France'],[],[],?,?,,?,,?,,?,,,,,,['ca:Fuet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Dinde nourrie aux graines de lin - Maître Coq,0215289022173,['France'],[],[],?,101,423 kj(101 kcal),"0,5",0,0,0,24,"0,1","0,04",,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Samahan - 100% natural herbal drink,4792022090010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chateau Maubert,3371234120756,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,L'extra tendre de poulet - Maître Coq,0215787070843,['France'],[],[],?,427,1787 kj(427 kcal),"1,2","0,4","0,4",0,22,"0,7","0,28",,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.084.001 CE', 'Essarts (Vendée, France)']",,,,,,,,,,,
26,Mejillones de las rías gallegas escabeche - Lorea gourmet,8410333002589,"['France', 'Espagne']",[],[],?,160,669 kj(160 kcal),"7,5","1,1",5,0,"18,1",2,"0,8",,,['Lorea gourmet'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",7.5 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,2 g,en quantité élevée,,-25%,-24%,-46%,-61%,+514%,-100%,-10%,+100%,+100%,5,+15%,C,+15%,,,,,,,,,,,,,,,,,,,,
27,Graines végétales bio CHIA,3165830015291,['France'],[],[],?,0,0 kj(0 kcal),"32,5","3,8",33,0,20,"0,02","0,008","['Bio', 'Sans gluten']",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",32.5 g,en quantité élevée,3.8 g,en quantité modérée,0 g,en faible quantité,0.02 g,en faible quantité,,-100%,-100%,+6%,+22%,+175%,-100%,-0%,-16%,-16%,-2,-322%,A,-322%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,,
28,Paté De Setas Eco Veritas 110G,8435173002131,['France'],[],[],?,189,791 kj(189 kcal),"14,95","2,51","6,62","0,72",7,"0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bio té al limón ecológico - Santiveri,8412170036901,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Joker multifruits,15535276,['France'],[],[],?,48,201 kj(48 kcal),0,0,11,"9,8","0,5",0,0,,D,['Joker'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",0 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0 g,en faible quantité,,+4%,+5%,-100%,-100%,+4%,+1%,+28%,-100%,-100%,4,+5%,C,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
31,PinaColada,0635346394638,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Laranga,7896267103348,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rosette,0207212101215,['France'],[],[],?,441,1845 kj(441 kcal),"37,3","13,6","2,2","1,6","24,1",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Melon prêt à déguster,2868541016335,['France'],[],[],?,136,569 kj(136 kcal),"0,135","0,047","6,49","5,94","0,71","0,011","0,004",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mix kip poulet - Carrefour,5400101062740,"['Chine', 'France']",[],[],?,198,828 kj(198 kcal),"5,2","1,4",26,"5,2",7,4,"1,6",,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,
36,Chocolate extrafino con leche y almendras - Santocildes,8426560000083,['France'],[],[],?,548,2293 kj(548 kcal),"32,32","16,84","54,63","42,2","9,63","0,85","0,34",,,['Santocildes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Cuisse de poulet - Carrefour,0219970015680,['France'],[],[],?,?,,?,,?,,?,,,,D,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",['Carrefour'],,,,,,,,,,
38,Chipolatas supèrieures,0261375028406,['France'],[],[],?,210,879 kj(210 kcal),"15,1","6,2","2,1",0,"16,5","1,5","0,6",,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",15.1 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-12%,-12%,-20%,-14%,+79%,-100%,+7%,-17%,-17%,14,-16%,D,-16%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,
39,Julien raynal,3683080474151,['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,1",11,11,"0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Roti porc,0207525037461,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Filet mignon fumé,2485083042372,['France'],[],[],?,121,506 kj(121 kcal),"2,3","0,8","1,2","1,1",24,"3,1","1,24","['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,U-don kuk-soo - Wang Korea - 453g,0087703002609,['France'],[],[],?,334,1397 kj(334 kcal),1,0,70,3,10,2,"0,8",,,['Wang Korea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453 g,,,,,,,,,,,,
43,Escalope extrafine de dinde - Monoprix,2201273028144,['France'],[],[],?,114,477 kj(114 kcal),2,"0,7",0,0,25,"0,1","0,04","['Viande Française', 'Volaille-francaise']",D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-6%,-5%,+52%,+74%,-100%,-100%,+9%,-82%,-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Monoprix'],,,,,,,,,,
44,Pizza 4 fromage,0263082049200,['France'],[],[],?,267,1117 kj(267 kcal),14,"9,3",19,"1,3",15,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Escalope de dinde carrefour,0289054026703,['France'],[],[],?,?,,?,,?,,?,,,,D,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,['Carrefour'],,,,,,,,,,
46,Terrines comme au Pays Basque au piment d'espelette - Ducs de Gascogne - 300g,3382562127300,['France'],[],[],?,361,1510 kj(361 kcal),33,10,"1,9","0,5",14,"1,8","0,72","['Point Vert', 'Sans colorants']",,['Ducs de Gascogne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
47,Kouign amann,3700754755092,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",,,,,,,,,,,,,,,,,,,,,,,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,,,,,,,,,,,,
48,Beignets parfum chocolat,,['France'],[],[],?,365,1527 kj(365 kcal),15,"2,1",47,15,"8,3","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mon sucrier à vanille - Alsa,8722700431800,['France'],[],[],?,?,,?,,?,,?,,,,,['Alsa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Natrena Liquide / Vloeibaar 1000ML,5410138005849,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Winning golden linseed,5017174809822,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Vinaigre de poire myrtille,3760068249014,['France'],[],[],?,?,,?,,?,,?,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tablette chocolat noir fruits de mer - 100g,5412860004275,['France'],[],[],?,550,2301 kj(550 kcal),36,22,47,45,"7,44","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
54,Poitrine de porc,0213099022048,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Macro frio,5603292003770,['France'],[],[],?,193,808 kj(193 kcal),"9,2","4,59","9,8","0,43",18,"0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Crispy mini pearl dark chocolate - Godiva,0031290718580,['France'],[],[],?,505,2113 kj(505 kcal),28,18,52,42,6,"0,08","0,032",,,['Godiva'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pain d'épices au miel et à l'orange,3577490000898,['France'],[],[],?,334,1397 kj(334 kcal),"0,8","0,1","75,5","42,9",7,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fraise et fraise des bois - La Nature en Confiture - 345g,3455149000218,['France'],[],[],?,233,975 kj(233 kcal),"0,5","0,1",54,52,"0,6","0,01","0,004",,D,['La Nature en Confiture'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.5 g,en faible quantité,0.1 g,en faible quantité,52 g,en quantité élevée,0.01 g,en faible quantité,,+7%,+7%,+107%,+122%,+2%,+3%,+35%,-56%,-56%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,345 g,,,,,,,,,,,,
59,Salted Caramel Profiteroled - Poppies,5411823867933,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,C,['Poppies'],"['Biscuits et gâteaux', 'Pâtisseries', 'Profiteroles']",,,,,,,,,,,,,,,,,,,,,,,74.4%,15.8%,4.8%,2.5%,2.6%,0.0%,65,,,,Mini Windbeutel mit gesalzenem Karamell,['Karton'],,,,,,,,
60,6 Gros oeufs de plein air MOISAN,3429640000213,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Les Inso Spirit Of Camargue,3441260005942,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Truite fumée de France,3389400340969,['France'],[],[],?,156,653 kj(156 kcal),7,"1,6",0,0,"23,1","2,7","1,08",,E,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",7 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,2.7 g,en quantité élevée,,-5%,-5%,-11%,-1%,-100%,-100%,+2%,-2%,-2%,12,+2%,D,+2%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,,,
63,Aceite de oliva virgen extra hojiblanca - Abril,8436001258164,['France'],[],[],?,900,3766 kj(900 kcal),100,13,0,0,0,0,0,,D,['Abril'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
64,Instant hojicha latte,8888296005181,['France'],[],[],?,456,1908 kj(456 kcal),15,15,76,56,"2,4",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pain complet 14 tranches,2329350446558,['France'],[],['Sans huile de palme'],?,263,1100 kj(263 kcal),"4,5","0,4",44,"7,2","8,9","1,2","0,48","['Sans additifs', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fettucine all'uovo,8057741724230,['France'],[],[],?,366,1531 kj(366 kcal),"4,7","1,4",64,"0,5",16,"0,12","0,048",['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ajo molido - El Corte Ingles,8433329069090,['France'],[],[],?,?,,?,,?,,?,,,,,['El Corte Ingles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Confiture fraise Mara des bois,3760074491056,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
69,Patatas enteras de primera - Aliada,8433329096089,['France'],[],[],?,52,218 kj(52 kcal),"0,5",0,11,0,"1,1","0,9","0,36",,,['Aliada'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dessert Schnitten - 200g,4260121235033,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,
71,Salsa jalapeño limón,7441006012063,['France'],[],[],?,27,113 kj(27 kcal),"0,1",0,6,5,"0,3","2,47","0,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Sucre arôme barbe à papa,,['France'],[],[],?,0,0 kj(0 kcal),0,0,50,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Sütlü Findik Kremasi 20% Findik - 351g,8691641130281,['France'],[],[],?,451,1887 kj(451 kcal),"6,2",0,"11,6","8,6","1,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351 g,,,,,,,,,,,,
74,Intense choco,07525391,['France'],[],[],?,366,1531 kj(366 kcal),10,6,58,53,10,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Nems aux Légumes halal,3760184321748,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Plats préparés', 'Nems', 'Nems aux légumes']",,,,,,,,,,,,,,,,,,,,,,,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,,,
76,Le fumé - Fleury Michon - 400g,3095758619014,['France'],[],[],?,116,485 kj(116 kcal),"2,8",1,"0,7","0,7",22,"1,8","0,72",,B,['Fleury Michon'],"['Produits de la mer', 'Poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés']",2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,,-37%,-36%,-77%,-66%,+62%,+202%,+30%,-51%,-51%,3,-78%,C,-78%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,400 g,,,,,,,,,,,,
77,Confiture Fraise Framboise,3515580000908,['France'],[],[],?,280,1172 kj(280 kcal),"0,3","0,3",60,60,"0,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Confiture mangue passion,5099682001332,['France'],[],[],?,177,741 kj(177 kcal),"0,2","0,1",44,41,"0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pattes d'ours,0207944019352,['France'],[],[],?,331,1385 kj(331 kcal),17,11,39,12,"5,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1/2 palette fumee dans le Haut Doubs - 2l,2181519013045,['France'],[],[],?,137,573 kj(137 kcal),"6,4","2,5","0,9","0,9","18,8","3,01","1,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 l,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",,,,,,,,,,,
81,Roti saumuré à mijoter,2245024077869,['France'],[],[],?,129,540 kj(129 kcal),"4,4","1,7","0,5","0,4",22,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dúo caldo para salsa de tomate - Gallina Blanca,8410300355410,"['France', 'Espagne']",[],[],?,235,983 kj(235 kcal),10,"5,9",25,14,11,"4,4","1,76",,,['Gallina Blanca'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",,,,,,,,,,+46%,+41%,+77%,+128%,+23%,+149%,+110%,-82%,-82%,,,,,,,,,,,,,,,,,,,,,,,,
83,EMMENTAL N.R.T.,0209631019157,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Aritos,1511798162539,['France'],[],[],?,516,2159 kj(516 kcal),"25,8","14,7","64,4","29,3","6,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Oeufs,3770014258014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Corbières,3263855111018,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Corbières']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,['France'],,,,,,,
87,Quédate,99633561,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Andouillette grill,2244787049984,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Aceto Balsamico di Modena,8053676821563,['France'],[],[],?,228,954 kj(228 kcal),0,0,52,52,"0,67","0,05","0,02",,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0.05 g,en faible quantité,,+55%,+55%,-100%,-100%,+64%,+78%,+1%,-29%,-29%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,['Italie'],,,,,,,
90,Condimento a base de aceite de oliva virgen extra y albahaca -,8421401999922,"['France', 'Espagne']",[],[],?,828,3464 kj(828 kcal),92,13,0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
91,Petit beurre tablette chocolat noir - Auchan,3596710414666,['France'],[],[],?,501,2096 kj(501 kcal),23,15,65,36,"6,9","0,46","0,184",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
