,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,ingredients_origins,markets,palm_ingredients,producer_info,origin_detail
694,Cuisses de canard cuites dans la graisse de canard - Cora,3257985664605,D,,,,['Cora'],"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,['France'],[],,,[],,18.3 g,en quantité modérée,5.1 g,en quantité élevée,0.4 g,en faible quantité,2.06 g,en quantité élevée,?,,255,+7%,1067 kj(255 kcal),+7%,"18,3",+11%,"5,1",-4%,"0,4",-12%,"0,4",+137%,22,+3%,"2,06",+49%,"0,824",+49%,17,+60%,D,+60%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,['Cora'],,,
695,Thé au citron - Belle France - 25sachets,3258561050102,B,,25 sachets,,['Belle France'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés au citron']",,['France'],"['Thé noir ', '90%', 'arôme citron ', '8%', 'écorces de citron ', '2%']",,,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Espagne'],,,,,,
696,Chocolat Noir Fourrage Truffe - Belle France - 150g,3258561060484,E,,150 g,,['Belle France'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],"['sucre', 'pâte de cacao', 'graisses végétales ', 'palme', 'palmiste', 'cacao en poudre', 'beurre de cacao', 'éclats de fèves de cacao torréfiés et caramélisés ', '24 %', 'éclats de fèves de cacao', 'sucre]', 'pâte de noisettes', 'matière de lait anhydre', 'lactosérum en poudre', 'émulsifiant : lécithines ', 'tournesol', 'naturel de vanille']",['E322i - Lécithine'],"['Lait', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,40 g,en quantité élevée,24 g,en quantité élevée,42 g,en quantité élevée,0.04 g,en faible quantité,2336,+2%,562,+1%,2336 kj(562 kcal),+1%,40,+2%,24,+4%,42,+9%,42,+32%,"5,2",-32%,"0,04",-14%,"0,016",-14%,20,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
697,Sac.200g Frites Candy Belle France - 200g,3258561070827,E,,200 g,"['Sachet', 'Plastique']",['Belle France'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['France'],"['Sirop de glucose', 'sucre', 'eau', 'gélatine', 'amidon transformé', 'acidifiant : acide citrique', 'arômes', 'colorants : E100 - E120 - E131 - E160c', 'amidon de blé']","['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E100 - Curcumine', 'E120 - Acide carminique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,67 g,en quantité élevée,0.028 g,en faible quantité,?,,335,-6%,1402 kj(335 kcal),-7%,0,-100%,0,-100%,80,-4%,67,+16%,"3,8",+79%,"0,028",-77%,"0,011",-77%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Fabriqué en France'],['France'],"['EMB 19007', 'Altillac (Corrèze, France)']",,,,,
698,Penne - Belle France - 500g,3258561109060,B,,500 g,"['Sachet', 'Plastique']",['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Penne', 'Penne rigate']",,['France'],"['semoule de blé dur ', 'gluten', ' de qualité supérieure']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,1516,+1%,358,+2%,1516 kj(358 kcal),+2%,"1,5",-11%,"0,3",-20%,73,+4%,3,+3%,"11,5",-4%,"0,02",+71%,"0,008",+71%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Qualité supérieure']",,,,,,,
699,Alphabet qualite superieur - Belle France - 500g e,3258561110035,C,Alphabets Qualité Supérieure,500 g e,"['Sachet', 'Plastique']",['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur']",,['France'],['100% semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,?,,357,+1%,1494 kj(357 kcal),+1%,"1,5",-16%,"0,3",-21%,73,+5%,3,-5%,"11,5",-7%,"0,02",-16%,"0,008",-16%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Qualité supérieure'],,,,,,,
700,Coquillettes - Belle France - 500g,3258561110127,,,500 g,,['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']",,['France'],[],,,[],,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,357,+0%,1494 kj(357 kcal),-0%,"1,5",-19%,"0,3",-22%,73,+3%,3,-4%,"11,5",-3%,0,-100%,0,-100%,-1,,A,,,,,,,,,,,,,,,,
701,Coquillettes - Belle France - 1kg,3258561110158,,,1 kg,['Plastique'],['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']",,['France'],['semoule de blé dur de qualité supérieure'],,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.02 g,en faible quantité,?,,357,+0%,1494 kj(357 kcal),-0%,"1,5",-19%,"0,3",-22%,73,+3%,3,-4%,"11,5",-3%,"0,02",-3%,"0,008",-3%,-1,,A,,,,,,,,,,['Espagne'],,,,,,
702,Lentilles vertes de France - Belle France - 500g,3258561119038,A,lentilles,500 g,"['Boîte', 'sachet']",['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",https://www.cabf.eu/prestation/produits-belle-france/,['France'],['lentilles vertes'],,['Guten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.7 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,1411,+17%,333,+16%,1411 kj(333 kcal),+16%,"1,7",+26%,"0,2",-7%,50,+29%,1,-24%,24,+9%,0,-100%,0,-100%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,['France'],"['EMB 43062A', 'Chaspuzac (Haute-Loire, France)']",['France'],['Coccinelle'],,,
703,Bouillon Pot Au Feu - Belle France - 120g e (12 * 10g),3258561130057,,,120 g e (12 * 10 g),"['Carton', 'boîte']",['Belle France'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de bœuf', 'Bouillons cubes']",,['France'],"['Sel', 'exhausteurs de goût : E621 E631 - E627', 'huile de palme', 'amidon de pomme de terre', 'sirop de glucose en poudre', ""extrait de bœuf d'Argentine "", '3,5 %', 'légumes', 'armes extrait de levure', 'colorant : caramel E150c', 'émulsifiant: E472a', 'persil']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', ""E472a - Ester diacétyl-acétique d'acides gras""]",,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,100,-15%,418 kj(100 kcal),-18%,"1,5",-63%,"0,8",-62%,"1,5",-90%,"0,2",-95%,"1,2",-75%,"5,2",-79%,"2,08",-79%,,,,,,,,,,,,,,,['Argentine'],,['Huile de palme'],,
704,Velouté de légumes - Belle France - 60cl (2 * 30cl),3258561130248,B,,60 cl (2 * 30 cl),,['Belle France'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",,['France'],"['eau', 'légumes 38% ', 'purée de tomates reconstituée', 'carottes', 'pommes de terre réhydratées oignons réhydratés', 'potiron', 'poireaux', 'petits pois', 'céleri-rave', 'lait écrémé reconstitué', 'amidon modifié de maïs', 'huile de colza', 'arôme naturel ', 'dont céleri', 'beurre', 'sucre', 'sel', 'extrait de levure']",['E14XX - Amidons modifiés'],"['Céleri', 'Lait']",['Non végétalien'],4,1.7 g,en faible quantité,0.6 g,en faible quantité,2 g,en faible quantité,0.7 g,en quantité modérée,174,+9%,42,+8%,174 kj(42 kcal),+7%,"1,7",+10%,"0,6",-1%,"4,5",-5%,2,+8%,"1,4",+64%,"0,7",+9%,"0,28",+9%,3,+124%,C,+124%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,
