,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,ingredients_origins,markets,palm_ingredients,producer_info,origin_detail
0,Pesto au Basilic - Panzani - 265g,3038359001604,C,"Préparation à base de Basilic, d'huile de tournesol et de fromages italiens",265 g,"['Bouteille', 'Bouchon', 'Plastique', 'Frais']",['Panzani'],"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces Pesto', 'Pestos au basilic']","http://www.panzani.fr/produits/toute-gamme-panzani/pates/pestos,produits,32,13,228.html",['France'],"['Basilic 29 %', 'huile de tournesol 21 %', 'eau', 'sirop de glucose', '  farine de __NOIX DE CAJOU_', 'FROMAGES italiens** 3 % ', 'GRANA PADANO ', 'ŒUF', 'PECORINO ROMANO', 'protéines de LAIT', 'sel', 'fibres végétales', 'amidon de maïs', 'arômes ', 'fruits à coque', 'PIGNONS 0,5 %', 'amidon transformé de mais', 'acidifiant : acide lactique', 'conservateur : sorbate de potassium']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait', 'Fruits à coque', 'PECORINO ROMANO', 'PIGNONS']",['Non végétalien'],4,26 g,en quantité élevée,3.4 g,en quantité modérée,6.1 g,en quantité modérée,2.2 g,en quantité élevée,?,,310,-31%,1297 kj(310 kcal),-31%,26,-41%,"3,4",-48%,15,+154%,"6,1",+166%,"3,4",-28%,"2,2",-11%,"0,88",-11%,13,-33%,D,-33%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,
1,Bolognaise au poulet - Panzani,3038359004063,,,,,['Panzani'],,,['France'],"['Pulpe de tomates avec morceaux et purée de tomates ', '46%', 'poulet 18%', 'eau', 'légumes 12% ', 'oignons', 'carottes', 'poivrons rouges', 'huile de tournesol', 'sucre', 'sel', 'amidon transformé de ma ', 'antes aroma', 'arômes ', 'LAIT', 'vin blanc', 'ail']",['E14XX - Amidons modifiés'],['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,89,,372 kj(89 kcal),,"4,2",,"0,9",,7,,"5,3",,5,,"1,3",,"0,52",,,,,,,,,,,,,['Sans colorants'],,,,,,,
2,Sushi rolls - Comptoir Sushi - 382g,3038680020831,,"Préparation culinaire à base de riz, de produits de la mer et de légumes et son assortiment de sauces",382 g,['Boîtes'],['Comptoir Sushi'],"['Plats préparés', 'Sushis et makis', 'Sushis']",,['France'],[],,"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Moutarde', 'Graines de sésame']",[],,6.4 g,en quantité modérée,1.8 g,en quantité modérée,2.3 g,en faible quantité,1.6 g,en quantité élevée,?,,160,+2%,669 kj(160 kcal),+3%,"6,4",+52%,"1,8",+90%,20,-16%,"2,3",-47%,"5,6",-1%,"1,6",+5%,"0,64",+5%,6,-6%,C,-6%,,,,,,,,,['Transformé en France'],"['FR 62.160.113 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,
3,Douceur de crabe - Delpierre,3038680041904,,,,,['Delpierre'],,,['France'],[],,,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,"8,3",,"4,9",,"8,5",,"1,4",,7,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
4,Filets de morue salée - Delpierre - 400g,3038680047326,E,,400 g,"['Barquette', 'Plastique']",['Delpierre'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,['France'],"['Cabillaud ', 'Gadus macrocephalus - pêché en Océan Pacifique FAO 67', 'avec lignes et hameçons', 'casiers et pièges', 'sel ', '18 % minimum']",,['Poisson'],"['Non végétalien', 'Non végétarien']",3,0.8 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,4 g,en quantité élevée,330,-11%,78,-33%,330 kj(78 kcal),-30%,"0,8",-74%,"0,4",-2%,0,-100%,0,-100%,18,+15%,4,+747%,"1,6",+747%,5,,C,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,"['Pêché à la ligne', 'Pêché au casier', 'Poisson sauvage']",['France'],"['FR 17.197.004 CE', 'Jonzac (Charente-Maritime, France)']","['FAO 67', 'Océan Pacifique']",['Carrefour'],,,
5,Filets de harengs fumés - Delpierre,3038680063166,B,,,,['Delpierre'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés', 'Filets de harengs']",,['France'],[],,,[],,12 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,10.5 g,en quantité élevée,?,,180,-2%,753 kj(180 kcal),-1%,12,-2%,3,+1%,"1,2",+177%,0,-100%,17,+1%,"10,5",+185%,"4,2",+185%,14,+1%,D,+1%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,['Fabriqué en France'],,,,,,,
6,Viande hachee bolognaise - Socopa - 650g,3039050041050,,,650 g,,['Socopa'],,,['France'],"['VIANDE BOVINE ', '73""', 'EAU', 'FIBRES VEGETALES ', '27%', 'roMAIE OEXTROSE', 'ACIOlFtANTS: 826', '-262', 'VINAIGRE', 'AltfOOU', 'Stt,AROMES', 'AROMATIQUES', 'BETTERAVE ROUGE EH POUDRE', 'TOURNESOL', '800', ' EN FRANCE AltURSNUTRlTtONNE11ES Pour 100g MOYENNES']",,,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,167,,699 kj(167 kcal),,10,,"3,7",,"1,3",,"0,6",,18,,"0,7",,"0,28",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
7,Steak Haché Frais Pur Boeuf Race Charolaise,3039050143099,E,,,,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,['France'],[],,,[],,15 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,?,,207,+11%,866 kj(207 kcal),+10%,15,+21%,"6,2",+19%,0,-100%,0,-100%,18,-6%,"0,2",-9%,"0,08",-9%,3,+9%,C,+9%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,
8,Viande hachée nature 15% MG Socopa,3039050335661,,,,,['Socopa'],,,['France'],"['INGRE01ENrs: BOVINE ORIGINE FRANCE ', '75%', 'EAU', 'FIBRES VEGEVALEs ', '28""', 'ACIOlflANTS•', ' 026', 'E262', 'AMIDON', 'sa', 'AROMC-', 'CETTERAVE ROUGE EN POUDRE', 'ANTIOXYDANT: ', '-300', ' FRANCE']",['E262 - Acétates de sodium'],,[],,,,,,,,,,?,,204,,854 kj(204 kcal),,15,,7,,"5,8",,"0,8",,"0,4",,"0,7",,"0,28",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
9,Haché l'Ultra Tendre - Socopa - 100g,3039050343178,,,100 g,,['Socopa'],,,['France'],"['VtANûE 80VlNE ORIGINE FRANCE ', '75%', 'EAU', 'FIBRES ', '2F4', 'ACIOlftANTS: 826', '-262', 'AMIDON', 'SEL', 'AROlltr-', 'ROUGE EN POUDRE', '800', ' EN fRANCE VALEURS NUTRITIONNEIIES Pour MOYENNES']",,,[],,,,,,,,,,?,,204,,854 kj(204 kcal),,15,,7,,"1,9",,"0,4",,13,,"0,7",,"0,28",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,"['FR 84.054.001 CE', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,
10,BLEDINA BLEDINER BRIQUES Epinards 2x250ml Dès 6 mois - 534g,3041090013836,D,Céréales lactées pour bébés,534 g,,"['BLEDINA', 'Blédiner']","['Produits laitiers', 'Laits']",,['France'],"['Eau - Lait écrémé 42,2 % ', 'LAIT', ' - Maltodextrines - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Farine de riz 2,0 % - Lactose ', 'LAIT', ' - Amidon de maïs - Epinards en poudre 0,4 % - Lactosérum déminéralisé ', 'LAIT', "" - Sucre - Flocons de pommes de terre - Carottes en poudre - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Emulsifiant : lécithine de soja ', 'SOJA', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', ' - Vitamines ', 'A', 'E,D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Antioxydant : extrait riche en tocophérols']","['E500ii - Carbonate acide de sodium', 'E525 - Hydroxyde de potassium', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,2.2 g,en faible quantité,1 g,en faible quantité,4.9 g,en faible quantité,0.1 g,en faible quantité,314,+19%,75,+14%,314 kj(75 kcal),+15%,"2,2",+7%,1,-16%,"11,6",+93%,"4,9",-10%,2,-44%,"0,1",-19%,"0,04",-19%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,['Magasins U'],['Huile de palme'],,
11,Bledilait 2 ème âge - Bledina - 900g,3041090800054,B,,900g,,"['Bledina', 'Danone']","['Aliments pour bébé', 'Laits pour bébé', 'Laits 2ème âge']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,,
12,Confiture de fraise -  le verger des fruits  - 1kg,3045320524871,D,,1 kg,,['le verger des fruits'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,?,,239,+10%,1000 kj(239 kcal),+10%,"0,1",-59%,0,-100%,59,+11%,58,+14%,"0,2",-55%,0,-100%,0,-100%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
13,Biscoco - Biscuits Poult - 120g,3045470073113,C,,120 g,['Papier'],['Biscuits Poult'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés à la noix de coco']",,['France'],"['Farine de blé', 'sucre', 'noix de coco râpée 15%', 'matière grasse végétale ', 'palme', 'œufs entiers en poudre et liquide', 'sel', 'poudres à lever ', ""carbonates d'ammonium - carbonates de sodium poudre de lait écrémé"", 'extrait de máir trorge', 'arome artificiel', ' Contient du gluten', 'du lait', 'des ceufs', ' Présence possible de soja', "" A conserver à l'abri de la chaleur et de l'humidité"", 'Consommer rapidement']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium']","['Gluten', 'Lait']",['Huile de palme'],4,25 g,en quantité élevée,16 g,en quantité élevée,23 g,en quantité élevée,1.1 g,en quantité modérée,2171,+1%,514,+3%,2171 kj(514 kcal),+3%,25,-3%,16,+5%,64,+7%,23,+0%,"7,2",+15%,"1,1",+106%,"0,44",+106%,21,+8%,E,+8%,78.6%,11.5%,4.0%,3.5%,2.4%,0.0%,62,,,['40 001F'],,,,,
14,emmental francais,3046300001351,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,['France'],[],,,[],,29 g,en quantité élevée,19 g,en quantité élevée,1.3 g,en faible quantité,0.6 g,en quantité modérée,?,,382,+1%,1598 kj(382 kcal),+1%,29,-2%,19,-4%,"3,3",+443%,"1,3",+175%,27,-3%,"0,6",+2%,"0,24",+2%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
15,Sauce Tomate Cuisinée ? L'oignon La Simplissima,3051030038249,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,3",,"0,1",,"6,2",,"5,9",,"1,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
16,Pate d’arachide - Dakanuts,3051106208507,C,,,,['Dakanuts'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['France'],"['Arachides grj', ""lées 97,5% - émulsifiant d'origine végétale - * Ingredients : Roasted 97,5% - emu"", 'sifr of plant origin : E471 - sa', 't?']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,[],4,51.4 g,en quantité élevée,6 g,en quantité élevée,5.9 g,en quantité modérée,0.5 g,en quantité modérée,?,,625,+4%,2615 kj(625 kcal),+5%,"51,4",+7%,6,-28%,"9,3",-35%,"5,9",-7%,"27,2",+11%,"0,5",-6%,"0,2",-6%,10,-9%,C,-9%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,
17,Calamars - Baltic - 150g (120g égoutté),3052420133629,,,150 g (120 g égoutté),"['Barquette', 'Plastique']",['Baltic'],"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Mollusques', 'Calamars']",,['France'],"['Calamars 80% ', 'Loligo Duvauceli pêché en zone FAO 51 Est Océan Indien au chalut', ' ', 'mollusques', ',huile de tournesol', 'persil', 'vinaigre de vin ', 'sulfites', 'sel', 'fructose', 'acidifiant : acide lactique', 'antioxydant : acide ascorbique', 'conservateur : sorbate de potassium', 'arôme naturel']","['E270 - Acide lactique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,208,+31%,870 kj(208 kcal),+27%,11,+17%,"1,1",-23%,"2,4",-46%,"0,5",-32%,25,+91%,"1,1",-3%,"0,44",-3%,2,-24%,B,-24%,,,,,,,,['Pêché au chalut'],['Italie'],['IT 3068 CE'],['FAO 51'],['Leclerc'],,,
18,Poulpes - Baltic - 150g /120g égoutté,3052420133636,,,150 g /120 g égoutté,"['Frais', 'Plastique']",['Baltic'],"['Snacks', 'Snacks salés', 'Apéritif', 'Plats préparés', 'Réfrigérés', 'Plats préparés réfrigérés', 'Entrées', 'Entrées froides', 'Plats à base de mollusques', 'Poulpes préparés']",,['France'],"['Poulpes 80 % ', 'Octopus maya pêché en FAO 31 et Octopus vulgaris pêché en FAO 34 Atlantique Centre-Est par chalut', ' ', 'mollusques', 'huile de tournesol', 'persil', 'vinaigre de vin ', 'sulfites', 'sel', 'fructose', 'acidifiant : acide lactique', 'antioxydant : acide ascorbique', 'conservateur : sorbate de potassium', 'arôme naturel']","['E270 - Acide lactique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,0.4 g,en faible quantité,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,116,-18%,485 kj(116 kcal),-16%,"3,5",-46%,"0,4",-69%,"1,9",-80%,"0,5",-65%,19,+117%,"2,2",+95%,"0,88",+95%,5,+53%,C,+53%,,,,,,,,"['Point Vert', 'Fabriqué en Italie', 'Pêché au chalut']",['Italie'],['IT 3068 CE'],"['FAO N°31', 'FAO N°34', 'Océan Atlantique Centre-Est']",['Leclerc'],,,
19,Knepfle aux oeuf frais Schneider - 600g,3052420311041,,,600 g,,['Schneider'],,,['France'],"['de tournesol', 'sel', 'acidifiant : acide citrique lenduit contient 3 à 4 portions Velcurs nutritionnelles']",['E330 - Acide citrique'],,[],,,,,,,,,,?,,185,,774 kj(185 kcal),,"6,5",,1,,25,,"0,4",,"5,8",,"1,1",,"0,44",,,,,,,,,,,,,,,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",,,,,
20,Fruit De Monin - Fraise - 1 Litre,3052910033125,,,,,['Monin'],,,['France'],[],,,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,0,,0,,"83,2",,"82,4",,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,
21,Le sirop de Monin Citron - 1l,3052910056117,B,Sirop de citron jaune,1 l,"['Verre', 'Bouteille']",['Monin'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron', 'Boissons avec sucre ajouté']",,['France'],"['Sucre', 'eau', 'acidifiant : acide citrique', 'jus concentré de citron ', '7%', 'arôme naturel de citron', 'colorant : E102']","['E330 - Acide citrique', 'E102 - Tartrazine']",,[],4,,,,,,,,,?,,315,+49%,1318 kj(315 kcal),+47%,0,-100%,0,-100%,"77,1",+47%,1,-98%,0,-100%,"0,03",+36%,"0,012",+36%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
22,Monin - Lemon Tea Thé Citron Syrup,3052911170065,,,,,['Lemon Tea'],"['Boissons', 'Boissons avec sucre ajouté']",,['France'],"['sucre', 'eau', 'jus concentré de citron', 'dl dilution 1+10', 'arôme naturel de thé', 'de 24%', ' A']",,,[],4,0 g,en faible quantité,0 g,en faible quantité,70.6 g,en quantité élevée,0.2 g,en quantité modérée,?,,290,+241%,1213 kj(290 kcal),+228%,0,-100%,0,-100%,"71,1",+259%,"70,6",+286%,0,-100%,"0,2",+435%,"0,08",+435%,20,+68%,E,+68%,,,,,,,,,,,,,,,
23,Le sirop de monin margarita,3052911225482,,,,,['Monin'],['Boissons'],,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,78.3 g,en quantité élevée,0 g,en faible quantité,?,,2,-96%,8 kj(2 kcal),-97%,0,-100%,0,-100%,"78,3",+593%,"78,3",+729%,0,-100%,0,-100%,0,-100%,11,+44%,E,+44%,,,,,,,,,,,,,,,
24,Sirop Coktails Citron vert - Monin - 33cl,3052911236471,,,33 cl,"['Bouteille', 'Verre']",['Monin'],"['Boissons', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,['France'],"['Sucre', 'eau', 'acidifiant : acide citrique', 'jus concentré de citron vert et de citron', 'arôme naturel de citron-citron vert', ""émulsifiants : gomme d'acacia"", 'E445', 'colorants : E161b', 'E133', ' Jus de fruits : 20 % minimum', 'dont 12,5 % de jus de citron vert']","['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois', 'E161b - Lutéine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,[],4,0 g,en faible quantité,0 g,en faible quantité,61.4 g,en quantité élevée,0.02 g,en faible quantité,?,,258,+486%,1079 kj(258 kcal),+448%,0,-100%,0,-100%,"61,5",+612%,"61,4",+806%,0,-100%,"0,02",-58%,"0,008",-58%,20,+263%,E,+263%,,,,,,,,"['Point Vert', 'Contient des sulfites']",,,,,,,
25,Creme de peche,3055150005150,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,89,,372 kj(89 kcal),,0,,0,,22,,20,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
26,Râpé du chef spécial cuisine - FROMAGERIE LE CENTURION - 200g,3060921456840,D,Préparation alimentaire râpée,200g,['Sous atmosphère protectrice'],['FROMAGERIE LE CENTURION'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Préparations à base de lait']",,['France'],"['Lait', 'eau', 'amidon modifié ', 'E1404', 'E1420', 'E1422', 'graisse végétale raffinée', 'poudre de lait', 'agent anti mottant : fécule de pomme de terre', 'sel', 'ferments lactiques', 'erwrne coagulante', 'colorant : ', 'El 60aj El 60b', 'El 20 El 50aj El 53', 'El 71', 'stabilisant ', 'E417', 'arôme', 'conservateurs : ', 'E235', 'E251 ', 'E202', ""lysozyme d'*"", 'sels de fonte : ', 'E452', 'E339', 'E331']","['E14XX - Amidons modifiés', 'E1404 - Amidon oxydé', 'E1420 - Amidon acétylé', 'E1422 - Adipate de diamidon acétylé', 'E417 - Gomme tara', 'E235 - Natamycine', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E1105 - Lysozyme', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']",['Lait'],"['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,15.5 g,en quantité élevée,3.7 g,en faible quantité,1.5 g,en quantité modérée,?,,295,-10%,1234 kj(295 kcal),-10%,19,-29%,"15,5",-13%,"21,9",+1710%,"3,7",+399%,"9,1",-55%,"1,5",+15%,"0,6",+15%,14,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)', 'FR 73.171.001 CE', 'Montmélian (Savoie, France)']",,,,,
27,Tomme Noire Des Pyrenees,3060921459100,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées', 'Tomme noire des Pyrénées']",,['France'],[],,,[],,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,348,+1%,1456 kj(348 kcal),+1%,28,-0%,20,+1%,"1,5",+29%,"0,5",+107%,22,+7%,"1,8",+1%,"0,72",+1%,16,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
28,Saint Paulin - Simply market,3060921460762,,,,,['Simply market'],,,['France'],"['LR1ï pasteurise de vache ', ""origine:France'dI"", 'sel,ferments Croute non consommabte', 'Vateljrs']",,,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,25,,17,,"0,5",,"0,5",,22,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,
29,Spécialités fromagère fondue aux noix - FLC - 150g,3060921461905,,,150 g,,['FLC'],,,['France'],"['eau', 'FROMAGES ', 'dont colorant : El et conservateur : E235', 'BEURRE', 'NOIX 796', 'protéines de LAIT', 'poudre de LACTOSERUM', 'amidon', 'sels de fonte E452/Ez /E339/E331', 'NOISETTES', 'épaississants : ', 'E407/E41 OIE508', 'sel', 'arôme naturel ', 'CELEF NOIX,AMANDES', "" Traces éventuelles d'oeufs"", 'de moutarde etdautres fruits à coques']","['E235 - Natamycine', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Lait', 'Fruits à coque']",['Non végétalien'],4,,,,,,,,,?,,324,,1356 kj(324 kcal),,29,,17,,3,,"2,1",,12,,2,,"0,8",,,,,,,,,,,,,,,"['FR 73.171.054 CE', 'Montmélian (Savoie, France)', 'FR 73.171.064 CE', 'Montmélian (Savoie, France)']",,,,,
30,Pavé hauts de france - Inconnue,3060921462490,,,,,['Inconnue'],,,['France'],"['PAVE HAUTS DE FRRNCE Fromage a pate pressee non cuite', 'lngredients: LRIT pasteurise de vache ', 'origine:lJE', 'non consommablRVateurs nutritionnelles moyennes pour 100g:Energie 1362 kJ ', '328 grasses:26g dont']",,,[],,,,,,,,,,?,,328,,1372 kj(328 kcal),,26,,16,,"0,5",,"0,5",,23,,"1,6",,"0,64",,,,,,,,,,,,,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,
31,Salade Iceberg,3061430004270,,,,,,"['Plats préparés', 'Salades', 'Salades composées']",,['France'],[],,,[],,0.3 g,en faible quantité,0.01 g,en faible quantité,1.2 g,en faible quantité,0.04 g,en faible quantité,?,,49,-68%,205 kj(49 kcal),-68%,"0,3",-97%,"0,01",-99%,"1,9",-81%,"1,2",-47%,"0,7",-87%,"0,04",-95%,"0,016",-95%,0,-100%,B,-100%,,,,,,,,['Sans conservateurs'],,,,,,,
32,Mache Frisée Fine Les Crudettes,3061430004331,,,,,['Les Crudettes'],,,['France'],[],,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,5",,"0,1",,"0,2",,"0,1",,"2,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
33,Baby Carottes et Duo de Radis A Croquer -,3061430009176,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,45,,188 kj(45 kcal),,"2,4",,"0,2",,"6,2",,"3,9",,"0,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,
34,Mélange de Jeunes Pousses,3061430009411,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,13,,54 kj(13 kcal),,"0,5",,"0,04",,"0,6",,"0,2",,"1,6",,,,,,,,,,,,,,,,,,,"['EMB 45082', 'Châteauneuf-sur-Loire (Loiret, France)']",,,,,
35,Sirop d'orange,3061435002455,B,,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', ""Sirops d'orange""]",,['France'],[],,,[],,,,,,,,,,?,,278,+21%,1163 kj(278 kcal),+16%,"0,5",+288%,"0,1",+289%,69,+17%,69,+21%,"0,5",+252%,"0,01",-67%,"0,004",-67%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
36,Biscuits Chocolat - BN - 295g,3061990139825,D,,295 g,,['BN'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,
37,Pain Complet - Daudette,3064311061034,,,,,['Daudette'],,,['France'],"['Farine de blé', 'gluten', 'son fin', 'son gros', 'germe de blé stabilisé', 'sel', 'levure sèche', 'émulsifiant : E471', 'farine de blé malté', 'alpha amylase', 'hémicellulase', 'agent de traitement de la farine : acide ascorbique', ' Pour une bonne conservation de votre farine', ""refermez le paquet après usage et gardez-le à l'abri""]","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E1100 - Amylases', 'E300 - Acide ascorbique']",['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,342,,1431 kj(342 kcal),,"2,5",,"0,6",,65,,"2,6",,12,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,
