,name,bar_code,eco_score,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner,origin_detail,producer_info,generic_name,link
207,Mini gaches pur beurre - La Fournée Dorée - 270g,3587220002658,C,270 g,"['Sachet', 'Plastique']",['La Fournée Dorée'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Gâches', 'Brioches pur beurre', 'Briochettes']",['France'],"['Farine de blé', 'sucre', 'beurre concentré 8 %', 'œufs entiers frais', 'crème fraîche 4', '5 %', 'sirop de sucre inverti', 'levure', 'gluten de blé', 'sel', 'arômes naturels ', 'contient alcool', 'émulsifiant ', 'E471', 'protéines de lait', 'levure désactivée', 'colorant ', 'bêtacarotène']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,12 g,en quantité modérée,8 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,?,,349,-5%,1460 kj(349 kcal),-5%,12,-16%,8,-14%,51,+0%,14,-4%,"8,2",+1%,1,+6%,"0,4",+6%,18,-2%,D,-2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Point Vert', 'Pur beurre']",,,,,,,,,Briochettes au beurre et à la crème fraîche. 6 Mini Gâches Pur Beurre,
208,Confiserie-papier azyme parfumé - Togolo - 93g,3588400258834,E,93 g,,['Togolo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['fécule de pomme de terre', 'émulsifiant: huile végétale', 'eau', 'sucralose', 'arôme vanille et fraise', 'Colorants : E120', 'E160a', 'E133', "" Colorant d'impression: E120""]","['E955 - Sucralose', 'E120 - Acide carminique', 'E160a - Carotènes mélangés', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,3.1 g,en quantité modérée,1.1 g,en faible quantité,0.49 g,en faible quantité,0.125 g,en faible quantité,?,,382,+7%,1598 kj(382 kcal),+7%,"3,1",+67%,"1,1",+4%,"88,5",+6%,"0,49",-99%,"0,03",-99%,"0,125",+3%,"0,05",+3%,5,-65%,C,-65%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Sans gluten'],,,,,,,,,,
209,"Farine De Blé 1kg - Biscuiterie de l abbaye - 2,5kg",3592430000073,A,"2,5 kg",['Sachet'],['Biscuiterie de l abbaye'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de blé type T45']",['France'],['Farine de blé Type 45'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.8 g,en faible quantité,0.2 g,en faible quantité,1.8 g,en faible quantité,0 g,en faible quantité,?,,355,+3%,1485 kj(355 kcal),+2%,"0,8",-26%,"0,2",+3%,73,+1%,"1,8",+26%,12,+22%,0,-100%,0,-100%,-5,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,['France'],['Reinigue'],['magasin de l abbaye'],,,,,,
210,Bouteilles goût cola 200g - Auchan - 200g,3596710131907,E,200 g,,['Auchan'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Bonbons acidulés gélifiés']","['France', 'Royaume-Uni']","['sucre', 'sirop de glucose', 'eau', 'gélatine de porc ', 'acidifiants : acide tartrique', 'acide malique ', 'malates de sodium', ' : denrée alimentaire colorante : sirop de caramel', 'arôme naturel,']","['E428 - Gélatine', 'E334 - Acide L-tartrique', 'E296 - Acide malique', 'E350 - Malates de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,63 g,en quantité élevée,0.01 g,en faible quantité,?,,328,-5%,1372 kj(328 kcal),-5%,"0,5",+3%,"0,1",-58%,"77,2",-5%,63,+5%,"5,4",+65%,"0,01",-95%,"0,004",-95%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Nutriscore', 'Nutriscore D']",,,,['Auchan'],,,,,,
211,Auchan Court Bouillon De Poisson,3596710335190,,,,['Auchan'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",['France'],[],,,[],,,,,,,,,,?,,176,+9%,736 kj(176 kcal),+5%,"1,9",-66%,"0,3",-88%,"30,9",+51%,"19,1",+239%,"6,1",+16%,"49,25",+99%,"19,7",+99%,,,,,,,,,,,,,,,,['Auchan'],,,,,,
212,Le Charcutier pâté de lapin aux noisettes - Auchan - 200g,3596710344840,C,200 g,"['Frais', 'Plastique']",['Auchan'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",['France'],"['Viande de lapin 28%', 'origine France', 'gorge de porc 23%', 'origine France', 'foie de porc 19%', 'origine France', 'maigre de porc 12%', 'origine France', 'vin blanc', 'NOISETTES 3% ', 'FRUITS A COQUES', 'oignons', 'farine de blé ', 'contient GLUTEN', 'échalote', 'sel', 'dextrose', 'épices et plantes aromatiques', 'arôme naturel', 'antioxydant : érythorbate de sodium', ' conservateur : nitrite de sodium', 'colorant:caramel ordinaire']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']","['Gluten', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,20.8 g,en quantité élevée,7.9 g,en quantité élevée,1.3 g,en faible quantité,1.8 g,en quantité élevée,1133,+4%,273,-1%,1133 kj(273 kcal),-1%,"20,8",-8%,"7,9",-6%,"3,6",+120%,"1,3",+77%,"17,5",+14%,"1,8",+20%,"0,72",+20%,17,+1%,D,+1%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,['Point Vert'],"['FR 72.132.002 CE', 'Ferté-Bernard (Sarthe, France)']",['France'],['France'],['Auchan'],,,,,,
213,Chocolat - Auchan - 100g,3596710347339,E,100g,['Film en plastique'],['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",['France'],"['Sucre', 'lait entier en poudre 25%', 'graisse végétale ', 'palme-palmiste', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre 2,9%', 'huile de tournesol', 'émulsifiant : lécithines de tournesol', 'arômes naturel', 'arôme naturel de vanille']",['E322i - Lécithine'],,"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,34 g,en quantité élevée,20 g,en quantité élevée,53 g,en quantité élevée,0.26 g,en faible quantité,?,,551,-0%,2305 kj(551 kcal),+0%,34,-1%,20,+10%,53,+1%,53,+7%,"7,7",+19%,"0,26",+33%,"0,104",+33%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Fabriqué en Allemagne'],"['EMB 66136CD', 'Perpignan (Pyrénées-Orientales, France)']",['Lait origine Union européenne'],"['Frankonia', 'Veitshöchheim', 'Allemagne']",['Auchan'],['Huile de palme'],,,,,
214,"Soda agrumes - Auchan - 1,5L",3596710355334,,"1,5 L","['Bouteille', 'Plastique']",['Auchan'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas aux agrumes']",['France'],"['Eau gazéifiée', 'sucre', ""jus d'agrumes à base de concentrés 0,7 % "", 'mandarine', 'orange', 'citron', 'pamplemousse', 'acidifiant : acide citrique', ""arôme naturel d'agrumes"", 'édulcorants : acésulfame-k', 'sucralose', 'antioxydant : acide ascorbique', 'colorant : vert S']","['E330 - Acide citrique', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E300 - Acide ascorbique', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition']","['Citron', 'Mandarine', 'Orange', 'Pamplemousse']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,7.3 g,en quantité élevée,0 g,en faible quantité,?,,30,+11%,126 kj(30 kcal),+9%,"0,5",+1122%,"0,1",+926%,"7,3",+8%,"7,3",+10%,"0,5",+811%,0,-100%,0,-100%,10,+8%,E,+8%,,,,,,,,,,,,['Auchan'],,,,,Boisson gazéifiée saveur agrumes avec sucre et édulcorants,
215,Tomates sechees bio - Auchan - 100g,3596710356546,,100 g,,['Auchan'],,['France'],"['tomates Fabrtcat,ion cet+dfiée par Icea [T - B!O - 006 cettifiée par Ecoceft FR - BIO - 01 Irgredients tomates sechées 87,3+ sel', ' Traces de g!uten', 'soja', 'gra:nes de sesame et céteri']",,,[],,,,,,,,,,?,,187,,782 kj(187 kcal),,"0,6",,"0,1",,"29,7",,"16,1",,"11,4",,"12,7",,"5,08",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'IT-BIO-006']",,,,['Auchan'],,,,,,
216,Sauce béarnaise - Auchan,3596710362974,D,,,['Auchan'],"['Epicerie', 'Sauces', 'Sauces béarnaises']",['France'],"[""sauce condimentaire à base d'estragon et dlechalct"", ' Ingédients : huile de colza', 'eau', 'sirop de fructose', 'estra on réhydraté vinaigre dia échalotes réhy ratées 3,4%,jaune modifié de mais', 'acidifiant : acide lactique', 'sorbate de potassium', 'épaississant - gomme Cpt', 'spils de conservation : se conserve un colorant : lutéine', ' préférence saturés 5,1 g']","['E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E161b - Lutéine']",,[],4,59 g,en quantité élevée,4.7 g,en quantité modérée,3.6 g,en faible quantité,2 g,en quantité élevée,?,,554,+26%,2318 kj(554 kcal),+29%,59,+34%,"4,7",-17%,"5,1",+6%,"3,6",+51%,"0,6",-49%,2,+23%,"0,8",+23%,18,+10%,D,+10%,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,['Auchan'],,,,,,
217,Croque dinde fromage - Pouce,3596710369034,,,,"['Pouce', 'Auchan']",,['France'],"['Préparation à base de viandes de dinde et de poulet traitées en salaison 55% : viande de dinde 19,8%', 'viande de poulet 18,3%', 'eau', 'dextrose', 'peau de poulet', 'fibres et protéines de blé ', 'contient gluten', 'sel', 'antioxydant citrates de sodium', 'arôme et arôme de fumée', 'conservateur : nitrite de sodium', ' Jambon de dinde cuit standard au goût fumé 10% : viande de dinde 7%', 'eau', 'dextrose', 'protéines de blé ', 'contient gluten', 'sel', 'stabilisants : tri et polyphosphates', 'arômes et arôme de fumée ', 'contient gluten', 'conservateur : nitrite de sodium', ' Fromage fondu 10% : fromage ', 'contient lait', 'eau', 'beurre ', 'contient lait', 'amidons modifiés', 'lait écrémé en poudre', 'lactosérum ', 'contient lait', 'sels de fonte : citrates de sodium et polyphosphates', 'gélifiant : carraghénanes', 'acidifiant : acide citrique', ' Panure 25% : farine de blé ', 'contient gluten', 'eau', 'levure', 'sel', 'épices', ' Huile de tournesol', ' Pourcentages exprimés sur le total de la recette avant friture', ' Traces éventuelles de : céleri', 'œuf', ' Elaboré à partir de viande et de lait origine UE']","['E331 - Citrates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,229,,958 kj(229 kcal),,14,,"3,6",,14,,"3,3",,11,,"1,3",,"0,52",,,,,,,,,,,,,,,,,['Auchan'],,,,,,
218,100% coeur frisee - Auchan,3596710385218,,,,['Auchan'],,['France'],['ingrédient Frisée'],,,[],,,,,,,,,,?,,14,,59 kj(14 kcal),,"0,2",,"0,1",,"0,3",,"0,3",,"1,3",,0,,0,,,,,,,,,,,,,['Sans conservateurs'],,,,['Auchan'],,,,,,
219,"Jus de pomme, pêche, mangue, passion - Auchan - 1l",3596710389445,C,1 l,"['Frais', 'Carton']",['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']",['France'],"['Jus de pomme ', '73%', 'purée de pêche ', '15%', 'purée de mangue ', '8%', 'purée de fruit de la passion ', '4%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,46,-4%,192 kj(46 kcal),-4%,"0,5",+160%,"0,1",+252%,11,-1%,11,+6%,"0,5",+16%,"0,01",+25%,"0,004",+25%,5,+11%,C,+11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Nutriscore', 'Nutriscore C', 'Pur jus']",,,,['Auchan'],,,,,"Jus de pomme, pêche, mangue et fruit de la passion flash pasteurisé",
220,Pointes d'asperges vertes - Auchan,3596710394777,B,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges vertes']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en quantité modérée,?,,27,+23%,113 kj(27 kcal),+24%,0,-100%,0,-100%,"3,1",+66%,0,-100%,"2,1",+5%,"0,8",+23%,"0,32",+23%,-6,,A,,87.5%,0.0%,0.0%,5.2%,5.7%,1.5%,80,"['Nutriscore', 'Nutriscore E']",,,,['Auchan'],,,,,,
221,Pâté aux piments d'Espelette - Auchan - 180g e,3596710398799,,180 g e,"['Carton', 'Verre', 'Bocal']",['Auchan'],"['Viandes', 'Charcuteries', 'Terrines', 'Pâtés charcutiers']",['France'],"['Foie de porc ', 'France', 'gras de porc ', 'France', 'gorge de porc ', 'France', ""blanc d'œuf pasteurisé"", 'oignons hachés ', 'oignons', ""huile d'olive vierge"", 'sel', ""correcteur d'acidité : acide citrique"", 'épaississants : gomme guar et farine de graines de caroube', 'sel', 'sucre', ""pulpe d'ail pasteurisé"", ""piment d'Espelette "", 'AOP', ' ', '0,5 %', 'poivre']","['E330 - Acide citrique', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",['Œufs'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,33 g,en quantité élevée,13 g,en quantité élevée,0.4 g,en faible quantité,2.5 g,en quantité élevée,?,,356,+24%,1490 kj(356 kcal),+25%,33,+36%,13,+44%,"1,5",-36%,"0,4",-58%,13,-6%,"2,5",+54%,1,+54%,21,+18%,E,+18%,,,,,,,,"['Point Vert', 'Produit en braille', 'Fabriqué en France']","['EMB 64279F', 'Itxassou (Pyrénées-Atlantiques, France)', 'FR 64.279.001 CE', 'Itxassou (Pyrénées-Atlantiques, France)']","['France', 'Porc de France']","['GILBERT BARADAT ZONE ARTISANALE ERROBI 64250 ITXASSOU France', 'France']",['Auchan'],,,,,Pâté supérieur au piment d'Espelette. Pâté aux Piments d'Espelette,
222,"Planet Cola Cherry - Auchan - 1,5l",3596710402748,,"1,5 l","['Bouteille', 'Plastique']",['Auchan'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola', 'Boissons avec sucre ajouté']",['France'],"['Eau gazéifiée', 'sucre', 'arôme naturel', 'colorant : caramel E150d', 'arôme naturel de cerise', 'acidifiant : acide orthophosphorique', 'caféine']","[""E150d - Caramel au sulfite d'ammonium"", 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,165,+99%,39,+86%,165 kj(39 kcal),+85%,"0,5",+1892%,"0,1",+1470%,"9,7",+81%,"9,6",+83%,"0,5",+1534%,0,-100%,0,-100%,13,+76%,E,+76%,,,,,,,,,,,,['Auchan'],,,,,Boisson gazéifiée aux arômes naturels saveur cerise,
223,Croûtons nature - Auchan - 60g,3596710411559,D,60 g,"['Sachet', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['France'],"['Farine de blé ', 'contient gluten', 'huile végétale ', 'tournesol', 'lactose ', 'lait', 'sel', 'levure', 'sucre', ""extrait de malt d'orge "", 'contient gluten', 'protéines de lait', 'colorant : extrait de paprika']",['E160c - Extrait de paprika'],"['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,12 g,en quantité modérée,1.3 g,en faible quantité,4.2 g,en faible quantité,2.2 g,en quantité élevée,?,,395,-16%,1653 kj(395 kcal),-17%,12,-41%,"1,3",-57%,61,+4%,"4,2",+14%,"8,6",-9%,"2,2",+13%,"0,88",+13%,11,-25%,D,-25%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,"['Nutriscore', 'en:palm-oil-free']",,,,['Auchan'],,,,,,
224,Langue de porc en gelée - Auchan - 2x 90g,3596710424047,,2 x 90 g,,['Auchan'],,['France'],"['Langues de porc ', 'origine UE', ' 84%', 'gelée 16% ', 'eau', 'gélatine de porc', 'sel', 'dextrose', 'acidifiant : acide citrique', ' conservateur : sorbate de potassium ', ' gélifiant : carraghénanes', ' épaississant : gomme xanthane', ' colorant: E150c', ' arômes', 'sel', 'stabilisants diphosphates', 'triphosphates ', ' dextrose', 'farine de moutarde', 'antioxydants: érythorbate de sodium', 'ascorbate de sodium ', ' arômes naturels', 'conservateur : nitrite de sodium', 'vinaigre']","['E428 - Gélatine', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Moutarde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,183,,766 kj(183 kcal),,12,,4,,"0,6",,"0,5",,19,,"1,9",,"0,76",,,,,,,,,,,,,['Fabriqué en France'],"['EMB 72132A', 'Ferté-Bernard (Sarthe, France)', 'FR 72.132.002 CE', 'Ferté-Bernard (Sarthe, France)']",,,['Auchan'],,,,,,
225,Haricots verts coupés extra fins - Auchan - 200g,3596710428854,B,200 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",['France'],[],,,[],,0.4 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.6 g,en quantité modérée,99,0%,23,-4%,99 kj(23 kcal),0%,"0,4",+59%,"0,2",+267%,"2,1",-21%,"0,5",-35%,"1,5",+1%,"0,6",-10%,"0,24",-10%,-6,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,"['Nutriscore', 'Nutriscore A']",,,,['Auchan'],,,,,,
226,Crème dessert Choco lait - Auchan - 500g,3596710432516,,500 g,,['Auchan'],,['France'],"['lait entier 74%', 'sucre', 'chocolat 3% ', 'sucre', 'beurre de dégraissé', 'amidon modifié de manioc', 'crème ', 'contient hit', 'cacao carraghénanes', 'poudre de babeurre ', 'contient lait', 'sel', ""correcteur d' de sodium""]",['E14XX - Amidons modifiés'],['Lait'],['Non végétalien'],4,,,,,,,,,?,,124,,519 kj(124 kcal),,4,,"2,7",,"18,8",,"16,6",,"2,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,['Auchan'],,,,,,
227,Origan - Auchan,3596710432998,B,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Origan']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,43.4%,0.0%,30.7%,8.2%,17.7%,0.0%,93,,,,,['Auchan'],,,,,,
228,Feuilletés Gouda et Pesto - Mmm ! - 75g e,3596710433056,B,75 g e,"['boîte', 'Carton']","['Mmm !', 'Auchan']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé ', 'contient gluten', 'fromage gouda ', 'contient lait', ' ', '29,1 %', 'beurre concentré ', 'contient lait', ' ', '29,1 %', 'assaisonnement au pesto ', '2,7 %', ' ', 'basilic', 'oignon', 'ail', 'origan', 'extrait de levure', ""arôme naturel d'oignon"", 'huile de tournesol', 'persil', ""arôme naturel d'ail"", 'sel']",,"['Gluten', 'Lait']",['Non végétalien'],4,42 g,en quantité élevée,29 g,en quantité élevée,0.5 g,en faible quantité,1.88 g,en quantité élevée,2412,+21%,576,+24%,2412 kj(576 kcal),+23%,42,+111%,29,+435%,34,-43%,"0,5",-87%,14,+41%,"1,875",-6%,"0,75",-6%,22,+43%,E,+43%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['Point Vert', 'Pur beurre', 'Triman']",,,,['Auchan'],,,,,,
229,Nouilles - Auchan - 500g,3596710437344,C,500 g,"['Sachet', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Nouilles de blé dur']",['France'],"['semoule de blé dur de qualité supérieure ', 'contient gluten']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.2 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.025 g,en faible quantité,?,,352,-2%,1473 kj(352 kcal),-2%,"1,2",-34%,"0,3",-21%,72,+2%,3,-14%,12,+3%,"0,025",-43%,"0,01",-43%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,['Auchan'],,,,,,
230,Gros sel de Camargue - Auchan,3596710439058,,,,['Auchan'],,['France'],[],,,[],,,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,5,,0,,15,,0,,0,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
231,Tielles sétoises - Mmm ! - 220g (2 * 110g),3596710439300,C,220 g (2 * 110 g),"['Réfrigéré', 'Plastique', 'Sous atmosphère protectrice', 'Frais']","['Mmm !', 'Auchan']","['Plats préparés', 'Tartes', 'Réfrigérés', 'Plats préparés réfrigérés', 'Tourtes', 'Tielles Sétoises', 'Plats à base de mollusques']",['France'],"['Farine de blé ', 'contient gluten', 'encornets géants ', 'mollusques', ' 22,7 %', 'eau', 'huile de tournesol', 'double concentré de tomate 8,4 %', 'ail', 'sel', 'levure', ' herbes aromatiques', 'épices 0,1 %', 'sucre']",,"['Gluten', 'Mollusques']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,1.7 g,en quantité modérée,3.7 g,en faible quantité,1.4 g,en quantité modérée,?,,303,+115%,1268 kj(303 kcal),+119%,15,+133%,"1,7",+33%,33,+245%,"3,7",+161%,8,-8%,"1,4",+24%,"0,56",+24%,6,+83%,C,+83%,73.9%,7.5%,3.3%,6.3%,1.9%,7.1%,56,"['Nutriscore', 'Point Vert', 'Fabriqué en France', 'Nutriscore C']","['FR 34.113.500 CE', 'Gigean (Hérault, France)']",,"['France', 'Gigean']",['Auchan'],,,,,Pâte garnie d'encornets et d'une sauce épicée à la tomate,
232,Multi Vitaminé Rik & Rok - Auchan - 20cl,3596710440511,,20 cl,,['Auchan'],"['Boissons', 'Boissons avec sucre ajouté']",['France'],['Boisson aux jus de fruits à base de concentrés aromatisée multifruits avec ajout de vitamines Ih9édieht9 : eau'],,,[],1,0.5 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,?,,35,-59%,146 kj(35 kcal),-61%,"0,5",+33%,"0,1",-40%,"8,8",-56%,"8,7",-52%,"0,5",-7%,0,-100%,0,-100%,11,-8%,E,-8%,,,,,,,,['Fabriqué en France'],['61165A'],,['France'],"['simply market', 'Auchan']",,,,,,https://www.google.com/url?sa=t&source=web&rct=j&url=https://fr.openfoodfacts.org/produit/3596710440511/multi-vitamine-rik-rok-auchan&ved=2ahUKEwjaoc3C1cfdAhWxxYUKHRdyDN4QFjAAegQIABAB&usg=AOvVaw1IuI3zpC4zM1Osgsw8Ikgo
233,Tarte aux fromages - Auchan - 400g,3596710444915,B,400 g,"['Carton', 'Plastique', 'boîte', 'Frais']",['Auchan'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",['France'],"['Garniture ', '64,1 %', ' : lait entier ', 'origine France', 'œufs', 'fromage blanc 5,9% ', 'contient lait origine France', 'comté 5,7 % ', 'contient lait origine France', 'emmental 5,7 % ', 'contient lait origine France', 'crème fraîche 4,2 % ', 'contient lait origine France', ""blancs d'œufs"", 'amidon modifié de maïs et/ou de riz', 'sel', 'muscade', 'poivre', '\rPâte feuilletée ', '35,9 %', ' : farines ', 'contient gluten', ' ', 'farine de blé', 'farine de fèves', 'farine de blé malté', 'agent de traitement de la farine : acide ascorbique', 'beurre 9,2 % ', 'contient lait origine UE', ' ', 'beurre', 'colorant : caroténoïdes', 'eau', 'sel']","['E14XX - Amidons modifiés', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,15 g,en quantité modérée,9.7 g,en quantité élevée,2.4 g,en faible quantité,0.75 g,en quantité modérée,?,,246,-4%,1029 kj(246 kcal),-5%,15,-1%,"9,7",+16%,21,+6%,"2,4",+2%,"7,9",-10%,"0,75",-19%,"0,3",-19%,15,+15%,D,+15%,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,"['Produit en braille', 'Fabriqué en France', 'Pur beurre']",,['France'],['France'],['Auchan'],,,,,,
