,name,bar_code,eco_score,quantity,packaging,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,ingredients_origins,manufacturing,markets,palm_ingredients,brand_owner,origin_detail,producer_info,generic_name,link
19,Chocolat Noir 70% Moment d'Espelette - Antton,3514962711029,E,,,['Antton'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', ""Chocolats noirs au piment d'Espelette""]",['France'],"['pâte de cacao', 'sucre', 'beurre de cacao', ""poudre de piment d'Espelette 1 ,25%"", 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', ' Cacao : 70% minimum dans le chocolat']",['E322i - Lécithine'],['Soja'],[],4,42 g,en quantité élevée,26 g,en quantité élevée,28 g,en quantité élevée,0 g,en faible quantité,2360,,569,+4%,2360 kj(569 kcal),+3%,42,+2%,26,+4%,34,+1%,28,+15%,8,+3%,0,-100%,0,-100%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
20,Infusion bio 20 sachets Elimination - Nutrisante,3515450012802,B,,,['Nutrisante'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
21,Mais Pop Corn - Nature d'origine - 500g,3521232001018,,500 g,,"[""Nature d'origine""]",['Maïs pour pop corn'],['France'],['LOO g MAIS POP-CORN'],,,[],,1.8 g,en faible quantité,0.2 g,en faible quantité,1.9 g,en faible quantité,0 g,en faible quantité,?,,302,-8%,1264 kj(302 kcal),-8%,"1,8",-46%,"0,2",-58%,44,-26%,"1,9",+42%,19,+78%,0,-100%,0,-100%,-7,,A,,,,,,,,,,,,,,,,,,,
22,CREME UHT CUISSON ET LIAISON 18%,3523230015035,,,,,,['France'],[],,,[],,,,,,,,,,?,,191,,799 kj(191 kcal),,18,,"11,5",,"4,6",,"4,6",,"2,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
23,Saucisse Citronnelle - Lapxuong - Singha,3530770001039,,,,['Singha'],,['France'],"['Viande de porc 91%', 'sucre', 'citronnelle', 'oignons', 'noix de coco râpée', 'sel', 'épices ', 'contient de la moutarde', 'ail', 'E 621', 'contient de la réglisse', ' Peut contenir des traces de soja', 'blé et sesame']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Moutarde'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,323,,1351 kj(323 kcal),,35,,"14,1",,"5,2",,"4,7",,"17,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
24,Suprême du Ventoux aux amandes - La Petite Fabrique Provençale - 240g,3533360224030,,240 g,['Carton'],['La Petite Fabrique Provençale'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes']",['France'],"['Sucre', 'amandes 32 %', 'oeufs', 'beurre', 'extrait naturel de vanille']",,"['Œufs', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,26.4 g,en quantité élevée,9.5 g,en quantité élevée,30.6 g,en quantité élevée,0.14 g,en faible quantité,1898,+5%,456,+4%,1898 kj(456 kcal),+4%,"26,4",+15%,"9,5",+18%,"40,6",-13%,"30,6",+4%,"11,2",+37%,"0,14",-54%,"0,056",-54%,15,-16%,D,-16%,,,,,,,,"['Sans gluten', 'Beurre de baratte AOP Charentes Poitou']",,,,,,,,,Gâteau aux amandes sans gluten,
25,Sève de bouleau fraîche des Hautes-Alpes -,3534771422060,,,,,"['Boissons', 'Boissons sans sucre ajouté', 'Sèves de bouleau']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-80%,4 kj(1 kcal),-82%,0,-100%,0,-100%,"0,2",-82%,0,-100%,0,-100%,0,-100%,0,-100%,1,-17%,B,-17%,,,,,,,,['Bio'],,,,,,,,,,
26,Nat &Form Konjac,3535400002295,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
27,Levure De Riz Rouge 600 MG - 120 Gélules - Nat & Form,3535400007344,,,,['Nat & Form'],,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
28,"Les Rillettes Hénaff Poulet, Rôti en marmite - 3boîtes de 72g",3537580705416,D,3 boîtes de 72 g,"['Boîte', 'Conserve', 'Métal', 'Etui', 'Carton']",['Hénaff'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet', 'Rillettes de poulet rôti', 'Rillettes-speciales']",['France'],"['Viande de poulet* ', '95%', 'graisse de canard*', 'oignon', 'sel de mer', 'poivre', 'condiment', ' * Origine : France']",,,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3,17 g,en quantité modérée,,,0.22 g,en faible quantité,0 g,en faible quantité,1485,,359,+10%,1485 kj(359 kcal),+12%,17,-38%,,,"0,8",+63%,"0,22",-27%,17,+4%,0,-100%,0,-100%,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['Viande Française', 'Volaille Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne', 'Sans nitrite de sodium']","['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,"['Jean Hénaff Production - Lieu dit Ker Hastell - 29710 Pouldreuzic', 'Finistère', 'Bretagne', 'France']",,,,,,Rillettes de poulet rôti,
