,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
10,Preparer pur boeuf,5414268121417,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Les ficelles de l'Aveyron,3275560101550,,,,,,,,,['France'],[],,[],?,490,2050 kj(490 kcal),"38,9","14,97","0,1","34,9","4,81","1,924",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sanglier à la fleur de thym - Succulence - 90g,3281810901115,90 g,['Verrine'],['Succulence'],['France'],,,,,['France'],"['gorge de porc', 'sanglier 22%', 'foie de porc', 'vin rouge', 'œufs entiers', 'sel', 'herbes de Provence 0', '24% ', 'thym', 'romarin', 'sarriette', 'origan', ' ', 'poivre']","['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",?,294,1230 kj(294 kcal),"16,9","6,1","0,5","15,1",1,"0,4",0,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",16.9 g,en quantité modérée,6.1 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,-5%,-5%,-37%,-39%,-76%,-100%,+8%,-37%,-37%,13,-28%,D,-28%,,,,,,,,['Cuisiné en France'],Terrine de Sanglier,3,,,,,
13,Chèvre frais vendéen,3292992003979,,,,,,,,,['France'],[],,[],?,226,946 kj(226 kcal),18,13,"2,4",14,"1,2","0,48","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Yop Mangue,3297560171838,,,,,,,,,['France'],[],,[],?,74,310 kj(74 kcal),"1,8","1,2","11,5",2,"0,1","0,04","11,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
15,"Plateau 2 Chipolatas, 2 Merguez, 2 Chipo aux herbes",3321250003809,,,,,,,,,['France'],[],,[],?,227,950 kj(227 kcal),18,"7,2","1,3",15,"1,5","0,6",1,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",18 g,en quantité modérée,7.2 g,en quantité élevée,1 g,en faible quantité,1.5 g,en quantité modérée,,-5%,-5%,-5%,-0%,+11%,+58%,-3%,-17%,-17%,15,-10%,D,-10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,
16,Crêpes whaou craquy,3322680010979,,,,,,,,,['France'],[],,[],?,469,1962 kj(469 kcal),24,9,54,8,1,"0,4",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
17,Pruneaux d'agen - Coufidou - 250g,3328400862330,250 g,,['Coufidou'],,,,,,['France'],[],,[],?,1070,4477 kj(1070 kcal),"0,2","0,1","52,3","2,36","0,013","0,005","37,9",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.2 g,en faible quantité,0.1 g,en faible quantité,37.9 g,en quantité élevée,0.013 g,en faible quantité,,+344%,+343%,-44%,-12%,-2%,+4%,+26%,-6%,-6%,12,+448%,D,+448%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,"['Bio', 'Bio européen', 'IGP', 'AB Agriculture Biologique']",,,,,,,
18,Petit filou tub's - Yoplait,3329770057906,,,['Yoplait'],,,,,,['France'],[],,[],?,92,385 kj(92 kcal),"2,8","1,9","12,2","3,6","0,13","0,052","10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Paté de foie pur porc,3330180041010,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Planta Fin-beurre,3332230010168,,,,,,,,,['France'],[],,[],?,10,42 kj(10 kcal),10,10,10,10,50,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Spaghetti ble delice au ble complet,3334861020110,,,,,,,,,['France'],[],,[],?,347,1452 kj(347 kcal),"1,9","0,2",67,13,"0,02","0,008",7,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti', 'en:whole-wheat-spaghetti']",1.9 g,en faible quantité,0.2 g,en faible quantité,7 g,en quantité modérée,0.02 g,en faible quantité,,0%,+0%,-10%,-49%,+2%,+100%,+3%,+23%,+23%,0,,B,,,,,,,,,['Fabriqué en France'],,,,,,,
22,Velouté glacé Pomme Concombre - M. de Turenne,3339332500559,,,['M. de Turenne'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Amandes Carados - Medicis,3340390003166,,,['Medicis'],,,,,,['France'],[],,[],?,545,2280 kj(545 kcal),"31,54",11,"54,8","10,5","0,069","0,028","51,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
