,name,bar_code,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_sugars_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,generic_name,nova_score,additives,brand_owner,origin_detail,producer_info,palm_ingredients
155,Bilar,7310350114146,,,,,,,,,['France'],[],,[],?,347,1452 kj(347 kcal),"0,2",0,83,"4,3","0,23","0,092",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Glands,0252005012797,,,,,,,,,['France'],[],,[],?,0,0 kj(0 kcal),14,"4,2",35,"2,6","0,44","0,176","2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Bifteck - Charal,0292471013584,,,['Charal'],,,,,,['France'],[],,[],?,113,473 kj(113 kcal),"2,3","0,8","0,1",23,"0,17","0,068","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
158,Yaourt granola fruits rouges,5024373136093,,,,,,,,,['France'],[],,[],?,174,728 kj(174 kcal),"7,4",4,"22,2","5,1","0,12","0,048","14,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,jambon bocage marigny - 236g,2408515031355,236g,,['Marigny'],,,"['FR 50.292.001 CE', 'Marigny (Manche, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Schiacciatina,8033661246205,,,,,,,,,['France'],[],,[],?,451,1887 kj(451 kcal),19,"2,8",58,10,"1,6","0,64","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-014']",,,,,,,
161,Garbure Traditionnelle - Les recettes de mamie,3760195332160,,,['Les recettes de mamie'],,,,,,['France'],[],,[],?,122,510 kj(122 kcal),"8,6","3,3","1,8","8,6","0,8","0,32","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
162,Jambon superieur blanc,2248963026578,,,,,,,,,['France'],[],,[],?,126,527 kj(126 kcal),"4,4","1,6","0,5",21,"1,5","0,6",0,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",4.4 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,,-5%,-4%,-8%,-13%,-25%,-100%,-0%,-20%,-20%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Qualité supérieure'],,,,,,,
163,Respilibre,3700790000996,,,,,,,,,['France'],[],,[],?,288,1205 kj(288 kcal),0,0,72,0,"0,275","0,11",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Croquant du soleil,3760028650409,,,,,,,,,['France'],[],,[],?,429,1795 kj(429 kcal),12,"10,8",75,"4,7","0,08","0,032",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Olio extra vergine di oliva,8010445000208,,,,,,,,,['France'],[],,[],?,824,3448 kj(824 kcal),92,13,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,-7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
166,Boudin noir oignon -,2238071014437,,,,,,"['FR 28.027.005 CE', 'Bazoche-Gouet (Eure-et-Loir, France)']",,,['France'],"['Oignons 33%', 'sang', 'viande et masque de porc ', ' origine France', 'MOUTARDE', 'sel', 'épices', 'plantes aromatiques et arome naturel', 'Boyau de porc']",['Moutarde'],"['Non végétalien', 'Non végétarien']",?,1016,4251 kj(1016 kcal),21,"8,1","2,4",11,"1,3","0,52","2,05",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']",21 g,en quantité élevée,8.1 g,en quantité élevée,2.05 g,en faible quantité,1.3 g,en quantité modérée,,+298%,+301%,-3%,-3%,-21%,+1%,-5%,-2%,-2%,23,+46%,E,+46%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,['Sans colorants'],,4,,,,,
167,Grissoti,8015565060149,,,,,,,,,['France'],[],,[],?,436,1824 kj(436 kcal),14,"2,3",67,10,2,"0,8","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
168,Fleur de sel au gingembre,3558180090535,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['Bio'],,,,,,,
169,Tomme fraiche,2440386037524,,,,,,,,,['France'],[],,[],?,348,1456 kj(348 kcal),28,20,"1,9",22,"0,07","0,028","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
170,Tournedos filet - Charal,0292451085341,,,['Charal'],,,,,,['France'],[],,[],?,113,473 kj(113 kcal),"2,3","0,8",0,23,"0,17","0,068",0,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,,-37%,-37%,-76%,-80%,-100%,-100%,+14%,-85%,-85%,-4,-176%,A,-176%,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
171,Salade Antiboise,0201423017389,,,,,,,,,['France'],[],,[],?,233,975 kj(233 kcal),17,"1,6",16,4,"0,3","0,12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Kuivattu Marjamix -,6430505050097,,,,"['États-Unis', 'Finlande']",,,,,"['Finlande', 'France']","['Sokeri', 'suomalainen puolukka', 'karpalo ', 'USA', 'suomalainen mustaherukka', 'suomalainen mustikka', 'auringonkukkaöljy']",,[],?,286,1197 kj(286 kcal),"1,5","0,3",66,"1,4",0,0,57,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",1.5 g,en faible quantité,0.3 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,,-15%,-15%,-78%,-87%,+14%,+32%,-66%,-100%,-100%,8,+67%,C,+67%,,,,,,,,"['Riche en fibres', 'fi:Avainlippu']",Kuivattu marjasekoitus,3,,,,,
173,Raisin blanc,2046520013975,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Pain fabrication maison,3760140694275,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Véritable axoa d'Espelette,3557052150001,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Compote banane poire mangue,4062300292536,,,,,,,,,['France'],[],,[],?,74,310 kj(74 kcal),"0,2",0,"16,2","0,9","0,05","0,02","13,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Chips original,5601363008815,,,,,,,,,['France'],[],,[],?,533,2230 kj(533 kcal),"33,7",3,"48,8","6,5","1,3","0,52","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Interdoces,5605408238939,,,,,,,,,['France'],[],,[],?,334,1397 kj(334 kcal),"0,2","0,2","77,6","4,3","0,1","0,04","55,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,terrine aux chataîgnes,3760033500362,,,,,,,,,['France'],[],,[],?,361,1510 kj(361 kcal),34,32,"3,9",11,"1,7","0,68",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Fuet  extra nature,8421395044790,,,,,,,,,['France'],[],,[],?,447,1870 kj(447 kcal),"35,2","13,5","7,1","25,3","3,3","1,32","1,6",,['ca:Fuet'],35.2 g,en quantité élevée,13.5 g,en quantité élevée,1.6 g,en faible quantité,3.3 g,en quantité élevée,,+0%,0%,-1%,+3%,+70%,-31%,-6%,-17%,-17%,25,+1%,E,+1%,,,,,,,,,,,,,,,
181,Rôti cuit charentais cuit à l'ancienne,2255260034373,,,,,,,,,['France'],[],,[],?,166,695 kj(166 kcal),"4,7","1,9",0,31,1,"0,4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
182,Chocolat lait 55 % Madagascar - Alain Ducasse,3700829000447,,,['Alain Ducasse'],,,,,,['France'],[],,[],?,556,2326 kj(556 kcal),40,24,35,"9,3","0,21","0,084",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Tartiflette Frabrication Maison,0208789021258,,,,,,,,,['France'],[],,[],?,163,682 kj(163 kcal),11,"6,6",10,"5,3","0,5","0,2","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Eau de rose,5285001292073,,,,,,,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Jus de pomme - La Valse des Jus,3760169440150,,,['La Valse des Jus'],,"['Normandie', 'France']",,,,['France'],[],,[],?,43,180 kj(43 kcal),0,0,"9,6",0,0,0,3,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0 g,en faible quantité,0 g,en faible quantité,3 g,en quantité modérée,0 g,en faible quantité,,-7%,-6%,-100%,-100%,-13%,-71%,-100%,-100%,-100%,-2,-148%,B,-148%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,
186,Ananas,2444661016990,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Ariba,8003180907376,,,,,,,,,['France'],[],,[],?,515,2155 kj(515 kcal),28,17,57,5,"0,12","0,048",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Halal']",,,,,,,
188,Patatas Fritas Simon,8420699001065,,,,,,,,,['France'],[],,[],?,564,2360 kj(564 kcal),"40,66","5,32","44,4","4,07","0,95","0,38","0,1",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",40.7 g,en quantité élevée,5.32 g,en quantité élevée,0.1 g,en faible quantité,0.95 g,en quantité modérée,,+6%,+6%,+25%,+72%,-14%,-93%,-32%,-27%,-27%,16,+42%,D,+42%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,
189,Oeuf frais elevees au sol -  - x6,20406578,x6,['Boite'],,['France'],['France'],"['FR 67.033.001 CE', 'Bernolsheim (Bas-Rhin, France)']",,,['France'],[],,[],?,?,,?,,?,?,,,,B,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol']",,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Oeufs de France'],,,,,,,
190,Jousépaétwa,3130630854777,,,,,,,,,['France'],[],,[],?,2,8 kj(2 kcal),3,1,6,9,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Air,3544165538550,,,,,,,,,['France'],[],,[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Royal Wedding Biscuit,5060475156768,,,,,,,,,['France'],[],,[],?,514,2151 kj(514 kcal),"26,7","15,5","64,2","4,7",1,"0,4",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Uildeupalmperimé,4000161812555,,,,,,,,,['France'],[],,[],?,14,59 kj(14 kcal),3,1,2,10,"0,1","0,04",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Canelé Saint-James - Auchan,2030502436654,,,['Auchan'],,,,,['Auchan'],['France'],[],,[],?,?,,?,,?,?,,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Canelés']",,,,,,,,,,,,,,,,,,,,,,,70.8%,15.1%,6.9%,3.5%,3.7%,0.0%,81,,,,,,,,
195,Jambon cuit porc de l' Aveyron,0209270024406,,,,['France'],,,,,['France'],[],,[],?,159,665 kj(159 kcal),6,"2,2",0,26,"5,7","2,28",0,,"['Viandes', 'Porc', 'Porc français', ""Porc de l'Aveyron""]",6 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,5.7 g,en quantité élevée,,-24%,-24%,-54%,-49%,-100%,-100%,+26%,+131%,+131%,13,-1%,D,-1%,,,,,,,,,,,,,,,
196,Confit de figurs,3330720199515,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,The Simpsons Flaming Moe Energy Drink,0611508171835,,,,,,,,,['France'],[],,[],?,110,460 kj(110 kcal),0,0,29,0,"0,11","0,044",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Peanut power - Trek,5060088703908,,,['Trek'],,,,,,['France'],[],,[],?,369,1544 kj(369 kcal),"10,9","1,8","46,7","18,5","0,8","0,32","38,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,
199,Bonbons fourrés au miel - 150g,7354713473020,150 g,,,,,,,,['France'],[],,[],?,380,1590 kj(380 kcal),"0,5","0,1",94,"1,1","0,01","0,004",68,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0.5 g,en faible quantité,0.1 g,en faible quantité,68 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-1%,+79%,+13%,-0%,-2%,+163%,-50%,-50%,14,+1%,D,+1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,
200,Risotto thai sarrasin,3760136680275,,,,,,,,,['France'],[],,[],?,193,808 kj(193 kcal),"10,7","8,6","20,4","3,8","1,6","0,64","2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
201,L'africain - Les Jardins de Gaïa,3582810923023,,,['Les Jardins de Gaïa'],,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
202,Thé noir,3700111078451,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
203,Risotto quinoa aux cèpes,3760136680602,,,,,,,,,['France'],[],,[],?,166,695 kj(166 kcal),"9,6","4,6","14,9",5,"1,2","0,48","2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
204,Pruneaux d'Agen Bio - Pruno Délice - 250g,3328400870342,250 g,,['Pruno Délice'],,,,,,['France'],[],,[],?,253,1059 kj(253 kcal),"0,2","0,1","52,3","2,4","0,01","0,004","37,9",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.2 g,en faible quantité,0.1 g,en faible quantité,37.9 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+5%,-44%,-12%,-2%,+4%,+28%,-28%,-28%,0,-100%,B,-100%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-16', 'Sans conservateurs', 'IGP']",,,,,,,
205,Yaourts sur lit de framboises sans pépin 1.5% M.G. - La Ferme de Béthanie en Cotentin - 500g (4*125g),3760071180076,500g (4*125g),"['Fresh', 'Frais']",['La Ferme de Béthanie en Cotentin'],,,,,,['France'],"['lait partiellement écrémé', 'lait écrémé en poudre', 'ferments lactiques', 'préparation de fruits 20% ', 'framboise 45%', 'sUcre', 'amidon modifié de tapioca', 'arôme naturel', 'carraghénane', 'sorbate de potassium', ' 1,5% mini MG sur produit fini']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,?,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la framboise']",,,,,,,,,,,,,,,,,,,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,4,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
206,Pâte Tom Ka avec crème de coco,8850030006686,,,,,,,,,['France'],[],,[],?,410,1715 kj(410 kcal),"32,5","28,5",24,"5,5","8,8","3,52",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ginger cookie - Morrisons,5010254100345,,,['Morrisons'],,,,,,"['France', 'Royaume-Uni']",[],,[],?,482,2017 kj(482 kcal),"18,9","8,3","73,3","4,7","1,2","0,48",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Probios Delizia Mit Heidelbeeren,8018699011827,,,['Probios'],,,,,,['France'],[],,[],?,398,1665 kj(398 kcal),12,"2,6",67,"3,4","0,5","0,2",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-007']",,,,,,,
209,Aceita de oliva virgen extra,8425406525506,,,,,,,,,"['France', 'Espagne']",[],,[],?,900,3766 kj(900 kcal),100,12,0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-14%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
210,Fresubin Fibre Abricot-Pêche,4086000015844,,,,,,,,,['France'],[],,[],?,200,837 kj(200 kcal),"7,8","0,6","21,8",10,0,0,"5,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Cassoulet au confit d'oie,3321450507107,,,,,,,,,['France'],[],,[],?,136,569 kj(136 kcal),"6,8","2,3","8,4","8,6","0,97","0,388","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,La Brandade de morue -,0205371052485,,,,,,,,,['France'],[],,[],?,156,653 kj(156 kcal),"9,6","0,9","10,1","7,2","0,8","0,32","0,3",E,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",9.6 g,en quantité modérée,0.9 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,+7%,+7%,+12%,-46%,+6%,-67%,+6%,-3%,-3%,0,-100%,B,-100%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,
213,Infusion Toujours là !,3760259310080,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Yannoh Good Morning - Lima,5411788045681,,,['Lima'],,,,,,['France'],[],,[],?,368,1540 kj(368 kcal),"0,1",0,"86,8","2,7","0,1","0,04",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Super cœur fondant - michel et augustin - 180g,3760122969735,180 g,,['michel et augustin'],,,,,,['France'],"['LES INGRÉDIENTS huiles et graisses végétales ', 'tournesol', 'karite DE VOS SUPER COOKIES SUNTnoix de coco', 'cacão maigre en poudre', 'chocolat noir ', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', 'lait écrémé en poudre', 'émulsifiant :lécithines de soja', 'une cuillere à soupe de farine de blé', 'une cuillère de sucre', 'une noix de beure frais', 'des pépites de chocolat noir 8,5% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsinant: lécithines de tournesol', 'des noix de pécan 7%', 'des éclats de caramel 6% ', 'sucre', 'beurre', 'lait écrémé en poudre', 'lait entier en poudre', 'sel', ""de la farine d'avoine"", 'une pointe de poudre de lait écrémé', 'un soupcon de poudres à lever ', 'diphosphates', 'carbonates de sodium', ' et une pincée de sel', ' Gourmand et allergique ?D Contient:gluten', 'lait', 'soja et pécan', "" Peut contenir: traces d'oeufs et fruits à coque"", ' TOQUEZ ET BAVARDONS']","['Gluten', 'Lait', 'Fruits à coque', 'Avoine', 'Soja']",['Non végétalien'],?,507,2121 kj(507 kcal),27,11,59,6,"0,52","0,208",39,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",27 g,en quantité élevée,11 g,en quantité élevée,39 g,en quantité élevée,0.52 g,en quantité modérée,,+26%,+26%,+38%,+44%,+19%,+40%,+10%,-14%,-14%,26,+45%,E,+45%,,,,,,,,,,4,"['E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,
216,Naleśniki z serem i jagodami,5902021515233,,,,,,,,,['France'],[],,[],?,154,644 kj(154 kcal),"1,8",1,27,"7,5","0,1","0,04","8,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Cassoulet au confit de canard,3397130906300,,,,,,,,,['France'],[],,[],?,136,569 kj(136 kcal),"6,8","2,3","8,4","8,6",1,"0,4","1,2",C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",6.8 g,en quantité modérée,2.3 g,en quantité modérée,1.2 g,en faible quantité,1 g,en quantité modérée,,-11%,-10%,-12%,-18%,+6%,+67%,-18%,+12%,+12%,2,+22%,B,+22%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,"['Sans colorants', 'Sans conservateurs']",,,,,,,
218,Croissant aux amandes -,0208508017050,,,,,,,,,['France'],[],,[],?,?,,?,,?,?,,,,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants aux amandes']",,,,,,,,,,,,,,,,,,,,,,,69.2%,17.2%,8.1%,4.9%,0.6%,0.0%,86,,,,,,,,
219,One Bite Apricot Kernel Cakes,6935133800057,,,,,,,,,['France'],[],,[],?,509,2130 kj(509 kcal),"23,8",0,"62,3","11,1","0,186","0,074",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Riz brisure extra parfumé,8858598009255,,,,,,,,,['France'],[],,[],?,354,1481 kj(354 kcal),1,1,1,7,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Black Cherry Creamsoda - Reed's - 355ml,0090341232321,355 ml,"['Glass', 'Bottle', 'Paper', 'Label', 'Metal', 'Cap']","[""Reed's"", ""Virgil's""]",,['USA'],,,,"['France', 'États-Unis']","['Sparkling filtered water', 'cane sugar', 'natural flavors']",,[],?,45,188 kj(45 kcal),0,0,"11,83",0,0,0,"11,83",,"['Boissons', 'Boissons gazeuses', 'Sodas', 'en:Fruit Creamsoda']",0 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité élevée,0 g,en faible quantité,,+67%,+62%,-100%,-100%,+74%,+79%,-100%,-100%,-100%,15,+63%,E,+63%,,,,,,,,"['en:gluten-free', 'Faible teneur en sodium']",,4,,"Reed's, Inc.",,,
222,Rinderhackfleisch,4008533213863,,,,,,,,,"['France', 'Allemagne']",[],,[],?,?,,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Fun chips,6111249097813,,,,,,,,,['France'],[],,[],?,544,2276 kj(544 kcal),10,10,49,6,"0,73","0,292","0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
