,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
564,Fécule de pomme de terre,4908101203756,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Pâte basque,0205969010101,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Croissant pur beurre,0201129009848,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Mon miel aromatisé à la violette,3760148530971,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Apres un rhume et une calvitie,3258543876478,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,2,,"0,5",,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
569,Pain au chocolat,0203192009510,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Huile de truffe,3760270270462,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']","['Bio', 'Bio européen']",['France'],[],[],100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,899,+4%,3761 kj(899 kcal),+4%,100,+4%,14,-8%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,+42%,D,+42%,,,,,,,,,,,,,,,,,,,,,
571,Creme glacée caramel au beurre salé,3760088753331,,,,['France'],[],[],,,,,,,,,?,,189,,791 kj(189 kcal),,8,,0,,"25,6",,0,,"3,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Miel d'été - Miellerie de la Violette,3770009370066,['Miellerie de la Violette'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,"['Bocal', 'Verre']",,,,,,,,,,,,,,,,,,,
573,vin rouge,0747505013530,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,
574,Jambon  à l ancienne,2477274032019,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]","['Viande Française', 'Viande Porcine Française']",['France'],[],[],13 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.019 g,en faible quantité,?,,199,+31%,833 kj(199 kcal),+31%,13,+111%,"4,6",+91%,"0,5",+1%,"0,5",+3%,20,-10%,"0,019",-99%,"0,008",-99%,1,-90%,B,-90%,"['EMB 29004O', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,
575,Ma p'tite biniouz,3328043373101,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Cigarillos artisanaux de Tolossa,3575883004317,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,"17,3",,0,,67,,40,,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
577,Citrons pressés,2041682104530,,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"0,1",,"0,1",,10,,10,,"0,2",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
578,Je les ai retrouver dans la chambres de mon fils.,9782266278416,,['Non alimentaire'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Comté AOP 20 mois,2257150042833,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
580,Milk chocolate variety pudding,0027000419168,,['Desserts'],,"['France', 'États-Unis']","['milk chocolate fudge/milk chocolate: water', 'nonfat milk', 'sugar', 'modified corn starch', 'palm oil', 'cocoa ', 'processed with alkali', 'less than 2% of: calcium carbonate', 'salt', 'sodium stearoyl lactylate', 'artificial flavors', 'color added,contains: milk']","['Huile de palme', 'Non végétalien']",2.72 g,en faible quantité,1.63 g,en quantité modérée,15.2 g,en quantité élevée,0.325 g,en quantité modérée,?,,108.69565217391,-39%,455 kj(108 kcal),-38%,"2,72",-60%,"1,63",-55%,"22,83",-4%,"15,22",-17%,"1,09",-66%,"0,325",+144%,"0,13",+144%,4,-41%,C,-41%,,,,,,,,,,,,,Conagra Brands,4,,,"['E170i - Carbonate de calcium', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],,,
581,Turrón de Jijona - Pico,8412115000134,['Pico'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,['France'],[],[],38 g,en quantité élevée,3 g,en quantité modérée,33 g,en quantité élevée,0.1 g,en faible quantité,?,,560,+3%,2343 kj(560 kcal),+3%,38,+6%,3,+3%,34,-13%,33,-3%,17,+11%,"0,1",+189%,"0,04",+189%,15,+9%,D,+9%,,,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
582,Raisin noir sans pépin,78260108,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Miel de chataignier,3770014527059,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
584,Snack saveur kangneng,8809420390201,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Adonis Spices Zaatar Aleppo Blend,5281094028001,,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,3,,1,,1,,1,,3,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,
586,Osso bucco de veau,2424271045467,,,,['France'],[],[],,,,,,,,,?,,109,,456 kj(109 kcal),,2,,"0,5",,"6,4",,"2,6",,16,,"0,82",,"0,328",,,,,,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,,,,,,,
587,Sushi Ramen Au Poulet,5410238951596,,,,['France'],[],[],,,,,,,,,?,,86,,360 kj(86 kcal),,"1,3",,"0,3",,"13,2",,"2,4",,"5,4",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
588,Opera,0219106030174,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,"Truite, fondue de poireaux et céréales - Comme j'aime - 300g",3700977782073,"[""Comme j'aime""]","['Plats préparés', 'Plats préparés au poisson', 'Plats préparés à réchauffer au micro-ondes']","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",['France'],[],[],3.4 g,en quantité modérée,1.1 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en quantité modérée,447,-19%,107,-20%,447 kj(107 kcal),-19%,"3,4",-38%,"1,1",-47%,"10,1",-22%,"0,4",-77%,"7,3",+9%,"0,5",-36%,"0,2",-36%,-3,-313%,A,-313%,,"['Carton', 'Plastique', 'Barquette']",,,,,,,,,300 g,"[""Comme j'aime""]",,,,,,,,['France'],
590,Bonbons summer fruits,5016616000216,,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,"0,1",,"0,1",,91,,78,,"0,3",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
591,Flan Chocolat U 4 Doses,3256220820059,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Thé Jardin a la Française - Palais des Thés,3700256730504,['Palais des Thés'],,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Aloe vera,3537080029692,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Infusion réglisse pissenlit - 30g,3760015411136,,,['Bio'],['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,30 g,,,,,,,,,,
595,Pancakes,8435483516007,,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"4,4",,"1,1",,41,,"4,6",,37,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,,
596,Busiate trapanesi al limone,8030516006281,,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,5",,"0,3",,"70,2",,"3,4",,13,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
597,Gruyère AOP Fruité 9 mois - Moleson,2480963034379,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Pur jus bio multifruits,13838738,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-01']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,?,,49,+7%,205 kj(49 kcal),+6%,0,-100%,0,-100%,"10,5",-2%,"10,5",+5%,"0,8",+87%,0,-100%,0,-100%,4,+1%,C,+1%,,,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
599,Estragon senf,9002043024419,,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Miel de chataignier,3760216350098,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
601,Veau a la tomate & riz - Nutrisens - 290g,3760145414366,['Nutrisens'],,"['en:gluten-free', 'Sans lactose', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,69,,289 kj(69 kcal),,"1,9",,"0,6",,"8,4",,"1,6",,"4,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,290 g,,,,,,,,,,
602,2bslim spicy chili,8719274240624,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,"1,8",,0,,"0,4",,"2,29",,"0,916",,,,,,,,,,,,,,,,,,,,,,,,,,
603,Terrine au Pain d'épice,3563800002867,,,,['France'],[],[],,,,,,,,,?,,264,,1105 kj(264 kcal),,20,,8,,4,,3,,15,,2,,"0,8",,,,,,"['FR 59.526.101 CE', 'Saint-Amand-les-Eaux (Nord, France)']",,,,,,,,,,,,,,,,,,,,
604,Sucre de dattes,6191458900456,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Barre de céréales complètes pomme et cannelle - Gran Cereale,45489266,['Gran Cereale'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['en:palm-oil-free'],['France'],[],['Sans huile de palme'],13.5 g,en quantité modérée,1.8 g,en quantité modérée,17.5 g,en quantité élevée,0.15 g,en faible quantité,?,,411,-3%,1720 kj(411 kcal),-3%,"13,5",-15%,"1,8",-70%,"56,8",-6%,"17,5",-36%,9,+20%,"0,15",-62%,"0,06",-62%,4,-70%,C,-70%,,,,,,,,,,,,,,,,,,,,,
606,Spirales complètes bio - 5kg,3760169760869,,,['Bio'],['France'],[],[],,,,,,,,,?,,356,,1490 kj(356 kcal),,"2,2",,"0,4",,"60,7",,"3,4",,"12,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,5 kg,,,,,,,,,,
607,Farine t 55 - 5kg,3760169460615,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,5 kg,,,,,,,,,,
608,Bonbon japonais au raisin,49285123,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
609,Bialowieza,3250392878078,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Bee Jolly tequila,7502283610059,,,['en:gluten-free'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Tradition,0216405878094,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Acete de oliva,8437012454163,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Water Juice Fraise,4956489105551,,,,['France'],[],[],,,,,,,,,?,,101,,423 kj(101 kcal),,0,,0,,"5,9",,"5,7",,"0,04",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
614,Macédoine,5410928144840,,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"0,3",,"0,1",,4,,"1,7",,"1,8",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,,
615,"água Mineral Natural Sem Gás Bonafont 1,5 Litro",7891025102120,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Tom yum broth,0060383192440,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,"0,6",,"0,4",,"0,8",,"0,8",,"0,16",,"0,813",,"0,325",,,,,,,,,,,,,,,,,,,,,,,,,,
617,Crunchy whole grain cereal with almonds,0060383995836,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,"6,364",,"0,545",,"76,364",,"16,364",,"12,727",,"0,045",,"0,018",,,,,,,,,,,,,,,,,,,,,,,,,,
618,Ail blanc,3336801005409,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,
619,Preparation pour crepes vanille,3760287880043,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,"0,3",,"0,11",,"87,1",,"38,6",,2,,"0,779",,"0,312",,,,,,,,,,,,,,,,,,,,,,,,,,
620,Hodo spicy harissa tofu cubes - 8oz,0850565007149,,['Viandes'],,"['France', 'États-Unis']","['Hodo organic tofu ', 'water organic soybeans', 'calcium sulfate', 'soybean oil*', 'harissa seasoning* ', 'crushed chili*', 'garlic*', 'caraway*', 'parsley*', 'coriander*', 'sugar*', 'salt']",[],3.53 g,en quantité modérée,1.18 g,en faible quantité,2.35 g,en faible quantité,1 g,en quantité modérée,?,,141,-37%,590 kj(141 kcal),-37%,"3,53",-76%,"1,18",-78%,"14,12",+761%,"2,35",+233%,"15,29",-20%,1,-45%,"0,4",-45%,-1,-109%,A,-109%,,,,,,,,,,,8 oz,,HODO,3,,,,,,,
621,Drenanat plus - 14x 10ml,8423263021841,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,14 x 10 ml,,,,,,,,,,
622,Reese,0056600304772,['Reese'],,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,10,,4,,20,,18,,3,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
623,Riced veggies cauliflower & broccoli,0190569123118,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",['en:gluten-free'],"['France', 'États-Unis']","['Cauliflower', 'broccoli']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,2.35 g,en faible quantité,0.06 g,en faible quantité,?,,24,-48%,100 kj(24 kcal),-47%,0,-100%,0,-100%,"4,71",+1%,"2,35",+11%,"2,35",+4%,"0,06",-64%,"0,024",-64%,-8,,A,,,,,,,,,,,,,,GREEN GIANT,1,,,,,,,
624,Jacquet Single Serving Cake With a Chocolate Filling 140 G.,3660140901208,['Jacquet'],,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,18,,"3,2",,52,,26,,6,,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,,
625,Sandwich Jambon,8712634810284,,,,['France'],[],[],,,,,,,,,?,,237,,992 kj(237 kcal),,"5,8",,"1,6",,"36,3",,"2,9",,"9,1",,"1,42",,"0,568",,,,,,,,,,,,,,,,,,,,,,,,,,
626,Carré doré,2366839798265,,,,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,"4,8",,"0,6",,51,,"6,8",,"9,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,
627,Scitec nutrition 100% whey protein,0728633105960,['Scitec nutrition'],,,['France'],[],[],,,,,,,,,?,,117,,490 kj(117 kcal),,"2,4",,"1,5",,"1,9",,"1,7",,22,,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,,,
628,Pain complet 300g,0202453008538,,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,"1,7",,"0,3",,47,,"1,2",,10,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
629,Joker le fruit,2123319014709,,,,['France'],[],[],,,,,,,,,?,,63,,264 kj(63 kcal),,0,,0,,13,,13,,"0,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
630,Ch'ti miel de fleurs,3760252930209,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
631,Tisane relax,5601082031194,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Chips a plenty - Paskesz,0025675017405,['Paskesz'],,,['France'],[],[],,,,,,,,,?,,140,,586 kj(140 kcal),,"1,5",,0,,32,,14,,2,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
633,Croissants AOP,0294924018375,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,20,,13,,38,,"8,1",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Confiture cerise griotte - Maxim's,3391860002967,"[""Maxim's""]",,['Point Vert'],['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,"0,3",,"0,1",,"58,1",,"56,5",,"0,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
635,T'choupi,253051471,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Haricots blancs,3112940135043,,,,['France'],[],[],,,,,,,,,?,,94,,393 kj(94 kcal),,"0,6",,"0,2",,11,,"0,6",,"7,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,
637,Escalope de dinde extra fine - Carrefour,2418304012533,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Carrefour'],,,,,,,,,
638,Miel toutes fleurs,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Zero chips barbecue,5600854646741,,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,13,,"1,2",,18,,"5,4",,45,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,
640,Creamy peanut butter,5350325007440,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['France'],[],[],56.2 g,en quantité élevée,11.1 g,en quantité élevée,8 g,en quantité modérée,1 g,en quantité modérée,?,,667,+11%,2791 kj(667 kcal),+12%,"56,23",+17%,"11,09",+34%,"8,49",-41%,8,+26%,"21,59",-12%,1,+88%,"0,4",+88%,23,+109%,E,+109%,,,C,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,
641,Pain complet,0251032008209,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Crème de châtaignes,3770009971027,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['France'],[],[],,,,,,,,,?,,6,,25 kj(6 kcal),,"0,75",,"0,14",,"58,8",,"43,36",,"1,15",,"0,065",,"0,026",,,,,,,,,,,,,,,,,,,,,,,,,,
643,Confiture de poire williams,3448550010822,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de poires']",,['France'],[],[],0.07 g,en faible quantité,0.015 g,en faible quantité,55.8 g,en quantité élevée,0.01 g,en faible quantité,?,,235,+7%,983 kj(235 kcal),+7%,"0,07",-78%,"0,015",-79%,"56,4",+7%,"55,8",+9%,"0,22",-35%,"0,01",-73%,"0,004",-73%,11,+20%,D,+20%,,,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
644,Miamiamort,4058172047138,,,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,0.1,,0 kj(0 kcal),,6,,"0,56",,9,,1,,7,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
645,Poulet basquaise au piment d'Espelette et riz cuisiné,3349142271006,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Poulets basquaise']",,['France'],[],[],6 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,1 g,en quantité modérée,?,,145,+25%,607 kj(145 kcal),+25%,6,+60%,2,+126%,17,+49%,2,+12%,5,-34%,1,+17%,"0,4",+17%,3,+426%,C,+426%,,,D,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,,
646,Bavettes echalotes,0206233025487,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés']",,['France'],[],[],5.7 g,en quantité modérée,2 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,?,,123,-34%,515 kj(123 kcal),-32%,"5,7",-24%,2,-27%,"0,8",-97%,"0,6",-97%,17,+785%,1,+39%,"0,4",+39%,-4,-175%,A,-175%,,,,,,,,,,,,,,,,,,,,,
647,Sirop Caramel Giffard 350 ml,3180290062470,['Giffard'],,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,0,,0,,82,,82,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Gardiane de Taureau,3394560414443,,,,['France'],[],[],,,,,,,,,?,,144,,602 kj(144 kcal),,"5,5",,"1,9",,"0,9",,"0,5",,"21,4",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
649,Coconut butter - 500ml,5060043611255,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'GB-ORG-02', 'Sans lactose', 'Sans conservateurs']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,500 ml,,,,,,,,,,
650,Pain au chocolat,0216172009189,,,,['France'],[],[],,,,,,,,,?,,324,,1356 kj(324 kcal),,19,,12,,33,,"9,9",,"5,5",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,
651,Papaye cube,0204288018300,,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,0,,0,,85,,76,,0,,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,
