,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,labels,ingredients_origins,manufacturing,traceability_code,link,producer_info,palm_ingredients,origin_detail,brand_owner
0,Huile de tournesol - Top Budget - 1L,3410280010311,D,Huile de tournesol raffinée,1L,"['Plastique', 'Bouteille']","['Top Budget', 'Intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['intermarché'],['France'],['Huile de tournesol raffinée 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,3700,+2%,900,+3%,3700 kj(900 kcal),+2%,100,+3%,12,+13%,"< 0,5",+112513%,"< 0,5",+53491%,"< 0,5",+102993%,"< 0,01",+21222%,"0,004",+21222%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,
1,Chocolat Noir - Top Budget - 500g,3410280023243,E,Tablettes de chocolat,500 g,['Plastique'],['Top Budget'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Intermarché'],['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de soja ', 'extrait de vanille', ' Cacao : 43% minimum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,23 g,en quantité élevée,14 g,en quantité élevée,59 g,en quantité élevée,0.02 g,en faible quantité,2000,-12%,?,,2000 kj(478 kcal),-14%,23,-42%,14,-39%,59,+53%,59,+86%,"5,4",-30%,"0,02",-57%,"0,008",-57%,20,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,,,,,,
2,20 Petits Beurres au Sel de Guérande (80 % MG) - Paysan Breton - 200g (20x 10g),3412290011050,D,Beurre demi-sel,200 g (20 x 10 g),['Frais'],['Paysan Breton'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']","['Monoprix', 'Magasins U']",['France'],"['Beurre', 'sel de Guérande ', '3 % max']",['Non végétalien'],2,80 g,en quantité élevée,57 g,en quantité élevée,0.7 g,en faible quantité,2.1 g,en quantité élevée,?,,726,+1%,3038 kj(726 kcal),+1%,80,+1%,57,+5%,"0,7",-6%,"0,7",+14%,"0,8",+18%,"2,1",+2%,"0,84",+2%,28,+6%,E,+6%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Lait'],['en:produced-in-bretagne'],"['France', '44350 Guérande', 'Loire-Atlantique', 'Pays de la Loire', 'Sel de Guérande']","['UCLAB Industrie (Union des Coopératives Laitières Bretonnes) [Filiale Laïta] - ZI de Lanrinou - 29800 Pencran', 'Finistère', 'Bretagne', 'France']","['FR 29.156.090 CE', 'Pencran (Finistère, France)']",http://www.paysanbreton.fr/fr/produits/les-beurres,,,,
3,Chokinoa - Céréales au chocolat bio - Grillon D'or - 250g,3421557500923,,,250 g,"['Film', 'Plastique']","[""Grillon D'or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['France'],"['Riz', 'quinoa 22,8%', 'chocolat en poudre 19,3% ', 'sucre de canne non raffiné', 'poudre de cacao 6,2%', 'sucre de canne non raffiné']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,3 g,en quantité modérée,0.8 g,en faible quantité,19 g,en quantité élevée,0.03 g,en faible quantité,?,,373,+7%,1561 kj(373 kcal),+7%,3,-47%,"0,8",-49%,75,+28%,19,+234%,"9,3",-2%,"0,03",-90%,"0,012",-90%,-2,-223%,A,-223%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,,,,,,
4,Financiers aux Amandes pur beurre - Bio soleil - 125g,3423720002463,D,,125g,"['Plastique', 'Carton']",['Bio soleil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes', 'Financiers']",,['France'],"['Sucre de canne roux* ', 'sucre de canne*', 'fécule de pomme de terre*', 'beurre* ', '23%', 'blanc d’œuf*', 'amandes ', '17%', 'farine de blé T65*', 'arôme naturel de vanille* ', 'alcool*', 'vanille*', ""arôme naturel d'amande* "", 'amande*', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,29 g,en quantité élevée,13 g,en quantité élevée,30 g,en quantité élevée,0.07 g,en faible quantité,?,,446,+2%,1866 kj(446 kcal),+2%,29,+26%,13,+61%,38,-18%,30,+2%,"6,6",-19%,"0,07",-77%,"0,028",-77%,20,+12%,E,+12%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],,,,,,
5,Palets 3 Fruits - Bio Soleil - 165g,3423720014046,C,Biscuits aux fruits à la farine d'épeautre,165 g,"['Carton', 'Plastique']",['Bio Soleil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Biscuits aux fruits']",,['France'],"['Farine d’épeautre* ', '41%', ' ', ' sirop de blé* ', ' fruits* ', '20%', ' ', 'raisins* [raisin sultanine*', 'huile de tournesol*]', 'figues*', 'abricots*', '[abricot*', 'farine de riz*]', ' ', ' huile de coco désodorisée* ', ' huile de tournesol oléique désodorisée* ', 'antioxydant : extrait de romarin*', ' ', ' poudre à lever : bicarbonate d’ammonium', ' \xa0\r*Ingrédients issus de l’agriculture biologique']",['Sans huile de palme'],3,18 g,en quantité modérée,12 g,en quantité élevée,28 g,en quantité élevée,0.0125 g,en faible quantité,?,,437,-1%,1828 kj(437 kcal),-1%,18,+10%,12,+29%,60,-7%,28,-10%,"5,6",-2%,"0,012",-97%,"0,005",-97%,16,-9%,D,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['E392 - Extrait de romarin', ""E503ii - Carbonate acide d'ammonium""]",['Gluten'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Fabriqué en France', 'Sans œufs', 'Sans lait', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],,,,,,
6,Lait Bio de Bretagne - Bridel - 1L,3428200303863,C,Lait pasteurisé demi-écrémé pasteurisation haute issu de l'agriculture biologique,1 L,"['Bouteille', 'Plastique']",['Bridel'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits pasteurisés', 'Laits demi-écrémés biologiques']","['Carrefour', 'Magasins U']",['France'],"[""Lait pasteurisé demi-écrémé pasteurisation haute issu de l'agriculture biologique""]",[],,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,?,,46,-19%,192 kj(46 kcal),-17%,"1,5",-37%,1,-31%,"4,8",+1%,"4,8",+8%,"3,2",-2%,"0,11",+11%,"0,044",+11%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Lait'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert', 'en:produced-in-bretagne', 'Garantie IPLC']",,"['Bretagne', 'France']","['FR 35.131.001 CE', 'Hermitage (Ille-et-Vilaine, France)']",,,,,
7,Caffe Latte - lactel - 220ml,3428274170033,,,220 ml,['Bouteille'],['Lactel'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons au café', 'Boissons lactées au café']",,['France'],"['lait ', '94%', ' ', 'dont lait entier ', '48%', 'lait demi-écrémé ', '46%', 'sucre ', '4%', 'arôme naturel de café', 'café en poudre ', '0,5%', 'cacao maigre ', '0,3%', ' colorant: caramel ordinaire stabilisants: gomme gellane et citrate de potassium', 'arôme']",['Non végétalien'],4,2.5 g,en quantité modérée,1.5 g,en quantité modérée,8.5 g,en quantité élevée,0.1 g,en faible quantité,?,,70,-64%,293 kj(70 kcal),-62%,"2,5",-58%,"1,5",-66%,"8,8",-69%,"8,5",-60%,"3,1",-44%,"0,1",-74%,"0,04",-74%,1,-93%,B,-93%,,,,,,,,"['E150a - Caramel E150a', 'E418 - Gomme gellane']",['Lait'],,,,,,,,,
8,Yaourt Brebis Nature - Bernard gaborit,3438860001702,,,,,['Bernard gaborit'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,['France'],"[""Lait frais demi écrémé de brebis* Ferments lactiques *Ingrédients issus de l'agriculture biologique""]",[],,2.44 g,en faible quantité,1.82 g,en quantité modérée,2.44 g,en faible quantité,0.07 g,en faible quantité,?,,60,-43%,251 kj(60 kcal),-43%,"2,44",-52%,"1,82",-45%,"3,96",-58%,"2,44",-70%,"5,58",+15%,"0,07",-35%,"0,028",-35%,-2,-177%,A,-177%,,,,,,,,,['Lait'],['Bio'],,,,,,,,
9,2 X 125G Riz Au Lait Chevre - Bernard Gaborit - 250g (2 * 125g),3438860001801,A,Riz Au Lait de Chèvre,250 g (2 * 125 g),"['Frais', 'Carton', 'Pots', 'Plastique', 'Opercule']",['Bernard Gaborit'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Puddings', 'Riz au lait']",['Noz'],['France'],"[""Lait entier de chèvre  *Riz long de Camargue ‘Sucre de canne non rafﬁné *Extrait de vanille bio de Madagascar  Sel de Guérande  * Ingrédients issus de l'agriculture biologique""]",[],,3.24 g,en quantité modérée,2.27 g,en quantité modérée,9.84 g,en quantité modérée,0.3 g,en quantité modérée,?,,114,-21%,477 kj(114 kcal),-20%,"3,24",-14%,"2,27",-0%,"17,45",-23%,"9,84",-27%,"3,76",+10%,"0,3",+133%,"0,12",+133%,4,-1%,C,-1%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,['Lait'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-Cohérence', 'en:lait-francais-french-milk']",,"['France', 'Maine et Loire']","['FR 49.192.009 CE', 'Maulévrier (Maine-et-Loire, France)']",http://www.bernardgaborit.fr,,,,
10,Fleur de sel de Guérande - Le Guérandais - 250g,3445850020339,B,Fleur de sel,250 g,"['Sachet', 'Plastique']",['Le Guérandais'],"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel', 'Sels de Guérande', 'Fleurs de sel de Guérande']","['Carrefour', 'Magasins U']",['France'],['Fleur de sel'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,100,+57%,40,+57%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,"['IGP', 'Sans additifs', 'en:produced-in-bretagne']","['France', 'Guérande']","['Guérande', 'France', 'Bretagne', 'Loire Atlantique']","['EMB 44069B', 'Guérande (Loire-Atlantique, France)']",,,,,
11,Eau minérale naturelle - Wattwiller - 50cl,3448781200009,,Eau minérale naturelle,50 cl,"['Bouteille', 'Plastique']",['Wattwiller'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Boissons sans sucre ajouté']",['Intermarche'],['France'],['Eau minérale naturelle : source Artésia'],[],1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,,"['Point Vert', 'Faible teneur en sodium', ""Convient pour l'alimentation des nourrissons"", 'Zéro nitrate']","['France', 'Les Grandes Sources de Wattwiller', 'Wattwiller']",['Wattwiller'],,http://www.wattwiller.com,,,,
12,Wattwiller - 1L,3448784300003,,Eau minérale naturelle avec adjonction de gaz carbonique,1 L,"['Bouteille', 'Plastique']",['Wattwiller'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales gazeuses', 'Boissons sans sucre ajouté']",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,3 g,en quantité élevée,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,-100%,3,+2918%,"1,2",+2918%,10,+2199%,A,+2199%,,,,,,,,,,['Point Vert'],,,,,,,,
13,La fine - Saint Agaune - 200g,3450160004894,D,,200 g,"['Carton', 'Frais']",['Saint Agaune'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",['Cora'],['France'],"['Viande de porc ', ' sel ', ' lactose ', ' dextrose sucre ', ' poudre de lait ', ' vin ', ' épices ', ' conservateurs ', ' nitrate de potassium', 'nitrite de sodium ', ' arôme ', ' ferments']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,13.2 g,en quantité modérée,4.7 g,en quantité modérée,2.1 g,en faible quantité,4.7 g,en quantité élevée,?,,294,-29%,1230 kj(294 kcal),-28%,"13,2",-60%,"4,7",-63%,"3,4",+46%,"2,1",+37%,"40,3",+48%,"4,7",+1%,"1,88",+1%,17,-30%,D,-30%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,,
14,Boudoirs 400G Eco+ - 400g,3450970006460,C,,400 g,['4x100'],['Eco +'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gâteaux', 'Biscuits secs', 'Boudoirs']",,"['Algérie', 'France']","['sucre', ' farine de blé', ""oeufs frais '18%9 sirop de Vucose-fructose"", 'poudre à lever : E503', 'arômeo conserver dans un endroit frais et sec']",[],3,2.9 g,en faible quantité,0.1 g,en faible quantité,50.2 g,en quantité élevée,0.075 g,en faible quantité,?,,383,+1%,1602 kj(383 kcal),+1%,"2,9",-23%,"0,1",-91%,"80,9",+4%,"50,2",+3%,"7,2",-6%,"0,075",-65%,"0,03",-65%,12,-17%,D,-17%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,"[""E503 - Carbonates d'ammonium""]",['Gluten'],,,,,,,,,
15,Pur jus d'orange avec pulpe - Eco+ - 1L,3450970027366,C,,1 L,"['Brique', 'Carton', 'Flash pasteurisé']",['Eco+'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,['France'],[],[],,0.5 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité élevée,0.01 g,en faible quantité,?,,38,-12%,159 kj(38 kcal),-13%,"0,5",+184%,"0,1",+289%,"8,7",-10%,"8,7",-5%,"0,7",+11%,"0,01",+12%,"0,004",+12%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,"['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,,,
16,"15 bâtonnets de poissons panés, Surgelé - Eco + - 450g (15x 30g)",3450970027724,E,"Bâtonnets de chair hachée de poissons, panés, préfrits, surgelés",450 g (15 x 30 g),"['Surgelé', 'Boîte', 'Carton']","['Eco +', 'Scamark (Filiale E. Leclerc)']","['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Plats préparés surgelés', 'Batonnets de poisson']",['Leclerc'],['France'],"['Chair hachée de poissons 65 %', 'farine de blé', 'eau', 'huile de tournesol', 'sel', 'levure', 'épices']",[],3,7.6 g,en quantité modérée,0.9 g,en faible quantité,2.1 g,en faible quantité,0.975 g,en quantité modérée,790,+13%,175,-2%,790 kj(175 kcal),+9%,"7,6",-2%,"0,9",-20%,14,-5%,"2,1",+18%,12,+13%,"0,975",-13%,"0,39",-13%,0,-100%,B,-100%,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,['Gluten'],"['Point Vert', 'Eco-Emballages', 'Qualité sans arête']",,"['Copack Tiefkühlkost Produktionges.mbH - Am Lunedeich 116 - 27572 Bremerhaven', 'Brême', 'Allemagne']",['DE HB-EFB-048 EG'],"http://www.e-leclerc.com/catalogue/marques-distributeurs/eco-plus/alimentaire/frais/surgeles-sales/batonnets-de-poisson-x-15---450-g,159",,,,
17,Huile D'olive Vierge Extra D'espagne - vigean - 1l,3452011210102,C,,1 l,['bouteille en verre'],['Vigean'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,14,0%,0,,0,,0,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,['Union européenne'],,['36055'],,,,,
18,Melange gourmand Lentilles quinoa légumes - Jardin Bio,3456300002423,,,,,"['Jardin Bio', 'Léa Nature']",,,['France'],"['Eau', 'lentilles* 1 0%', 'quinoa blanc* 8%', 'riz thaï* ', 'tomates* cubées', 'poivrons rouges* n morceaux', 'poivrons verts* en morceaux', 'carottes* en morceaux', 'oignons - k en morceaux', 'mais* - huile de tournesol*', 'sésame*', ""huile d'olive* vierge extra"", 'aromates* ', 'sel marin', 'jus de citron* concentré', 'sucre brut de canne* ', 'épices*', "" *Produits issus de l'agriculture biologique"", 'Peut contenir des traces de soja et oeufs']",[],,,,,,,,,,?,,158,,661 kj(158 kcal),,"8,1",,"1,1",,"13,7",,"2,6",,"4,9",,"0,7",,"0,28",,,,,,,,,,,,,,['Graines de sésame'],"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans lactose']",,,,,,,,
19,Chocolat noir croquant - Karéléa - 150g,3456300004557,E,,150 g,"['Carton', 'Aluminium']","['Karéléa', 'Léa Nature']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants', 'Chocolats aux amandes', 'Chocolats noirs aux amandes']",['Leclerc'],['France'],"['Édulcorant : maltitols', 'pâte de cacao', 'amandes entières toastées ', '15%', 'beurre de cacao', 'inuline', 'cacao maigre en poudre', 'émulsifiant lécithines ', 'tournesol', 'arôme naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,36 g,en quantité élevée,18 g,en quantité élevée,1.2 g,en faible quantité,0 g,en faible quantité,?,,489,-2%,2046 kj(489 kcal),-2%,36,-7%,18,-21%,42,+13%,"1,2",+46%,"9,5",+30%,0,-100%,0,-100%,11,-17%,D,-17%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['E965 - Maltitol', 'E322i - Lécithine']",['Fruits à coque'],"['Peu ou pas de sucre', 'Sans sucre ajouté', 'Avec édulcorants']",,,,,,,,
20,Coquille Quinoa Tomate - Jardin Bio - 400g,3456300007879,,,400 g,"['sac cellophane', 'Sachet en plastique']",['Jardin Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,['France'],"['Semoule semi-complète de blé dur ', 'farine de quinoa 10%', 'poudre de tomate 2%', ""poudre d'ail"", 'arôme naturel de paprika', ""poudre d'œufs""]",['Non végétalien'],4,2.1 g,en faible quantité,0.4 g,en faible quantité,5.7 g,en quantité modérée,0.02 g,en faible quantité,?,,355,+7%,1485 kj(355 kcal),+7%,"2,1",-19%,"0,4",-43%,"70,1",+13%,"5,7",+106%,"10,7",-8%,"0,02",-91%,"0,008",-91%,-5,,A,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['UE/non UE'],['France'],['ECOCERT FR-BIO-01'],,,,,
21,Spaghetti sarrasi quinoa - Jardin Bio - 400g,3456300008418,,,400 g,,"['Jardin Bio', 'Léa Nature']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,['France'],"['farine de maïs*', 'farine de riz*', 'farine de sarrasin* 10%', 'farine de quinoa* 5%', '\r* Produits issus de l’agriculture biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.6 g,en faible quantité,0.3 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,?,,351,0%,1469 kj(351 kcal),-1%,"1,6",-9%,"0,3",-19%,75,+9%,"0,7",-76%,"7,8",-34%,0,-100%,0,-100%,-2,,A,,,,,,,,,,['Gluten'],['Bio'],,,,https://www.leanatureboutique.com/fr/jardin-bio/20093-spaghetti-sarrasin-quinoa-sans-gluten-agriculture-bio-jardin-bio-3456300008418.html,,,,
22,Eclair Au Chocolat x 2 - Tartefrais - 160g (2 * 80g),3456580500121,,Éclairs au chocolat (8 %) décongelé.,160 g (2 * 80 g),"['Frais', 'Plastique', 'Décongelé']",['Tartefrais'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",['Intermarché'],['France'],"['Eau', 'œufs frais', 'sucre', 'farine de blé', 'sirop de glucose-fructose', 'beurre pâtissier 5 %', 'lait entier en poudre', 'pâte de cacao', 'amidon modifié de manioc', 'cacao maigre en poudre', 'beurre de cacao', 'fibres végétales', 'poudre de cacao', 'émulsifiant : lécithine de soja', 'sel', 'gélifiant : pectine', 'arômes naturels de vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,14 g,en quantité modérée,8.4 g,en quantité élevée,19 g,en quantité élevée,0.3 g,en quantité modérée,?,,276,+8%,1155 kj(276 kcal),+8%,14,+14%,"8,4",+45%,30,-5%,19,-6%,6,+37%,"0,3",-21%,"0,12",-21%,13,+1%,D,+1%,,,,,,,,"['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E440 - Pectines']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Point Vert', 'Pur beurre', 'Décongelé']",,,,,,,,
23,Yaourt Aux Fruits 5% 1 / 2 écrémé - Nova - 4 * 125g (500g),3456770521103,C,Yaourt brassé sucré aux fruits,4 * 125 g (500 g),"['Pots', 'Plastique']",['Nova'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts brassés aux fruits', 'Yaourts sucrés']",['Carrefour'],['France'],"['LAIT partiellement écrémé', 'sucre 8,4 %', 'fruits 5 % ', 'abricot ou cerise ou fraise ou pêche', 'protéines de LAIT', 'sirop de glucose-fructose', 'amidons modifiés', 'épaississants : E440-E412-E410-E415', 'arômes', 'ferments lactiques ', 'LAIT', 'colorants : E163-E120-E160c', 'conservateur : E202']","['Non végétalien', 'Non végétarien']",4,0.9 g,en faible quantité,0.6 g,en faible quantité,13.2 g,en quantité élevée,0.11 g,en faible quantité,?,,78,-20%,326 kj(78 kcal),-20%,"0,9",-71%,"0,6",-69%,"13,5",-1%,"13,2",+3%,"3,9",+13%,"0,11",-4%,"0,044",-4%,0,-100%,B,-100%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E163 - Anthocyanes', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,,
24,Mamie nova sucre de canne 4x125g - 4x 125g,3456774829830,,,4 x 125 g,,['Mamie Nova'],,['géant'],['France'],"[""'Plantie Yaourt au lait entier sucre de canne roux loyéŒlents: lait poudre de lait et/0U hit mcen%é"", 'du lait', ' ', 'lait', ' du Lut : France 32E fibre : 2', '1g frotéin%: 30 028 g dont sGes• Nova - 19 rue de la République 76150 Maromme • France Sen•ice consommateur : NOVA Œ 60001 46130 Biars sur Cère • France www', 'mamienova', 'com']",['Non végétalien'],,,,,,,,,,?,,85,,356 kj(85 kcal),,"3,2",,"2,1",,11,,11,,3,,"0,12",,"0,048",,,,,,,,,,,,,,['Lait'],,,,,,,,,
25,Originales Snacki's Saucisses fumées 100% volaille - Isla Mondial - 360g,3459860000601,E,Saucisses cuites féculées de poulet fumées au bois de hêtre,360 g,['Plastique'],['Isla Mondial'],"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet', 'Saucisses fumées']",['Auchan'],['France'],"['Poulet : peau', 'viande séparée mécaniquement', 'viande ', '20%', ' eau', 'fécule ', '3%', 'sel', 'protéines de soja', 'sirop de glucose', 'épices et arômes', 'colorants : rouge de betterave', 'extrait de paprika', 'stabilisants : di-', 'tri - et polyphosphates', 'acidifiants : acide citrique', 'gluconodeltalactone', 'plantes aromatiques ', 'MOUTARDE', 'arômes de fumée', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",4,6.9 g,en quantité modérée,2.2 g,en quantité modérée,1.5 g,en faible quantité,1.8 g,en quantité élevée,925,+7%,138,-33%,925 kj(138 kcal),+7%,"6,9",-55%,"2,2",-50%,"5,7",+160%,"1,5",+125%,"13,4",0%,"1,8",-6%,"0,72",-6%,11,-14%,D,-14%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,"['E162 - Rouge de betterave', 'E160c - Extrait de paprika', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E575 - Glucono-delta-lactone', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Soja']","['Halal', 'A Votre Service']",,,"['FR 56.166.001 CE', 'Plouay (Morbihan, France)']",,,,,
