,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,packaging,categories,labels,manufacturing,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,allergens,ingredients_origins,traceability_code,link,markets,brand_owner
306,Barre Crue Délice Martien Bio - 35 G - Gourmie's,3760206000088,,['Gourmie s'],['France'],"['Délice martien dattes* ', 'noix de coco*', 'ananas* ', '15%', 'spiruline date* ', 'coconut*', 'Dadels*', 'Kokosnoot*', 'Spirulina ', '2,3%', "" *produit issu de l'agriculture biologique contient des sucres naturellement présents "", '2', 'teneur en sel exclusivement due au sodium présent naturellement ?tsec Traces possibles de sésame et de fruits à coques', "" Gourmie's - ZA du Terlon - 18"", ""rue de l'Europe - 31850 Montrabé FRANQ""]",[],?,428,1791 kj(428 kcal),"23,8","22,68","0,95","0,17","5,7","0,1","0,04",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Abbaye De Saint Wandrille - Nonnettes Fourrees . ..,3760206040121,,,['France'],[],[],?,338,1414 kj(338 kcal),"2,3","0,4",75,45,"3,4","0,38","0,152",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",,,,,2.3 g,en faible quantité,0.4 g,en faible quantité,45 g,en quantité élevée,0.38 g,en quantité modérée,14,D,,,-0%,-0%,+16%,-4%,-1%,-0%,-8%,-28%,-28%,-7%,-7%,,,,,,,,,,,,,,
308,Yaourt artisanal noix de coco - IBASKI - 500g,3760206160102,500 g,['IBASKI'],['France'],"['Lait entier ', '91,5%', 'sucre ', '6,5%', 'poudre de lait ', '1%', 'arôme naturel de noix de coco', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,89,372 kj(89 kcal),3,1,11,11,3,0,0,Yaourts artisanaux brasses au lait de vache saveur noix de coco,"['Pot', 'Carton']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés']","['Arômes naturels', 'Haute Valeur Environnementale']",['Pays Basque'],,4,3 g,en quantité modérée,1 g,en faible quantité,11 g,en quantité modérée,0 g,en faible quantité,2,B,A,,-2%,-2%,+9%,-43%,-11%,-7%,-16%,-100%,-100%,-41%,-41%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Lait'],['Pays Basque'],"['FR 64.094.103 CE', 'Bardos (Pyrénées-Atlantiques, France)']",,,
309,Yaourt Myrtille - Ekia - 500g (4x125g),3760206160164,500 g (4x125g),['Ekia'],['France'],"['Lait entier ', '82%', 'origine France - Pays Basque', 'confiture ', '16%', 'épaississant : pectine', 'conservateur de fruit : sorbate de potassium - E202', 'sucre', 'poudre de lait', 'ferments lactiques']",['Non végétalien'],?,90.2,377 kj(90 kcal),"3,3","1,3","12,5","12,5","3,3",0,0,,['Bocaux en verre'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille']",['Haute Valeur Environnementale'],,"['E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,3.3 g,en quantité modérée,1.3 g,en faible quantité,12.5 g,en quantité modérée,0 g,en faible quantité,2,B,B,,-10%,-10%,+1%,-38%,-7%,+2%,-10%,-100%,-100%,-27%,-27%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],['Lait du Pays Basque'],,,,
310,Yaourt artisanal brebis vanille - Ibaski,3760206160263,,['Ibaski'],['France'],[],[],?,131,548 kj(131 kcal),"6,2","2,6","13,7","13,6","5,1","0,1","0,04",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis', 'Yaourts vanille']",['Sans conservateurs'],,,,6.2 g,en quantité modérée,2.6 g,en quantité modérée,13.6 g,en quantité élevée,0.1 g,en faible quantité,3,C,,,+35%,+36%,+77%,+16%,+15%,+23%,+33%,-7%,-7%,+12%,+12%,,,,,,,,,,,,,,
311,Fromage blanc  au lait de brebis - Ibaski,3760206160287,,['Ibaski'],['France'],"['Lait frais entier', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,146,611 kj(146 kcal),"8,47","3,1","7,85","7,7","7,29","0,1","0,04",Fromage blanc de brebis artisanal nature,['Pot'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis', 'Fromages blancs natures']",,['Pays Basque'],,3,8.47 g,en quantité modérée,3.1 g,en quantité modérée,7.7 g,en quantité modérée,0.1 g,en faible quantité,1,B,C,,+55%,+56%,+66%,-10%,+50%,+95%,+15%,-3%,-3%,+7%,+7%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['Lait'],['Pays Basque'],,,,
312,Yaourt artisanal vanille - Ekia,3760206160706,,['Ekia'],['France'],"['Lait entier ', '91,5%', 'sucre ', '6,5%', 'poudre de lait ', '1%', 'arôme naturel de vanille', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,89.4,374 kj(89 kcal),"3,5","1,4","11,2","11,2","3,5",0,0,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés', 'Yaourts vanille']",,,,4,3.5 g,en quantité modérée,1.4 g,en faible quantité,11.2 g,en quantité modérée,0 g,en faible quantité,2,B,B,,-8%,-7%,-0%,-38%,-6%,+1%,-9%,-100%,-100%,-26%,-26%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Lait'],,,,,
313,Yaourt Brebis Nature - Antonin - 125g,3760206160713,125g,['Antonin'],['France'],"['Lait entier de brebis', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,68,285 kj(68 kcal),"3,8","1,4","5,3",0,"3,8",0,0,,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",['Haute Valeur Environnementale'],,,3,3.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-1,A,,,-35%,-35%,-25%,-58%,-44%,-100%,-22%,-100%,-100%,-139%,-139%,,,,,,,,,['Lait'],,"['FR 64.094.103 CE', 'Bardos (Pyrénées-Atlantiques, France)']",,,
314,Crème dessert artisanale chocolat - Ibaski,3760206160775,,['Ibaski'],['France'],"['Lait entier de vache ', '86,5%', 'sucre ', '7,5%', 'chocolat en poudre ', '4%', 'amidon modifié', 'carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,108,452 kj(108 kcal),"4,7","1,6","14,1",14,"3,8","0,1","0,04",,"['Pot', 'Carton']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Crèmes dessert', 'Yaourts', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Crèmes dessert chocolat']",['Sans conservateurs'],['Pays Basque'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,4.7 g,en quantité modérée,1.6 g,en quantité modérée,14 g,en quantité élevée,0.1 g,en faible quantité,3,C,B,,-20%,-20%,+3%,-44%,-25%,-12%,+5%,-33%,-33%,-37%,-37%,72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,,['Lait'],['Pays Basque'],,,,
315,Yaourt brebis citron - Ekia - 250g (2x125g),3760206161680,250 g (2x125g),['Ekia'],['France'],"['Lait de brebis frais entier ', '93 %', 'sucre ', '6,1%', 'arôme naturel de citron', 'ferments lactiques']",[],?,131,548 kj(131 kcal),"6,2","2,6","13,7","13,6","5,1","0,1","0,04",Yaourts de brebis aromatisé au citron,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de brebis', 'Yaourts sucrés']",,,,4,6.2 g,en quantité modérée,2.6 g,en quantité modérée,13.6 g,en quantité élevée,0.1 g,en faible quantité,3,C,B,,+25%,+24%,+22%,-22%,+44%,+69%,+5%,-7%,-7%,+16%,+16%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,['Lait'],,,,,
316,Lentilles blondes de la Brie - Salma,3760206530059,,['Salma'],['France'],"['Saumon ', 'poisson', ' frais élevé en Norvège']","['Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),"0,5",0,"17,5",0,"8,2","0,003","0,001",Saumon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poisson'],,['H82'],,,
317,Huile vierge De Noisettes,3760206530189,,,['France'],[],[],?,900,3766 kj(900 kcal),100,"8,2","0,5","0,5","0,5","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noisette']",,,,,100 g,en quantité élevée,8.2 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,10,C,D,,+3%,+3%,+3%,-4%,+3900%,+11394%,+5902%,+355%,+355%,-4%,-4%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,
318,Yaourt à la Fraise - Le P'tit Fermier de Kervihan,3760206780065,,"[""Le P'tit Fermier de Kervihan""]",['France'],"['lait entier Bio pasteurise 82%', 'fraise Bio 8%', 'sucre de canne BlO 7%', 'poudre de lait"" ecreme Bio 3%', 'ferments lactiques']",['Non végétalien'],?,94,393 kj(94 kcal),"2,9",2,"13,4","11,56","3,6",,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise']","['Bio', 'Bio européen', 'en:produced-in-bretagne', 'AB Agriculture Biologique']",,,3,2.9 g,en faible quantité,2 g,en quantité modérée,11.6 g,en quantité modérée,,,,,B,,-4%,-3%,-3%,+5%,+2%,-7%,-2%,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],,,,['Magasins U'],
319,Yaourt au citron - Le P'tit Fermier de Kervihan - 500g,3760206780102,500g,"[""Le P'tit Fermier de Kervihan""]",['France'],"['lait*', ' entier Bio pasteurisé 82%', 'citron Bio 15%', 'poudre de lait* écrémée Bio 3%', 'ferments lactiques*allergenes']",['Non végétalien'],?,95,397 kj(95 kcal),"2,9",2,"13,7","10,53","3,4","0,8","0,32",,['4x125g'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts au citron']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'en:produced-in-bretagne']",['locoal mendon'],,,2.9 g,en faible quantité,2 g,en quantité modérée,10.5 g,en quantité modérée,0.8 g,en quantité modérée,5,C,B,,-10%,-10%,-29%,-24%,+2%,-16%,-2%,+567%,+567%,+39%,+39%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],['Lait de ferme bretonne'],,,['Magasins U'],
320,4 yaourts à la framboise - Le P'tit Fermier de Kervihan,3760206782113,,"[""Le P'tit Fermier de Kervihan""]",['France'],"['lait entier Bio pasteurisé 82%', 'framboise Bio 8%', 'Sucre de canne BIO 7%', 'poudre de lait ecrémé Bio 3%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",430,102,430 kj(102 kcal),"2,9","1,9","15,6","11,51","3,4","0,122","0,049",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la framboise']","['Bio', 'en:produced-in-bretagne']",,,3,2.9 g,en faible quantité,1.9 g,en quantité modérée,11.5 g,en quantité modérée,0.122 g,en faible quantité,2,B,C,+5%,+4%,+5%,-2%,+5%,+18%,-5%,-4%,+12%,+12%,-20%,-20%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],,,,,
321,Yaourts à la cerise - Le p'tit fermier de Kervihan,3760206782120,,"[""Le p'tit fermier de Kervihan""]",['France'],[],[],?,88,368 kj(88 kcal),"2,9",2,"11,8","9,49","3,7","0,8","0,32",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la cerise', 'Yaourts au lait de vache']",['Bio'],,,,2.9 g,en faible quantité,2 g,en quantité modérée,9.49 g,en quantité modérée,0.8 g,en quantité modérée,5,C,C,,-13%,-13%,-7%,-2%,-16%,-26%,+1%,+584%,+584%,+69%,+69%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,['Lait'],,,,['Magasins U'],
322,Les Samoussas Tradition Recette de poulet - 260g,3760207460010,260 g,['Les Samoussas Tradition'],['France'],"['Poulet', 'sel', 'poivre', 'glutamate de sodium', 'cumin', 'oignon vert', 'gingembre', '\rPâte : farine ', 'gluten', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,Samoussa au poulet,"['Surgelé', 'Sachet', 'Palstique']","['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Samoussas', 'Samoussas à la volaille']",,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,E,,,,,,,,,,,,,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,['Gluten'],"['France', 'Ile de la Réunion', 'Saint Pierre 97410']",,,['Paris store'],
323,Crème brulée coeur chataigne - Les Saveurs de la Drôme,3760207710016,,['Les Saveurs de la Drôme'],['France'],"['Crème fraîche pasteurisée', 'pâte de marrons confits 15% ', 'marrons 53%', 'sucre', 'sirop de glucose', 'extrait de vanille', ""jaune d'oeuf pasteurisé"", 'sucre', 'extrait de vanille', ' Poids net 240g ', '2x120g', ' FR 26', '362', '206 CE EN FRANCE']",['Non végétalien'],?,295,1234 kj(295 kcal),"23,5","15,6",18,"14,3",3,"0,1","0,04",,,,['Fabriqué en France'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 26.362.206 CE', 'Valence (Drôme, France)']",,,
324,Pâtisserie libanaise surfine,3760208030243,,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Pois chiches au naturel bio - Vire Vent De Provence,3760208060202,,['Vire Vent De Provence'],['France'],"['pois chiches cuits fondants', 'eau', 'sel', 'vinaigre *', ' *Issu de I agriculture biologique']",[],?,139,582 kj(139 kcal),"1,2","1,7",21,"0,4","8,9","0,9","0,36",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches', 'Légumineuses en conserve', 'Pois chiches en conserve']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE', 'FR-BIO-10']",,,3,1.2 g,en faible quantité,1.7 g,en quantité modérée,0.4 g,en faible quantité,0.9 g,en quantité modérée,0,B,B,,+20%,+20%,-41%,+532%,+40%,-44%,+38%,+48%,+48%,,,28.6%,33.2%,14.9%,14.4%,4.2%,4.8%,88,,,,,,,
326,Jus de pomme fermier - Domaine Olivier - 1L,3760208720113,1L,['Domaine Olivier'],['France'],['100% jus de pomme'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,42,176 kj(42 kcal),"0,1",0,10,"9,5","0,1",,,Jus de pomme,['Bouteille verre'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']","['Bio', 'Bio européen', 'FR-BIO-10', 'Sans conservateurs']",,,1,0.1 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,,,,,C,,-9%,-8%,-41%,-100%,-6%,-2%,-74%,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
327,Guimauves verveine,3760209010060,,,['France'],[],[],?,358,1498 kj(358 kcal),"0,5",0,"83,3",70,5,"0,07","0,028",,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Guimauves myrtille,3760209010077,,,['France'],[],[],?,358,1498 kj(358 kcal),"0,5",0,"83,3",70,5,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Canistrelli,3760209291001,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Pizza Sicilienne - Les p'tits chefs du bio,3760209680065,,"[""Les p'tits chefs du bio""]",['France'],"['PIZZA SICILIENNE Poids net 4009 ANCHOIS Pâtes 44 BZ ', 'farine de blé*', 'eau ', 'ce/', 'levure', ""tomate 14 tomate'"", 'gel', 'sucres', ""ait'"", ""persil'"", 'baoilicy', 'voivrc•', 'de ?revverœe', 'rrwzzze!ia• sel', 'bactéries lactiques', 'enzymes coagulantes', 'lëçurr»e en tjon variable', 'tomate séchées marinée a darJivey et au ', 'lait de vache', 'cel', 'présure', 'Huile pimentée au ba3ilic• huj!e de pirrv:v', ""•jngrédients i33U3 de l'agricufture biogogique"", ' Les informations en gras corvt destinées aux pezoorz Produit élaboré dans un atelier qui utifiae du ga', 'ten', 'des z des fruits à coque', 'des crustacés', 'dz produits a base de soja', 'de ta et des de Matières premières surgelées', 'produit a ne pas congeler', ' SICILIAANSE PIZZA Nettogewi±t Deeg• 44', '5% ', 'tarwemeel*', 'water', 'zout', 'gist*', 'tomatensaur 14 KZ ', 'tomatenpuree•e ui""']","['Non végétalien', 'Non végétarien']",?,165,690 kj(165 kcal),6,2,13,2,14,"0,4","0,16",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Crustacés', 'Poisson', 'Gluten', 'Lait']",,,,,
331,Nems aux crevettes bio - Les p'tits chefs du bio - 200g,3760209680096,200 g,"[""Les p'tits chefs du bio""]",['France'],"['Galette de rie 44% ', 'eau', 'farine de riz', 'farine de blé', 'sel', 'huile de tournesol', 'carotte', 'oignon', 'courgette', 'crevette ', 'traces de sulfites', ' 9%', 'vermicelle de blé', 'chou chinois', 'amidon de maïs', 'sel', 'shiitake', 'curcuma', 'citronnelle', 'poivre']","['Non végétalien', 'Non végétarien']",?,197,824 kj(197 kcal),11,"1,2",19,3,5,"1,4","0,56",,,"['Produits de la mer', 'Plats préparés', 'Crustacés', 'Crevettes', 'Nems', 'Nem aux crevettes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,3,11 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,1.4 g,en quantité modérée,6,C,C,,+2%,+0%,+27%,+4%,-19%,+13%,-31%,+10%,+10%,+71%,+71%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,"['Crustacés', 'Gluten']",,,,,
332,Pizza Chorizo - Alice & Bio,3760209680317,,['Alice & Bio'],['France'],"['Pâte* HO', '7Z ', 'eau', 'farine de riz* ', 'farine de pois chiche* ', 'farine de maïs* ', 'levure*', 'épaississant : gomme de sucre* ', 'sel', ""bicarbonate d'ammonium"", 'légumes grillés* à thuile dolives* xanthane et gomme de guar ?0', '3Z ', 'poivron vert* ', 'oignon*-ewproportiorwariable', 'sauce tomate* 16', '9Z', 'purée de tomate* ', 'oignon* concentré de tomate* ', 'sel', 'sucre* ', 'ail* ', 'persil* ', ""basilic*' poivre*"", 'origan* ', 'herbes de Provence*', 'emmental râpé* ', 'chorizo* 8', '5Z', 'viande de porc* ', 'épices*', 'sel', 'lactose* ', 'dextrose* ', 'arômes naturels', 'antioxygène • ascorbate de sodium', 'conservateur : nitrate de potassium', 'boyau naturel', 'olives']","['Non végétalien', 'Non végétarien']",?,193,808 kj(193 kcal),10,4,20,2,7,"0,33","0,132",,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au chorizo']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,"[""E503ii - Carbonate acide d'ammonium"", 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,10 g,en quantité modérée,4 g,en quantité modérée,2 g,en faible quantité,0.33 g,en quantité modérée,2,B,B,,-20%,-19%,+3%,-7%,-25%,-38%,-31%,-76%,-76%,-79%,-79%,59.0%,18.5%,4.6%,5.4%,2.6%,9.9%,70,,['Lait'],,,,,
333,"Frais & Primeur / Traiteur / Pâtes, Pizzas Et Tartes Bio - Les p'tits chefs du bio - 250g",3760209680645,250 g,"[""Les p'tits chefs du bio""]",['France'],"['Pâte* ', 'eau', 'farine de riZ*', 'farine de pois chiche*', 'farine dé maïS*', 'levure*', 'épaississants ', 'gomme de xanthane et gomme de guar*', 'sucre*', 'sel', 'sauce tomate* 21% ', 'purée de tomate*', 'eau', 'oi nons*', 'amidon de maïS*', 'concentré de tomate*', 'sucre*', 'sel', 'ail*', 'persil*', 'basilic*', 'poivre*', 'origan*', 'herbes de Provence*', ""?égumes grillés* 16% dans Ihuile d'olive* "", 'poivrons*', 'courgettes*', 'champignons* et oignons*', 'sel', 'poivre*', 'fauxmage végétal râpé* 14% ', 'eau', 'amidon* de pomme de terre*', 'amidon de maïS*', 'matières grasses végétales ', 'huile de noix de coco*', ""huile d'olive*"", 'protéines de soja*', 'sel', 'épaississant ', 'carraghénane', 'arôme naturel', 'olives non dénoyautées*', 'tomates séchées marinées* ', 'tomates séchées*', 'huile de tournesol*', ""huile d'olive extra vierge*"", 'vinaigre de Vin*', 'sel', 'ail*', 'persil*', 'basilic*', 'origan*', "" *Ingrédients issus de l'agriculture biologique"", 'Les informations en gras sont destinées aux personnes intolérantes ou allergiques', "" Produit élaboré dans un atelier dédié au sans gluten qui utilise des produits à base de 'ait et des produits à base de soia?""]","['Végétalien', 'Végétarien']",?,179,749 kj(179 kcal),5,1,29,3,5,"1,3","0,52",,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique', 'Union Végétarienne Européenne']",,"['E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,5 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,1.3 g,en quantité modérée,4,C,,,-22%,-22%,-40%,-75%,+8%,+2%,-51%,+4%,+4%,-49%,-49%,,,,,,,,,,,,,,
334,Samoussas au bœuf bio - Les P’tits Chfs - 150g,3760209680713,150 g,['Les P’tits Chfs'],['France'],"['Galette de blé* ', 'eau', 'farine de blé*', 'sel', 'huile de tournesol*', 'oignons* 18%', 'boeuf* 9%', 'carottes* 7%', 'huile de tournesol*', 'sel', 'ail*', 'tendoori*', 'poivre*', ""piment d'Espelette"", "" Cuit dans de l'huile de tournesol*"", ' Sauce-aigre-douce* : eau', 'infusion en mélange* ', 'poivrons*', 'gingembre*', 'piment douve badiane* et vinaigre de cidre*', 'jus concentré de raisin blanc*', 'de tomate* et de mangue*', 'fécules de maïs* et de tapioca*', 'sel', "" *Ingrédients issus de l'agriculture biologique""]","['Non végétalien', 'Non végétarien']",?,290,1213 kj(290 kcal),16,2,28,2,"2,8","1,4","0,56",,"['Carton', 'Plastique']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Samoussas', 'Samoussas au bœuf']",['Bio'],['Gers'],,3,16 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,1.4 g,en quantité modérée,9,C,E,,+27%,+27%,+45%,-10%,+20%,-49%,-68%,+27%,+27%,+55%,+55%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,['Gluten'],,,,,
335,2 tartes individuelles Tomate chèvre affiné - Les P'tits Chefs du Bio - 250g (2 * 125g),3760209680782,250 g (2 * 125 g),"[""Les P'tits Chefs du Bio""]",['France'],"['Sauce tomate* 39 % ', 'purée de tomate* 33 %', 'oignon*', 'concentré de tomate* 2 %', 'amidon de maïs*', 'sel', 'sucre*', 'ail*', 'persil*', 'basilic*', 'poivre*', 'origan*', 'herbes de Provence*', 'pâte brisée* 32 % ', 'farine de blé*', 'beurre frais* eau', 'sel', 'sauce crème* ', 'crème liquide* ', 'crème de lait de vache', 'stabilisants : carraghénanes', 'eau', 'œuf liquide*', 'poudre de lait écrémé*', 'sel', 'muscade*', 'fromage de chèvre* 6 %', "" *Ingrédients issus de I'agriculture biologique""]",['Non végétalien'],?,279,1167 kj(279 kcal),17,11,24,4,6,"0,2","0,08",,"['Plastique', 'Frais', 'Carton']","['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats préparés réfrigérés']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['France'],"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,17 g,en quantité modérée,11 g,en quantité élevée,4 g,en faible quantité,0.2 g,en faible quantité,13,D,,,+13%,+13%,+25%,+73%,+10%,+40%,-20%,-82%,-82%,+13%,+13%,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",['France'],,,,
