,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,ingredients_origins,labels,generic_name,manufacturing,traceability_code,link,additives,palm_ingredients,origin_detail,producer_info,brand_owner
1568,Bière Smash - Les Brasseurs Savoyards - 33cl,3760009532465,['France'],[],[],?,?,?,?,?,C,33 cl,['Les Brasseurs Savoyards'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,['Bio'],,,,,,,,,
1569,Brume - Super U,3256221410686,['France'],[],[],?,?,?,?,?,,,['Super U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Pizza Contadina - L’Autentica - 420g,3700656404784,['France'],[],[],?,167,"4,7",26,10,,420 g,['L’Autentica'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,,4.7 g,en quantité modérée,3 g,en quantité modérée,2.1 g,en faible quantité,1.7 g,en quantité élevée,,-27%,699 kj(167 kcal),-27%,-44%,3,-24%,-3%,"2,1",-29%,-3%,"1,7",+36%,"0,68",+36%,11,+42%,D,+42%,,,,,,,,,,,,,,,,,,,,
1571,Beignet de légumes ( courgettes en rondelles) -,3428190050259,['France'],[],[],?,307,"18,8","26,2","6,8",,,,"['Snacks', 'Snacks salés', 'Beignets salés']",,,18.8 g,en quantité modérée,2.76 g,en quantité modérée,2.3 g,en faible quantité,1.19 g,en quantité modérée,,+34%,1284 kj(307 kcal),+36%,+103%,"2,76",+121%,+4%,"2,3",-34%,-0%,"1,19",-20%,"0,476",-20%,6,-12%,C,-12%,,,,,,,,,,,,,,"['FR 50.582.008 CE', 'Sourdeval (Manche, France)', 'FR 60.582.008 CE', 'Saint-Léger-aux-Bois (Oise, France)']",,,,,,
1572,Eucalyptus Menthol - NORD FRESH - 300g,02707116,['France'],"['ingrédients: sucre', 'sirop de glucose', ""0,2% huile d'eucalyptus"", '0,1% mentol', 'colorant : complexes cuivriques de chlorophylles et de chlorophyllines']",[],?,389,0,"97,3",0,,300g,['NORD FRESH'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,4,0 g,en faible quantité,0 g,en faible quantité,68.3 g,en quantité élevée,0.01 g,en faible quantité,,-7%,1628 kj(389 kcal),-8%,-100%,0,-100%,+46%,"68,3",+38%,-100%,"0,01",-93%,"0,004",-93%,14,-23%,D,-23%,,,,,,,,['Sachet'],['Lidl'],,,,['Strasbourg'],['REP_361423'],,['E141 - Complexe cuivrique des chlorophylles et des chlorophyllines'],,,,
1573,Galettes au ble noir,3450611980029,['France'],[],[],?,?,?,?,?,B,,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,,,,,,,,,
1574,3559974003397,3559974003397,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Melange épices pour Phô,8935005301086,['France'],[],[],?,?,?,?,?,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,,,,,,,,,,,,,
1576,Jambon serrano,8412954021086,['France'],[],[],?,248,12,0,"38,11",E,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,12 g,en quantité modérée,3.1 g,en quantité modérée,0 g,en faible quantité,4.2 g,en quantité élevée,,+4%,1038 kj(248 kcal),+4%,-5%,"3,1",-34%,-100%,0,-100%,+25%,"4,2",-10%,"1,68",-10%,16,-2%,D,-2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,
1577,Tarte chocolat,3251516017007,['France'],[],[],?,336,17,40,"5,1",,,,"['Tartes', 'Tartes sucrées', 'Tartes au chocolat']",,,17 g,en quantité modérée,9.1 g,en quantité élevée,23 g,en quantité élevée,0.29 g,en faible quantité,,-11%,1406 kj(336 kcal),-12%,-18%,"9,1",-22%,-5%,23,-7%,-3%,"0,29",-1%,"0,116",-1%,19,+4%,E,+4%,,,,,,,,,,,,,,"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,,,,,
1578,Brauner Jasminreis / Healthy Brown Rice - Sunlee 1KG - 1kg,8858741211740,['France'],[],[],?,356,"2,66","74,95","7,96",,1 kg,,,,,,,,,,,,,,,1490 kj(356 kcal),,,"0,98",,,"0,94",,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1579,Green tea - blushing berry,2023414899990,['France'],[],[],?,?,?,?,?,B,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
1580,Tomates semi-séchées - Lidl - 330,20958619,['France'],[],[],?,138,"9,2","8,7","3,1",,330,"['Lidl', 'Chef Select']",,,,,,,,,,,,,,577 kj(138 kcal),,,1,,,"8,7",,,"0,83",,"0,332",,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,
1581,Tellicherry pepper,5030101026987,['France'],[],[],?,386,"3,3",65,11,,,,,,,,,,,,,,,,,1615 kj(386 kcal),,,1,,,"0,6",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Farine de pois chiches - 500g,3283080000086,['France'],[],[],?,?,?,?,?,B,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Farines', 'Farines de légumineuses', 'Farines de pois chiche']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5%,2.0%,12.2%,26.4%,4.9%,0.0%,94,,,,,,,,,,,,,
1583,Jamon serrano - Auchan - 100g,3596710462476,['France'],"['Jambon de porc', 'sel', 'sucre', ' conservateurs : nitrate de potassium', 'nitrite de sodium', ' antioxydant: ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,230,12,"0,5",30,E,100 g,['Auchan'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,3,12 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,5.5 g,en quantité élevée,,-4%,962 kj(230 kcal),-4%,-5%,5,+7%,-30%,"0,5",+12%,-1%,"5,5",+17%,"2,2",+17%,16,-2%,D,-2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,"['barquette plastique', 'film plastique', 'à jeter']",['Auchan'],['Espagne'],"['Fabriqué en Espagne', 'en:traditional-speciality-guaranteed']",,,"['FR 63.427.001 CE', 'Teilhède (Puy-de-Dôme, France)']",,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,
1584,Poulet Découpe,3265080107682,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Miel D'eucaliptus Bio,3594480005213,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,
1586,Fromage de chèvre,8719425580548,['France'],[],[],?,430,"32,9",0,"28,5",D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,32.9 g,en quantité élevée,22.9 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,+51%,1799 kj(430 kcal),+52%,+44%,"22,9",+43%,-100%,0,-100%,+65%,"2,3",+70%,"0,92",+70%,20,+50%,E,+50%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,
1587,Morue à la sauce Biscaye - Esmeralda,3700068145190,['France'],[],[],?,74,"0,4",0,18,,,['Esmeralda'],,,,,,,,,,,,,,310 kj(74 kcal),,,"0,2",,,0,,,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,
1588,alcool de menthe ricqles - 100ml,3401597736667,['France'],"['alcool ethylique à 8o%,eau,huile essentielle de menthe poivree ', 'menthae piperitae 1,32% soit en moyenne 0,01 ml pour 18 goutes']",[],?,?,0,0,0,,100 ml,['Ricqles'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts']",,,,,,,,,,,,,,,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,,,,,,,,,,,,['Bouteille'],['Pharmacie'],['Base de menthe poivree'],,,['paris france'],['30334'],,['E1510 - Éthanol'],,,,
1589,baiona seche,8426572953001,['France'],[],[],?,226,"10,03",1,"33,89",,,,,,,,,,,,,,,,,946 kj(226 kcal),,,"3,51",,,1,,,"4,88",,"1,952",,,,,,,,,,,,,,,,,,,,,,,,,
1590,Filets de poulet blanc fermier biologique - Lyré bio,0213042049597,['France'],[],[],?,?,?,?,?,D,,['Lyré bio'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,['Bio'],,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",,,,,,
1591,Yaourt au lai de brebis - Soignon - 440g,14751112,['France'],"['lait entier de brebis pasteurisé ', 'origine UE', 'ferments lactiques ', 'lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,94,"7,1","2,2","5,4",,440 g,['Soignon'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",['Lait'],3,7.1 g,en quantité modérée,5.1 g,en quantité élevée,2.2 g,en faible quantité,0.12 g,en faible quantité,,-10%,393 kj(94 kcal),-11%,+39%,"5,1",+53%,-77%,"2,2",-73%,+11%,"0,12",+12%,"0,048",+12%,3,+16%,C,+16%,,,,,,,,,,,,,,,,,,,,
1592,Yoghurt Energy Bar - Jungle - 40g,6001120602871,['France'],[],[],1900,454,"20,5",61,"5,9",D,40g,['Jungle'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",,,20.5 g,en quantité élevée,9.3 g,en quantité élevée,23.1 g,en quantité élevée,0.07 g,en faible quantité,-4%,+2%,1900 kj(454 kcal),+1%,+6%,"9,3",-7%,+3%,"23,1",-28%,-17%,"0,07",-81%,"0,028",-81%,14,-19%,D,-19%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,['Sachet'],,,,Barre chocolatée au lait,,,,,,,,
1593,Cuisses de poulet,3199660219192,['France'],[],[],?,?,?,?,?,D,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,
1594,Gesiers de poulet,0253096008270,['France'],[],[],?,95,"3,8",0,15,B,,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de poulet']",,,3.8 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,,-40%,397 kj(95 kcal),-39%,-48%,"1,1",-52%,-100%,0,-100%,-29%,"0,2",-84%,"0,08",-84%,-3,-154%,A,-154%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
1595,Cabernet d’Anjou - Domaine des forges - 3litres,3346320975824,['France'],[],[],?,?,?,?,?,C,3 litres,['Domaine des forges'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Cabernet d'Anjou""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,['France'],,,,,,,,,,
1596,Pâté pur porc,3368000000039,['France'],[],[],?,381,36,"2,6","13,1",,,,,,,,,,,,,,,,,1594 kj(381 kcal),,,13,,,"0,1",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
1597,G.R.M,3257982123037,['France'],[],[],?,?,?,?,?,,,['G.R.M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Mini-beignets aux trois choclat,0203831025918,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,
1599,Hamon de Bellota iberico - Montellano,8426368070790,['France'],[],[],?,?,?,?,?,,,['Montellano'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Trio de fleurettes - Netto,3250392353162,['France'],[],[],?,0,"0,34",2,"2,4",,,['Netto'],,,,,,,,,,,,,,0 kj(0 kcal),,,"0,06",,,"1,7",,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
