,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,traceability_code,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,generic_name,allergens,brand_owner,additives,nova_score,markets,ingredients_origins,link,manufacturing,palm_ingredients
1240,Palais des Thés,2700220001228,['France'],[],[],?,?,,?,,?,,?,,,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Viennoiseries au beurre,3070104000142,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Queso fresco 0%,8480017144300,['France'],[],[],?,66,276 kj(66 kcal),"0,3","0,2","3,8","3,8",12,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,9417522000349,9417522000349,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Lizi's Granola,5060092064446,['France'],[],[],?,513,2146 kj(513 kcal),29,"7,5","46,2","9,1","10,9","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Fond volaille,5414972126210,"['Belgique', 'France']",[],[],?,7,29 kj(7 kcal),0,0,"1,1","0,8",0,"1,6","0,64",,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,
1246,Pains au chocolat,3461180340152,['France'],[],[],?,374,1565 kj(374 kcal),21,13,38,10,"7,7","0,79","0,316",,,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",21 g,en quantité élevée,13 g,en quantité élevée,10 g,en quantité modérée,0.79 g,en quantité modérée,,-6%,-6%,-4%,-2%,-10%,-17%,+7%,-13%,-13%,19,-4%,E,-4%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,
1247,Gâteau,2053649799994,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Selena,3760198580025,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Pasaia,3770006676963,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
