,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,traceability_code,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,generic_name,allergens,brand_owner,additives,nova_score,markets,ingredients_origins,link,manufacturing,palm_ingredients
0,T'as Un Petit Pois Dans La Tête,3760153930438,['France'],[],[],?,365,1527 kj(365 kcal),"9,3","4,4",49,11,14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Recovery shake chocolate flavour,5060075670916,['France'],[],[],?,61,255 kj(61 kcal),"0,2","0,1","10,8","10,5","3,7","0,1","0,04",['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Maxi knacks cuites,3445420021704,['France'],[],[],?,190,795 kj(190 kcal),15,"5,5","7,6","0,5",7,"2,1","0,84",,"['FR 76.400.001 CE', 'Luneray (Seine-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mekta,2205630004710,['France'],[],[],?,432,1807 kj(432 kcal),39,"16,2","2,8","0,6","17,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Browning - Sarson's,5060336500532,['France'],[],[],?,189,791 kj(189 kcal),"0,5","0,5","2,4","2,4","17,3","15,9","6,36",['glass-bottle'],,"[""Sarson's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sisunni white chocolate,5202474081010,['France'],[],[],?,607,2540 kj(607 kcal),44,27,46,31,"6,8","0,06","0,024",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Réserve des chartrons sélect médoc 2015,3423290196029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Baguette maïs,,['France'],[],[],?,244,1021 kj(244 kcal),"3,3","0,9",44,"1,1","9,5","1,3","0,52",,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",3.3 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en faible quantité,1.3 g,en quantité modérée,,-5%,-5%,+41%,+100%,-10%,-51%,+15%,+7%,+7%,3,-2%,C,-2%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,
8,Bradford mountain,0083187444713,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Confiture de framboises épépinées,2438730444555,['France'],[],[],?,240,1004 kj(240 kcal),0,0,57,57,"0,7","0,04","0,016",,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0.04 g,en faible quantité,,+7%,+7%,-100%,-100%,+7%,+11%,+4%,+88%,+88%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,
10,Brioche sucre,3602826500855,['France'],[],[],?,?,,?,,?,,?,,,,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Parmigiana di Melanzane - Rana,8001665707107,['France'],[],['Sans huile de palme'],?,121,506 kj(121 kcal),"6,7","3,7","5,4","2,9","8,3","0,76","0,304",,,['Rana'],"['Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Super food brot - Blatter GmbH - 1pcs,4002809057014,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,196,820 kj(196 kcal),"7,8","1,3","6,6","1,7",21,"0,68","0,272",,,['Blatter GmbH'],"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1pcs,,,,,,,,,,
13,Beignets glacés -,0059749944632,['France'],[],[],?,380,1590 kj(380 kcal),22,12,40,20,4,"1,5","0,6",,,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets sucrés']",22 g,en quantité élevée,12 g,en quantité élevée,20 g,en quantité élevée,1.5 g,en quantité modérée,,+7%,+7%,+39%,+246%,-12%,+23%,-37%,+104%,+104%,24,+100%,E,+100%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,
14,Pain  bucheron,0204908009848,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Monin Agave Syrup,3052911182587,['France'],[],[],?,319,1335 kj(319 kcal),"0,05","0,05",84,84,"0,01","0,01","0,004",,,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,St RIEUL Bière Blanche sur Lie,3760054630055,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Семечки,4600528353648,['France'],[],[],?,650,2720 kj(650 kcal),61,"7,2","4,5","2,1",21,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Les hauts de joyan,3760056651799,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tomme pur brebis,2488009030835,['France'],[],[],?,400,1674 kj(400 kcal),34,25,"1,5","0,5",22,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sorbet Chocolat,3760029969234,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ben & Jerry Hooked in you - 431g,8714100378410,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431 g,,,,,,,,,,
22,Eat Natural Mandel & Aprikose,5013803666705,['France'],[],[],?,476,1992 kj(476 kcal),"26,7","18,8","49,7","31,2","6,6","0,06","0,024",,,['Eat Natural'],['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Torraccia Rouge 2012 Porto Vecchio,3456390002020,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CHIA,3373020046493,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ben & Jerry Knusper - 427g,8714100656167,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427 g,,,,,,,,,,
26,Huile d olive,5604344000303,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Philippine's finest dried pineapple,4806527761099,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cubes Poulet X 3,0084685000067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Moelleux au chocolat,3456580061066,['France'],[],[],?,427,1787 kj(427 kcal),26,"4,9",41,33,"5,8","0,34","0,136",,"['EMB 14258C', 'Falaise (Calvados, France)']",,,D,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Moelleux au chocolat']",26 g,en quantité élevée,4.9 g,en quantité modérée,33 g,en quantité élevée,0.34 g,en quantité modérée,,0%,+1%,+6%,-50%,-5%,+5%,-5%,-6%,-6%,17,-12%,D,-12%,83.9%,9.8%,1.9%,2.9%,1.1%,0.3%,36,,,,,,,,,,,
30,Poitrine fumée à cuire,2643373030762,['France'],[],[],?,323,1351 kj(323 kcal),"28,1","10,5","0,6","0,6","16,8","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Compote mangues, poires et papayes bio -",5060503500761,['France'],[],[],?,44,184 kj(44 kcal),"0,5","0,1","9,3","8,6","0,5","0,03","0,012",,,,['Bio'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",0.5 g,en faible quantité,0.1 g,en faible quantité,8.6 g,en quantité modérée,0.03 g,en faible quantité,,-34%,-34%,+53%,+18%,-36%,-35%,+20%,+202%,+202%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,"compotes multifruits de poire , papaye et mangue",,,,,,,,,
32,Croissant tournesol ×10,8451493836003,['France'],[],[],?,399,1669 kj(399 kcal),23,10,38,"5,8","7,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Olive,6211000111359,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Çakıl taşı,0414704010003,['France'],[],[],?,0,0 kj(0 kcal),0,0,15,11,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Milk chocolate whit hazelnuts,30618282,['France'],[],[],?,548,2293 kj(548 kcal),34,16,49,48,"8,8","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tomme de brebis Corse,0247076048806,['France'],[],[],?,405,1695 kj(405 kcal),34,24,"1,5","0,5",24,"1,8","0,72",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis', 'Tomme de brebis']",34 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+4%,+3%,+2%,+11%,+7%,+128%,+7%,+5%,+5%,22,+33%,E,+33%,,,,,,,,,,,,,,,,,,
37,Noikao,3250390859284,['France'],[],[],?,536,2243 kj(536 kcal),"29,8","10,3",60,"59,4","5,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Limonade des neiges,3114487764359,['France'],[],[],?,31,130 kj(31 kcal),0,0,"7,8","7,8",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Assortiment de guimauves au chocolat noir, blanc et lait",2609713036542,['France'],[],[],?,404,1690 kj(404 kcal),"10,6","6,5","73,7","56,7","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Croquants de cordes aux éclats d amandes - Jours Heureux,3602801047207,['France'],[],[],?,447,1870 kj(447 kcal),13,1,71,63,10,"0,07","0,028",,,['Jours Heureux'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Terrine de cerf a l'armagnac - Duc de Pressac,3432770020020,['France'],[],[],?,254,1063 kj(254 kcal),22,"7,6",0,0,14,"1,6","0,64",,,['Duc de Pressac'],,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de cerf']",22 g,en quantité élevée,7.6 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-8%,-8%,-4%,-11%,-100%,-100%,-5%,+3%,+3%,17,-2%,D,-2%,,,,,,,,,,,,,,,,,,
42,Langnese Cremissimo Spritzige Zitrone,8712100874611,['France'],[],[],?,?,,?,,?,,?,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Frutta & fibre - Yoga,8001440124556,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,2","12,2","0,2",0,0,,,['Yoga'],['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Prosciutto crudo - Italiamo,2827508014159,['France'],[],[],?,213,891 kj(213 kcal),"12,1","5,2","0,5",0,"25,5",6,"2,4",,,['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pain d'épeautre,2644682011480,['France'],[],[],?,256,1071 kj(256 kcal),"1,5","0,2","49,7",2,"8,4","1,47","0,588",,,,['Bio'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",1.5 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,1.47 g,en quantité modérée,,-5%,-4%,-35%,-46%,+2%,-4%,-13%,+20%,+20%,4,+33%,C,+33%,,,,,,,,,,,,,,,,,,
46,Rouleau de 3 nonettes a la confiture d orange,3700956433033,['France'],[],[],?,347,1452 kj(347 kcal),"1,8","0,6",78,44,4,"0,43","0,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sablé au thé sakura,3700286561185,['France'],[],[],?,500,2092 kj(500 kcal),"23,4","15,6","62,4","31,2","5,2","0,754","0,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,RAW CHOC BAR,8594183250250,['France'],[],"['Végétalien', 'Végétarien']",?,614,2569 kj(614 kcal),"46,5","20,13","40,7","19,1","8,9","0,12","0,048",,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Saucisson Sec Pur Porc,3369579230414,['France'],[],[],?,419,1753 kj(419 kcal),"34,8","13,6","2,6","1,9","24,7","4,1","1,64",,,,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",34.8 g,en quantité élevée,13.6 g,en quantité élevée,1.9 g,en faible quantité,4.1 g,en quantité élevée,,+2%,+2%,+7%,+6%,+12%,+24%,-10%,-12%,-12%,25,+3%,E,+3%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
50,Mochi green bean,4712929160944,['France'],[],[],?,284,1188 kj(284 kcal),1,"0,2","67,2",55,"1,5",0,0,,,,,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",1 g,en faible quantité,0.2 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,,-6%,-8%,-75%,-86%,+2%,+85%,-41%,-100%,-100%,13,+27%,D,+27%,,,,,,,,,,,,,,,,,,
51,Mini viennoiseries,0260936034443,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pale Ale - Arvarus bières incertaines - 33cl,3770012202002,['France'],[],[],?,?,,?,,?,,?,,,,,['Arvarus bières incertaines'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 cl,,,,,,,,,,
53,Pink Lady Apple,9341181001259,['France'],[],[],?,158,661 kj(158 kcal),"0,1","0,1","9,5","9,5",0,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Panache éclairs X6,0260238019681,['France'],[],[],?,238,996 kj(238 kcal),12,"2,6",29,19,"3,5","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Haricots cornilles,5600491700622,['France'],[],[],?,340,1423 kj(340 kcal),"3,6","0,3","50,3",3,"21,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,bière - petrolette - 33  cl,3701121900251,['France'],"['eau', ""malt d'orge "", 'contient du gluten', 'houblon', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,['Petrolette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33  cl,,['Gluten'],,,,,,,,
57,Pane & Pasta di asparagi,8032817244515,['France'],[],[],?,303,1268 kj(303 kcal),"3,3","3,3","3,3",0,"3,3","2,8","1,12",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Mapmanaa,4600492321209,['France'],[],[],?,325,1360 kj(325 kcal),0,0,"77,2","77,2",0,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jus d'orange - Solevita,13083335,['France'],[],[],?,44,184 kj(44 kcal),"0,5","0,1","9,1","9,1","0,7","0,01","0,004",,,['Solevita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Alkalizing greens drink mix,0087614100067,['France'],[],[],?,30,126 kj(30 kcal),0,0,0,0,1,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Saucisse sèche ""LE PASTOU""",2462773029912,['France'],[],[],?,361,1510 kj(361 kcal),"28,8",14,"4,1","3,9","22,7",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dr rougier,8594064070106,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tamarindo concentrado,7501017660377,['France'],[],[],?,108,452 kj(108 kcal),0,0,27,24,0,"0,017","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Beef mince - Co Op,39607393,['France'],[],[],?,190,795 kj(190 kcal),12,"5,1",0,0,21,"0,2","0,08",,,['Co Op'],,E,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",12 g,en quantité modérée,5.1 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,,+2%,+1%,-3%,-2%,-100%,-100%,+10%,-9%,-9%,2,-27%,B,-27%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,
65,Layer cake,9556023776718,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mortadelle,6111242104389,['France'],[],[],?,?,,?,,?,,?,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Simply steamers - Healthy Choice,0072655001244,"['France', 'États-Unis']","['Broccoli', ' seasoned cooked chicken ', 'chicken breast', 'water', 'sugar', 'sea salt', 'olive oil', 'isolated soy protein', 'soy fiber', 'rice starch', 'natural flavoring', ' alfredo sauce ', 'water', 'parmesan cheese [pasteurized milk', 'cheese culture', 'salt', 'enzymes]', ""romano cheese from cow's milk [part skim milk"", 'cheese culture', 'salt', 'enzymes]', 'corn starch', 'cream', 'contains 2% or less of: whey protein concentrate', 'potassium chloride', 'sea salt', 'natural flavorings', 'butter [cream', 'salt]', 'locust bean gum', ' contains: milk', 'soy']","['Non végétalien', 'Non végétarien']",?,73,305 kj(73 kcal),"1,93","0,97","3,09","0,77","10,81","0,58","0,232",,,['Healthy Choice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",Conagra Brands,['E410 - Gomme de caroube'],4,,,,,
68,Chocolat Blanc façon caramel fudge,3564884019895,['France'],[],[],?,?,,?,,?,,?,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sauce Goyave,7898593800205,"['Brésil', 'France']",[],[],?,122,510 kj(122 kcal),0,0,"29,97","29,38","8,38","8,56","3,424",,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fruits marble gum,4902747161036,['France'],[],[],?,311,1301 kj(311 kcal),0,0,"77,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sparkling apple,9413494001735,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,7","10,6",0,"0,004","0,002",,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Banza elbows made from Chickpeas,0857183005021,"['France', 'États-Unis']","['Chickpeas', 'tapioca', 'pea protein', 'xanthan gum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,333,1393 kj(333 kcal),"6,14",0,"56,14","8,77","24,56","0,262","0,105",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",6.14 g,en quantité modérée,0 g,en faible quantité,8.77 g,en quantité modérée,0.263 g,en faible quantité,,+0%,+0%,+137%,-100%,-9%,+217%,+112%,+24%,+24%,-4,,A,,,,,,,,,,,,Banza LLC,['E415 - Gomme xanthane'],4,,,,,
73,O&g,9300605120129,['France'],[],[],?,421,1761 kj(421 kcal),"1,7","1,7",60,"19,6",13,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Prep deli,5028905012053,['France'],[],[],?,810,3389 kj(810 kcal),90,20,0,0,0,"1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Wismo biscuit stick,8936047445141,['France'],[],[],?,469,1962 kj(469 kcal),"16,1",8,"72,9","31,6","8,2","0,295","0,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Cup noodles,8992718853462,['France'],[],[],?,360,1506 kj(360 kcal),4,3,46,3,16,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Pate a tartiner - Le Roy René,3102621009213,['France'],[],[],?,561,2347 kj(561 kcal),36,"4,3",48,43,"8,5","0,01","0,004",,,['Le Roy René'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Confiture De Rhubarbe . ..,3760183970152,['France'],[],[],?,224,937 kj(224 kcal),"0,8","0,47","54,5","50,6","0,5","0,01","0,004",,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe']",0.8 g,en faible quantité,0.47 g,en faible quantité,50.6 g,en quantité élevée,0.01 g,en faible quantité,,+1%,+1%,+259%,+816%,+1%,-4%,+8%,-39%,-39%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
79,Macédoine de légume,5400141168785,['France'],[],[],?,38,159 kj(38 kcal),"0,5","0,1",5,"1,1","2,1","0,35","0,14",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes', 'en:canned-drained-diced-mixed-vegetables']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.35 g,en quantité modérée,,-59%,-59%,-91%,-80%,-14%,-32%,-11%,-55%,-55%,-5,-2373%,A,-2373%,,,,,,,,,,,,,,['Colruyt'],,,,
80,Orange,8400035008392,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Banana Crisps - Banana Joe - 23g,8859018413560,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,['Banana Joe'],"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23g,,,,,,,,,,
82,Miel de lavande de provence -  - 1kg,2030000912858,['France'],[],[],?,?,,?,,?,,?,,,,,,['Label Rouge'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,1 kg,,,,,,,,,,
83,Huile d'Olive vierge extra,3760213780010,['France'],[],[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
84,Miele di castagno,8000130405067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Saucisses de montbelliard,3300562905056,['France'],[],[],?,328,1372 kj(328 kcal),29,11,"0,7","0,6",17,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Seigle,0287549016208,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2887815047035,2887815047035,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6 bagels sésame,0743672013038,['France'],[],[],?,290,1213 kj(290 kcal),1,0,62,7,10,"6,3","2,52",,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Pains Bagel']",1 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,6.3 g,en quantité élevée,,+6%,+5%,-72%,-100%,+29%,+28%,+2%,+618%,+618%,14,+567%,D,+567%,54.4%,24.1%,13.6%,6.9%,1.0%,0.0%,94,,,,,,,,,,,
