,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,labels,allergens,generic_name,packaging,categories,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,traceability_code,palm_ingredients,brand_owner
287,Parmigiano reggiano grattugiato fresco - Granarolo - 500g,8002670059571,['Granarolo'],['France'],[],[],?,392,1640 kj(392 kcal),28,19,0,0,33,"1,6","0,64",500 g,['AOP'],,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano']",,,,,28 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,-6%,-4%,-100%,,+2%,0%,0%,16,-4%,D,-4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
288,Latte P. S. Accadi Frigo,8002670163094,['Accadi'],['France'],"['Valori Nutritivi di Riferimento *Lattosio g Il latte contiene glucosio e galattosio che derivano dalla scissione del lattosio', ' Servizio Consumatori Per informazioni e segnalazioni: www', 'granarolo', 'it Area ""\'Contatti""']",[],?,46,192 kj(46 kcal),"1,6","1,2","4,9","4,9","3,1","0,1","0,04",,,,,,"['Produits laitiers', 'Laits']",,,,,1.6 g,en faible quantité,1.2 g,en faible quantité,4.9 g,en faible quantité,0.1 g,en faible quantité,,-30%,-30%,-22%,+1%,-19%,-10%,-13%,-19%,-19%,1,+74%,B,+74%,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,
289,Yaourt soja ananas - Granarolo - 250g (2x125g),8002670500127,['Granarolo'],['France'],[],[],?,89,372 kj(89 kcal),2,"0,4","12,24",12,"3,28","0,6","0,24",250 g (2x125g),,,,,"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja', 'Yaourts de soja aux fruits']",,,,,2 g,en faible quantité,0.4 g,en faible quantité,12 g,en quantité modérée,0.6 g,en quantité modérée,,+13%,+11%,0%,+25%,+9%,+15%,-8%,+483%,+483%,3,+1193%,C,+1193%,B,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,,,,,
290,Yaourt soja fruits des bois - Granarolo - 1X125grs,8002670500158,"['Granarolo', 'Granarolo']",['France'],"['Ingrédients eau', 'fruits de bois 11% du produit fini ', 'fraise 4%', 'cassis 4%', 'framboises 1%', 'mûres 1%', 'myrtille 1%', 'sucre 7,2%', 'graines de soja décortiquées 7%', 'fibres alimentaires 3,2%', 'fructose 1,6% du produit fini', 'citrate de calcium', 'amidon de maïs modifie ', ' épaississant : carraghénanes ', ' jus de raisin concentré et carotte noir ', ' arômes naturels ', ' Vitamines : Riboflavine ', 'B2', 'B12', 'D2', 'E', 'ferments vivants', ' Peut contenir des traces de fruits à coques']",[],?,80,335 kj(80 kcal),2,"0,4","9,7",9,"3,2","0,02","0,008",1X125 grs,"['en:gluten-free', 'Sans lactose']",,,,"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja', 'Yaourts de soja aux fruits', 'Desserts au soja', 'Yaourts soja aux fruits mixés', 'Yaourts soja aux fruits rouges']",,,,4,2 g,en faible quantité,0.4 g,en faible quantité,9 g,en quantité modérée,0.02 g,en faible quantité,,+1%,0%,-3%,+20%,-13%,-13%,-11%,-77%,-77%,-3,-1361%,A,-1361%,B,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,
291,Soja Pêche et Abricot - Granarolo - 250g (2 * 125g),8002670500165,['Granarolo'],"['Belgique', 'France', 'Pays-Bas']","['Extrait de graines de soja 76% ', 'eau', 'graines de soja décortiquées ', '7%', "" préparation à la pêche et à l'abricot "", 'sucre', 'pêche 7%', 'abricot 4%', 'fructose 1,6% du produit fini', 'citrate de calcium', 'amidon de maïs modifié', ' épaississants: carraghénanes', ' arômes naturels ', ' vitamines: riboflavine ', 'B2', 'B12', 'D2', 'E', ' Fibres alimentaires 3,2%', ' ferments vivants']",['Végétarien'],338,?,338 kj(81 kcal),2,"0,4","10,1","9,6","3,2","0,02","0,008",250 g (2 * 125 g),"['Végétarien', 'en:gluten-free', 'Sans arômes artificiels', 'Riche en fibres', 'Sans OGM', 'Sans lactose']",['Soja'],"Spécialité fermentée au soja, sucrée, à la pêche et à I'abricot, alternative au yaourt enrichie en calcium et en vitamines.","['Carton', 'Pots', 'Plastique']","['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja', 'Yaourts de soja aux fruits']",['Italie'],http://www.granalorogroup.com,['Leclerc'],4,2 g,en faible quantité,0.4 g,en faible quantité,9.6 g,en quantité modérée,0.02 g,en faible quantité,-0%,,+1%,0%,+25%,-10%,-8%,-10%,-81%,-81%,-1,-531%,A,-531%,B,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Italie'],,,
292,Polpette Bio Soja - Granarolo,8002670502107,['Granarolo'],"['France', 'Allemagne']","['Tofu* 15 % ', 'eau', 'soja*', 'chlorure de magnésium', 'soja texturé*13 %', 'chapelure aromatisée* ', 'farine de blé tendre type ""o""*', 'huile de graines de tournesol*', 'sel', 'levure de bière', 'paprika*', 'curcuma*', 'huile de graines de tournesol*', 'amidon de maïs*', 'oignons* 6 %', 'haricots verts* 5%', 'carottes* 5 %', 'tomates 5 % pulpe de soja* 4 %', 'pâte à frire ', 'farine de maïs*', 'farine de blé tendre type ""0""*', 'amidon de blé* ', 'sel', 'agents levants : carbonate acide de sodium', 'phosphate monocalcique ', 'sauce soja*3 % ', 'eau', 'soja ', 'blé dur intégral*', 'sel de mer', 'céleri-rave* 3 %', 'flocons de pomme de terre* ', 'pommes de terre déshydratées*', 'extrait de romarin*', ""huile d'olive vierge extra*"", 'double concentré de tomate*', 'préparation pour bouillon végétal* ', 'sel de mer', 'farine de riz*', 'amidon de mais*', 'légumes déshydratés en proportions variables - oignons*', 'céleri*', 'carottes*', 'persil*', 'poireau*', 'miso*', 'soja*', 'rieeau', 'sel', 'koji -', 'extrait de levure', ""huile d'olive vierge extra* épices*"", 'sel de mer', 'basilic ', 'herbes de Provence*', 'poivre*']",[],?,181,757 kj(181 kcal),"4,2","0,6","19,6","3,1","13,6","0,6","0,24",,"['Bio', 'Agriculture UE/Non UE']","['Céleri', 'Soja']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', 'E341i - Phosphate monocalcique', 'E392 - Extrait de romarin']",,,,
293,Ravioli - Granarolo,8002670502251,['Granarolo'],['France'],"['poivre noir*', ' Peut contenir des traces g snel paddenstoelen en rayio!i', ' tCo vawnater', 'spinazie*', 'paneermeeî* ', 'mee va zachte tarwe*', 'zoud', 'zbutì', 'zon ebloemoi ,ui*', 'bereiding voor groentebouillon*Qzeezout', ""ri'stmeel*"", 'maï ze mee10 edroo/e rognteyp il', ' wisselende verhouding* ', 'ui*', 'selderij*', 'wort pre*l ', 'miso* mosterd en lupine bevatten', '*uit biologiséhe landbouw', ' Dégystez toutes les staveurs de la gamme Granarolo Vqgetalq !']","['Végétalien', 'Végétarien']",?,140,586 kj(140 kcal),"8,3","0,9",10,"0,9","4,8",1,"0,4",,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Riso rosso - Granarolo,8002670502435,['Granarolo'],['France'],[],"['Végétalien', 'Végétarien']",?,147,615 kj(147 kcal),6,1,17,1,4,1,"0,4",,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Riso Integr. mel / Lent. gr. 200 GR - Granarolo,8002670502442,['Granarolo'],['France'],[],"['Végétalien', 'Végétarien']",?,166,695 kj(166 kcal),"5,5","0,9",22,"1,1","5,2","1,2","0,48",,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Thé alla Pesca,8002700004526,,['France'],[],[],?,33,138 kj(33 kcal),0,0,"8,2","8,2",0,0,0,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Eau minerale naturelle - S. Georgio - 0.5l,8002705005023,['S. Georgio'],"['France', 'Italie']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,053","0,021",0.5 l,,,acqua minerale,"['Bottiglia', 'Plastica']","['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Eau minérale naturelle non gazeuse']",,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.0528 g,en faible quantité,,,,,,,,,+23%,+23%,0,-100%,A,-100%,,,,,,,,,,,,,
298,Aqua minerale naturale,8002705050016,,['France'],[],[],?,1,4 kj(1 kcal),"0,001","0,001","0,001","0,001","0,001","0,584","0,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Fromaggio per pasta - Zanettei,8002710100065,['Zanettei'],['France'],[],[],?,515,2155 kj(515 kcal),37,26,"0,5","0,5",45,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,"Mozza. Buffala Bille 200G, - 200g",8002710335153,,['France'],[],[],?,247,1033 kj(247 kcal),"13,6","0,24","0,5","0,5",14,"0,6","0,24",200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Ricotta di Bufala - Zanetti - 200g,8002710335160,['Zanetti'],['France'],"['petit lait doux de bufflone pasteurisé', 'lait de bufflone pasteurisé', 'sel']",[],?,144,602 kj(144 kcal),12,"7,6",3,3,6,1,"0,4",200 g,,['Lait'],Ricotta de bufflone,"['Pot', 'Plastique', 'Opercule', 'Aluminium', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Ricotta']",,,,,12 g,en quantité modérée,7.6 g,en quantité élevée,3 g,en faible quantité,1 g,en quantité modérée,,-1%,+1%,+21%,+11%,-19%,-9%,-25%,+179%,+179%,9,+108%,C,+108%,C,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
302,Parmigiano Reggiano - Zanetti,8002710402626,['Zanetti'],"['France', 'Espagne']","['LAIT', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",,,['Lait'],,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,3,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,+0%,+1%,+1%,+1%,-100%,,-1%,0%,0%,17,+2%,D,+2%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
303,Mozzarella - Ciambella al latte di  Bufala - Zanetti - 250g e,8002710499763,['Zanetti'],['France'],"['Lait pasteurisé de bufflonne', 'sel', 'présure']",[],?,247,1033 kj(247 kcal),21,13,"0,5","0,5",14,"0,6","0,24",250 g e,,['Lait'],mozzarella,"['Frais', 'Plastique', 'Carton']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,,,3,21 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,,-8%,-8%,-9%,-18%,-33%,-19%,-3%,-2%,-2%,10,-2%,C,-2%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,
304,Pecorino Romano - Zanetti,8002710712503,['Zanetti'],['France'],"['LAIT de brebis thermisé', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,388,1623 kj(388 kcal),32,18,0,0,25,"4,5","1,8",,['AOP'],['Lait'],,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages de brebis', 'Pecorino', 'Pecorino Romano']",,,,3,32 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,4.5 g,en quantité élevée,,-2%,-2%,-1%,-6%,-100%,-100%,-4%,-5%,-5%,19,-1%,E,-1%,D,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,,
305,Savoyard Forno Bonomi (Biscuit Pour Le Tiramisu) -,8002720001901,,['France'],"['Farine de froment', 'sucre', 'oeufs 26%', 'poudres à lever ', 'carbonate acide de sodium', ""carbonates d'ammonium sirop de glucose"", 'arômes naturels', 'sel', ' Peut contenir traces de produits laitiers et soja']",['Non végétalien'],?,378,1582 kj(378 kcal),"3,8","1,1","76,5",42,"8,5","0,3","0,12",,,"['Œufs', 'Gluten']",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', ""E503 - Carbonates d'ammonium""]",,,,
306,Bonomi Lady Fingers Vanilla & Choco Flavor - Granforno - 200g,8002720003028,"['Granforno', 'Bonomi']","['France', 'Italie']","['wheat flour', 'sugar', 'eggs O 26%', 'cocoa cream 5% ', 'water', 'lean 25%', 'glucose syrup', 'sugar', 'sunflower oil', 'preservative: potassium sorbate', 'raising agents ', 'sodium carbonate acid', 'ammonium carbonate acid', 'glucose syrup', 'natural flavouring', 'salt']",[],?,382,1598 kj(382 kcal),"4,5","1,2",75,36,"9,5","0,37","0,148",200 g,"[""À l'huile de tournesol""]","['Œufs', 'Gluten']",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,4.5 g,en quantité modérée,1.2 g,en faible quantité,36 g,en quantité élevée,0.37 g,en quantité modérée,,-19%,-20%,-78%,-88%,+17%,+22%,+46%,-37%,-37%,13,-34%,D,-34%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
307,Frollini Fiori - Forno Bonomi,8002720005107,['Forno Bonomi'],['France'],"['Farine de froment', 'sucre', 'margarine végétales ', 'graisses de palme', 'eau', 'œufs sirop de glucose', 'beurre', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", 'sel', 'arômes naturels', ' Peut contenir traces de soja']","['Huile de palme', 'Non végétalien']",?,456,1908 kj(456 kcal),14,7,74,23,"7,5",1,"0,4",,,"['Gluten', 'Lait']",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,,,
308,Semi-skimmed Milk 1000ml Screw Cap Imported From Italy - Arborea - 100mL,8002724000634,['Arborea'],"['France', 'Italie']",['Origine del latte: Italia Regione Sardegna'],[],?,47,197 kj(47 kcal),"1,55","1,2","4,9","4,9","3,3","0,1","0,04",100 mL,['en:FSC'],,,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,,,1,1.55 g,en faible quantité,1.2 g,en faible quantité,4.9 g,en faible quantité,0.1 g,en faible quantité,,0%,+1%,-1%,+19%,+2%,+2%,+2%,-9%,-9%,0,,B,,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['FSC-C014047'],,
309,Fagottini alla mela,8002731022124,,['France'],[],[],?,405,1695 kj(405 kcal),"12,4","5,8","65,6","36,8","6,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Pandoro - GranDucale - 80g,8002734000501,"['GranDucale', 'Il Vecchio Forno']",['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'sucre', 'beurre ', 'lait', 'lait', 'levure naturelle ', 'levure', 'farine de blé ', 'gluten', "" émulsifiants: mono- et diglycérides d'acides gras"", 'arômes', 'beurre de cacao', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",1695,?,1695 kj(405 kcal),20,13,47,20,"8,7","0,67","0,268",80 g,"['Point Vert', 'Fabriqué en Italie']","['Œufs', 'Gluten', 'Lait']","Pandoro, produit de pâtisserie (spécialité Italienne)","['Boîte', 'Carton', 'Plastique']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Pâtisseries']",['Italie'],http://www.ilvecchioforno.com/repository/prodotti/images/pd80g-gran-ducale-2014-copia_modificato-1.jpg,['Auchan'],4,20 g,en quantité modérée,13 g,en quantité élevée,20 g,en quantité élevée,0.67 g,en quantité modérée,+14%,,+12%,+45%,+71%,-8%,+2%,+16%,-7%,-7%,20,+18%,E,+18%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
311,Gran Ducale Agnello Chocolate - Granducale,8002734001546,['Granducale'],['France'],[],[],?,401,1678 kj(401 kcal),19,11,50,26,"6,5","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Panettone - Dolce Forneria - 750g,8002734002307,['Dolce Forneria'],['France'],"['Farine de blé ', 'gluten', 'raisins secs 13%', 'sucre', 'beurre', ""écorces d'orange confites 9% "", ""écorces d'orange"", 'sirop de glucose-fructose', 'sucre', 'levain naturel ', 'farine de blé', 'eau', 'jaune d’œuf frais', ""émulsifiants : mono - et diglycérides d'acides gras"", 'sirop de glucose', 'sel', 'protéines de lait', 'arômes', 'lait écrémé en poudre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,365,1527 kj(365 kcal),13,8,55,25,6,"0,37","0,148",750 g,,"['Œufs', 'Gluten', 'Lait']",,['Carton'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Panettone']",['Italie'],,,4,13 g,en quantité modérée,8 g,en quantité élevée,25 g,en quantité élevée,0.37 g,en quantité modérée,,-2%,-2%,-13%,-11%,+7%,-3%,-12%,-16%,-16%,15,-19%,D,-19%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
313,Granducale Pandoro Classico - Battistero,8002734306085,['Battistero'],['France'],"['SK', ' PANDORO', ' JEMNÉ TRVANLIVE PEČIVO ', 'TALIANSKÁ ŠPECIALITA', ' Zloženie: pšeničná múka', 'čerstvé vajcia', 'cukor', 'maslo', 'prírodný kvások ', 'pšeničná múka', 'voda', 'emulgátor: mono - a diglyceridy mastných kyselín', ' glukózový sirup', 'sušené odstredené mlieko', 'jedlá sol', 'kakaové maslo', 'arómy', ' Balícky s práškovým cukrom 3% - Zloženie: práškovým cukrom', 'pšeničný škrob', 'arómy', ' Môže obsahovať orechy a sóju', ' Skladujte v suchu', 'chráňte pred teplom ', 'CZ', ' PANDORO', ' JEMNÉ TRVANLIVÉ PEČIVO ', 'ITALSKÁ SPECIALITA', ' Složení: Pšeničná mouka', 'čerstvá vejce', 'cukr', 'máslo', 'pekařské droždí ', 'pšeničná mouka', 'voda', 'emulgátor: mono - a diglyceridy mastných kyselin', ' glukózový sirup', 'sušené odstředěné mléko', 'sůl', 'kakaové máslo', 'aromate', ' Balíčky s moučkovým cukrem 3%-Složení: moučkovým cukrem', 'pšeničný škrob', 'aromate', ' Může obsahovat sto py ořechů a sóji', ' Skladujte v suchu', 'chrante před teplem']",[],?,413,1728 kj(413 kcal),22,14,45,20,8,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Sucre En Poudre -  - 500G,8002759221028,,['France'],[],[],?,386,1615 kj(386 kcal),0,0,"91,6","91,6",1,"0,04","0,016",500G,['Bio'],,,,"['Édulcorants', 'Sucres', 'Sucres glaces']",,,,,0 g,en faible quantité,0 g,en faible quantité,91.6 g,en quantité élevée,0.04 g,en faible quantité,,+2%,+2%,-100%,-100%,-8%,-3%,+5888%,+630%,+630%,14,-1%,D,-1%,B,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,
315,Chianti 2011 - Familae Piccini - 75cl,8002793002188,['Familae Piccini'],['France'],"['Chianti ', 'sulfites']",[],?,?,,?,,?,,?,,,75 cl,['it:DOCG'],['Anhydride sulfureux et sulfites'],Chianti,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens', 'Chianti']",['Italie'],,['Auchan'],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Ricotta Fresca,8002795000328,,['France'],[],[],?,134,561 kj(134 kcal),9,"6,2","3,2","3,2",10,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Rice crispies al cacao - Breakfast Energy - 375g,8002816805871,['Breakfast Energy'],['France'],[],[],?,387,1619 kj(387 kcal),3,1,"81,5",25,7,"0,6","0,24",375 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Granola frutti di bosco - Più cereali bio  - 400g,8002816806519,['Più cereali bio'],"['France', 'États-Unis']",[],[],?,428,1791 kj(428 kcal),15,3,58,18,10,0,0,400g,"['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Froletti integrali,8002857002505,,['France'],[],[],?,441,1845 kj(441 kcal),"14,1","7,8","68,4","29,6","7,7","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Panettone Amaretto,8002873018108,,"['France', 'États-Unis']","['Wheat flour', 'macaron flavoured filling cream 14% ', 'glucose sirup', 'sugar sirup', 'condensed milk', 'maltodextrins', 'alcohol', 'dextrose', 'thickening agent', 'pectin', 'colouring agent: e150d', 'macaron flavour 1% preservative: potassium sorbate', 'fresh eggs', 'sugar', 'butter ', 'milk', 'milk', 'plain chocolate 8% ', 'sugar', 'cocoa paste', 'cocoa butter', 'emulsifier: soy lecithin', 'flavours - cocoa 51', '5% min', 'macaron grains 3% ', 'sugar', 'bitter almonds', 'egg white', 'flavours', 'leavening agents ', 'ammonium bicarbonate - sodium carbonate', 'natural yeast ', 'wheat', 'emulsifiers: mono and diglycerides of fatty acids', 'flavours', 'cocoa butter', 'salt']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,410,1715 kj(410 kcal),"16,87","10,84","49,4","30,12","12,05","0,482","0,193",,,"['Œufs', 'Gluten', 'Lait']",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Panettone']",,,,4,16.9 g,en quantité modérée,10.8 g,en quantité élevée,30.1 g,en quantité élevée,0.482 g,en quantité modérée,,+10%,+10%,+12%,+21%,-4%,+16%,+76%,+9%,+9%,22,+18%,E,+18%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['E440 - Pectines', ""E150d - Caramel au sulfite d'ammonium"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500i - Carbonate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,CHIOSTRO DI SARONNO
321,Amaretti del chiostro - Chiostro Di Saronno,8002873021252,['Chiostro Di Saronno'],['France'],"['sucre', ""amandes de noyaux d'abricots "", '19%', "" blanc d'oeuf Pour les allergènes: voir les ingrédients en caractèree gras"", "" Peut contenir des traces de fruits secs en coquille Conserver à l'abri de la chaleur et de l'humidité""]",[],?,120,502 kj(120 kcal),3,0,23,21,2,"0,009","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Bio riccioli crusca - Fiorentini,8002885003604,['Fiorentini'],['France'],[],[],?,338,1414 kj(338 kcal),"4,2","0,7","50,1","2,7","13,2","0,03","0,012",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Galettes de seigle - Fiorentini - 100g,8002885004083,['Fiorentini'],"['France', 'Italie']",[],"['Végétalien', 'Végétarien']",?,359,1502 kj(359 kcal),"2,6","0,7","68,5",1,"9,6",1,"0,4",100 g,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['Gluten'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées']",,,['Carrefour'],,2.6 g,en faible quantité,0.7 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-15%,-15%,-73%,-86%,-6%,-90%,+26%,+288%,+288%,-2,-131%,A,-131%,B,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,
324,Dolcificante liquido,8002885004243,,['France'],[],[],?,55,230 kj(55 kcal),0,0,0,0,0,"1,35","0,54",,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Bio Snack Maiz / Ac.oliva - Fiorentini,8002885004274,['Fiorentini'],['France'],[],[],?,426,1782 kj(426 kcal),"9,5","1,2","76,8","0,6","6,9","1,2","0,48",,"['Bio', 'en:gluten-free']",,,['Plastica'],"['Snacks', 'Snacks salés']",,,,,9.5 g,en quantité modérée,1.2 g,en faible quantité,0.6 g,en faible quantité,1.2 g,en quantité modérée,,-8%,-8%,-61%,-72%,+61%,-82%,-19%,-22%,-22%,11,-10%,D,-10%,,,,,,,,,,,,,
326,Fiorentini Organic Chilli Rice Snacks - FIORENTINI BIO - 40g,8002885004403,['FIORENTINI BIO'],['France'],[],[],?,400,1674 kj(400 kcal),"6,7","0,9","77,3","0,7","6,8","2,3","0,92",40 g,"['Bio', 'en:gluten-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Bio Biscotti con Fiocchi di Avena , Cacao e Amaranto - Fiorentini",8002885008036,['Fiorentini'],['France'],[],[],?,467,1954 kj(467 kcal),"18,6","1,9",62,"15,3","9,6","0,01","0,004",,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
